"targets","layer","layer_old","name","description","fld_value","units","filename","fld_id_num","fld_id_chr","fld_category","fld_year","fld_val_num","fld_val_chr","file_exists","val_min","val_max","val_0to1","flds_unused","flds_missing","rows_duplicated","num_ids_unique"
"LE","le_jobs_cur_adj_value","le_jobs_cur_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","le_jobs_cur_adj_value.csv",,"cntry_key","sector",,"value",,TRUE,62.41711597,98.8240774,FALSE,,,,220
"LE","le_jobs_cur_base_value","le_jobs_cur_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","le_jobs_cur_base_value.csv",,"cntry_key","sector",,"value",,TRUE,0,7976022.6343,FALSE,,,,220
"LE","le_jobs_ref_adj_value","le_jobs_ref_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","le_jobs_ref_adj_value.csv",,"cntry_key","sector",,"value",,TRUE,69.70000277,98.89999998,FALSE,,,,220
"LE","le_jobs_ref_base_value","le_jobs_ref_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","le_jobs_ref_base_value.csv",,"cntry_key","sector",,"value",,TRUE,0,8148031.2004,FALSE,,,,220
"LE","le_rev_cur_adj_value","le_rev_cur_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","le_rev_cur_adj_value.csv",,"cntry_key","sector",,"value",,TRUE,27001199.73,13919727042705.6,FALSE,,,,220
"LE","le_rev_cur_base_value","le_rev_cur_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","le_rev_cur_base_value.csv",,"cntry_key","sector",,"value",,TRUE,0,1319580686744.52,FALSE,,,,220
"LE","le_rev_ref_adj_value","le_rev_ref_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","le_rev_ref_adj_value.csv",,"cntry_key","sector",,"value",,TRUE,22820838.02,13667652066195.1,FALSE,,,,220
"LE","le_rev_ref_base_value","le_rev_ref_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","le_rev_ref_base_value.csv",,"cntry_key","sector",,"value",,TRUE,0,284189642760,FALSE,,,,220
"LE","le_revenue_adj","le_revenue_adj","Modeled Livelihoods & Economies data","adjusted revenue","usd","USD","le_revenue_adj.csv",,"cntry_key",,"year","usd",,TRUE,22820838.02,14675462506263.5,FALSE,,,,220
"LE","le_wage_cur_adj_value","le_wage_cur_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","le_wage_cur_adj_value.csv",,"cntry_key","sector",,"value",,TRUE,1,1,TRUE,,,,220
"LE","le_wage_cur_base_value","le_wage_cur_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","le_wage_cur_base_value.csv",,"cntry_key","sector",,"value",,TRUE,0,436558.72173255,FALSE,,,,220
"LE","le_wage_ref_adj_value","le_wage_ref_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","le_wage_ref_adj_value.csv",,"cntry_key","sector",,"value",,TRUE,1,1,TRUE,,,,220
"LE","le_wage_ref_base_value","le_wage_ref_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","value","value","le_wage_ref_base_value.csv",,"cntry_key","sector",,"value",,TRUE,0,170878.277466168,FALSE,,,,220
"LE","le_workforcesize_adj","le_workforcesize_adj","Modeled Livelihoods & Economies data","adjusted workforce size","jobs","jobs","le_workforcesize_adj.csv",,"cntry_key",,"year","jobs",,TRUE,29451.528,783157007.2,FALSE,,,,220
"LE pressures","le_sector_weight","rnk_le_sector_weight","Jobs weighting","Jobs weighting by sector (defaulting to 1)","weight","value","le_sector_weight.csv","rgn_id",,"sector",,"weight",,TRUE,1,1,TRUE,,,,220
"LIV ECO","le_popn","rny_le_popn","Total population by subregion","Population data from The World Bank","count","count","le_popn.csv","rgn_id",,,"year","count",,TRUE,0,1350695000,FALSE,,,,220
"LIV ECO","liveco_status","rn_liveco_status","Modeled livelihoods and economies status","Modeled livelihoods and economies status based on new approach","value","status score","liveco_status.csv","rgn_id",,"component",,"value",,TRUE,0.000380686126825058,1,TRUE,,,,220
"LIV ECO","liveco_trend","rn_liveco_trend","Modeled livelihoods and economies trend","Modeled livelihoods and economies trend based on new approach","value","trend score","liveco_trend.csv","rgn_id",,"component",,"value",,TRUE,-0.998437811712268,0.999964535332029,FALSE,,,,220
"LSP","lsp_prot_area_inland1km","rny_lsp_prot_area_inland1km","Coastal protected areas inland 1km","Coastal protected areas inland to 1km","area_km2","km^2","lsp_prot_area_inland1km.csv","rgn_id",,,"year","area_km2",,TRUE,0.87325077158,28756.1479081,FALSE,,,,220
"LSP","lsp_prot_area_offshore3nm","rny_lsp_prot_area_offshore3nm","Coastal marine protected areas offshore 3km","Coastal marine protected areas offshore to 3nm","area_km2","km^2","lsp_prot_area_offshore3nm.csv","rgn_id",,,"year","area_km2",,TRUE,0,56272.27972,FALSE,,,,220
"MAR","mar_coastalpopn_inland25mi","mar_coastalpopn_inland25mi","Coastal population inland 25 miles","Coastal population inland 25 miles by year (2005-2015)","popsum","people","mar_coastalpopn_inland25mi.csv","rgn_id",,,"year","popsum",,TRUE,0,222071000,FALSE,,,,220
"MAR","mar_harvest_species","mar_harvest_species","Mariculture species harvested","","species","species name","mar_harvest_species.csv",,,"species_code",,,"species",TRUE,,,,,,,220
"MAR","mar_harvest_tonnes","mar_harvest_tonnes","Mariculture harvest","Mariculture harvest by species and year","tonnes","tons","mar_harvest_tonnes.csv","rgn_id",,"species_code","year","tonnes",,TRUE,0,3756310,FALSE,,,,220
"MAR","mar_sustainability_score","mar_sustainability_score","Mariculture sustainability score","Mariculture sustainability score by species","sust_coeff","sustainability","mar_sustainability_score.csv","rgn_id",,"species",,"sust_coeff",,TRUE,0.1,1,TRUE,,,,220
"MAR","mar_trend_years","mar_trend_years","Mariculter years used for trend","","trend_yrs","year string","mar_trend_years.csv","rgn_id",,,,,"trend_yrs",TRUE,,,,,,,220
"NP","np_harvest_relative","rnky_np_harvest_relative","Harvest of marine resources","Yield and value of six marine resources (coral, fish oil, seaweed and plants, shells, sponges, ornamental fish)","score","value","np_harvest_relative.csv","rgn_id",,"product","year","score",,TRUE,0,1,TRUE,,,,220
"NP","np_sustainability_score","rnk_np_sustainability_score","Sustainability of marine resource harvest","Assigned sustainability based on Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES) listed species","score","value","np_sustainability_score.csv","rgn_id",,"product",,"score",,TRUE,0,1,TRUE,,,,220
"NP pressures","np_weights_combo","rnk_np_weights_combo","Harvest of marine resources: weights","Weighting of marine resource harvest","weight","tons","np_weights_combo.csv","rgn_id",,"product",,"weight",,TRUE,0,1,TRUE,,,,220
"pressures","cc_acid","cc_acid","Ocean acidification","Modeled distribution of the aragonite saturation state (AAS) of the ocean in pre-industrial (~1870) and modern times (2000-2009) from Halpern et al. 2008","pressure_score","pressure score","cc_acid.csv","rgn_id",,,,"pressure_score",,TRUE,0.0135662,0.974705,TRUE,,,,220
"pressures","cc_slr","cc_slr","Sea level rise","Modeled sea level rise after Halpern et al. 2008","pressure_score","pressure score","cc_slr.csv","rgn_id",,,,"pressure_score",,TRUE,0,0.909090909090909,TRUE,,,,220
"pressures","cc_sst","cc_sst","Sea surface temperature (SST) anomalies","Modeled sea level rise after Halpern et al. 2008","pressure_score","pressure score","cc_sst.csv","rgn_id",,,,"pressure_score",,TRUE,0.00111583212314842,0.337583502759222,TRUE,,,,220
"pressures","cc_uv","cc_uv","UV radiation","Modeled UV radiation after Halpern et al. 2008","pressure_score","pressure score","cc_uv.csv","rgn_id",,,,"pressure_score",,TRUE,0.601021494082126,0.909090909090909,TRUE,,,,220
"pressures","fp_art_hb","fp_art_hb","High bycatch caused by artisanal fishing ","The presence of destructive artisanal blast and poison (cyanide) fishing","pressures.score","pressure score","fp_art_hb.csv","rgn_id",,,,"pressures.score",,TRUE,1.295083288e-05,0.25366568914956,TRUE,,,,220
"pressures","fp_art_lb","fp_art_lb","Low bycatch caused by artisanal fishing ","Statistics of low bycatch artisanal fishing using non-destructive practices","pressure_score","pressure score","fp_art_lb.csv","rgn_id",,,,"pressure_score",,TRUE,0,0.909090909090909,TRUE,,,,220
"pressures","fp_com_hb","fp_com_hb","High bycatch caused by commercial fishing ","Statistics of destructive commercial fishing practices by 5 different gear types (developed in Halpern et al. 2008)","pressure_score","pressure score","fp_com_hb.csv","rgn_id",,,,"pressure_score",,TRUE,0,0.609322263170568,TRUE,,,,220
"pressures","fp_com_lb","fp_com_lb","Low bycatch caused by commercial fishing ","Statistics of least destructive commercial fishing practices by 2 different gear types (developed in Halpern et al. 2008)","pressure_score","pressure score","fp_com_lb.csv","rgn_id",,,,"pressure_score",,TRUE,0,0.715079309296518,TRUE,,,,220
"pressures","fp_targetharvest","fp_targetharvest","Targeted harvest of cetaceans and sea turtles","Targeted harvest of cetaceans and marine turtles, from Food and Agricultural Organization data","score","pressure score","fp_targetharvest.csv","rgn_id",,,,"score",,TRUE,0,0.909090909090909,TRUE,,,,220
"pressures","hd_intertidal","hd_intertidal","Coastal population density as a proxy for intertidal habitat destruction","Coastal population density within 10 km of the coast","pressure_score","pressure score","hd_intertidal.csv","rgn_id",,,,"pressure_score",,TRUE,0,0.530149,TRUE,,,,220
"pressures","hd_subtidal_hb","hd_subtidal_hb","High bycatch artisanal fishing practices as a proxy for subtidal hard bottom habitat destruction","The presence of destructive artisanal blast and poison (cyanide) fishing","value","pressure score","hd_subtidal_hb.csv","rgn_id",,,,"value",,TRUE,1.3e-05,0.253665689,TRUE,,,,220
"pressures","hd_subtidal_sb","hd_subtidal_sb","High bycatch commercial fishing practices as a proxy for subtidal soft bottom habitat destruction","Spatially distributed commercial catch data by fishing gear type, developed by Sea Around Us Project","pressures.score","pressure score","hd_subtidal_sb.csv","rgn_id",,,,"pressures.score",,TRUE,0,0.992856206,TRUE,,,,220
"pressures","po_chemicals_3nm","po_chemicals_3nm","Land-based chemical pollution","Land-based organic pollution at 1km2 resolution (as developed in Halpern et al. 2008)","pressure_score","pressure score","po_chemicals_3nm.csv","rgn_id",,,,"pressure_score",,TRUE,0,0.631873593517296,TRUE,,,,220
"pressures","po_nutrients_3nm","po_nutrients_3nm","Coastal nutrient pollution","Modeled coastal nutrient pollution based on Halpern et al. 2008","pressure_score","pressure score","po_nutrients_3nm.csv","rgn_id",,,,"pressure_score",,TRUE,0,0.341163,TRUE,,,,220
"pressures","sp_alien","sp_alien","Alien species","The number and type of invasive and harmful invasive species in each marine ecoregion","pressures.score","pressure score","sp_alien.csv","rgn_id",,,,"pressures.score",,TRUE,0,1,TRUE,,,,220
"pressures","sp_genetic","sp_genetic","Introduced species as a proxy for genetic escapes ","Statistics on native or introduced species from the Mariculture Sustainibility Index (MSI)","pressures.score","pressure score","sp_genetic.csv","rgn_id",,,,"pressures.score",,TRUE,0,1,TRUE,,,,220
"pressures","ss_wgi","ss_wgi","Weakness of governance indicated with the WGI","Inverse of World Governance Indicators (WGI) six combined scores","score","pressure score","ss_wgi.csv","rgn_id",,,,"score",,TRUE,0.128125372616126,0.959156983820862,TRUE,,,,220
"pressures CP","cp_habitat_extent_rank","rnk_cp_habitat_extent_rank","Habitat extent * rank, per Coastal Protection habitats","Habitat extent * habitat rank for Coastal Protection habitats: coral, mangrove offshore 1km, mangrove inland 1km, saltmarsh, seaice_shoreline and seagrass","extent_rank","rank","cp_habitat_extent_rank.csv","rgn_id",,"habitat",,"extent_rank",,TRUE,1.7465,3015240.885416,FALSE,,,,220
"pressures CS","cs_habitat_extent","rnk_cs_habitat_extent","Habitat extent * rank, per Carbon Storage habitats","Habitat extent * habitat rank for Carbon Storage habitats: mangrove, saltmarsh and seagrass","km2","km^2","cs_habitat_extent.csv","rgn_id",,"habitat",,"km2",,TRUE,0.82,39491,FALSE,,,,220
"pressures CW","po_chemicals","po_chemicals","Ocean-based chemical pollution","Ocean-based chemical pollution from commercial shipping traffic and ports and harbors","pressure_score","pressure score","po_chemicals.csv","rgn_id",,,,"pressure_score",,TRUE,0.000133491581905408,0.764782278905096,TRUE,,,,220
"pressures CW","po_nutrients","po_nutrients","Ocean nutrient pollution","Modeled ocean nutrient pollution based on Halpern et al. 2008","pressure_score","pressure score","po_nutrients.csv","rgn_id",,,,"pressure_score",,TRUE,0,0.334982,TRUE,,,,220
"pressures CW","po_pathogens","po_pathogens","Access to improved sanitation as a proxy for pathogen pollution","Percent of population with access to improved sanitation facilities ","pressure_score","pressure score","po_pathogens.csv","rgn_id",,,,"pressure_score",,TRUE,0,0.909090909090909,TRUE,,,,220
"pressures CW","po_trash","po_trash","Trash pollution","Density of trash from coastal land and sea","pressure_score","pressure score","po_trash.csv","rgn_id",,,,"pressure_score",,TRUE,0,0.909090909090909,TRUE,,,,220
"pressures HAB","hab_presence","rnk_hab_presence","Habitat presence","Modeled combined habitat presence","boolean","boolean","hab_presence.csv","rgn_id",,"habitat",,"boolean",,TRUE,1,1,TRUE,,,,220
"resilience","alien_species","alien_species","Alien species","The number and type of invasive and harmful invasive species in each marine ecoregion","resilience score","resilience score","alien_species.csv","rgn_id",,,,"resilience.score",,TRUE,0,1,TRUE,,,,220
"resilience","cites","cites","Resilience from commitment to CITES","Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES) signatories","resilience score","resilience score","cites.csv","rgn_id",,,,"resilience.score",,TRUE,0,1,TRUE,,,,220
"resilience","fishing_v1","fishing_v1","CBD survey: coastal fishing v1","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","resilience score","resilience score","fishing_v1.csv","rgn_id",,,,"resilience.score",,TRUE,0.241538566918161,0.892453964007202,TRUE,,,,220
"resilience","fishing_v1_eez","fishing_v1_eez","CBD survey: ocean fishing v1","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","resilience score","resilience score","fishing_v1_eez.csv","rgn_id",,,,"resilience.score",,TRUE,0.190061654351495,0.803602501344025,TRUE,,,,220
"resilience","fishing_v2_eez","fishing_v2_eez","CBD survey: ocean fishing v2","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","resilience score","resilience score","fishing_v2_eez.csv","rgn_id",,,,"resilience.score",,TRUE,0.245046240763621,0.766252150695941,TRUE,,,,220
"resilience","fishing_v3","fishing_v3","CBD survey: coastal fishing v3","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","resilience score","resilience score","fishing_v3.csv","rgn_id",,,,"resilience.score",,TRUE,0.245507455539828,0.901998500191288,TRUE,,,,220
"resilience","fishing_v3_eez","fishing_v3_eez","CBD survey: ocean fishing v3","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","resilience score","resilience score","fishing_v3_eez.csv","rgn_id",,,,"resilience.score",,TRUE,0.194030542973161,0.812899771097748,TRUE,,,,220
"resilience","habitat","habitat","CBD survey: habitat","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","resilience score","resilience score","habitat.csv","rgn_id",,,,"resilience.score",,TRUE,0.138087289287079,1,TRUE,,,,220
"resilience","habitat_combo","habitat_combo","CBD survey: coastal habitat","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","resilience score","resilience score","habitat_combo.csv","rgn_id",,,,"resilience.score",,TRUE,0.123025268,0.99999775,TRUE,,,,220
"resilience","habitat_combo_eez","habitat_combo_eez","CBD survey: ocean habitat","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","resilience score","resilience score","habitat_combo_eez.csv","rgn_id",,,,"resilience.score",,TRUE,0.086045814459742,0.943233237345455,TRUE,,,,220
"resilience","li_gci","li_gci","GCI: competitiveness in achieving sustained economic prosperity","Global Competitiveness Index (GCI) scores (score)","score","resilience score","li_gci.csv","rgn_id",,,"year","score",,TRUE,0.303333333333333,0.778333333333333,TRUE,,,,220
"resilience","li_sector_evenness","li_sector_evenness","Sector evenness as a measure of economic diversity","Shannon's Diversity Index calculated sector evenness based on the total number of sectors and the proportion of jobs belonging to any sector","resilience score","resilience score","li_sector_evenness.csv","rgn_id",,,,"resilience.score",,TRUE,0,0.997518269205,TRUE,,,,220
"resilience","mariculture","mariculture","CBD survey: mariculture","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","resilience score","resilience score","mariculture.csv","rgn_id",,,,"resilience.score",,TRUE,0.054428393263486,1,TRUE,,,,220
"resilience","msi_gov","msi_gov"," MSI sustainability and regulations","Mariculture practice assessment criteria from the Mariculture Sustainability Index (MSI)","resilience score","resilience score","msi_gov.csv","rgn_id",,,,"resilience.score",,TRUE,0.1,0.8576923077,TRUE,,,,220
"resilience","species_diversity","species_diversity","Ocean ecological integrity","Marine species diversity as a proxy for ecological integrity: ocean","score","resilience score","species_diversity.csv","rgn_id",,,,"score",,TRUE,0.743259450182977,0.930308754120408,TRUE,,,,220
"resilience","species_diversity_3nm","species_diversity_3nm","Coastal ecological integrity","Marine species diversity as a proxy for ecological integrity: coastal","score","resilience score","species_diversity_3nm.csv","rgn_id",,,,"score",,TRUE,0.752102387423915,0.943822818112876,TRUE,,,,220
"resilience","tourism","tourism","CBD survey: tourism","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","resilience score","resilience score","tourism.csv","rgn_id",,,,"resilience.score",,TRUE,0,1,TRUE,,,,220
"resilience","water","water","CBD survey: water","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","resilience score","resilience score","water.csv","rgn_id",,,,"resilience.score",,TRUE,0,1,TRUE,,,,220
"resilience","wgi_all","wgi_all","Strength of governance indicated with the WGI","World Governance Indicators (WGI) six combined scores","score","resilience score","wgi_all.csv","rgn_id",,,,"score",,TRUE,0.040843016179138,0.871874627383874,TRUE,,,,220
"spatial","cntry_georegions","cnk_cntry_georegions","Georegion ids per country, at 3 georegion levels","georegions per country, at 3 georegion levels","georgn_id","georegion id","cntry_georegions.csv",,"cntry_key","level",,"georgn_id",,TRUE,1,999,FALSE,,,,220
"spatial","cntry_rgn","cn_cntry_rgn","Regions per country","regions per country","rgn_id","region id","cntry_rgn.csv",,"cntry_key",,,"rgn_id",,TRUE,1,250,FALSE,,,,220
"spatial","rgn_area","rn_rgn_area","Region area of total EEZ ocean","region in water area","area_km2","km^2","rgn_area.csv","rgn_id",,,,"area_km2",,TRUE,9.46355858358,31057239.8303,FALSE,,,,220
"spatial","rgn_area_inland1km","rn_rgn_area_inland1km","Region area 1 km inland","inland area 1 km from shore","area_km2","km^2","rgn_area_inland1km.csv","rgn_id",,,,"area_km2",,TRUE,1.7465015431603,163643.701591034,FALSE,,,,220
"spatial","rgn_area_offshore3nm","rn_rgn_area_offshore3nm","Region area offshore 3nm","offshore area 3 nautical miles from shore","area_km2","km^2","rgn_area_offshore3nm.csv","rgn_id",,,,"area_km2",,TRUE,10.4790092589618,629255.77349294,FALSE,,,,220
"spatial","rgn_georegion_labels","rtk_rgn_georegion_labels","Georegion labels per region, at 3 georegion levels","georegions per region, at 3 georegion levels","label","label","rgn_georegion_labels.csv","rgn_id",,"level",,,"label",TRUE,,,,,,,220
"spatial","rgn_georegions","rnk_rgn_georegions","Georegion ids per region, at 3 georegion levels","georegions per region, at 3 georegion levels","georgn_id","georegion id","rgn_georegions.csv","rgn_id",,"level",,"georgn_id",,TRUE,1,999,FALSE,,,,220
"spatial","rgn_global","rnk_rgn_global","regions used in global analysis for Nature 2012, subset of regions_labels by type=eez and not deleted or disputed ","regions used in global analysis for Nature 2012, subset of regions_labels by type=eez and not deleted or disputed ","label","label","rgn_global.csv","rgn_id",,,,,"label",TRUE,,,,,,,220
"spatial","rgn_labels","rtk_rgn_labels","regions by type (eez, subocean, unclaimed) and label","regions by type (eez, subocean, unclaimed) and label","label","label","rgn_labels.csv","rgn_id",,"type",,,"label",TRUE,,,,,,,220
"SPP","spp_status","rn_spp_status","Species lists and IUCN threat categories as a proxy for iconic species status","International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists ","score","status score","spp_status.csv","rgn_id",,,,"score",,TRUE,0.743259450182977,0.930308754120408,TRUE,,,,220
"SPP","spp_trend","rn_spp_trend","Species lists and IUCN threat categories as a proxy for iconic species trend","International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists ","score","trend score","spp_trend.csv","rgn_id",,,,"score",,TRUE,-0.464904077028102,0.0977703458133595,FALSE,,,,220
"TR","tr_jobs_total","tr_jobs_total","Total labor force","","count","jobs","tr_jobs_total.csv","rgn_id",,,"year","count",,TRUE,32114.39244,481718093.2,FALSE,,,,220
"TR","tr_jobs_tourism","tr_jobs_tourism","Direct employment in tourism","","count","jobs","tr_jobs_tourism.csv","rgn_id",,,"year","count",,TRUE,-5600,25750300,FALSE,,,,220
"TR","tr_sustainability","tr_sustainability","Sustainability index","Tourism Competitiveness Index (TTCI) from the World Economic Forum","score","score","tr_sustainability.csv","rgn_id",,,,"score",,TRUE,2.59,5.39,FALSE,,,,220
"TR","tr_unemployment","tr_unemployment","Percent unemployment","","percent","percent unemployed","tr_unemployment.csv","rgn_id",,,"year","percent",,TRUE,-7.79999923999912,59.5,FALSE,,,,220
