"goal","dimension","region_id","score","old_score","change"
"CP","score",248500,100,100,0
"CP","score",248600,100,100,0
"CP","score",258410,98.83,98.83,0
"CP","score",258420,100,100,0
"CP","score",258431,NA,NA,NA
"CP","score",258432,NA,NA,NA
"CP","score",258441,NA,NA,NA
"CP","score",258442,NA,NA,NA
"CP","score",258510,NA,NA,NA
"CP","score",258520,NA,NA,NA
"CP","score",258600,NA,NA,NA
"CP","score",258700,NA,NA,NA
"CP","score",288100,100,100,0
"CP","score",288200,98.82,98.82,0
"CP","score",288300,92.52,91.39,1.13
"CP","status",0,97.9,97.9,0
"CP","status",248100,87.31,87.31,0
"CP","status",248200,NA,NA,NA
"CP","status",248300,NA,NA,NA
"CP","status",248400,NA,NA,NA
"CP","status",248500,100,100,0
"CP","status",248600,100,100,0
"CP","status",258410,97.66,97.66,0
"CP","status",258420,100,100,0
"CP","status",258431,NA,NA,NA
"CP","status",258432,NA,NA,NA
"CP","status",258441,NA,NA,NA
"CP","status",258442,NA,NA,NA
"CP","status",258510,NA,NA,NA
"CP","status",258520,NA,NA,NA
"CP","status",258600,NA,NA,NA
"CP","status",258700,NA,NA,NA
"CP","status",288100,100,100,0
"CP","status",288200,97.64,97.64,0
"CP","status",288300,89.83,89.83,0
"CP","trend",248100,-0.06,-0.06,0
"CP","trend",248200,NA,NA,NA
"CP","trend",248300,NA,NA,NA
"CP","trend",248400,NA,NA,NA
"CP","trend",248500,0,0,0
"CP","trend",248600,0.15,0.15,0
"CP","trend",258410,-0.02,-0.02,0
"CP","trend",258420,-0.03,-0.03,0
"CP","trend",258431,NA,NA,NA
"CP","trend",258432,NA,NA,NA
"CP","trend",258441,NA,NA,NA
"CP","trend",258442,NA,NA,NA
"CP","trend",258510,NA,NA,NA
"CP","trend",258520,NA,NA,NA
"CP","trend",258600,NA,NA,NA
"CP","trend",258700,NA,NA,NA
"CP","trend",288100,0.02,0.02,0
"CP","trend",288200,-0.04,-0.04,0
"CP","trend",288300,-0.18,-0.18,0
"CW","future",0,100,100,0
"CW","future",248100,100,100,0
"CW","future",248200,100,100,0
"CW","future",248300,100,100,0
"CW","future",248400,100,100,0
"CW","future",248500,100,100,0
"CW","future",248600,100,100,0
"CW","future",258410,100,100,0
"CW","future",258420,100,100,0
"CW","future",258431,100,100,0
"CW","future",258432,100,100,0
"CW","future",258441,100,100,0
"CW","future",258442,100,100,0
"CW","future",258510,100,100,0
"CW","future",258520,100,100,0
"CW","future",258600,100,100,0
"CW","future",258700,100,100,0
"CW","future",288100,100,100,0
"CW","future",288200,100,100,0
"CW","future",288300,100,100,0
"CW","pressures",248100,2.87,1.72,1.15
"CW","pressures",248200,3.4,0.51,2.89
"CW","pressures",248300,7.32,1.71,5.61
