country,region_id,Index,AO,SPP,BD,HAB,CP,CS,CW,LE,LIV,FIS,FP,MAR,ICO,SP,LSP,NP,TR
Guinea,194,0.45,0.12,-0.26,-0.45,-0.65,-0.02,-0.01,-0.01,4.05,4.05,-0.05,-0.05,0,-0.44,-0.18,0.07,-0.53,1.54
Mayotte,29,0.43,0.17,-0.17,0.02,0.21,0,0,3.25,NA,NA,-0.35,-0.12,-0.01,-0.64,-0.32,0,NA,NA
French Polynesia,147,0.42,2.33,-0.24,-0.12,-0,-0,0,-0.05,NA,NA,-0.16,0.09,-0.02,-0.75,-0.38,0,3.16,-1.25
Seychelles,31,0.41,0.89,-0.26,-0.13,0,-0,-0,0.81,0.08,0.08,-0.45,-0.46,-0,-0.26,2.34,4.93,0,0.63
Ivory Coast,195,0.41,-1.01,-0.12,-0.19,-0.26,-0.02,0.1,0.03,5.62,5.62,-0.15,-0.15,0,-0.43,-0.2,0.04,-0.51,NA
Japan,210,0.41,2.72,-0.27,-0.13,0.01,-0,-0.01,-0.04,-2.04,-2.04,0.36,0.19,-0.42,-0.4,0.05,0.5,2.91,NA
Clipperton Island,107,0.4,NA,-0.33,0.49,1.32,-0,NA,0,NA,NA,-1.98,-1.98,NA,-0.43,4.18,8.79,-0.32,NA
Oman,48,0.39,-1.43,-0.35,-0.35,-0.35,0,0.04,-0.03,3.19,3.19,-0.37,-0.5,0.01,-0.73,1.41,3.55,2.05,-0.85
Cambodia,24,0.38,0.38,-0.46,0.21,0.88,0.2,0.22,0.59,2.94,2.94,-0.31,-0.36,0.21,-0.8,0.57,1.93,0.04,-0.98
Saint Vincent and the Grenadines,127,0.38,-1.76,-0.32,-0.09,0.13,-0,0,1.33,1.21,1.21,0.08,0.08,0,-0.4,-0.2,-0,5.78,-2.53
Christmas Island,2,0.37,0.04,-0.18,0.78,1.74,0,-0,0.33,NA,NA,-0.17,-0.17,0,-1.16,1.61,4.38,NA,NA
Namibia,101,0.36,1.56,-0.16,-0.13,-0.1,0,-0,-0.08,3.56,3.56,0.87,0.87,-0,-0.45,-0.23,0,-0.98,-1
El Salvador,134,0.35,-0.97,-0.3,-0.08,0.13,0.03,0.02,0.14,3.8,3.8,-0.17,-0.18,0.02,-0.43,-0.17,0.09,0.28,0.67
Venezuela,139,0.35,1.63,-0.5,-0.24,0.01,0.01,0.01,0.63,6.04,6.04,1.07,0.33,0.06,-0.43,-0.31,-0.2,-1.89,-2.68
Grenada,125,0.34,0.4,-0.37,-0.18,0.01,0,0.03,0.06,-0.37,-0.37,0.17,0.17,0,-0.37,0.17,0.7,10.39,-0.5
Oecussi Ambeno,237,0.34,0.87,-0.06,0.46,0.98,0.14,0.15,0.52,NA,NA,-0.16,-0.16,0,-0.92,0.42,1.75,NA,NA
Thailand,25,0.33,-0.14,-0.44,0.12,0.68,0.17,0.18,0.94,2.48,2.48,-0.19,-0.44,-0.5,-0.76,1.36,3.48,0.13,-1.55
Nigeria,196,0.33,0.27,-0.26,-0.01,0.24,-0.03,-0.02,-0.05,2.56,2.56,-0.17,-0.17,0,-0.36,-0.19,-0.02,-2.63,0.76
Gabon,198,0.33,-0.08,-0.2,-0.25,-0.3,-0.05,-0.04,0.06,3.43,3.43,-0.1,-0.1,0,-0.28,1.05,2.38,-1.07,NA
Sao Tome and Principe,103,0.31,-0.39,-0.15,0.01,0.18,0.04,0.04,0.16,2.06,2.06,-0.01,-0.01,0,-0.53,-0.26,-0,-0.53,1.96
Cameroon,197,0.31,-0.37,-0.19,-0,0.19,0.06,0.05,-0.06,3.02,3.02,-0.11,-0.11,0,-0.46,0.74,1.94,0.56,-0.77
Greece,80,0.28,0.69,-0.58,-0.25,0.09,-0,-0,-0.03,-1.3,-1.3,0.01,0.25,-0.06,0.14,0.01,-0.12,2.32,1.09
India,203,0.28,-0.15,-0.34,0.14,0.63,-0.03,0.02,0.97,1.25,1.25,-0.17,-0.64,0.4,-0.64,-0.29,0.05,-1.27,2.81
Ireland,181,0.27,0.48,0.17,0.12,0.07,-0,0,-0.05,-0.63,-0.63,-0.13,-0.34,0,-0.13,2.01,4.14,1.89,-0.78
Cyprus,81,0.25,0.53,-0.52,-0.27,-0.01,-0,0,0.17,1.37,1.37,-0.78,1.41,2.27,0.18,1.48,2.78,-2.63,0.42
France,179,0.25,0.33,-0.04,0.32,0.68,0.05,0,-0.08,1.33,1.33,-0.26,-0.25,-0.18,0,0,0,2.99,-2.2
Italy,184,0.25,0.59,-0.55,-0.25,0.06,-0,0,-0.02,-2.04,-2.04,0.07,-0.4,-1.32,0.13,0.09,0.04,6.06,-1.57
Romania,72,0.24,1.69,-0.51,0.1,0.71,0,0,0.6,1.33,1.33,0.15,0.2,-0,0,0,0,-1.76,NA
Canary Islands,58,0.23,0.83,-0.24,-0.02,0.2,-0,-0,0.15,NA,NA,-0.25,-0.25,0,0.05,0.02,0,1.13,NA
Mexico,135,0.23,-0.91,-0.37,-0.17,0.02,0.04,0.03,0.36,1.84,1.84,-1.23,-1.18,0.06,-0.18,-0.09,0,-0.21,2.59
Cook Islands,153,0.23,-0.12,-0.27,-0.13,-0,0.04,0.09,0.05,NA,NA,-0.22,-0.23,0,-1.15,4.33,9.81,-2.23,NA
Portugal,183,0.23,0.97,-0.09,-0.01,0.06,0,0,0.32,-1.92,-1.92,0,0.43,3.3,-0.03,-0.02,0,1.21,1.28
Guatemala,136,0.21,2.04,-0.23,-0.04,0.14,-0,0.02,-0.09,1.77,1.77,-0.29,-0.56,0.14,-0.42,-0.14,0.15,-0.67,-0.24
Falkland Islands,95,0.2,0.19,0.1,0.08,0.06,0,NA,-0.52,NA,NA,0.36,0.36,0,0.02,0.01,-0,1.28,NA
South Georgia and the South Sandwich Islands,89,0.2,NA,0.19,-0.53,-1.26,NA,NA,0.01,NA,NA,0.61,0.61,NA,0.53,0.26,0,0.63,NA
Sierra Leone,96,0.19,-0.06,-0.15,-0.31,-0.47,-0.09,-0.04,0.02,2.79,2.79,-0.13,-0.13,0,-0.25,-0.15,-0.04,-0.58,0.44
Tonga,155,0.19,4.16,-0.26,-0.13,-0,0,-0,0.35,3.22,3.22,-0.19,-0.2,-0.01,-0.71,-0.36,-0,-0.83,-4.28
Taiwan,14,0.18,1.49,-0.35,-0.32,-0.28,-0.01,-0,0.43,0.96,0.96,0.38,-0.69,-0.12,-0.69,-0.36,-0.03,0.07,NA
Senegal,66,0.18,-1.27,-0.13,-0.07,-0.01,0,0,0.13,3.21,3.21,-0.01,-0.04,0.01,-0.27,0.43,1.13,-0.4,-0.16
Iceland,143,0.18,0.15,-0.13,0.36,0.85,-0,0,-0.15,-1.77,-1.77,-0.05,-0.28,0.52,-0.15,0.05,0.26,-0.13,3.53
Lebanon,78,0.17,0.11,-0.51,-0.2,0.11,-0.07,-0,0.99,0.05,0.05,0.15,0.15,-0.04,0.42,0.24,0.07,1.57,-1.17
Bassas da India,34,0.16,NA,-0.15,0.47,1.09,-0,NA,0,NA,NA,-0.74,-0.74,NA,0.63,0.32,0,0.89,NA
Jan Mayen,144,0.16,NA,0.08,0.8,1.51,0,NA,-0,NA,NA,0,0,NA,0.3,0.15,0,0,NA
Wallis and Futuna,161,0.15,2.48,-0.27,-0.15,-0.02,0,NA,-0.03,NA,NA,-0.14,-0.14,0,-1.07,-0.53,0,-0.63,NA
Chile,224,0.15,1.97,0.14,0.09,0.04,0,0,-0.33,-0.88,-0.88,1.87,-0,0.72,-0,0.11,0.23,2.95,-2.37
Saint Helena,86,0.14,1.23,-0.1,-0.04,0.02,NA,0,-0.1,NA,NA,-0.09,-0.09,0,-0.3,-0.15,0,NA,NA
Bahamas,110,0.13,0.77,-0.46,-0.15,0.16,0.01,0.21,0.41,2.69,2.69,0.14,0.14,0,-0.45,0.2,0.85,-1.45,-1.48
Juan de Nova Island,33,0.13,NA,-0.18,0.3,0.78,-0,NA,-0,NA,NA,-0.74,-0.74,NA,0.63,0.32,0,0.89,NA
Andaman and Nicobar,26,0.12,0.52,-0.29,0.36,1.02,0.09,0.13,0.32,NA,NA,-0.08,-0.08,0,-0.7,-0.35,0,0,NA
Madeira,57,0.12,1.05,-0.19,0.35,0.88,NA,NA,0.22,NA,NA,-0.61,-0.61,0,0.05,0.02,0,-0.31,NA
Mauritania,64,0.12,-0.87,-0.22,-0.06,0.1,-0,0,0.2,1.83,1.83,-0.08,-0.08,0,-0.41,-0.17,0.07,-0.17,NA
Jersey,227,0.12,0.38,0.11,0.08,0.05,-0,0,-0.01,NA,NA,-0.32,-0.29,-0,-0.36,0.28,0.91,0.5,NA
Prince Edward Islands,90,0.12,NA,0.09,0.07,0.06,0,NA,-0.6,NA,NA,0.16,0.16,NA,0.76,1.07,1.38,0,NA
R_union,32,0.11,0.02,-0.19,0.17,0.52,-0,0,0.16,1.04,1.04,-0.11,-0.08,-0.2,-0.75,-0.38,0,-0,NA
Netherlands,177,0.11,0.85,0.1,0.43,0.76,-0,-0,-0.02,-0.12,-0.12,-0.05,-0.02,0,0,0,0,0.3,-0.34
Turks and Caicos Islands,111,0.1,-0.8,-0.26,0.02,0.31,0.04,0.13,-0.02,NA,NA,-0,-0,0,-0.48,-0.24,-0,NA,1.65
Guyana,167,0.1,1.46,-0.23,-0.03,0.17,0.01,0.04,0.1,1.33,1.33,0.06,-0.03,0,-0.76,-0.66,-0.57,-4.85,1.42
French Guiana,169,0.1,0.19,-0.23,-0.09,0.04,0,0,0.13,NA,NA,0.61,0.61,0,-0.53,-0.26,0,0.25,NA
Bonaire,245,0.1,-0.65,-0.28,-0.17,-0.05,-0,-0.03,-0,NA,NA,0.16,0.16,NA,-0.41,1.38,3.17,NA,NA
Gibraltar,60,0.09,0.96,-0.42,-0.26,-0.09,NA,NA,0.01,NA,NA,-0.16,-0.16,0,-0.15,-0.08,0,NA,NA
Guernsey,228,0.09,0.38,0.15,0.01,-0.13,-0,-0,0.01,NA,NA,-0.32,-0.32,NA,-0.36,0.13,0.61,0.5,NA
Turkey,76,0.08,-0.25,-0.53,-0.1,0.32,-0.07,-0.06,0.76,0.94,0.94,-0.36,-0.1,0.03,-0.02,-0.01,0,0.1,-0.41
Qatar,190,0.08,0,-0.71,-0.29,0.13,0,0,0.16,2.56,2.56,0.2,0.2,0,-0.71,-0.35,-0,NA,-1.54
Tunisia,61,0.07,-0.32,-0.47,-0.3,-0.13,0,-0,0.76,1,1,-0.18,-0.33,0.26,-0.01,-0.32,-0.63,2.46,-2.29
Amsterdam Island and Saint Paul Island,92,0.07,NA,0.08,0.4,0.71,NA,NA,0,NA,NA,-0.03,-0.03,NA,0.63,0.32,0,-0.32,NA
Ghana,106,0.06,-1.75,-0.18,-0.15,-0.13,-0.01,-0,0.01,2.99,2.99,-0.31,-0.31,0,-0.5,-0.28,-0.06,0.96,-0.9
Greenland,145,0.06,0.01,-0.17,-0.05,0.06,0.02,0,0.01,1.6,1.6,-0.04,-0.04,0,0.03,0.01,-0.01,-0.32,NA
Denmark,175,0.06,0.32,0.15,0.05,-0.05,-0,-0,-0.03,-0.74,-0.74,0.03,0.19,-0.37,-0.03,-0.01,0,0.15,0.7
Ile Europa,35,0.06,NA,-0.11,-0.06,0,-0,0,0,NA,NA,-0.74,-0.74,NA,0.63,0.32,0,0.89,NA
Poland,178,0.05,-0.23,0.38,0.26,0.13,0,0,0.36,3.98,3.98,-3.4,-3.4,0,-0.05,-0.02,0,0.02,-0.44
Croatia,187,0.05,-0.01,-0.5,-0.25,-0,-0,-0,-0.09,-2.82,-2.82,-0.16,2.1,3.45,0.16,1.24,2.31,-1.07,1.44
Madagascar,42,0.04,2.11,-0.16,0.26,0.67,0.17,0.19,-0.01,-0.6,-0.6,-0.15,-0.25,0,-0.41,1.41,3.24,-1.22,-1.71
Haiti,114,0.03,-0.69,-0.34,-0.12,0.1,0.12,0.27,0.06,0.14,0.14,-0.04,-0.04,0,-0.57,1.27,3.1,0.47,-1.19
Sint Eustatius,249,0.03,-0.5,-0.24,-0.14,-0.05,0,0,-0.02,NA,NA,0.05,0.05,0,-0.41,0.86,2.12,NA,NA
Aruba,250,0.03,-0.4,-0.3,-0.15,0,0,-0,0.13,2.03,2.03,0.06,0.06,NA,-0.55,-0.28,0,-0.62,-0.5
Anguilla,118,0.02,-0.58,-0.21,-0.08,0.04,-0,0,0.98,NA,NA,0.06,0.06,0,-0.49,-0.24,-0,NA,NA
Costa Rica,130,0.02,0.03,-0.26,-0.13,-0,-0.05,-0.06,0.62,1.92,1.92,-1.05,-1.15,-0.01,-0.57,-0.14,0.29,0.06,-0.92
Antigua and Barbuda,120,0.01,0,-0.21,-0.13,-0.04,-0.01,-0,-0.02,-0.91,-0.91,-0.01,-0.01,0,-0.59,0.37,1.34,2.07,-1.25
Iraq,192,0.01,0.91,-0.49,-0.12,0.25,-0.02,0.02,0.6,-0.98,-0.98,0.03,0.03,0,-0.69,-0.35,0,NA,NA
Northern Saint-Martin,221,0.01,-0.5,-0.57,-0.22,0.13,-0,0,1.08,NA,NA,-0,-0,0,-0.54,-0.27,0,NA,NA
Bahrain,52,-0,0.38,-0.48,-0.12,0.23,-0.04,-0.03,-0.17,1.05,1.05,0.2,0.2,0,-0.17,-0.08,0,1.2,-2.21
Jarvis Island,149,-0,NA,-0.33,0.57,1.46,-0,NA,0,NA,NA,-0.33,-0.33,NA,-1.07,-0.53,0,15.78,NA
Howland Island and Baker Island,158,0,NA,-0.28,0.52,1.32,-0,NA,-0,NA,NA,0.01,0.01,NA,-1.07,-0.53,0,-0.29,NA
Nauru,10,-0.01,1.34,-0.22,-0.87,-1.52,-0.02,NA,0.03,NA,NA,0.02,0.02,NA,-1.13,-0.57,0,0.03,NA
Tuvalu,19,-0.02,1.87,-0.3,-0.17,-0.04,-0,0,0.04,NA,NA,-0.04,-0.04,0,-0.9,-0.45,-0,0.01,-1.43
Somalia,44,-0.02,0.06,-0.26,-0.21,-0.15,0.02,0.1,0.12,NA,NA,-0.02,-0.02,0,-0.63,-0.31,-0,0.08,NA
Saudi Arabia,50,-0.02,-0.04,-0.36,-0.16,0.04,0,0,0.09,2.45,2.45,0.1,-1.4,0.63,-0.69,0.75,2.19,0.32,-2.27
Faeroe Islands,141,-0.02,-0.04,0.3,0.08,-0.13,-0,NA,0.01,NA,NA,-0.08,0.04,0.62,-0.2,-0.22,-0.24,-0.02,NA
Macquarie Island,4,-0.02,NA,0.18,0.42,0.67,0,NA,-0.05,NA,NA,0,0,NA,-0.52,-0.26,0,-0.22,NA
Norway,223,-0.03,-0.15,0.09,0.08,0.08,0.59,-0,-0.09,1.9,1.9,-0.12,-0.38,-0.05,-0.26,0.08,0.42,0.01,-2.35
Comoro Islands,28,-0.04,0.14,-0.15,0,0.15,0,0,-0.26,0.09,0.09,-0.68,-0.68,0,-0.31,0.25,0.81,0,2.5
Togo,98,-0.04,-0.45,-0.17,-0.09,-0.02,0,-0,0.01,-3.11,-3.11,-0.15,-0.15,0,-0.15,-0.08,0,-0.77,4.25
Democratic Republic of the Congo,199,-0.04,-1,-0.31,-0.25,-0.2,0.14,0.11,0.06,-1.34,-1.34,0.6,0.6,0,0.07,0.06,0.05,-2,3.22
Ile Tromelin,36,-0.04,NA,-0.21,-0.21,NA,-0,NA,-0,NA,NA,-0.43,-0.43,NA,0.63,0.32,0,-0,NA
Mozambique,41,-0.05,-0.05,-0.33,-0.14,0.04,-0.1,-0.13,0.08,1.3,1.3,-0.07,-0.06,-0,-0.38,-0.27,-0.15,0.04,-1.14
Kenya,43,-0.05,-3.13,-0.26,-0.12,0.03,0.11,0.13,0.05,0.35,0.35,0.19,0.18,0.01,-0.46,-0.18,0.09,4.19,-2.07
Eritrea,45,-0.05,0.11,-0.49,-0.17,0.15,-0.09,-0.01,-0.05,NA,NA,-0.01,-0.01,0,-0.56,-0.28,0,0.09,NA
South Africa,102,-0.05,-0.83,-0.12,-0.05,0.01,0,0,0,3.65,3.65,-0.48,-0.5,0.01,-0.45,0.77,1.99,-0.67,-2.85
Equatorial Guinea,104,-0.05,-1.04,-0.19,-0.16,-0.13,-0.06,-0.06,0.04,NA,NA,-0.08,-0.08,0,-0.51,0.12,0.74,0.86,NA
Saba,248,-0.05,-0.5,-0.25,-0.27,-0.29,-0,0,0.02,NA,NA,0.05,0.05,0,-0.41,0.34,1.09,NA,NA
Tokelau,156,-0.05,NA,-0.33,-0.16,0,-0,0,0.47,NA,NA,-0.06,-0.06,0,-1.09,-0.54,0,-0.07,NA
Guadeloupe and Martinique,140,-0.06,-0.39,-0.21,-0.12,-0.03,-0.01,0,0.76,-0.43,-0.43,-0.06,-0.08,0,-0.44,-0.22,0,NA,NA
Guinea Bissau,193,-0.06,-0.28,-0.19,-0.18,-0.17,-0.01,-0.01,0.12,NA,NA,-0.04,-0.04,0,-0.5,-0.19,0.12,-0.45,0.54
Kuwait,51,-0.07,-0.46,-0.55,-0.17,0.22,-0,-0,-0,2.46,2.46,0.02,0.02,-0,-0.24,0.11,0.47,NA,-2.59
Argentina,172,-0.07,0.65,-0.11,-0,0.1,0,-0,0.72,-0.09,-0.09,1.35,1.35,0,0.01,0.17,0.33,0.47,-3.99
Johnston Atoll,159,-0.07,NA,-0.25,0.45,1.15,-0,NA,-0,NA,NA,0.01,0.01,NA,-1.07,-0.53,0,-0.32,NA
Germany,176,-0.09,0.57,0.11,0.08,0.05,0,-0,0.05,-0.64,-0.64,0.12,1.16,3.66,-0.03,-0.02,0,0.6,-2.72
Morocco,62,-0.1,-0.74,-0.27,0.05,0.36,0,0.01,0.28,1.17,1.17,-0.07,-0.08,0.01,-0.22,-0.03,0.15,-0.42,-1.22
Iran,191,-0.1,0.12,-0.55,-0.25,0.05,-0.06,-0.03,-0.22,-0.32,-0.32,0.05,0.12,2.12,-0.61,-0.31,0,0.04,NA
Egypt,214,-0.1,-0.06,-0.46,-0.16,0.14,0,-0,0.39,-0.33,-0.33,-0.06,-0.68,-0.31,-0.46,-0.26,-0.05,1.24,-1.18
Belgium,59,-0.11,0.02,0.14,0.03,-0.07,-0,-0,0.04,0.24,0.24,-0.29,-0.29,0,0,0,0,0.68,-1.87
Tristan da Cunha,88,-0.11,-0.93,0.08,0.49,0.9,0,NA,-0.02,NA,NA,-0.03,-0.03,0,-0.3,-0.15,0,NA,NA
Montserrat,121,-0.11,-0.51,-0.33,-0.17,-0.01,-0,0,0.13,1.85,1.85,0.01,0.01,0,-0.4,-0.2,0,NA,NA
Maldives,39,-0.12,-1.24,-0.26,-0.05,0.17,0.03,0.06,2.65,-3.57,-3.57,-0.6,-0.6,0,-0.89,-0.21,0.46,0.3,0.45
Palmyra Atoll,150,-0.13,NA,-0.29,-0.19,-0.1,-0,NA,0,NA,NA,0.07,0.07,NA,-1.07,-0.53,0,-0.29,NA
Indonesia,216,-0.14,-1.01,-0.24,0.34,0.91,0.01,0.01,0.91,-2.25,-2.25,0,0.25,0.2,-0.51,0.07,0.64,3.44,-3.12
Uruguay,173,-0.15,-2.14,-0.21,-0.14,-0.08,-0,-0,0.28,-0.64,-0.64,1.22,1.22,0,-0.15,0.51,1.17,0.27,-0.82
Montenegro,186,-0.15,-2.54,-0.51,-0.25,0.01,0,0,0.38,1.11,1.11,0.41,0.2,0,-0.03,-0.02,0,-1.84,1.3
Cayman Islands,113,-0.16,0,-0.19,-0.05,0.09,0.01,0.02,-0.06,1.26,1.26,-0.36,-0.36,0,-0.65,-0.33,-0,0.24,-2.34
Tanzania,202,-0.16,0.05,-0.27,-0.12,0.02,0.03,0.06,-0.11,-1.15,-1.15,-0.14,-0.46,-0.05,-0.53,-0.23,0.06,-1.33,1.65
Sri Lanka,40,-0.17,0.04,-0.32,-0.02,0.28,0.13,0.12,0.41,0.45,0.45,-0.08,-0.18,0.13,-0.44,0.76,1.96,-3.3,-0.08
Liberia,97,-0.17,0.23,-0.18,-0.21,-0.24,-0.14,-0.06,-0.05,NA,NA,0.04,0.04,0,-0.52,-0.25,0.02,-0.95,NA
China,209,-0.17,0.71,-0.35,-0.14,0.07,0.03,0.07,0.94,-0.1,-0.1,0.1,0.21,-0.05,-0.34,-0.16,0.03,2.74,-5.99
Wake Island,12,-0.17,NA,-0.25,-0.25,NA,-0,NA,0.01,NA,NA,0.07,0.07,NA,-1.07,-0.53,0,-0.32,NA
British Indian Ocean Territory,38,-0.17,NA,-0.25,-0.13,-0.02,-0,0,0.02,NA,NA,-0.08,-0.08,0,-0.96,-0.48,0,NA,NA
Azores,55,-0.18,0.75,-0.13,-0.02,0.08,0,NA,0.17,NA,NA,-0.4,-0.4,0,0.05,-0.21,-0.46,-1.57,NA
Republique du Congo,100,-0.2,-2.19,-0.09,-0.15,-0.2,0,0,0.31,3.53,3.53,-0.37,-0.37,0,0.06,0.5,0.93,-2.18,-1.47
Suriname,168,-0.2,0.31,-0.28,-0.02,0.25,-0.24,-0.13,0.36,-3.46,-3.46,0.02,0.03,0,-0.56,-0.28,0,2.23,-0.84
Angola,200,-0.2,-0.95,-0.12,0.32,0.76,-0.03,0.01,-0.37,2.18,2.18,-0.17,-0.17,0,-0.09,-0.03,0.03,-0.88,-2.1
Spain,182,-0.21,0.28,-0.21,-0.07,0.06,0,0,-0.11,-2.46,-2.46,-0.1,-0.12,-0.05,-0.1,0.04,0.18,1.72,-1.42
Malta,68,-0.22,1.46,-0.44,-0.35,-0.26,0,0,-0.04,-2.93,-2.93,0.49,0.11,-0.09,-0,0.21,0.43,-0.58,-0.04
Puerto Rico and Virgin Islands of the United States,116,-0.22,-0.3,-0.23,-0.14,-0.06,-0,0,-0.1,-0.15,-0.15,0.01,0.01,-0,-0.42,-0.21,-0,40.35,-1.16
Brazil,171,-0.25,-0.09,-0.23,-0.07,0.09,0.02,-0,0.21,1.81,1.81,0.08,-0.34,0,-0.25,-0.12,0.01,-0.01,-3.9
Kerguelen Islands,93,-0.25,NA,0.21,0.3,0.4,NA,NA,0.01,NA,NA,-0.06,-0.06,NA,0.63,0.32,0,-1.82,NA
Myanmar,205,-0.26,-0.39,-0.46,-0.13,0.21,0.17,0.19,0.11,-2.43,-2.43,-0.02,-0.04,-0.02,-0.62,-0.17,0.28,0.01,0.07
Vietnam,207,-0.26,-2.18,-0.33,0.39,1.11,-0.02,-0.02,0.86,0.52,0.52,-0.12,-0.21,0.85,-0.67,-0.33,0.02,-0.46,-1.18
Heard and McDonald Islands,94,-0.26,NA,0.21,0.75,1.29,NA,NA,0,NA,NA,-1.16,-1.16,NA,0.84,0.42,0,-1.3,NA
Northern Mariana Islands and Guam,13,-0.27,2.26,-0.2,0.31,0.82,-0,0,0.02,NA,NA,0.14,0.33,-0.02,-0.84,-0.56,-0.28,-0.29,-4.55
Panama,129,-0.27,-0.12,-0.36,-0.17,0.01,-0.03,-0.01,0.19,-0.13,-0.13,0.13,-0.27,0,-0.5,-0.21,0.08,0.22,-2.2
Phoenix Islands (Kiribati),157,-0.27,0.02,-0.32,-0.21,-0.1,-0,NA,0.16,NA,NA,-0.02,-0.02,0,-0.98,-0.49,0,-1.36,NA
