"layer name","layer","directory","file name","targets","notes","prep status"
"Habitat presence/absence","element_wts_hab_pres_abs","ohiprep:globalprep/weighting_files/v2017","hab_habitat_presence.csv"," weighting",NA,NA
"B/Bmsy estimates","fis_b_bmsy","ohiprep:globalprep/fis/v2021/output","fis_bbmsy.csv","FIS",NA,NA
"Fishery catch data","fis_meancatch","ohiprep:globalprep/fis/v2021/output","mean_catch_minus_feed.csv","FIS",NA,NA
"High bycatch due to artisanal fishing","fp_art_hb","ohiprep:globalprep/prs_fish/v2020/output","art_hb.csv","AO pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureNP pressureSPP pressure",NA,NA
"Low bycatch due to artisanal fishing","fp_art_lb","ohiprep:globalprep/prs_fish/v2020/output","art_lb.csv","ECO pressureFIS pressureHAB pressureLIV pressureNP pressureSPP pressure",NA,NA
"High bycatch due to commercial fishing","fp_com_hb","ohiprep:globalprep/prs_fish/v2020/output","comm_hb.csv","AO pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureSPP pressure",NA,NA
"Low bycatch due to commercial fishing","fp_com_lb","ohiprep:globalprep/prs_fish/v2020/output","comm_lb.csv","AO pressureECO pressureFIS pressureHAB pressureLIV pressureNP pressureSPP pressure",NA,NA
"Management of habitat to protect fisheries biodiversity ","fp_habitat","ohiprep:globalprep/res_cbd_habitat/v2014/data","r_habitat_2013a.csv","AO resilienceFIS resilienceHAB resilienceICO resilienceNP resilienceSPP resilience",NA,NA
"Fisheries management index","fp_fish_management","ohiprep:globalprep/res_fmi/v2019/output","fmi_res.csv","AO resilienceFIS resilienceHAB resilienceICO resilienceNP resilienceSPP resilience",NA,NA
"Artisanal fisheries management effectiveness","fp_artisanal","ohiprep:globalprep/ao/v2021/output","sdg_14_b_1_ao.csv","FIS resilienceHAB resilienceICO resilienceNP resilienceSPP resilience",NA,NA
"Coastal protected marine areas (fishing preservation)","fp_mpa_coast","ohiprep:globalprep/lsp/v2021/output","mpa_3nm_resilience.csv","AO resilienceHAB resilienceNP resilience",NA,NA
"EEZ protected marine areas (fishing preservation)","fp_mpa_eez","ohiprep:globalprep/lsp/v2021/output","mpa_eez_resilience.csv","FIS resilienceHAB resilienceICO resilienceNP resilienceSPP resilience",NA,NA
"Targeted harvest of cetaceans and marine turtles","fp_targetharvest","ohiprep:globalprep/prs_targetedharvest/v2021/output","fao_targeted.csv","ICO pressureSPP pressure",NA,NA
"Food provision weights","fp_wildcaught_weight","ohiprep:globalprep/fp/v2021/output","wildcaught_weight.csv","FP",NA,NA
"CITES signatories","g_cites","ohiprep:globalprep/res_cites_signatories/v2017/output","cites.csv","ICO resilienceNP resilienceSPP resilience",NA,NA
"Management of tourism to preserve biodiversity","g_tourism","ohiprep:globalprep/res_cbd_habitat/v2014/data","r_tourism_2013a.csv","HAB resilienceSPP resilience",NA,NA
"Habitat extent of coral","hab_coral_extent","ohiprep:globalprep/hab_coral/v2021/data","habitat_extent_coral_updated.csv","CP",NA,NA
"Habitat condition of coral","hab_coral_health","ohiprep:globalprep/hab_coral/v2021/data","habitat_health_coral_updated.csv","CPHAB",NA,NA
"Habitat condition trend of coral","hab_coral_trend","ohiprep:globalprep/hab_coral/v2021/data","habitat_trend_coral_updated.csv","CPHAB",NA,NA
"Habitat extent of mangrove","hab_mangrove_extent","ohiprep:globalprep/hab_mangrove/v2021/data","habitat_extent_mangrove_updated.csv","CSCP",NA,NA
"Habitat condition of mangrove","hab_mangrove_health","ohiprep:globalprep/hab_mangrove/v2021/data","habitat_health_mangrove_updated.csv","CSHABCP",NA,NA
"Habitat condition trend of mangrove","hab_mangrove_trend","ohiprep:globalprep/hab_mangrove/v2021/data","habitat_trend_mangrove_updated.csv","CSHABCP",NA,NA
"Habitat extent of rocky reef","hab_rockyreef_extent","ohiprep:globalprep/hab_rockyreef/v2012/data","habitat_extent_rocky_reef_updated.csv","NP",NA,NA
"Habitat extent of saltmarsh","hab_saltmarsh_extent","ohiprep:globalprep/hab_saltmarsh/v2021/data","habitat_extent_saltmarsh_updated.csv","CSCP",NA,NA
"Habitat condition of saltmarsh","hab_saltmarsh_health","ohiprep:globalprep/hab_saltmarsh/v2021/data","habitat_health_saltmarsh_updated.csv","CSHABCP",NA,NA
"Habitat condition trend of saltmarsh","hab_saltmarsh_trend","ohiprep:globalprep/hab_saltmarsh/v2021/data","habitat_trend_saltmarsh_updated.csv","CSHABCP",NA,NA
"Habitat extent of kelp","hab_kelp_extent","ohiprep:globalprep/hab_kelp/v2021/data","habitat_extent_kelp.csv","CP",NA,NA
"Habitat condition of kelp","hab_kelp_health","ohiprep:globalprep/hab_kelp/v2021/data","habitat_health_kelp.csv","HABCP",NA,NA
"Habitat condition trend of kelp","hab_kelp_trend","ohiprep:globalprep/hab_kelp/v2021/data","habitat_trend_kelp.csv","HABCP",NA,NA
"Habitat extent of seagrass","hab_seagrass_extent","ohiprep:globalprep/hab_seagrass/v2021/data","habitat_extent_seagrass_updated.csv","CSCP",NA,NA
"Habitat condition of seagrass","hab_seagrass_health","ohiprep:globalprep/hab_seagrass/v2021/data","habitat_health_seagrass_updated.csv","CSHABCP",NA,NA
"Habitat condition trend of seagrass","hab_seagrass_trend","ohiprep:globalprep/hab_seagrass/v2021/data","habitat_trend_seagrass_updated.csv","CSHABCP",NA,NA
"Habitat extent of seaice","hab_seaice_extent","ohiprep:globalprep/hab_seaice/v2021/output","hab_ice_extent_eez.csv","CP",NA,NA
"Habitat condition of seaice","hab_seaice_health","ohiprep:globalprep/hab_seaice/v2021/output","hab_ice_health_eez.csv","CPHAB",NA,NA
"Habitat condition trend of seaice","hab_seaice_trend","ohiprep:globalprep/hab_seaice/v2021/output","hab_ice_trend_eez.csv","CPHAB",NA,NA
"Habitat extent of softbottom","hab_softbottom_extent","ohiprep:globalprep/hab_prs_hd_subtidal_soft_bottom/v2016/output","habitat_extent_softbottom_updated.csv",NA,NA,NA
"Habitat condition of softbottom","hab_softbottom_health","ohiprep:globalprep/hab_prs_hd_subtidal_soft_bottom/v2020/output","habitat_health_softbottom.csv","HAB",NA,NA
"Habitat condition trend of softbottom","hab_softbottom_trend","ohiprep:globalprep/hab_prs_hd_subtidal_soft_bottom/v2020/output","habitat_trend_softbottom.csv","HAB",NA,NA
"Management of habitat to protect habitat biodiversity","hd_habitat","ohiprep:globalprep/res_cbd_habitat/v2014/data","r_habitat_2013a.csv","AO resilienceCP resilienceCS resilienceFIS resilienceHAB resilienceICO resilienceLSP resilienceNP resilienceSPP resilience",NA,NA
"Intertidal habitat destruction","hd_intertidal","ohiprep:globalprep/mar_prs_population/v2020/output","prs_pop_density.csv","AO pressureCP pressureCS pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureLSP pressureNP pressureSPP pressure",NA,NA
"Coastal protected marine areas (habitat preservation)","hd_mpa_coast","ohiprep:globalprep/lsp/v2021/output","mpa_3nm_resilience.csv","AO resilienceCP resilienceCS resilienceHAB resilienceNP resilience",NA,NA
"EEZ protected marine areas (habitat preservation)","hd_mpa_eez","ohiprep:globalprep/lsp/v2021/output","mpa_eez_resilience.csv","FIS resilienceHAB resilienceICO resilienceNP resilienceSPP resilience",NA,NA
"Subtidal hardbottom habitat destruction","hd_subtidal_hb","ohiprep:globalprep/np_prs_poison_blast_fishing/v2013/data","gl_thr_blast_3nm_rgn2013.csv","AO pressureCP pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureLSP pressureNP pressureSPP pressure",NA,NA
"Subtidal soft bottom habitat destruction","hd_subtidal_sb","ohiprep:globalprep/hab_prs_hd_subtidal_soft_bottom/v2020/output","hd_sb_subtidal.csv","AO pressureECO pressureFIS pressureHAB pressureLIV pressureNP pressureSPP pressure",NA,NA
"Coral harvest pressure","hd_coral","ohiprep:globalprep/prs_coral_harvest/v2021/output","prs_coral_harvest.csv","HAB pressureCP pressure",NA,NA
"IUCN extinction risk","ico_spp_iucn_status","ohiprep:globalprep/ico/v2021/output","ico_spp_iucn_status.csv","ICO",NA,NA
"Sectors in each region","le_sector_weight","ohiprep:globalprep/le/v2015/data","le_sector_weight.csv","ECOLIV",NA,NA
"Global Competitiveness Index (GCI)","li_gci","ohiprep:globalprep/res_gci/v2018/output","gci_res.csv","ECO resilienceLIV resilience",NA,NA
"Economic diversity","li_sector_evenness","ohiprep:globalprep/res_li_sector_evenness/v2013","r_li_sector_evenness_2013a.csv","LIV resilience",NA,NA
"Livelihood status scores","liv_status","ohiprep:globalprep/le/v2018/output","liv_status.csv","LIV",NA,NA
"Livelihood trend scores","liv_trend","ohiprep:globalprep/le/v2018/output","liv_trend.csv","LIV",NA,NA
"Inland coastal protected areas","lsp_prot_area_inland1km","ohiprep:globalprep/lsp/v2021/output","lsp_prot_area_inland1km.csv","LSP",NA,NA
"Offshore coastal protected areas","lsp_prot_area_offshore3nm","ohiprep:globalprep/lsp/v2021/output","lsp_prot_area_offshore3nm.csv","LSP",NA,NA
"Mariculture harvest","mar_harvest_tonnes","ohiprep:globalprep/mar/v2021/output","mar_harvest_tonnes.csv","MAR",NA,NA
"Mariculture sustainability score","mar_sustainability_score","ohiprep:globalprep/mar/v2021/output","mar_sustainability.csv","MAR",NA,NA
"Potential tonnes of mariculture harvest","mar_capacity","ohiprep:globalprep/mar/v2019/output","aq_potential_final.csv","MAR",NA,NA
"Seaweed mariculture sustainability score","np_seaweed_sust","ohiprep:globalprep/np/v2021/output","np_seaweed_sust.csv","NP",NA,NA
"Fish oil and fish meal score","np_fofm_scores","ohiprep:globalprep/np/v2021/output","np_fofm_scores.csv","NP",NA,NA
"Risk of harvest practices for ornamental fish","np_risk_orn","ohiprep:globalprep/np/v2021/output","np_risk_ornamentals.csv","NP",NA,NA
"Exposure of ornamental fishing to coral and rocky reef habitats","np_exposure_orn","ohiprep:globalprep/np/v2021/output","np_exposure_ornamentals.csv","NP",NA,NA
"Relative natural product harvest value","np_harvest_product_weight","ohiprep:globalprep/np/v2021/output","np_product_weights.csv","NP",NA,NA
"Seaweed natural product harvest","np_seaweed_tonnes","ohiprep:globalprep/np/v2021/output","np_seaweed_harvest_tonnes.csv","NP",NA,NA
"Relative ornamental natural product harvest tonnes","np_orn_tonnes_relative","ohiprep:globalprep/np/v2021/output","np_ornamentals_harvest_tonnes_rel.csv","NP",NA,NA
"Chemical pollution","po_chemicals","ohiprep:globalprep/prs_chem/v2016/output","cw_chemical_score_updated.csv","ECO pressureFIS pressureLIV pressureMAR pressureNP pressureSPP pressure",NA,NA
"Coastal chemical pollution","po_chemicals_3nm","ohiprep:globalprep/prs_chem/v2016/output","cw_chemical_score_3nm_updated.csv","CWAO pressureCP pressureCS pressureCW pressureHAB pressureICO pressureLSP pressureTR pressure",NA,NA
"Nutrient pollution","po_nutrients","ohiprep:globalprep/prs_land-based_nutrient/v2021/output","cw_fertilizers_score_updated.csv","ECO pressureFIS pressureLIV pressureNP pressureSPP pressure",NA,NA
"Coastal nutrient pollution","po_nutrients_3nm","ohiprep:globalprep/prs_land-based_nutrient/v2021/output","cw_fertilizers_score_3nm_updated.csv","CWAO pressureCP pressureCS pressureCW pressureECO pressureHAB pressureICO pressureLIV pressureLSP pressureMAR pressureTR pressure",NA,NA
"Pathogen pollution","po_pathogens","ohiprep:globalprep/prs_cw_pathogen/v2021/output","po_pathogen_popdensity25mi.csv","CWCW pressureECO pressureLIV pressureTR pressure",NA,NA
"Marine plastics","po_trash","ohiprep:globalprep/cw_pressure_trash/v2015/output","trash_eez_2015_updated.csv","CWCW pressureECO pressureICO pressureLIV pressureLSP pressureSPP pressureTR pressure",NA,NA
"Management of waters to preserve biodiversity","po_water","ohiprep:globalprep/res_cbd_habitat/v2014/data","r_water_2013a.csv","CP resilienceCS resilienceCW resilienceHAB resilienceICO resilienceLSP resilienceMAR resilienceNP resilienceSPP resilienceTR resilience",NA,NA
"Social Progress Index","res_spi","ohiprep:globalprep/prs_res_spi/v2021/output","spi_res.csv","AO resilienceCP resilienceCS resilienceCW resilienceECO resilienceFIS resilienceHAB resilienceICO resilienceLIV resilienceLSP resilienceMAR resilienceNP resilienceSPP resilienceTR resilience",NA,NA
"Region areas based on EEZ boundaries","rgn_area","ohiprep:globalprep/spatial/v2017/output","rgn_area.csv"," spatial",NA,NA
"Inland 1km area","rgn_area_inland1km","ohiprep:globalprep/lsp/v2021/output","rgn_area_inland1km.csv","LSP",NA,NA
"Offshore 3nm area","rgn_area_offshore3nm","ohiprep:globalprep/lsp/v2021/output","rgn_area_offshore3nm.csv","LSP",NA,NA
"OHI region id","rgn_global","ohiprep:globalprep/spatial/v2017/output","rgn_global.csv"," spatial",NA,NA
"Regions","rgn_labels","ohiprep:globalprep/spatial/v2017/output","rgn_labels.csv"," spatial",NA,NA
"Nonindigenous species","sp_alien","ohiprep:globalprep/prs_alien/v2013/data","p_sp_alien_2013a.csv","AO pressureCP pressureCS pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureLSP pressureNP pressureSPP pressure",NA,NA
"Management of nonindigenous species","sp_alien_species","ohiprep:globalprep/res_cbd_habitat/v2014/data","r_alien_species_Nature2012disaggregated.csv",NA,NA,NA
"Genetic escapes","sp_genetic","ohiprep:globalprep/mar/v2021/output","GenEsc.csv","ECO pressureFIS pressureLIV pressureSPP pressure",NA,NA
"Measure of coastal ecological integrity","species_diversity_3nm","ohiprep:globalprep/spp/v2021/output","sp_status_3nm.csv","AO resilienceHAB resilienceNP resilience",NA,NA
"Measure of ecological integrity","species_diversity_eez","ohiprep:globalprep/spp/v2021/output","sp_status_global.csv","FIS resilienceHAB resilienceICO resilienceNP resilience",NA,NA
"Average species condition","spp_status","ohiprep:globalprep/spp/v2021/output","sp_status_global.csv","SPP",NA,NA
"Average species condition trend","spp_trend","ohiprep:globalprep/spp/v2021/output","sp_trend_global.csv","SPP",NA,NA
"Weakness of social progress","ss_spi","ohiprep:globalprep/prs_res_spi/v2021/output","spi_prs.csv","AO pressureCP pressureCS pressureCW pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureLSP pressureMAR pressureNP pressureSPP pressureTR pressure",NA,NA
"Weakness of governance","ss_wgi","ohiprep:globalprep/prs_res_wgi/v2021/output","wgi_prs.csv","AO pressureCP pressureCS pressureCW pressureECO pressureFIS pressureHAB pressureICO pressureLIV pressureLSP pressureMAR pressureNP pressureSPP pressureTR pressure",NA,NA
"Percent direct employment in tourism","tr_jobs_pct_tourism","ohiprep:globalprep/tr/v2020/output","tr_jobs_pct_tourism.csv","TR",NA,NA
"Tourism sustainability index","tr_sustainability","ohiprep:globalprep/tr/v2020/output","tr_sustainability.csv","TR",NA,NA
"Uninhabited regions","uninhabited","ohiprep:globalprep/supplementary_information/v2018","rgn_uninhabited_islands.csv"," spatial",NA,NA
"Strength of governance","wgi_all","ohiprep:globalprep/prs_res_wgi/v2021/output","wgi_res.csv","AO resilienceCP resilienceCS resilienceCW resilienceECO resilienceFIS resilienceHAB resilienceICO resilienceLIV resilienceLSP resilienceMAR resilienceNP resilienceSPP resilienceTR resilience",NA,NA
