layer,dir,fn,ingest,name_data_fld,name,units,description
fp_mpa_coast,ohiprep:globalprep/lsp/v2021/output,mpa_3nm_resilience.csv,TRUE,resilience.score,Coastal protected marine areas (fishing preservation),scaled 0-1,Protected marine areas within 3nm of coastline (lasting special places goal status score)
fp_mpa_eez,ohiprep:globalprep/lsp/v2021/output,mpa_eez_resilience.csv,TRUE,resilience.score,EEZ protected marine areas (fishing preservation),scaled 0-1,Protected marine areas within EEZ (lasting special places calculation applied to the entire EEZ)
fp_targetharvest,ohiprep:globalprep/prs_targetedharvest/v2020/output,fao_targeted.csv,TRUE,pressure_score,Targeted harvest of cetaceans and marine turtles,scaled 0-1,Targeted harvest of cetaceans and marine turtles
fp_wildcaught_weight,ohiprep:globalprep/fp/v2020/output,wildcaught_weight.csv,TRUE,w_fis,Food provision weights,proportion,"Proportion of wild caught fisheries relative to total food production (e.g., fisheries and mariculture)"
g_cites,ohiprep:globalprep/res_cites_signatories/v2017/output,cites.csv,TRUE,resilience_score,CITES signatories,0 or 1,Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES) signatories
g_mariculture,ohiprep:globalprep/res_cbd_habitat/v2014/data,r_mariculture_2013a.csv,TRUE,resilience score,Management of mariculture  to preserve biodiversity,scaled 0-1,Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report: mariculture related questions
g_msi_gov,ohiprep:/globalprep/res_mariculture_sustainability/v2013,r_msi_gov_2013a.csv,TRUE,resilience score,Mariculture Sustainability Index,scaled 0-1,Mariculture practice assessment criteria from the Mariculture Sustainability Index (MSI)
g_tourism,ohiprep:globalprep/res_cbd_habitat/v2014/data,r_tourism_2013a.csv,TRUE,resilience score,Management of tourism to preserve biodiversity,scaled 0-1,Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report: tourism related questions
hab_coral_extent,ohiprep:globalprep/hab_coral/v2020/data,habitat_extent_coral_updated.csv,TRUE,km2,Habitat extent of coral,km2,Area of coral habitat
hab_coral_health,ohiprep:globalprep/hab_coral/v2012/data,habitat_health_coral_updated.csv,TRUE,health,Habitat condition of coral,proportion,Current condition of coral habitat relative to historical condition
hab_coral_trend,ohiprep:globalprep/hab_coral/v2012/data,habitat_trend_coral_updated.csv,TRUE,trend,Habitat condition trend of coral,trend,Estimated trend in coral condition
hab_mangrove_extent,ohiprep:globalprep/hab_mangrove/v2021/data,habitat_extent_mangrove_updated.csv,TRUE,km2,Habitat extent of mangrove,km2,Area of mangrove habitat
hab_mangrove_health,ohiprep:globalprep/hab_mangrove/v2021/data,habitat_health_mangrove_updated.csv,TRUE,health,Habitat condition of mangrove,proportion,Current condition of mangrove habitat relative to historical condition
hab_mangrove_trend,ohiprep:globalprep/hab_mangrove/v2021/data,habitat_trend_mangrove_updated.csv,TRUE,trend,Habitat condition trend of mangrove,trend,Estimated trend in mangrove condition
hab_rockyreef_extent,ohiprep:globalprep/hab_rockyreef/v2012/data,habitat_extent_rocky_reef_updated.csv,TRUE,km2,Habitat extent of rocky reef,km2,Area of rocky reef habitat
hab_saltmarsh_extent,ohiprep:globalprep/hab_saltmarsh/v2012/data,habitat_extent_saltmarsh_updated.csv,TRUE,km2,Habitat extent of saltmarsh,km2,Area of saltmarsh habitat
hab_saltmarsh_health,ohiprep:globalprep/hab_saltmarsh/v2012/data,habitat_health_saltmarsh_updated.csv,TRUE,health,Habitat condition of saltmarsh,proportion,Current condition of saltmarsh habitat relative to historical condition
hab_saltmarsh_trend,ohiprep:globalprep/hab_saltmarsh/v2012/data,habitat_trend_saltmarsh_updated.csv,TRUE,trend,Habitat condition trend of saltmarsh,trend,Estimated trend in saltmarsh condition
hab_seagrass_extent,ohiprep:globalprep/hab_seagrass/v2021/data,habitat_extent_seagrass_updated.csv,TRUE,km2,Habitat extent of seagrass,km2,Area of seagrass habitat
hab_seagrass_health,ohiprep:globalprep/hab_seagrass/v2021/data,habitat_health_seagrass_updated.csv,TRUE,health,Habitat condition of seagrass,proportion,Current condition of seagrass habitat relative to historical condition
hab_seagrass_trend,ohiprep:globalprep/hab_seagrass/v2021/data,habitat_trend_seagrass_updated.csv,TRUE,trend,Habitat condition trend of seagrass,trend,Estimated trend in seagrass condition
hab_seaice_extent,ohiprep:globalprep/hab_seaice/v2021/output,hab_ice_extent_eez.csv,TRUE,km2,Habitat extent of seaice,km2,Area of seaice (edge and shoreline) habitat
hab_seaice_health,ohiprep:globalprep/hab_seaice/v2021/output,hab_ice_health_eez.csv,TRUE,health,Habitat condition of seaice,proportion,Current condition of seaice habitat relative to historical condition
hab_seaice_trend,ohiprep:globalprep/hab_seaice/v2021/output,hab_ice_trend_eez.csv,TRUE,trend,Habitat condition trend of seaice,trend,Estimated trend in seaice condition
hab_softbottom_extent,ohiprep:globalprep/hab_prs_hd_subtidal_soft_bottom/v2016/output,habitat_extent_softbottom_updated.csv,TRUE,km2,Habitat extent of softbottom,km2,Area of softbottom habitat
hab_softbottom_health,ohiprep:globalprep/hab_prs_hd_subtidal_soft_bottom/v2020/output,habitat_health_softbottom.csv,TRUE,health,Habitat condition of softbottom,proportion,"Current condition of softbottom habitat, based on demersal destructive fishing practices (e.g., trawling) "
hab_softbottom_trend,ohiprep:globalprep/hab_prs_hd_subtidal_soft_bottom/v2020/output,habitat_trend_softbottom.csv,TRUE,trend,Habitat condition trend of softbottom,trend,"Estimated change in softbottom condition, based on trends in demersal destructive fishing practices (e.g., trawling)"
hd_habitat,ohiprep:globalprep/res_cbd_habitat/v2014/data,r_habitat_2013a.csv,TRUE,resilience score,Management of habitat to protect habitat biodiversity,scaled 0-1,Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report: habitat related questions
hd_intertidal,ohiprep:globalprep/mar_prs_population/v2020/output,prs_pop_density.csv,TRUE,pressure_score,Intertidal habitat destruction,scaled 0-1,Coastal population density (25 mi from shore)  as a proxy for intertidal habitat destruction
hd_mpa_coast,ohiprep:globalprep/lsp/v2021/output,mpa_3nm_resilience.csv,TRUE,resilience.score,Coastal protected marine areas (habitat preservation),scaled 0-1,Protected marine areas within 3nm of coastline (lasting special places goal status score)
hd_mpa_eez,ohiprep:globalprep/lsp/v2021/output,mpa_eez_resilience.csv,TRUE,resilience.score,EEZ protected marine areas (habitat preservation),scaled 0-1,Protected marine areas within EEZ (lasting special places calculation applied to the entire EEZ)
hd_subtidal_hb,ohiprep:globalprep/np_prs_poison_blast_fishing/v2013/data,gl_thr_blast_3nm_rgn2013.csv,TRUE,score,Subtidal hardbottom habitat destruction,scaled 0-1,Presence of blast fishing as an estimate of subtidal hard bottom habitat destruction
hd_subtidal_sb,ohiprep:globalprep/hab_prs_hd_subtidal_soft_bottom/v2020/output,hd_sb_subtidal.csv,TRUE,pressure_score,Subtidal soft bottom habitat destruction,scaled 0-1,"Pressure on soft-bottom habitats due to demersal destructive commercial fishing practices (e.g., trawling)"
hd_coral,ohiprep:globalprep/prs_coral_harvest/v2020/output,prs_coral_harvest.csv,TRUE,pressure_score,Coral harvest pressure,scaled 0-1,Pressure on coral due to harvesting as a natural product
ico_spp_iucn_status,ohiprep:globalprep/ico/v2021/output,ico_spp_iucn_status.csv,TRUE,category,IUCN extinction risk,IUCN risk category,IUCN extinction risk category for iconic species located within each region
le_sector_weight,ohiprep:globalprep/le/v2015/data,le_sector_weight.csv,TRUE,weight,Sectors in each region,value,Proportion of jobs within each marine sector
li_gci,ohiprep:globalprep/res_gci/v2018/output,gci_res.csv,TRUE,resilience_score,Global Competitiveness Index (GCI),scaled 0-1,Competitiveness in achieving sustained economic prosperity
li_sector_evenness,ohiprep:globalprep/res_li_sector_evenness/v2013,r_li_sector_evenness_2013a.csv,TRUE,resilience score,Economic diversity,scaled 0-1,Sector evenness based on Shannon's Diversity Index calculated on the proportion of jobs in each sector as a measure of economic diversity
liv_status,ohiprep:globalprep/le/v2018/output,liv_status.csv,TRUE,status,Livelihood status scores,status 0-100,Calculated using adjusted job and wage data in several marine sectors  (data not updated since 2013)
liv_trend,ohiprep:globalprep/le/v2018/output,liv_trend.csv,TRUE,trend,Livelihood trend scores,trend -1 to 1,Calculated using change in adjusted job and wage data in several marine sectors  (data not updated since 2013)
lsp_prot_area_inland1km,ohiprep:globalprep/lsp/v2021/output,lsp_prot_area_inland1km.csv,TRUE,a_prot_1km,Inland coastal protected areas,km2,Protected areas located 1 km inland
lsp_prot_area_offshore3nm,ohiprep:globalprep/lsp/v2021/output,lsp_prot_area_offshore3nm.csv,TRUE,a_prot_3nm,Offshore coastal protected areas,km2,Protected areas located 3nm offshore
mar_harvest_tonnes,ohiprep:globalprep/mar/v2021/output,mar_harvest_tonnes.csv,TRUE,tonnes,Mariculture harvest,tonnes,Tonnes of mariculture harvest
mar_sustainability_score,ohiprep:globalprep/mar/v2021/output,mar_sustainability.csv,TRUE,sust_coeff,Mariculture sustainability score,scaled 0-1,Mariculture sustainability based on the Monterey Bay Aquarium Seafood Watch Aquaculture Recommendations. 
mar_capacity,ohiprep:globalprep/mar/v2019/output,aq_potential_final.csv,TRUE,potential_mar_tonnes,Potential tonnes of mariculture harvest,tonnes,Tonnes of mariculture harvest potential for each region based on biological variables and growth performance indices. Taken from Gentry et al. 2017 and adopted for the OHI. 
np_seaweed_sust,ohiprep:globalprep/np/v2021/output,np_seaweed_sust.csv,TRUE,sust_coeff,Seaweed mariculture sustainability score,scaled 0-1,Seaweed mariculture sustainability based on the Mariculture Sustainability Index (MSI)
np_fofm_scores,ohiprep:globalprep/np/v2020/output,np_fofm_scores.csv,TRUE,score,Fish oil and fish meal score,scaled 0-1,Score based on the amount of sustainably and unsustainably caught forage fish used for fish oil and fish meal. Penalties are assigned for both under harvest and over harvested based on B/Bmsy estimates. 
np_risk_orn,ohiprep:globalprep/np/v2021/output,np_risk_ornamentals.csv,TRUE,risk,Risk of harvest practices for ornamental fish,scaled 0-1,"Based on whether ornamental fishing has unsustainable harvest practices (i.e., the intensity of cyanide fishing for ornamental fish, and any harvest of corals since they are CITES protected species). Risk for ornamental fish was set based on assessments of cyanide or dynamite fishing by Reefs at Risk Revisited (www.wri.org/publication/reefs-at-risk-revisited) under the assumption that most ornamental fishes are harvested from coral reefs. "
np_exposure_orn,ohiprep:globalprep/np/v2021/output,np_exposure_ornamentals.csv,TRUE,exposure,Exposure of ornamental fishing to coral and rocky reef habitats,scaled 0-1,"The ln-transformed intensity of harvest calculated as tonnes of harvest per km2?of coral and/or rocky reef for ornamentals, relative to the global maxiumum. "
np_harvest_product_weight,ohiprep:globalprep/np/v2021/output,np_product_weights.csv,TRUE,weight,Relative natural product harvest value,proportion,"Relative importance of three marine commodities (fish oil, seaweeds ornamental fish) within each region determined by finding the relative contribution per a 5 year average of harvest (in USD) divided by the total 5 year average harvest value (in USD) per each commodity within each region. "
np_seaweed_tonnes,ohiprep:globalprep/np/v2021/output,np_seaweed_harvest_tonnes.csv,TRUE,tonnes,Seaweed natural product harvest,tonnes,Yield in metric tonnes of seaweed
np_orn_tonnes_relative,ohiprep:globalprep/np/v2021/output,np_ornamentals_harvest_tonnes_rel.csv,TRUE,tonnes_rel,Relative ornamental natural product harvest tonnes,proportion,Tonnes of harvest of ornamentals relative to maximum harvest of the ornamentals within the region observed across years
po_chemicals,ohiprep:globalprep/prs_chem/v2016/output,cw_chemical_score_updated.csv,TRUE,pressure_score,Chemical pollution,scaled 0-1,"Modeled chemical pollution within EEZ from commercial shipping traffic, ports and harbors, land-based pesticide use (organic pollution), and urban runoff (inorganic pollution)"
po_chemicals_3nm,ohiprep:globalprep/prs_chem/v2016/output,cw_chemical_score_3nm_updated.csv,TRUE,pressure_score,Coastal chemical pollution,scaled 0-1,"Modeled chemical pollution within 3nm of coastline from commercial shipping traffic, ports and harbors, land-based pesticide use (organic pollution), and urban runoff (inorganic pollution) "
po_nutrients,ohiprep:globalprep/prs_land-based_nutrient/v2016/output,cw_fertilizers_score_updated.csv,TRUE,pressure_score,Nutrient pollution,scaled 0-1,Modeled nutrient pollution within 3nm of coastline based on fertilizer consumption
po_nutrients_3nm,ohiprep:globalprep/prs_land-based_nutrient/v2016/output,cw_fertilizers_score_3nm_updated.csv,TRUE,pressure_score,Coastal nutrient pollution,scaled 0-1,Modeled nutrient pollution within EEZ based on fertilizer consumption
po_pathogens,ohiprep:globalprep/prs_cw_pathogen/v2019/output,po_pathogen_popdensity25mi.csv,TRUE,pressure_score,Pathogen pollution,scaled 0-1,Percent of population without access to improved sanitation facilities as a proxy for pathogen pollution
po_trash,ohiprep:globalprep/cw_pressure_trash/v2015/output,trash_eez_2015_updated.csv,TRUE,pressure_score,Marine plastics,scaled 0-1,Global marine plastic pollution
po_water,ohiprep:globalprep/res_cbd_habitat/v2014/data,r_water_2013a.csv,TRUE,resilience score,Management of waters to preserve biodiversity,scaled 0-1,Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report: clean water management related questions
res_spi,ohiprep:globalprep/prs_res_spi/v2020/output,spi_res.csv,TRUE,resilience_score,Social Progress Index,scaled 0-1,Social Progress Index scores
rgn_area,ohiprep:globalprep/spatial/v2017/output,rgn_area.csv,TRUE,area_km2,Region areas based on EEZ boundaries,km2,"Area of Ocean Health Index regions modified from exclusive economic zones, weights used to calculate global score "
rgn_area_inland1km,ohiprep:globalprep/lsp/v2021/output,rgn_area_inland1km.csv,TRUE,area,Inland 1km area,km2,Inland area of OHI regions within 1km of shoreline
rgn_area_offshore3nm,ohiprep:globalprep/lsp/v2021/output,rgn_area_offshore3nm.csv,TRUE,area,Offshore 3nm area,km2,Offshore area of OHI regions within 3nm of shoreline
rgn_global,ohiprep:globalprep/spatial/v2017/output,rgn_global.csv,TRUE,label,OHI region id,label,Subset of regions that are not deleted or disputed 
rgn_labels,ohiprep:globalprep/spatial/v2017/output,rgn_labels.csv,TRUE,label,Regions,label,"Regions by type (eez, subocean, unclaimed)"
sp_alien,ohiprep:globalprep/prs_alien/v2013/data,p_sp_alien_2013a.csv,TRUE,pressures.score,Nonindigenous species,scaled 0-1,Measure of harmful invasive species
sp_alien_species,ohiprep:globalprep/res_cbd_habitat/v2014/data,r_alien_species_Nature2012disaggregated.csv,TRUE,resilience score,Management of nonindigenous species,scaled 0-1,Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report: invasive species related questions
sp_genetic,ohiprep:globalprep/mar/v2020/output,GenEsc.csv,TRUE,pressure_score,Genetic escapes,scaled 0-1,Introduced mariculture species (Mariculture Sustainability Index) as a proxy for genetic escapes 
species_diversity_3nm,ohiprep:globalprep/spp/v2021/output,sp_status_3nm.csv,TRUE,score,Measure of coastal ecological integrity,scaled 0-1,Marine species condition (same calculation and data as the species subgoal status score)  calculated within 3 nm of shoreline as a proxy for ecological integrity
species_diversity_eez,ohiprep:globalprep/spp/v2021/output,sp_status_global.csv,TRUE,score,Measure of ecological integrity,scaled 0-1,Marine species condition (species subgoal status score) as a proxy for ecological integrity
spp_status,ohiprep:globalprep/spp/v2021/output,sp_status_global.csv,TRUE,score,Average species condition,status score,Overall measure of species condition based on IUCN status of species within each region
spp_trend,ohiprep:globalprep/spp/v2021/output,sp_trend_global.csv,TRUE,score,Average species condition trend,trend score,Overall measure of species condition trends based on change in IUCN status of species within each region 
ss_spi,ohiprep:globalprep/prs_res_spi/v2020/output,spi_prs.csv,TRUE,pressure_score,Weakness of social progress,scaled 0-1,Inverse of Social Progress Index scores
ss_wgi,ohiprep:globalprep/prs_res_wgi/v2021/output,wgi_prs.csv,TRUE,pressure_score,Weakness of governance,scaled 0-1,Inverse of World Governance Indicators (WGI) six combined scores
tr_jobs_pct_tourism,ohiprep:globalprep/tr/v2020/output,tr_jobs_pct_tourism.csv,TRUE,Ep,Percent direct employment in tourism,proportion,Percent direct employment in tourism
tr_sustainability,ohiprep:globalprep/tr/v2020/output,tr_sustainability.csv,TRUE,S_score,Tourism sustainability index,scaled 0-1,Tourism Competitiveness Index (TTCI)
uninhabited,ohiprep:globalprep/supplementary_information/v2018,rgn_uninhabited_islands.csv,TRUE,Inhabited,Uninhabited regions,population,Regions with low and no number of inhabitants (also identifies Southern Islands)
wgi_all,ohiprep:globalprep/prs_res_wgi/v2021/output,wgi_res.csv,TRUE,resilience_score,Strength of governance,scaled 0-1,World Governance Indicators (WGI) six combined scores
