"region_name","Index","trend","AO","BD","CP","CS","CW","LE","FP","SP","NP","TR"
"Clipperton Island",78.16,-0.01,87.47,87.7,NA,NA,86.16,NA,94.2,35.25,NA,NA
"Cocos Islands",80,-0.39,96.97,90.28,97.62,92.76,88.77,96.35,30.28,36.61,NA,90.33
"Colombia",56.24,-0.75,69.2,75.82,81.32,71.51,61.14,80.44,28.77,66.77,2.96,24.46
"Comoro Islands",57.81,-0.4,43.82,88.39,82.89,86.2,36.74,92.52,31.61,31.25,NA,26.83
"Cook Islands",69.57,0.48,79.87,82.46,92.51,53.99,92.79,47.15,46.15,83.25,30.04,87.49
"Costa Rica",62.06,-0.03,70.34,88.68,77.32,68.85,70.3,76.22,29,64.07,18.78,57.01
"Croatia",71.3,0.07,73.3,88.39,NA,NA,63.71,80.18,50.83,80.21,33.78,100
"Crozet Islands",77.58,0.24,90.01,86.15,NA,NA,96.69,NA,39.38,75.67,NA,NA
"Cuba",69.15,0.5,89.85,84.55,67.45,100,56.9,93.02,27.14,85.78,82.85,3.99
"Curacao",74.51,-0.41,78.33,92.24,99.96,89.91,69.16,72.71,51.23,55.89,35.71,100
"Cyprus",55.62,-0.04,93.33,84.3,NA,NA,53.2,66.89,36.34,40.79,0.6,69.52
"Democratic Republic of the Congo",47.15,-0.14,48.86,69.54,29.83,29.79,39.54,98.04,45.91,62.37,NA,0.42
"Denmark",75.54,0.23,98.79,90.22,100,100,53.75,71.06,59.19,95.13,61.01,26.26
"Djibouti",67.42,-0.34,52.81,92.13,97.56,90.73,49.9,96.55,41.58,33.89,NA,51.66
"Dominica",50.54,0.36,74.9,75.21,26.53,26.7,57.74,84.28,16.98,45.97,0,97.13
"Dominican Republic",65.4,-1.02,73.81,89.36,96.05,86.35,49.1,83.22,42.51,87.49,3.41,42.71
"East Timor",60.14,0.02,55.38,83.11,86.28,84.63,51.46,27.55,43.8,60.08,NA,48.99
"Ecuador",72.12,0.59,69.01,87.13,81.85,78.35,66.88,100,76.43,82.81,56.88,21.85
"Egypt",69.54,0.5,74.24,88.15,97.14,85.43,49.5,97.83,29.42,64.28,77.3,32.08
"El Salvador",52.15,-0.67,72.6,84.17,62.75,62.48,45.05,71.13,28.29,79.51,10.79,4.74
"Equatorial Guinea",55.78,-2.15,64.09,82.43,93.69,93.53,57.83,12.84,60.55,73.44,0,19.44
"Eritrea",50.64,-3.05,56.72,89.96,95.85,84.56,54.6,3.43,42.61,27.6,0,51.07
"Estonia",75.92,-1.4,92.27,89.51,100,100,72.08,75.6,86.8,97.5,0.92,44.47
"Faeroe Islands",67.79,0.77,97.03,89.81,NA,NA,74.09,88.19,66.75,42.47,36.76,47.17
"Falkland Islands",71.78,-0.04,97.04,93.44,NA,NA,98.96,40.63,76.3,37.32,NA,58.75
"Fiji",69.58,0.11,54.63,84.35,98.57,68.77,75.47,68.27,40.54,62.47,42.77,100
"Finland",74.09,0.03,95.54,86.18,NA,NA,69.45,84.47,79.57,80.81,73.28,23.45
"France",70.48,-0.27,95.57,84.94,75.12,67.35,49.09,81.98,54.04,85.83,49.64,61.26
"French Guiana",71.64,0.18,70.41,93.74,100,100,83.16,47.4,34.91,88.84,NA,26.32
"French Polynesia",78.14,0.28,65.95,89.53,99.57,91.63,87.02,73.2,54.18,33.48,98.03,88.85
"Gabon",62.69,0.55,73.42,75.26,71.36,71.31,62.95,59.24,61.92,82.64,NA,6.12
"Gambia",68.86,-0.03,58.01,82.13,82.08,81.91,48.03,100,64.8,56.62,NA,46.17
"Georgia",72.26,2.33,74.84,89.75,NA,NA,53.61,99.53,56.74,42.42,77.8,83.41
"Germany",84.86,0.12,97.56,87.95,100,100,49.95,91.86,55.15,94.92,73.29,97.97
"Ghana",62.17,0.24,47.64,83.99,99.86,99.77,31.27,94.68,52.75,36.64,60.28,14.81
"Gibraltar",69.49,0.21,84.61,73.06,NA,NA,16.14,75.66,59.51,80,NA,97.43
"Gilbert Islands (Kiribati)",59.21,-1.32,54.64,82.87,99.49,86.86,27.96,89.31,46.29,32.23,3.74,68.69
"Glorioso Islands",77.37,-0.43,53.95,91.49,92.79,NA,92.24,95.05,32.84,83.25,NA,NA
"Greece",66.73,-1.17,83.39,86.58,NA,NA,61.27,64.35,43.88,83.08,11.27,100
"Greenland",74.23,0.06,97.03,89.54,94.69,NA,94.44,100,62.05,82.4,0,47.93
"Grenada",59.98,0.55,67.47,79.29,59.84,46.96,55.54,85.55,42.3,43.33,NA,59.55
"Guadeloupe and Martinique",72.6,0.09,87.97,92.16,96.41,99.94,71.31,65.51,18.05,87.63,NA,34.39
"Guatemala",59.04,-1.11,58.53,90.06,96.55,96.23,32.11,100,26.84,82.24,4.01,3.87
"Guernsey",65.38,0.68,96.3,79.66,54.38,54.3,56,86.89,62.34,49.31,NA,49.21
"Guinea",49.6,0.01,44.29,75.52,31.21,32.81,42.23,80.03,57.54,70.62,NA,12.19
"Guinea Bissau",48.57,-0.16,51.33,73.17,30.1,30.37,54.99,61,49.39,82.08,NA,4.71
"Guyana",61.98,-0.06,58.57,91.3,89.5,89.47,74.49,69.34,15.98,43.65,NA,25.53
"Haiti",51.54,-0.45,50.07,78.96,65.32,95.31,37.32,96.92,12.79,39.6,35,4.08
"Heard and McDonald Islands",90.27,0.25,90.73,95.3,NA,NA,99.71,NA,93.25,72.35,NA,NA
"Honduras",65.55,0.19,56.13,89.33,95.48,88.29,58.47,94,36.28,85.87,44.46,7.17
"Howland Island and Baker Island",89.6,-0.36,86.65,89.05,100,NA,97.91,NA,85.38,78.58,NA,NA
"Iceland",69.45,0.39,98.1,70.65,NA,NA,79.3,64.4,65.57,48.85,39.08,89.63
"Ile Europa",74.93,-1.05,54.1,88.6,92.79,NA,93.78,NA,37.29,83,NA,NA
"Ile Tromelin",64.36,-1.69,53.21,87.35,92.79,NA,91.69,NA,28.22,32.92,NA,NA
"India",58.68,0.19,50.78,89.6,97.4,86.88,22.7,69.42,33.21,39.98,44.23,52.59
"Indonesia",66.99,0.64,57.22,84.04,87.33,66.78,55.77,71.41,47.41,63.88,92.61,43.43
"Iran",60.78,-1.15,80.04,87.97,88.97,87.27,66.23,80.18,24.19,59.25,33.68,0
"Iraq",54.72,0.12,64.32,82.88,82.58,82.52,41.56,85.53,29.57,23.5,NA,0
"Ireland",66.38,0.44,100,81.63,55.52,55.54,61.91,79.62,55.8,82.69,68.82,22.3
"Israel",59.54,-0.69,93.44,83.37,91.23,91.23,32.9,100,43.12,35.72,6.45,17.91
"Italy",79.75,0.51,93.21,81.86,85.65,85.04,50.16,87.09,43.06,85.05,95.63,90.76
"Ivory Coast",41.37,-0.36,46.4,70.14,32.48,32.39,37.73,85.67,40.08,45.7,1.63,21.44
"Jamaica",60.62,0.14,60.46,82.36,51.67,99.07,43.23,79.89,25.31,76.41,0.5,87.32
"Jan Mayen",81.14,-0.5,96.18,56.94,NA,NA,92.58,88.19,65.43,87.5,NA,NA
"Japan",67.59,-0.59,93.13,90.36,99.95,95.32,62.33,78.29,42.25,82.44,8.3,23.55
"Jarvis Island",80.69,-0.67,93.71,83.97,NA,NA,98.38,NA,48.7,78.67,NA,NA
"Jersey",68.36,0.17,96.3,82.24,54.89,54.79,52.41,86.89,59.71,79.27,NA,48.71
"Johnston Atoll",76.26,-0.63,93.71,84.16,75.5,NA,75.25,NA,50.59,78.35,NA,NA
"Jordan",63.89,-1.04,58.97,88.25,91.8,87.85,48.49,87.69,28.53,25.17,NA,58.21
"Juan de Nova Island",70.28,-0.46,53.18,91.87,92.79,NA,91.93,95.05,34.19,32.96,NA,NA
"Kenya",60.57,-0.99,61.18,87.36,72.43,92.92,45.85,98.96,35.46,53.2,30.84,27.5
"Kerguelen Islands",89.93,0.52,89.95,93.84,NA,NA,98.78,NA,91.4,75.69,NA,NA
"Kuwait",71.06,-0.03,100,89.83,88.17,86.81,63.18,100,32.16,58.38,NA,21.05
"Latvia",72.9,1.65,85.6,77.44,51.84,54.41,53.95,90.8,83.29,97.73,89.88,44.06
"Lebanon",46.25,-0.7,68.79,82.87,NA,NA,30.05,83.13,41.58,30.68,16.45,16.47
"Liberia",52.86,0.7,42.66,73.13,34.56,34.5,48.38,100,53.47,53.93,NA,35.09
"Libya",42.41,0.05,60.11,81.55,NA,NA,57.05,66.41,42.55,31.63,0,0
"Line Islands (Kiribati)",71.89,-0.86,60.67,88.03,100,NA,87.4,74.05,62.59,29.91,NA,72.44
"Lithuania",64.3,-0.07,92.28,73.02,NA,NA,45.6,77.69,49.29,97.73,59.49,19.27
"Macquarie Island",84.37,0.74,96.97,94.89,NA,NA,98.16,NA,44.59,87.22,NA,NA
"Madagascar",53.76,-1.07,43.88,85.38,78.4,65.58,57.26,81.04,13.12,53.48,21.48,37.96
"Madeira",80.48,0.53,86.22,87,NA,NA,71.09,83.38,61.65,82.11,NA,91.9
"Malaysia",63.51,-0.3,82.9,86.87,93.73,84.45,64.15,79.4,31.44,36.86,21.58,53.72
"Maldives",67.57,-1.27,61.97,90,98.66,85.66,45.35,70.54,18.85,33.46,71.81,99.35
"Malta",70.75,0.07,93.77,81.8,88.14,88.23,45.98,88.6,38.16,76.73,6.07,100
"Marshall Islands",63.5,-2.08,55.03,87.62,97.18,86.66,54.45,59.46,71.39,50.8,3.83,68.55
"Mauritania",61.92,1.08,53.32,80.77,NA,NA,59.73,93.66,51.15,83.46,69.26,4
"Mauritius",66.47,0.14,70.9,89.29,90.07,90.32,61.29,72.2,35.48,35.19,45.58,74.39
"Mayotte",64.24,-2.11,53.75,92.54,92.81,92.61,52.9,100,23.31,76.97,0,57.47
"Mexico",68.29,-0.48,70.78,87,81.19,75.69,63.48,72.89,33.3,82.85,29.33,86.33
"Micronesia",62.76,-0.33,47.36,87.67,97.61,92.81,57.62,62.89,54.48,29.93,28.21,69.01
"Monaco",61.96,-0.41,97.2,60.11,NA,NA,24.45,85.04,49.9,40.4,NA,76.62
"Montenegro",55.26,0.26,73.07,85.39,NA,NA,59.5,79.72,50.77,31.54,0.82,61.23
"Montserrat",73.15,0.28,84.67,92.47,73.25,73.44,69.44,91.01,36.44,37.66,NA,100
"Morocco",72.31,-0.34,65.29,87.75,NA,100,52.84,100,63.17,64.64,52.19,64.93
"Mozambique",60.9,0.49,43.49,88.23,81.3,98.85,52.71,100,16.17,74.57,35.32,18.34
"Myanmar",62.97,1.19,49.08,88.89,92.77,89.04,46.92,97.08,10.8,48.59,81.46,25.05
"Namibia",62.18,-0.2,88.4,90.33,NA,NA,83.3,76.17,38.73,82.29,10.94,27.28
"Nauru",66.68,-0.49,59.2,82.94,97.09,NA,44.57,74.25,70.28,34.1,NA,71.01
"Netherlands",75.77,-0.13,98.97,81.13,100,100,45.01,66.87,58.17,86.35,51.26,69.92
"New Caledonia",82.22,-0.05,66.01,88.15,76.63,78.73,79.31,96.3,65.74,74.34,99.98,97.02
"New Zealand",78.94,-0.43,95.73,87.94,68.64,64.64,79.13,100,72.29,63.48,57.52,100
"Nicaragua",45.3,-0.76,57.02,78.72,30.13,9.76,66.6,79.55,38.35,83.6,2.33,6.92
"Nigeria",50.65,-0.47,53.06,64.77,97.26,97.1,28.1,75.65,45.45,37.87,5.37,1.89
"Niue",68.09,0.2,77.98,80.88,85.86,52.75,85.28,57.62,35.64,52.5,NA,84.27
"Norfolk Island",84.25,0.13,96.97,92.12,NA,NA,77.94,96.35,42.71,94.13,NA,89.51
"North Korea",58.61,0.54,76.99,88.09,93.56,NA,50.84,70.17,32.34,32.45,83.05,0
"Northern Mariana Islands and Guam",76.81,-0.53,85.72,88.09,97.46,92.66,61.72,63.58,76.15,51.99,NA,73.94
"Northern Saint-Martin",80.12,0.08,87.14,95.68,95.26,100,45.39,90.82,20.23,86.55,NA,100
"Norway",77.45,-0.16,100,86.51,53.22,NA,76.89,82,76.29,76.8,61.29,84.07
"Oecussi Ambeno",62.56,0.44,67.71,77.34,77.82,41.85,62.57,75.72,56.2,50.16,NA,53.65
"Oman",74.12,0.69,87.71,90.95,99.23,90.93,70.47,100,54.82,36.09,73.74,37.28
"Pakistan",51.32,0.01,61.12,73.96,45.17,45,43.05,84.51,48.98,56.93,50.74,3.7
"Palau",64,-0.96,59.93,84.84,91.71,64.55,75.01,83.22,60.42,45.14,0.07,75.14
"Palmyra Atoll",79.17,-0.53,93.71,84.54,76.42,NA,92.88,NA,48.96,78.51,NA,NA
"Panama",64.99,0.46,77.52,80.19,65.79,42.96,63.39,100,50.68,58.76,45.14,65.45
"Papua New Guinea",59.24,-0.54,53.61,87.77,88.73,83.48,65.2,100,66.78,34.56,7.28,5.01
"Peru",58.16,-0.11,76.28,76.38,56.18,56.07,57.16,63.12,62.42,57.58,52.22,24.2
"Philippines",66.25,1.18,64.44,84.81,92.39,68.68,52.6,45.21,59.46,49.35,92.37,53.2
"Phoenix Islands (Kiribati)",80.67,-0.96,61.78,87.16,100,NA,97.97,74.66,69.08,80.46,NA,74.23
"Pitcairn",84.92,1.53,73.65,90.58,100,NA,85.43,81.16,89.1,73.26,NA,86.18
"Poland",65.41,0.99,90.69,70.34,59.7,60.81,42.78,82.32,52.88,97.73,74.74,22.15
"Portugal",78.36,1.22,88.17,87.1,NA,NA,51.12,93.38,51.39,83.42,72.27,100
"Prince Edward Islands",76.2,0.51,82.79,91.39,NA,NA,84.71,NA,46.8,75.29,NA,NA
"Puerto Rico and Virgin Islands of the United States",73.52,0.38,94.23,90.47,83.46,100,54.14,73.29,50.21,71.92,NA,43.99
"Qatar",75.29,0.48,100,92.98,95.26,90.25,64.97,68.08,43.22,67.11,NA,55.76
"R_union",61.33,-0.5,53.21,89.56,92.79,NA,68.19,72.04,29,46.68,NA,39.18
"Republique du Congo",50.95,0.19,53.71,87.2,NA,NA,47.51,76.53,52.09,83.15,0,7.43
"Romania",61.57,0.37,84.02,91.33,NA,NA,56.05,90.14,56.21,81.68,9.36,23.79
"Russia",74.27,0.68,85.21,91.78,85.67,100,80.95,93.11,39,84.3,80.36,2.36
"Saba",71.63,-1.53,79.1,97.07,100,100,62.84,72.62,20.21,84.48,0,100
"Saint Helena",62.71,0.08,97.04,89.32,NA,NA,93.56,44.02,42.15,30.99,NA,41.89
"Saint Kitts and Nevis",65.12,-0.27,86.62,92.19,78.66,97.47,56.57,58.31,25.85,36.04,NA,54.38
"Saint Lucia",58.77,-0.11,77.84,83.02,74.64,56.54,54.59,60.26,31.67,49.14,0,100
"Saint Pierre and Miquelon",71.3,-0.25,98.52,90.84,NA,NA,83.7,82.12,56.14,39.84,NA,47.94
"Saint Vincent and the Grenadines",57.13,0.64,63.98,91.47,74.76,92.07,61.01,27.17,32.95,54.39,25.5,48.02
"Samoa",66.13,1.37,74.3,89.86,95.46,90.53,91.29,42.86,12.46,35.35,44.65,84.5
"Sao Tome and Principe",55.51,-0.11,46.22,85.04,NA,NA,56.1,100,38.7,43,0,75.02
"Saudi Arabia",67.21,-1.39,98.96,91.05,94.02,89.6,64.49,100,35.86,48.8,0,49.32
"Senegal",58.7,0.47,53.31,70.91,30.38,33.57,45.11,99.88,64.59,85.17,78.11,25.96
"Seychelles",77.27,-1.2,78.17,91.85,86.67,100,91.42,84.97,34.99,61.83,42.81,100
"Sierra Leone",47.53,0.36,57.66,66.74,31.55,32.61,42.05,75.91,78.03,32.38,NA,10.88
"Singapore",63.18,0.05,100,80.89,82.37,83.18,47.97,96.36,39.9,33.73,4.63,62.8
"Sint Eustatius",67.69,-1.55,77.95,94.3,100,100,49.41,72.27,15.62,67.36,0,100
"Sint Maarten",70.27,-1.75,92.06,94.1,100,100,49.5,90.47,17.7,58.92,0,100
"Slovenia",61.61,-0.59,91.05,90.9,NA,NA,28.16,100,31.86,81.31,29.54,40.04
"Solomon Islands",65.45,1.28,45.34,84.03,79.54,72.99,72.47,100,43.54,35.15,74.06,47.38
"Somalia",48.23,-1.39,48.47,79.3,55.67,73.03,59.51,95.04,13.04,31.08,27.13,0
"South Africa",68.77,-0.14,77.5,88.04,99.63,99.82,54.28,100,31.64,82.16,11.81,42.84
"South Georgia and the South Sandwich Islands",83.86,0.22,90.29,94.55,NA,NA,98.89,NA,49.69,85.9,NA,NA
"South Korea",77.16,0.16,95.69,95.48,NA,NA,64.28,94.78,76.74,75.68,90.19,24.42
"Spain",67.61,0.32,92.78,74.6,53.58,53.64,50.48,79.01,58.7,84.89,50.75,77.71
"Sri Lanka",59.62,0.06,58,91.14,93.67,88.43,56.18,69.13,25.46,38.61,17.8,57.82
"Sudan",55.63,-0.02,51.91,86.08,87.02,82.86,44.57,72.55,36.28,28.16,64.88,1.95
"Suriname",68.07,-0.49,71.11,91.9,99.74,99.74,76.89,85.75,18.47,85.98,39.73,11.38
"Sweden",69.08,0.17,98.02,84.88,57.96,61.31,62.81,100,76.82,86.14,17.11,45.77
"Syria",48.41,-1.84,83.9,82.66,NA,NA,38.33,100,46.52,28.31,7.58,0
"Taiwan",65.46,-0.44,88.19,93.21,97.89,95.63,41.77,92.06,41.93,44.48,32.27,27.2
"Tanzania",67.09,0.15,66.6,80.94,68.34,84.12,47.95,100,42.95,81.27,71.54,27.18
"Thailand",67.53,-0.14,78.16,89,82.14,78.67,53.44,85.72,38.5,53.63,46.38,69.7
"Togo",59.84,-0.08,43.07,78.65,99.33,99.13,15.08,100,47.86,34.73,NA,20.74
"Tokelau",66.59,0.38,79.41,76.94,91.8,53.31,74.66,80.39,32.15,27.32,NA,83.36
"Tonga",69.1,1.34,71.11,88.56,94.7,87.32,69.33,99.81,19.82,33.44,46.68,80.28
"Trinidad and Tobago",62.55,-1.91,84.58,91.66,87.86,94.73,61.33,85.12,38.51,48.27,4.77,28.71
"Tristan da Cunha",67.17,0.37,97.04,87.03,NA,NA,89.26,87.9,36.17,31.1,NA,41.66
"Tunisia",59.44,-0.23,74.04,86.62,NA,NA,50.05,83.47,40.98,53.02,40.88,46.42
"Turkey",56.23,-0.72,85.29,88.14,NA,NA,49.98,100,46.39,33.68,43.31,3.02
"Turks and Caicos Islands",77.08,1.21,85.2,87.2,69.29,73.62,63.31,95.01,64.06,70.91,62.23,100
"Tuvalu",72.55,0.9,47.82,88.37,100,NA,62.92,100,67.39,33.93,NA,79.94
"Ukraine",60.32,-1.46,65.18,86.3,84.79,84.79,58.83,80.81,54.51,56.46,21.16,10.36
"United Arab Emirates",75.36,-0.21,100,93.23,93.36,91.93,72.27,100,49.25,68.11,26.13,59.28
"United Kingdom",72.41,0.18,95.99,87.24,53.85,55.43,62.98,90.22,51.46,84.81,71.42,70.69
"United States",68.89,-0.87,100,79.33,75.22,61.6,74.6,77.8,66.77,72.3,36.3,45.01
"Uruguay",62.73,0.07,84.83,88.18,NA,NA,57.98,100,49.94,83.51,4.64,32.72
"Vanuatu",70.1,0.81,46.63,89.53,94.08,87.5,64.71,100,33.68,29.99,54.98,99.85
"Venezuela",60.23,0.23,77.2,84.38,80.56,87.51,61.58,82.98,37.98,72.05,15.5,2.57
"Vietnam",57.04,0.62,55.76,85.74,89.03,60.84,41.5,74.24,19.26,74.63,27.19,42.17
"Wake Island",79.11,-0.13,93.71,77.15,76.21,NA,71.11,73.19,84.02,78.35,NA,NA
"Wallis and Futuna",77.4,0.64,64.92,89.81,100,NA,92.54,81.04,68.84,37.42,NA,84.65
"Western Sahara",63.98,-0.38,55.26,88.67,NA,NA,72.56,97.21,44.33,62.4,NA,27.45
"Yemen",62.17,0.84,56.92,88.59,94.68,82.21,54.1,97.66,51.96,28.3,67.32,0
