"goal","dimension","region_id","2012","2013","2014","2015","2016","2017","2018"
"ECO","trend",203,0.01,0.02,0.02,0.02,0.02,0.02,0.02
"ECO","trend",204,-0.01,0,0,0,0,0,0
"ECO","trend",205,-0.03,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
"ECO","trend",206,-0.04,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03
"ECO","trend",207,-0.04,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09
"ECO","trend",208,-0.04,0.01,0.01,0.01,0.01,0.01,0.01
"ECO","trend",209,0,0,0,0,0,0,0
"ECO","trend",210,0,0,0,0,0,0,0
"ECO","trend",212,0.15,0.13,0.13,0.13,0.13,0.13,0.13
"ECO","trend",213,NA,NA,NA,NA,NA,NA,NA
"ECO","trend",214,-0.01,0.03,0.03,0.03,0.03,0.03,0.03
"ECO","trend",215,0.14,0.2,0.2,0.2,0.2,0.2,0.2
"ECO","trend",216,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
"ECO","trend",218,0,0.02,0.02,0.02,0.02,0.02,0.02
"ECO","trend",219,0,0,0,0,0,0,0
"ECO","trend",220,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
"ECO","trend",221,0,0,0,0,0,0,0
"ECO","trend",222,0.05,0.08,0.08,0.08,0.08,0.08,0.08
"ECO","trend",223,0.01,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07
"ECO","trend",224,-0.16,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11
"ECO","trend",227,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ECO","trend",228,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ECO","trend",231,1,1,1,1,1,1,1
"ECO","trend",232,0.05,0.07,0.07,0.07,0.07,0.07,0.07
"ECO","trend",237,-0.04,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
"ECO","trend",244,-0.01,0,0,0,0,0,0
"ECO","trend",245,-0.01,0,0,0,0,0,0
"ECO","trend",247,-0.04,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
"ECO","trend",248,-0.01,0,0,0,0,0,0
"ECO","trend",249,-0.01,0,0,0,0,0,0
"ECO","trend",250,0.04,0.02,0.02,0.02,0.02,0.02,0.02
"LIV","trend",1,0.96,0.97,0.97,0.97,0.97,0.97,0.97
"LIV","trend",2,0.96,0.97,0.97,0.97,0.97,0.97,0.97
"LIV","trend",3,0.96,0.97,0.97,0.97,0.97,0.97,0.97
"LIV","trend",4,NA,NA,NA,NA,NA,NA,NA
"LIV","trend",5,0.99,0.99,0.99,0.99,0.99,0.99,0.99
"LIV","trend",6,0.96,0.97,0.97,0.97,0.97,0.97,0.97
"LIV","trend",7,1,1,1,1,1,1,1
"LIV","trend",8,-1,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7
"LIV","trend",9,-0.46,-0.37,-0.37,-0.37,-0.37,-0.37,-0.37
"LIV","trend",10,-0.46,-0.37,-0.37,-0.37,-0.37,-0.37,-0.37
"LIV","trend",11,-0.46,-0.37,-0.37,-0.37,-0.37,-0.37,-0.37
"LIV","trend",12,-0.46,-0.37,-0.37,-0.37,-0.37,-0.37,-0.37
"LIV","trend",13,-0.62,-0.67,-0.67,-0.67,-0.67,-0.67,-0.67
"LIV","trend",14,0.66,0.89,0.89,0.89,0.89,0.89,0.89
"LIV","trend",15,-0.39,-0.67,-0.67,-0.67,-0.67,-0.67,-0.67
"LIV","trend",16,0.96,0.97,0.97,0.97,0.97,0.97,0.97
"LIV","trend",17,1,1,1,1,1,1,1
"LIV","trend",18,-0.93,-0.96,-0.96,-0.96,-0.96,-0.96,-0.96
"LIV","trend",19,1,1,1,1,1,1,1
"LIV","trend",20,0.85,0.94,0.94,0.94,0.94,0.94,0.94
"LIV","trend",21,0.24,0.32,0.32,0.32,0.32,0.32,0.32
"LIV","trend",24,0.04,0.02,0.02,0.02,0.02,0.02,0.02
"LIV","trend",25,-0.11,0.94,0.94,0.94,0.94,0.94,0.94
"LIV","trend",26,-0.23,0.09,0.09,0.09,0.09,0.09,0.09
"LIV","trend",28,0.25,0.02,0.02,0.02,0.02,0.02,0.02
"LIV","trend",29,0.6,0.38,0.38,0.38,0.38,0.38,0.38
"LIV","trend",30,0.88,0.57,0.57,0.57,0.57,0.57,0.57
"LIV","trend",31,0.98,0.99,0.99,0.99,0.99,0.99,0.99
"LIV","trend",32,-0.92,-0.96,-0.96,-0.96,-0.96,-0.96,-0.96
"LIV","trend",33,0.88,0.57,0.57,0.57,0.57,0.57,0.57
"LIV","trend",34,NA,NA,NA,NA,NA,NA,NA
"LIV","trend",35,NA,NA,NA,NA,NA,NA,NA
"LIV","trend",36,NA,NA,NA,NA,NA,NA,NA
"LIV","trend",37,0.45,0.52,0.52,0.52,0.52,0.52,0.52
"LIV","trend",38,-0.49,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16
"LIV","trend",39,0.36,0.54,0.54,0.54,0.54,0.54,0.54
"LIV","trend",40,-0.01,-0.61,-0.61,-0.61,-0.61,-0.61,-0.61
"LIV","trend",41,1,1,1,1,1,1,1
"LIV","trend",42,1,0,0,0,0,0,0
"LIV","trend",43,0.68,0.54,0.54,0.54,0.54,0.54,0.54
"LIV","trend",44,0.88,0.57,0.57,0.57,0.57,0.57,0.57
"LIV","trend",45,0.88,-1,-1,-1,-1,-1,-1
"LIV","trend",46,0.88,0.57,0.57,0.57,0.57,0.57,0.57
"LIV","trend",47,1,1,1,1,1,1,1
"LIV","trend",48,0.47,0.27,0.27,0.27,0.27,0.27,0.27
"LIV","trend",49,-0.76,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65
"LIV","trend",50,1,1,1,1,1,1,1
"LIV","trend",51,1,1,1,1,1,1,1
"LIV","trend",52,0,0.5,0.5,0.5,0.5,0.5,0.5
"LIV","trend",53,1,0.6,0.6,0.6,0.6,0.6,0.6
"LIV","trend",54,1,1,1,1,1,1,1
"LIV","trend",55,-0.31,-0.35,-0.34,-0.34,-0.34,-0.34,-0.34
"LIV","trend",56,0.5,0.65,0.65,0.65,0.65,0.65,0.65
"LIV","trend",57,-0.31,-0.35,-0.34,-0.34,-0.34,-0.34,-0.34
"LIV","trend",58,-0.31,-0.35,-0.34,-0.34,-0.34,-0.34,-0.34
"LIV","trend",59,-1,0,0,0,0,0,0
"LIV","trend",60,0.11,0.11,0.11,0.11,0.11,0.11,0.11
"LIV","trend",61,-0.99,-1,-1,-1,-1,-1,-1
"LIV","trend",62,0.06,0.28,0.28,0.28,0.28,0.28,0.28
"LIV","trend",63,0.36,0.29,0.29,0.29,0.29,0.29,0.29
"LIV","trend",64,0.6,0.6,0.6,0.6,0.6,0.6,0.6
"LIV","trend",65,0.46,0.56,0.56,0.56,0.56,0.56,0.56
"LIV","trend",66,1,1,1,1,1,1,1
"LIV","trend",67,-1,-1,-1,-1,-1,-1,-1
"LIV","trend",68,-0.73,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75
"LIV","trend",69,0.62,0.68,0.68,0.68,0.68,0.68,0.68
"LIV","trend",70,-1,-1,-1,-1,-1,-1,-1
"LIV","trend",71,-1,-1,-1,-1,-1,-1,-1
"LIV","trend",72,0.37,0.27,0.27,0.27,0.27,0.27,0.27
"LIV","trend",73,0.65,0.75,0.75,0.75,0.75,0.75,0.75
"LIV","trend",74,0.83,0.84,0.84,0.84,0.84,0.84,0.84
"LIV","trend",75,-1,-1,-1,-1,-1,-1,-1
"LIV","trend",76,1,1,1,1,1,1,1
"LIV","trend",77,0.17,0.38,0.38,0.38,0.38,0.38,0.38
"LIV","trend",78,-0.91,-0.95,-0.95,-0.95,-0.95,-0.95,-0.95
"LIV","trend",79,1,1,1,1,1,1,1
"LIV","trend",80,-0.91,-0.97,-0.97,-0.97,-0.97,-0.97,-0.97
"LIV","trend",81,0.02,0.01,0.01,0.01,0.01,0.01,0.01
"LIV","trend",82,1,1,1,1,1,1,1
"LIV","trend",84,1,1,1,1,1,1,1
"LIV","trend",85,0.62,0.68,0.68,0.68,0.68,0.68,0.68
"LIV","trend",86,0.58,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12
"LIV","trend",88,0.62,0.68,0.68,0.68,0.68,0.68,0.68
"LIV","trend",89,NA,NA,NA,NA,NA,NA,NA
"LIV","trend",90,NA,NA,NA,NA,NA,NA,NA
"LIV","trend",91,NA,NA,NA,NA,NA,NA,NA
"LIV","trend",92,NA,NA,NA,NA,NA,NA,NA
"LIV","trend",93,NA,NA,NA,NA,NA,NA,NA
"LIV","trend",94,NA,NA,NA,NA,NA,NA,NA
"LIV","trend",95,-0.98,-0.99,-0.99,-0.99,-0.99,-0.99,-0.99
"LIV","trend",96,-1,-1,-1,-1,-1,-1,-1
"LIV","trend",97,1,1,1,1,1,1,1
"LIV","trend",98,1,1,1,1,1,1,1
"LIV","trend",99,-0.94,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9
"LIV","trend",100,-0.99,-0.98,-0.98,-0.98,-0.98,-0.98,-0.98
"LIV","trend",101,1,1,1,1,1,1,1
"LIV","trend",102,1,1,1,1,1,1,1
"LIV","trend",103,0.73,0.8,0.8,0.8,0.8,0.8,0.8
"LIV","trend",104,-1,-1,-1,-1,-1,-1,-1
"LIV","trend",105,NA,NA,NA,NA,NA,NA,NA
"LIV","trend",106,0.92,0.94,0.94,0.94,0.94,0.94,0.94
"LIV","trend",107,NA,NA,NA,NA,NA,NA,NA
"LIV","trend",108,0.94,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
"LIV","trend",110,-0.5,0,0,0,0,0,0
"LIV","trend",111,-0.13,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08
"LIV","trend",112,1,1,1,1,1,1,1
"LIV","trend",113,1,1,1,1,1,1,1
"LIV","trend",114,1,1,1,1,1,1,1
"LIV","trend",115,-1,-1,-1,-1,-1,-1,-1
"LIV","trend",116,0.03,0.03,0.03,0.03,0.03,0.03,0.03
"LIV","trend",117,-1,-1,-1,-1,-1,-1,-1
"LIV","trend",118,-1,-0.83,-0.83,-0.83,-0.83,-0.83,-0.83
"LIV","trend",119,-0.93,-0.48,-0.48,-0.48,-0.48,-0.48,-0.48
"LIV","trend",120,1,1,1,1,1,1,1
"LIV","trend",121,0.51,0.32,0.32,0.32,0.32,0.32,0.32
"LIV","trend",122,-1,-1,-1,-1,-1,-1,-1
"LIV","trend",123,-0.71,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8
"LIV","trend",124,-1,-1,-1,-1,-1,-1,-1
"LIV","trend",125,1,1,1,1,1,1,1
"LIV","trend",126,1,0.6,0.6,0.6,0.6,0.6,0.6
"LIV","trend",127,-1,-0.97,-0.97,-0.97,-0.97,-0.97,-0.97
"LIV","trend",129,1,1,1,1,1,1,1
"LIV","trend",130,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
"LIV","trend",131,0.8,0.37,0.37,0.37,0.37,0.37,0.37
"LIV","trend",132,-1,-1,-1,-1,-1,-1,-1
"LIV","trend",133,0.73,0.77,0.77,0.77,0.77,0.77,0.77
"LIV","trend",134,-0.7,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28
"LIV","trend",135,-0.14,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17
"LIV","trend",136,0.96,0.97,0.97,0.97,0.97,0.97,0.97
"LIV","trend",137,-0.07,0.22,0.22,0.22,0.22,0.22,0.22
"LIV","trend",138,0.75,0.8,0.8,0.8,0.8,0.8,0.8
"LIV","trend",139,-0.22,0.85,0.85,0.85,0.85,0.85,0.85
"LIV","trend",140,-0.05,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04
"LIV","trend",141,0.62,0.68,0.68,0.68,0.68,0.68,0.68
"LIV","trend",143,0.53,0.84,0.84,0.84,0.84,0.84,0.84
"LIV","trend",144,0.62,0.68,0.68,0.68,0.68,0.68,0.68
"LIV","trend",145,0.02,0.01,0.01,0.01,0.01,0.01,0.01
"LIV","trend",146,0.64,0.65,0.65,0.65,0.65,0.65,0.65
"LIV","trend",147,0.99,1,1,1,1,1,1
"LIV","trend",148,-0.46,-0.37,-0.37,-0.37,-0.37,-0.37,-0.37
"LIV","trend",149,NA,NA,NA,NA,NA,NA,NA
"LIV","trend",150,NA,NA,NA,NA,NA,NA,NA
"LIV","trend",151,0.02,0.01,0.01,0.01,0.01,0.01,0.01
"LIV","trend",152,0,0,0,0,0,0,0
"LIV","trend",153,-0.51,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34
"LIV","trend",154,0.02,0.02,0.02,0.02,0.02,0.02,0.02
"LIV","trend",155,0.96,0.97,0.97,0.97,0.97,0.97,0.97
"LIV","trend",156,0.64,0.65,0.65,0.65,0.65,0.65,0.65
"LIV","trend",157,-0.46,-0.37,-0.37,-0.37,-0.37,-0.37,-0.37
"LIV","trend",158,NA,NA,NA,NA,NA,NA,NA
"LIV","trend",159,NA,NA,NA,NA,NA,NA,NA
"LIV","trend",161,0.64,0.65,0.65,0.65,0.65,0.65,0.65
"LIV","trend",162,0.97,0.98,0.98,0.98,0.98,0.98,0.98
"LIV","trend",163,-0.5,-0.75,-0.75,-0.75,-0.75,-0.75,-0.75
"LIV","trend",164,1,1,1,1,1,1,1
"LIV","trend",166,-0.91,-0.93,-0.93,-0.93,-0.93,-0.93,-0.93
"LIV","trend",167,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
