"goal","dimension","region_id","2012","2013","2014","2015","2016","2017","2018"
"ECO","status",85,75.18,81.28,81.28,81.28,81.28,81.28,81.28
"ECO","status",86,25.59,23.14,23.14,23.14,23.14,23.14,23.14
"ECO","status",88,75.18,81.28,81.28,81.28,81.28,81.28,81.28
"ECO","status",89,NA,NA,NA,NA,NA,NA,NA
"ECO","status",90,NA,NA,NA,NA,NA,NA,NA
"ECO","status",91,NA,NA,NA,NA,NA,NA,NA
"ECO","status",92,NA,NA,NA,NA,NA,NA,NA
"ECO","status",93,NA,NA,NA,NA,NA,NA,NA
"ECO","status",94,NA,NA,NA,NA,NA,NA,NA
"ECO","status",95,16.42,16.17,16.17,16.17,16.17,16.17,16.17
"ECO","status",96,100,100,100,100,100,100,100
"ECO","status",97,100,100,100,100,100,100,100
"ECO","status",98,100,100,100,100,100,100,100
"ECO","status",99,100,100,100,100,100,100,100
"ECO","status",100,76.12,100,100,100,100,100,100
"ECO","status",101,39.84,61.92,61.92,61.92,61.92,61.92,61.92
"ECO","status",102,100,100,100,100,100,100,100
"ECO","status",103,100,100,100,100,100,100,100
"ECO","status",104,23.43,21.12,21.12,21.12,21.12,21.12,21.12
"ECO","status",105,NA,NA,NA,NA,NA,NA,NA
"ECO","status",106,92.99,100,100,100,100,100,100
"ECO","status",107,NA,NA,NA,NA,NA,NA,NA
"ECO","status",108,66.86,51.84,51.84,51.84,51.84,51.84,51.84
"ECO","status",110,88,92.76,92.76,92.76,92.76,92.76,92.76
"ECO","status",111,86.41,90.93,90.93,90.93,90.93,90.93,90.93
"ECO","status",112,78.48,87.34,87.34,87.34,87.34,87.34,87.34
"ECO","status",113,100,100,100,100,100,100,100
"ECO","status",114,85.81,96.34,96.34,96.34,96.34,96.34,96.34
"ECO","status",115,90.45,97.54,97.54,97.54,97.54,97.54,97.54
"ECO","status",116,83.4,87.64,87.64,87.64,87.64,87.64,87.64
"ECO","status",117,68.57,76.56,76.56,76.56,76.56,76.56,76.56
"ECO","status",118,84.94,80.34,80.34,80.34,80.34,80.34,80.34
"ECO","status",119,70.17,80.34,80.34,80.34,80.34,80.34,80.34
"ECO","status",120,93.52,78.91,78.91,78.91,78.91,78.91,78.91
"ECO","status",121,76.18,80.34,80.34,80.34,80.34,80.34,80.34
"ECO","status",122,62.6,71.32,71.32,71.32,71.32,71.32,71.32
"ECO","status",123,71.88,85.46,85.46,85.46,85.46,85.46,85.46
"ECO","status",124,75.91,72.59,72.59,72.59,72.59,72.59,72.59
"ECO","status",125,68.25,68.2,68.2,68.2,68.2,68.2,68.2
"ECO","status",126,66.61,79.35,79.35,79.35,79.35,79.35,79.35
"ECO","status",127,17.77,23.7,23.7,23.7,23.7,23.7,23.7
"ECO","status",129,99.21,100,100,100,100,100,100
"ECO","status",130,91.17,100,100,100,100,100,100
"ECO","status",131,100,100,100,100,100,100,100
"ECO","status",132,100,100,100,100,100,100,100
"ECO","status",133,100,100,100,100,100,100,100
"ECO","status",134,100,100,100,100,100,100,100
"ECO","status",135,100,100,100,100,100,100,100
"ECO","status",136,100,100,100,100,100,100,100
"ECO","status",137,73.46,100,100,100,100,100,100
"ECO","status",138,43.38,54.73,54.73,54.73,54.73,54.73,54.73
"ECO","status",139,95.59,100,100,100,100,100,100
"ECO","status",140,33.53,35.51,35.51,35.51,35.51,35.51,35.51
"ECO","status",141,75.18,81.28,81.28,81.28,81.28,81.28,81.28
"ECO","status",143,48.78,52.21,52.21,52.21,52.21,52.21,52.21
"ECO","status",144,75.18,81.28,81.28,81.28,81.28,81.28,81.28
"ECO","status",145,100,100,100,100,100,100,100
"ECO","status",146,48.95,66.28,66.28,66.28,66.28,66.28,66.28
"ECO","status",147,11.57,41.71,41.71,41.71,41.71,41.71,41.71
"ECO","status",148,64.16,69.53,69.53,69.53,69.53,69.53,69.53
"ECO","status",149,NA,NA,NA,NA,NA,NA,NA
"ECO","status",150,NA,NA,NA,NA,NA,NA,NA
"ECO","status",151,48.95,66.28,66.28,66.28,66.28,66.28,66.28
"ECO","status",152,65.35,76.41,76.41,76.41,76.41,76.41,76.41
"ECO","status",153,42.88,55.12,55.12,55.12,55.12,55.12,55.12
"ECO","status",154,31.73,31.73,31.73,31.73,31.73,31.73,31.73
"ECO","status",155,72.53,99.25,99.25,99.25,99.25,99.25,99.25
"ECO","status",156,48.95,66.28,66.28,66.28,66.28,66.28,66.28
"ECO","status",157,64.16,69.53,69.53,69.53,69.53,69.53,69.53
"ECO","status",158,NA,NA,NA,NA,NA,NA,NA
"ECO","status",159,NA,NA,NA,NA,NA,NA,NA
"ECO","status",161,48.95,66.28,66.28,66.28,66.28,66.28,66.28
"ECO","status",162,94.5,100,100,100,100,100,100
"ECO","status",163,99.66,99.82,99.82,99.82,99.82,99.82,99.82
"ECO","status",164,100,100,100,100,100,100,100
"ECO","status",166,81.17,85.89,85.89,85.89,85.89,85.89,85.89
"ECO","status",167,74.2,100,100,100,100,100,100
"ECO","status",168,59.04,75.25,75.25,75.25,75.25,75.25,75.25
"ECO","status",169,29.41,29.78,29.78,29.78,29.78,29.78,29.78
"ECO","status",171,100,100,100,100,100,100,100
"ECO","status",172,100,100,100,100,100,100,100
"ECO","status",173,100,100,100,100,100,100,100
"ECO","status",174,100,100,100,100,100,100,100
"ECO","status",175,60.41,65.9,65.9,65.9,65.9,65.9,65.9
"ECO","status",176,100,100,100,100,100,100,100
"ECO","status",177,71.3,74.44,74.44,74.44,74.44,74.44,74.44
"ECO","status",178,100,100,100,100,100,100,100
"ECO","status",179,100,100,100,100,100,100,100
"ECO","status",180,83.07,92.86,92.86,92.86,92.86,92.86,92.86
"ECO","status",181,91.71,100,100,100,100,100,100
"ECO","status",182,100,100,100,100,100,100,100
"ECO","status",183,100,100,100,100,100,100,100
"ECO","status",184,100,100,100,100,100,100,100
"ECO","status",185,96.89,97.23,97.23,97.23,97.23,97.23,97.23
"ECO","status",186,100,95.15,95.15,95.15,95.15,95.15,95.15
"ECO","status",187,100,100,100,100,100,100,100
"ECO","status",188,100,100,100,100,100,100,100
"ECO","status",189,100,100,100,100,100,100,100
"ECO","status",190,47.84,88.47,88.47,88.47,88.47,88.47,88.47
"ECO","status",191,36.06,62.16,62.16,62.16,62.16,62.16,62.16
"ECO","status",192,37.52,73.95,73.95,73.95,73.95,73.95,73.95
"ECO","status",193,8.61,26.33,26.33,26.33,26.33,26.33,26.33
"ECO","status",194,100,100,100,100,100,100,100
"ECO","status",195,100,100,100,100,100,100,100
"ECO","status",196,50.89,59.79,59.79,59.79,59.79,59.79,59.79
"ECO","status",197,100,100,100,100,100,100,100
"ECO","status",198,58.56,81.76,81.76,81.76,81.76,81.76,81.76
"ECO","status",199,94.48,100,100,100,100,100,100
"ECO","status",200,85.4,100,100,100,100,100,100
"ECO","status",202,100,100,100,100,100,100,100
"ECO","status",203,100,100,100,100,100,100,100
"ECO","status",204,100,100,100,100,100,100,100
"ECO","status",205,77.22,94.62,94.62,94.62,94.62,94.62,94.62
"ECO","status",206,80.35,69.05,69.05,69.05,69.05,69.05,69.05
"ECO","status",207,72.99,87.88,87.88,87.88,87.88,87.88,87.88
"ECO","status",208,100,100,100,100,100,100,100
"ECO","status",209,100,99.25,99.25,99.25,99.25,99.25,99.25
"ECO","status",210,100,100,100,100,100,100,100
"ECO","status",212,100,100,100,100,100,100,100
"ECO","status",213,NA,NA,NA,NA,NA,NA,NA
"ECO","status",214,100,100,100,100,100,100,100
"ECO","status",215,100,100,100,100,100,100,100
"ECO","status",216,67.09,98.79,98.79,98.79,98.79,98.79,98.79
"ECO","status",218,100,100,100,100,100,100,100
"ECO","status",219,58.62,58.62,58.62,58.62,58.62,58.62,58.62
"ECO","status",220,76.18,80.34,80.34,80.34,80.34,80.34,80.34
"ECO","status",221,76.18,80.34,80.34,80.34,80.34,80.34,80.34
"ECO","status",222,100,100,100,100,100,100,100
"ECO","status",223,65.59,72.47,72.47,72.47,72.47,72.47,72.47
"ECO","status",224,95.47,100,100,100,100,100,100
"ECO","status",227,75.18,81.28,81.28,81.28,81.28,81.28,81.28
"ECO","status",228,75.18,81.28,81.28,81.28,81.28,81.28,81.28
"ECO","status",231,0.04,0.04,0.04,0.04,0.04,0.04,0.04
"ECO","status",232,100,100,100,100,100,100,100
"ECO","status",237,76.08,89.58,89.58,89.58,89.58,89.58,89.58
"ECO","status",244,72.67,75.24,75.24,75.24,75.24,75.24,75.24
"ECO","status",245,72.67,75.24,75.24,75.24,75.24,75.24,75.24
"ECO","status",247,88.22,73.03,73.03,73.03,73.03,73.03,73.03
"ECO","status",248,72.67,75.24,75.24,75.24,75.24,75.24,75.24
"ECO","status",249,72.67,75.24,75.24,75.24,75.24,75.24,75.24
"ECO","status",250,100,100,100,100,100,100,100
"LIV","status",0,77.56,77.28,77.28,77.28,77.28,77.28,77.28
"LIV","status",1,77.86,85.4,85.39,85.39,85.39,85.39,85.39
"LIV","status",2,77.86,85.4,85.39,85.39,85.39,85.39,85.39
"LIV","status",3,77.86,85.4,85.39,85.39,85.39,85.39,85.39
"LIV","status",4,NA,NA,NA,NA,NA,NA,NA
"LIV","status",5,100,100,100,100,100,100,100
"LIV","status",6,100,100,100,100,100,100,100
"LIV","status",7,100,100,100,100,100,100,100
"LIV","status",8,83.08,83.08,83.08,83.08,83.08,83.08,83.08
"LIV","status",9,84.16,84.02,84.02,84.02,84.02,84.02,84.02
"LIV","status",10,84.16,84.02,84.02,84.02,84.02,84.02,84.02
"LIV","status",11,84.16,84.02,84.02,84.02,84.02,84.02,84.02
"LIV","status",12,84.16,84.02,84.02,84.02,84.02,84.02,84.02
"LIV","status",13,98.49,93.66,93.66,93.66,93.66,93.66,93.66
"LIV","status",14,100,74.53,74.53,74.53,74.53,74.53,74.53
"LIV","status",15,58.68,54.62,54.62,54.62,54.62,54.62,54.62
"LIV","status",16,73.42,82.47,82.47,82.47,82.47,82.47,82.47
"LIV","status",17,100,100,100,100,100,100,100
"LIV","status",18,77.41,76.88,76.88,76.88,76.88,76.88,76.88
"LIV","status",19,100,100,100,100,100,100,100
"LIV","status",20,74.72,79.12,79.12,79.12,79.12,79.12,79.12
"LIV","status",21,82.46,84.35,84.36,84.36,84.36,84.36,84.36
"LIV","status",24,50.34,49.88,49.88,49.88,49.88,49.88,49.88
"LIV","status",25,46.73,53.28,53.28,53.28,53.28,53.28,53.28
"LIV","status",26,69.96,60.54,60.54,60.54,60.54,60.54,60.54
"LIV","status",28,92.26,89.94,89.94,89.94,89.94,89.94,89.94
"LIV","status",29,100,100,100,100,100,100,100
"LIV","status",30,90.83,86.79,86.78,86.78,86.78,86.78,86.78
"LIV","status",31,100,100,100,100,100,100,100
"LIV","status",32,82.41,82.31,82.31,82.31,82.31,82.31,82.31
"LIV","status",33,90.83,86.79,86.78,86.78,86.78,86.78,86.78
"LIV","status",34,NA,NA,NA,NA,NA,NA,NA
"LIV","status",35,NA,NA,NA,NA,NA,NA,NA
"LIV","status",36,NA,NA,NA,NA,NA,NA,NA
"LIV","status",37,58.54,59.61,59.61,59.61,59.61,59.61,59.61
"LIV","status",38,55.59,55.69,55.7,55.7,55.7,55.7,55.7
"LIV","status",39,100,100,100,100,100,100,100
"LIV","status",40,100,60,60,60,60,60,60
"LIV","status",41,100,100,100,100,100,100,100
"LIV","status",42,59.82,61.86,61.86,61.86,61.86,61.86,61.86
"LIV","status",43,96.49,95.85,95.85,95.85,95.85,95.85,95.85
"LIV","status",44,90.83,86.79,86.78,86.78,86.78,86.78,86.78
"LIV","status",45,90.83,0.25,0.25,0.25,0.25,0.25,0.25
"LIV","status",46,90.83,86.79,86.78,86.78,86.78,86.78,86.78
"LIV","status",47,100,100,100,100,100,100,100
"LIV","status",48,100,100,100,100,100,100,100
"LIV","status",49,62.77,63.76,63.76,63.76,63.76,63.76,63.76
"LIV","status",50,100,100,100,100,100,100,100
"LIV","status",51,100,100,100,100,100,100,100
"LIV","status",52,74.61,75.73,75.73,75.73,75.73,75.73,75.73
"LIV","status",53,57.48,57.43,57.43,57.43,57.43,57.43,57.43
"LIV","status",54,100,100,100,100,100,100,100
"LIV","status",55,75.34,77.48,77.43,77.43,77.43,77.43,77.43
"LIV","status",56,100,100,100,100,100,100,100
"LIV","status",57,75.34,77.48,77.43,77.43,77.43,77.43,77.43
"LIV","status",58,75.34,77.48,77.43,77.43,77.43,77.43,77.43
"LIV","status",59,53.38,60.99,60.99,60.99,60.99,60.99,60.99
"LIV","status",60,100,100,100,100,100,100,100
"LIV","status",61,96.46,97.09,97.09,97.09,97.09,97.09,97.09
"LIV","status",62,100,100,100,100,100,100,100
"LIV","status",63,92.12,88.83,88.86,88.86,88.86,88.86,88.86
"LIV","status",64,95.65,92.82,92.82,92.82,92.82,92.82,92.82
"LIV","status",65,100,100,100,100,100,100,100
"LIV","status",66,100,100,100,100,100,100,100
"LIV","status",67,56.82,56.82,56.82,56.82,56.82,56.82,56.82
"LIV","status",68,98.71,97.94,97.94,97.94,97.94,97.94,97.94
"LIV","status",69,46.21,64.34,64.34,64.34,64.34,64.34,64.34
"LIV","status",70,69.32,71.61,71.61,71.61,71.61,71.61,71.61
"LIV","status",71,64.09,64.09,64.09,64.09,64.09,64.09,64.09
"LIV","status",72,71.7,71.1,71.1,71.1,71.1,71.1,71.1
"LIV","status",73,61.24,72.45,72.45,72.45,72.45,72.45,72.45
"LIV","status",74,98.14,98.11,98.12,98.12,98.12,98.12,98.12
"LIV","status",75,92.79,92.79,92.79,92.79,92.79,92.79,92.79
"LIV","status",76,100,100,100,100,100,100,100
"LIV","status",77,100,100,100,100,100,100,100
"LIV","status",78,99.6,99.57,99.57,99.57,99.57,99.57,99.57
"LIV","status",79,100,100,100,100,100,100,100
"LIV","status",80,89.29,88.51,88.51,88.51,88.51,88.51,88.51
"LIV","status",81,65.41,61.48,61.48,61.48,61.48,61.48,61.48
"LIV","status",82,100,100,100,100,100,100,100
"LIV","status",84,100,100,100,100,100,100,100
"LIV","status",85,79.1,71.5,71.5,71.5,71.5,71.5,71.5
"LIV","status",86,67.91,60.47,60.47,60.47,60.47,60.47,60.47
"LIV","status",88,79.1,71.5,71.5,71.5,71.5,71.5,71.5
"LIV","status",89,NA,NA,NA,NA,NA,NA,NA
"LIV","status",90,NA,NA,NA,NA,NA,NA,NA
"LIV","status",91,NA,NA,NA,NA,NA,NA,NA
"LIV","status",92,NA,NA,NA,NA,NA,NA,NA
"LIV","status",93,NA,NA,NA,NA,NA,NA,NA
"LIV","status",94,NA,NA,NA,NA,NA,NA,NA
"LIV","status",95,85.6,85.58,85.58,85.58,85.58,85.58,85.58
"LIV","status",96,85.88,85.88,85.88,85.88,85.88,85.88,85.88
"LIV","status",97,100,100,100,100,100,100,100
"LIV","status",98,100,100,100,100,100,100,100
"LIV","status",99,47.8,48.64,48.64,48.64,48.64,48.64,48.64
"LIV","status",100,88.68,88.7,88.7,88.7,88.7,88.7,88.7
"LIV","status",101,100,100,100,100,100,100,100
"LIV","status",102,100,100,100,100,100,100,100
"LIV","status",103,100,100,100,100,100,100,100
"LIV","status",104,10.86,10.86,10.86,10.86,10.86,10.86,10.86
"LIV","status",105,NA,NA,NA,NA,NA,NA,NA
"LIV","status",106,100,78.71,78.71,78.71,78.71,78.71,78.71
"LIV","status",107,NA,NA,NA,NA,NA,NA,NA
"LIV","status",108,100,61.86,61.86,61.86,61.86,61.86,61.86
"LIV","status",110,65.28,67.61,67.61,67.61,67.61,67.61,67.61
"LIV","status",111,92.41,92.53,92.53,92.53,92.53,92.53,92.53
"LIV","status",112,93.42,93.19,93.19,93.19,93.19,93.19,93.19
"LIV","status",113,100,100,100,100,100,100,100
"LIV","status",114,100,100,100,100,100,100,100
"LIV","status",115,100,100,100,100,100,100,100
"LIV","status",116,51.16,52.09,52.09,52.09,52.09,52.09,52.09
"LIV","status",117,95.67,95.67,95.67,95.67,95.67,95.67,95.67
"LIV","status",118,87.44,49.43,49.43,49.43,49.43,49.43,49.43
"LIV","status",119,66.6,40.15,40.15,40.15,40.15,40.15,40.15
"LIV","status",120,100,100,100,100,100,100,100
"LIV","status",121,93.64,92.73,92.82,92.82,92.82,92.82,92.82
"LIV","status",122,69.15,68.25,68.25,68.25,68.25,68.25,68.25
"LIV","status",123,100,100,100,100,100,100,100
"LIV","status",124,100,100,100,100,100,100,100
"LIV","status",125,100,100,100,100,100,100,100
"LIV","status",126,100,76.33,76.33,76.33,76.33,76.33,76.33
"LIV","status",127,45.37,44.68,44.68,44.68,44.68,44.68,44.68
"LIV","status",129,100,100,100,100,100,100,100
"LIV","status",130,46.68,53.64,53.64,53.64,53.64,53.64,53.64
"LIV","status",131,50.27,51.24,51.24,51.24,51.24,51.24,51.24
"LIV","status",132,89.67,89.67,89.67,89.67,89.67,89.67,89.67
"LIV","status",133,70.15,76.02,76.02,76.02,76.02,76.02,76.02
"LIV","status",134,45.25,45.78,45.78,45.78,45.78,45.78,45.78
"LIV","status",135,41.95,46.96,46.96,46.96,46.96,46.96,46.96
"LIV","status",136,100,100,100,100,100,100,100
"LIV","status",137,100,100,100,100,100,100,100
"LIV","status",138,59.14,61.65,61.65,61.65,61.65,61.65,61.65
"LIV","status",139,44.62,55.66,55.66,55.66,55.66,55.66,55.66
"LIV","status",140,96.46,96.48,96.48,96.48,96.48,96.48,96.48
"LIV","status",141,79.1,71.5,71.5,71.5,71.5,71.5,71.5
"LIV","status",143,100,70.07,70.07,70.07,70.07,70.07,70.07
"LIV","status",144,79.1,71.5,71.5,71.5,71.5,71.5,71.5
"LIV","status",145,100,100,100,100,100,100,100
"LIV","status",146,77.96,78.56,78.54,78.54,78.54,78.54,78.54
"LIV","status",147,100,100,100,100,100,100,100
"LIV","status",148,84.16,84.02,84.02,84.02,84.02,84.02,84.02
"LIV","status",149,NA,NA,NA,NA,NA,NA,NA
"LIV","status",150,NA,NA,NA,NA,NA,NA,NA
"LIV","status",151,98.43,98.41,98.41,98.41,98.41,98.41,98.41
"LIV","status",152,3.1,3.34,3.34,3.34,3.34,3.34,3.34
"LIV","status",153,39.74,38.35,38.35,38.35,38.35,38.35,38.35
"LIV","status",154,77.96,78.56,78.54,78.54,78.54,78.54,78.54
"LIV","status",155,100,100,100,100,100,100,100
"LIV","status",156,77.96,78.56,78.54,78.54,78.54,78.54,78.54
"LIV","status",157,84.16,84.02,84.02,84.02,84.02,84.02,84.02
"LIV","status",158,NA,NA,NA,NA,NA,NA,NA
"LIV","status",159,NA,NA,NA,NA,NA,NA,NA
"LIV","status",161,77.96,78.56,78.54,78.54,78.54,78.54,78.54
"LIV","status",162,100,100,100,100,100,100,100
"LIV","status",163,65.69,68.77,68.77,68.77,68.77,68.77,68.77
"LIV","status",164,100,100,100,100,100,100,100
"LIV","status",166,98.74,98.64,98.64,98.64,98.64,98.64,98.64
"LIV","status",167,47.63,46.82,46.82,46.82,46.82,46.82,46.82
"LIV","status",168,98.47,92.4,92.4,92.4,92.4,92.4,92.4
"LIV","status",169,81.05,81.05,81.05,81.05,81.05,81.05,81.05
"LIV","status",171,51.47,58.95,58.95,58.95,58.95,58.95,58.95
"LIV","status",172,76.36,77.42,77.42,77.42,77.42,77.42,77.42
"LIV","status",173,100,100,100,100,100,100,100
"LIV","status",174,57.2,64.48,64.48,64.48,64.48,64.48,64.48
"LIV","status",175,62.27,66.77,66.77,66.77,66.77,66.77,66.77
"LIV","status",176,73,78.62,78.62,78.62,78.62,78.62,78.62
"LIV","status",177,75.19,75.09,75.09,75.09,75.09,75.09,75.09
"LIV","status",178,60.46,62.99,62.99,62.99,62.99,62.99,62.99
"LIV","status",179,88.43,88.46,88.46,88.46,88.46,88.46,88.46
"LIV","status",180,83.1,68,68,68,68,68,68
"LIV","status",181,82.05,82.11,82.11,82.11,82.11,82.11,82.11
"LIV","status",182,77.93,79.43,79.43,79.43,79.43,79.43,79.43
"LIV","status",183,71.88,73.53,73.53,73.53,73.53,73.53,73.53
"LIV","status",184,67.16,71.23,71.23,71.23,71.23,71.23,71.23
"LIV","status",185,77.42,80.51,80.52,80.52,80.52,80.52,80.52
"LIV","status",186,90.54,90.54,90.54,90.54,90.54,90.54,90.54
"LIV","status",187,86.49,85.9,85.9,85.9,85.9,85.9,85.9
"LIV","status",188,100,100,100,100,100,100,100
"LIV","status",189,44.06,52.42,52.42,52.42,52.42,52.42,52.42
"LIV","status",190,78.53,79.12,79.12,79.12,79.12,79.12,79.12
"LIV","status",191,100,100,100,100,100,100,100
"LIV","status",192,100,100,100,100,100,100,100
"LIV","status",193,95.65,92.82,92.82,92.82,92.82,92.82,92.82
"LIV","status",194,100,100,100,100,100,100,100
"LIV","status",195,79.84,74.7,74.7,74.7,74.7,74.7,74.7
"LIV","status",196,100,100,100,100,100,100,100
"LIV","status",197,75.64,77.25,77.25,77.25,77.25,77.25,77.25
"LIV","status",198,55.81,57.04,57.04,57.04,57.04,57.04,57.04
"LIV","status",199,100,100,100,100,100,100,100
"LIV","status",200,86.73,86.86,86.86,86.86,86.86,86.86,86.86
"LIV","status",202,100,100,100,100,100,100,100
"LIV","status",203,45.18,46.04,46.04,46.04,46.04,46.04,46.04
"LIV","status",204,100,100,100,100,100,100,100
"LIV","status",205,100,100,100,100,100,100,100
"LIV","status",206,100,74.49,74.49,74.49,74.49,74.49,74.49
"LIV","status",207,95.47,95.47,95.47,95.47,95.47,95.47,95.47
"LIV","status",208,81.14,85.42,85.42,85.42,85.42,85.42,85.42
"LIV","status",209,83.55,86.84,86.84,86.84,86.84,86.84,86.84
"LIV","status",210,61.81,62.62,62.62,62.62,62.62,62.62,62.62
"LIV","status",212,66.94,72.47,72.47,72.47,72.47,72.47,72.47
"LIV","status",213,NA,NA,NA,NA,NA,NA,NA
"LIV","status",214,100,91.33,91.33,91.33,91.33,91.33,91.33
"LIV","status",215,58.66,57.38,57.38,57.38,57.38,57.38,57.38
"LIV","status",216,62.88,38.4,38.4,38.4,38.4,38.4,38.4
"LIV","status",218,77.61,73.48,73.48,73.48,73.48,73.48,73.48
"LIV","status",219,99.9,99.9,99.9,99.9,99.9,99.9,99.9
"LIV","status",220,93.64,92.73,92.82,92.82,92.82,92.82,92.82
"LIV","status",221,93.64,92.73,92.82,92.82,92.82,92.82,92.82
"LIV","status",222,100,100,100,100,100,100,100
"LIV","status",223,66.23,76.02,76.02,76.02,76.02,76.02,76.02
"LIV","status",224,100,100,100,100,100,100,100
"LIV","status",227,79.1,71.5,71.5,71.5,71.5,71.5,71.5
"LIV","status",228,79.1,71.5,71.5,71.5,71.5,71.5,71.5
"LIV","status",231,82.58,82.58,82.58,82.58,82.58,82.58,82.58
"LIV","status",232,79.34,79.34,79.34,79.34,79.34,79.34,79.34
"LIV","status",237,69.96,60.54,60.54,60.54,60.54,60.54,60.54
"LIV","status",244,93.79,93.79,93.79,93.79,93.79,93.79,93.79
"LIV","status",245,93.79,93.79,93.79,93.79,93.79,93.79,93.79
"LIV","status",247,98.12,98.13,98.13,98.13,98.13,98.13,98.13
"LIV","status",248,93.79,93.79,93.79,93.79,93.79,93.79,93.79
"LIV","status",249,93.79,93.79,93.79,93.79,93.79,93.79,93.79
