"component_id","radical_include","component_label","goal","dimension","scenario","region_id","value","units","url","source","extra","location"
"fp_com_hb","yes","Commercial high bycatch","pressures","pressures",2016,NA,NA,NA,NA,"Halpern, B.S., Walbridge S., Selkoe, K.A., Kappel, C.V., Micheli, F., D'Agrosa, C., Bruno, J.F., Casey, K.S., Ebert, C., Fox, H.E., Fujita, R., Heinemann, D., Lenihan, H.S., Madin, E.M.P., Perry, M.T., Selig, E.R., Spalding, M., Steneck, R., Watson, R. (2008). A global map of human impact on marine ecosystems. Science, 3199(5865): 948-952. [https://doi.org/10.1126/science.1149345].; Pauly, D, and D Zeller, eds. (2015). Sea around us concepts, design and data. [http://www.seaaroundus.org/].","Modeled destructive commercial fishing practices by 5 gear types","layers"
"fp_com_lb","yes","Commercial low bycatch","pressures","pressures",2016,NA,NA,NA,NA,"Halpern, B.S., Walbridge S., Selkoe, K.A., Kappel, C.V., Micheli, F., D'Agrosa, C., Bruno, J.F., Casey, K.S., Ebert, C., Fox, H.E., Fujita, R., Heinemann, D., Lenihan, H.S., Madin, E.M.P., Perry, M.T., Selig, E.R., Spalding, M., Steneck, R., Watson, R. (2008). A global map of human impact on marine ecosystems. Science, 3199(5865): 948-952. [https://doi.org/10.1126/science.1149345].; Pauly, D, and D Zeller, eds. (2015). Sea around us concepts, design and data. [http://www.seaaroundus.org/].","Modeled destructive commercial fishing practices by 2 gear types","layers"
"fp_habitat","yes","Habitat protection, fish","resilience","resilience",2016,NA,NA,NA,NA,"Convention on Biological Diversity (CBD) [http://www.cbd.int/reports/search/default.shtml].","Survey responses by country to the Convention on Biologicial Diversity (CBD) Third National Report: habitat related questions","layers"
"fp_mora","yes","Fishing management","resilience","resilience",2016,NA,NA,NA,NA,"Mora, C., Myers, R.A., Coll, M., Libralato, S., Pitcher, T.J., Sumaila, R.U., & Worm, B. (2009). Management Effectiveness of the World's Marine Fisheries. PLoS Biol, 7(6), e1000131. [doi:10.1371/journal.pbio.1000131](https://doi.org/10.1371/journal.pbio.1000131)","Regulations and management of commerical fishing","layers"
"fp_mora_artisanal","yes","Artisanal fishing","resilience","resilience",2016,NA,NA,NA,NA,"Mora, C., Myers, R.A., Coll, M., Libralato, S., Pitcher, T.J., Sumaila, R.U., & Worm, B. (2009). Management Effectiveness of the World's Marine Fisheries. PLoS Biol, 7(6), e1000131. [doi:10.1371/journal.pbio.1000131](https://doi.org/10.1371/journal.pbio.1000131)","Regulations and management of artisanal fishing","layers"
"fp_mpa_coast","yes","Fishery protection, coast","resilience","resilience",2016,NA,NA,NA,NA,"Internal calculation","Protected marine areas within 3nm of coastline (lasting special places goal calculated for coastal zone)","layers"
"fp_mpa_eez","yes","Fishery protection, EEZ","resilience","resilience",2016,NA,NA,NA,NA,"Internal calculation","Protected marine areas within EEZ to protect fishery resource (lasting special places goal results)","layers"
"fp_targetharvest","yes","Targeted harvest","pressures","pressures",2016,NA,NA,NA,NA,"FAO fisheries statistics [http://www.fao.org/fishery/statistics/global-capture-production/en].","Targeted harvest of cetaceans and marine turtles","layers"
"fp_wildcaught_weight","no","Food provision weights","FP","status",2016,NA,NA,NA,NA,"FAO global aquaculture production [http://www.fao.org/fishery/statistics/global-aquaculture-production/en].; Pauly, D, and D Zeller, eds. (2015). Sea around us concepts, design and data. [http://www.seaaroundus.org/].","Proportion of wild caught fisheries to mariculture","layers"
"g_cites","yes","CITES commitement","resilience","resilience",2016,NA,NA,NA,NA,"CITES List of Contracting Parties [http://www.cites.org/eng/disc/parties/chronolo.php].","Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES) signatories","layers"
"g_mariculture","yes","Mariculture management","resilience","resilience",2016,NA,NA,NA,NA,"Convention on Biological Diversity (CBD) [http://www.cbd.int/reports/search/default.shtml].","Survey responses by country to the Convention on Biologicial Diversity (CBD) Third National Report: mariculture related questions","layers"
"g_msi_gov","yes","Mariculture sustain.","resilience","resilience",2016,NA,NA,NA,NA,"Trujillo P. (2008). Using a mariculture sustainability index to rank countries' performances. In: A comparative assessment of biodiversity, fisheries and aquaculture in 53 countries' Exclusive Economic Zones, Alder J, Pauly D, editors. Fisheries Centre Research Report, vol. 16(7) p. 28-56.","Mariculture practice assessment criteria from the Mariculture Sustainability Index (MSI)","layers"
"g_tourism","yes","Management of tourism","resilience","resilience",2016,NA,NA,NA,NA,"Convention on Biological Diversity (CBD) [http://www.cbd.int/reports/search/default.shtml].","Survey responses by country to the Convention on Biologicial Diversity (CBD) Third National Report: tourism related questions","layers"
"hab_extent","no","Habitat extent","CP","status",2016,NA,NA,"km2",NA,"Bridgham, S. D. , Megonigal, J. P. , Keller, J. K., et al. (2006). The carbon balance of North American Wetlands. Wetlands 26: 889-916.; Bruno, J. F. & Selig, E. R. (2007). Regional decline of coral cover in the Indo-Pacific: timing, extent, and subregional comparisons. PLoS ONE 2(8): e711. doi:10.1371/journal.pone.0000711.; Cavalieri, D. J., Parkinson, C. L., Gloersen, P. & Zwally, H. (2014). Sea ice concentrations from Nimbus-7 SMMR and DMSP SSM/I-SSMIS passive microwave data. 1979-2014. Boulder, Colorado USA: NASA National Snow and Ice Data Center Distributed Active Archive Center. [https://doi.org/10.5067/8GQ8LZQVL0VL].; Dahl, T. E. (2000). Status and trends of wetlands in the conterminous United States 1986 to 1997. U.S. Department of the Interior, Fish and Wildlife Service, Washington, D.C.; Hamilton, S. & Casey, D. (2014). Creation of a high spatiotemporal resolution global database of continuous mangrove forest cover for the 21st Century (CGMFC-21): a big-data fusion approach. [http://arxiv.org/ftp/arxiv/papers/1412/1412.0722.pdf].; Joint Nature Conservation Committee, JNCC. (2004). UK Lowland wetland habitats. [http://jncc.defra.gov.uk/page-1433].; Ministry for the Environment (2007). Environment New Zealand [http://www.mfe.govt.nz/sites/default/files/environment-nz07-dec07.pdf].; Schutte, V. G. W., Selig, E. R. & Bruno, J. F. (2010).  Regional spatio-temporal trends in Caribbean coral reef benthic communities. Marine Ecology Progress Series 402: 122.; Waycott, M., Duarte, C. M., Carruthers, T. J. B., Orth, R. J. et al. (2009). Accelerating loss of seagrasses across the globe threatens coastal ecosystems. Proceedings of the National Academy of Sciences 106(30):12377-12381.","Area of habitats: mangrove, saltmarsh, seagrass, soft-bottom, seaice, coral","layers"
"hab_extent","no","Habitat extent","CS","status",2016,NA,NA,"km2",NA,"Bridgham, S. D. , Megonigal, J. P. , Keller, J. K., et al. (2006). The carbon balance of North American Wetlands. Wetlands 26: 889-916.; Bruno, J. F. & Selig, E. R. (2007). Regional decline of coral cover in the Indo-Pacific: timing, extent, and subregional comparisons. PLoS ONE 2(8): e711. doi:10.1371/journal.pone.0000711.; Cavalieri, D. J., Parkinson, C. L., Gloersen, P. & Zwally, H. (2014). Sea ice concentrations from Nimbus-7 SMMR and DMSP SSM/I-SSMIS passive microwave data. 1979-2014. Boulder, Colorado USA: NASA National Snow and Ice Data Center Distributed Active Archive Center. [https://doi.org/10.5067/8GQ8LZQVL0VL].; Dahl, T. E. (2000). Status and trends of wetlands in the conterminous United States 1986 to 1997. U.S. Department of the Interior, Fish and Wildlife Service, Washington, D.C.; Hamilton, S. & Casey, D. (2014). Creation of a high spatiotemporal resolution global database of continuous mangrove forest cover for the 21st Century (CGMFC-21): a big-data fusion approach. [http://arxiv.org/ftp/arxiv/papers/1412/1412.0722.pdf].; Joint Nature Conservation Committee, JNCC. (2004). UK Lowland wetland habitats. [http://jncc.defra.gov.uk/page-1433].; Ministry for the Environment (2007). Environment New Zealand [http://www.mfe.govt.nz/sites/default/files/environment-nz07-dec07.pdf].; Schutte, V. G. W., Selig, E. R. & Bruno, J. F. (2010).  Regional spatio-temporal trends in Caribbean coral reef benthic communities. Marine Ecology Progress Series 402: 122.; Waycott, M., Duarte, C. M., Carruthers, T. J. B., Orth, R. J. et al. (2009). Accelerating loss of seagrasses across the globe threatens coastal ecosystems. Proceedings of the National Academy of Sciences 106(30):12377-12381.","Area of habitats: mangrove, saltmarsh, seagrass, soft-bottom, seaice, coral","layers"
"hab_extent","no","Habitat extent","HAB","status",2016,NA,NA,"km2",NA,"Bridgham, S. D. , Megonigal, J. P. , Keller, J. K., et al. (2006). The carbon balance of North American Wetlands. Wetlands 26: 889-916.; Bruno, J. F. & Selig, E. R. (2007). Regional decline of coral cover in the Indo-Pacific: timing, extent, and subregional comparisons. PLoS ONE 2(8): e711. doi:10.1371/journal.pone.0000711.; Cavalieri, D. J., Parkinson, C. L., Gloersen, P. & Zwally, H. (2014). Sea ice concentrations from Nimbus-7 SMMR and DMSP SSM/I-SSMIS passive microwave data. 1979-2014. Boulder, Colorado USA: NASA National Snow and Ice Data Center Distributed Active Archive Center. [https://doi.org/10.5067/8GQ8LZQVL0VL].; Dahl, T. E. (2000). Status and trends of wetlands in the conterminous United States 1986 to 1997. U.S. Department of the Interior, Fish and Wildlife Service, Washington, D.C.; Hamilton, S. & Casey, D. (2014). Creation of a high spatiotemporal resolution global database of continuous mangrove forest cover for the 21st Century (CGMFC-21): a big-data fusion approach. [http://arxiv.org/ftp/arxiv/papers/1412/1412.0722.pdf].; Joint Nature Conservation Committee, JNCC. (2004). UK Lowland wetland habitats. [http://jncc.defra.gov.uk/page-1433].; Ministry for the Environment (2007). Environment New Zealand [http://www.mfe.govt.nz/sites/default/files/environment-nz07-dec07.pdf].; Schutte, V. G. W., Selig, E. R. & Bruno, J. F. (2010).  Regional spatio-temporal trends in Caribbean coral reef benthic communities. Marine Ecology Progress Series 402: 122.; Waycott, M., Duarte, C. M., Carruthers, T. J. B., Orth, R. J. et al. (2009). Accelerating loss of seagrasses across the globe threatens coastal ecosystems. Proceedings of the National Academy of Sciences 106(30):12377-12381.","Area of habitats: mangrove, saltmarsh, seagrass, soft-bottom, seaice, coral","layers"
"hab_health","yes","Habitat condition","CP","status",2016,NA,NA,NA,NA,"Bridgham, S. D. , Megonigal, J. P. , Keller, J. K., et al. (2006). The carbon balance of North American Wetlands. Wetlands 26: 889-916.; Bruno, J. F. & Selig, E. R. (2007). Regional decline of coral cover in the Indo-Pacific: timing, extent, and subregional comparisons. PLoS ONE 2(8): e711. doi:10.1371/journal.pone.0000711.; Cavalieri, D. J., Parkinson, C. L., Gloersen, P. & Zwally, H. (2014). Sea ice concentrations from Nimbus-7 SMMR and DMSP SSM/I-SSMIS passive microwave data. 1979-2014. Boulder, Colorado USA: NASA National Snow and Ice Data Center Distributed Active Archive Center. [https://doi.org/10.5067/8GQ8LZQVL0VL].; Dahl, T. E. (2000). Status and trends of wetlands in the conterminous United States 1986 to 1997. U.S. Department of the Interior, Fish and Wildlife Service, Washington, D.C.; FAO. (2007). The world's mangroves 1980-2005. FAO Forestry Paper 153.; Joint Nature Conservation Committee, JNCC. (2004). UK Lowland wetland habitats. [http://jncc.defra.gov.uk/page-1433].; Ministry for the Environment (2007). Environment New Zealand [http://www.mfe.govt.nz/sites/default/files/environment-nz07-dec07.pdf].; Schutte, V. G. W., Selig, E. R. & Bruno, J. F. (2010).  Regional spatio-temporal trends in Caribbean coral reef benthic communities. Marine Ecology Progress Series 402: 122.; Waycott, M., Duarte, C. M., Carruthers, T. J. B., Orth, R. J. et al. (2009). Accelerating loss of seagrasses across the globe threatens coastal ecosystems. Proceedings of the National Academy of Sciences 106(30):12377-12381.","Current condition of habitat relative to historical condition","layers"
"hab_health","yes","Habitat condition","CS","status",2016,NA,NA,NA,NA,"Bridgham, S. D. , Megonigal, J. P. , Keller, J. K., et al. (2006). The carbon balance of North American Wetlands. Wetlands 26: 889-916.; Bruno, J. F. & Selig, E. R. (2007). Regional decline of coral cover in the Indo-Pacific: timing, extent, and subregional comparisons. PLoS ONE 2(8): e711. doi:10.1371/journal.pone.0000711.; Cavalieri, D. J., Parkinson, C. L., Gloersen, P. & Zwally, H. (2014). Sea ice concentrations from Nimbus-7 SMMR and DMSP SSM/I-SSMIS passive microwave data. 1979-2014. Boulder, Colorado USA: NASA National Snow and Ice Data Center Distributed Active Archive Center. [https://doi.org/10.5067/8GQ8LZQVL0VL].; Dahl, T. E. (2000). Status and trends of wetlands in the conterminous United States 1986 to 1997. U.S. Department of the Interior, Fish and Wildlife Service, Washington, D.C.; FAO. (2007). The world's mangroves 1980-2005. FAO Forestry Paper 153.; Joint Nature Conservation Committee, JNCC. (2004). UK Lowland wetland habitats. [http://jncc.defra.gov.uk/page-1433].; Ministry for the Environment (2007). Environment New Zealand [http://www.mfe.govt.nz/sites/default/files/environment-nz07-dec07.pdf].; Schutte, V. G. W., Selig, E. R. & Bruno, J. F. (2010).  Regional spatio-temporal trends in Caribbean coral reef benthic communities. Marine Ecology Progress Series 402: 122.; Waycott, M., Duarte, C. M., Carruthers, T. J. B., Orth, R. J. et al. (2009). Accelerating loss of seagrasses across the globe threatens coastal ecosystems. Proceedings of the National Academy of Sciences 106(30):12377-12381.","Current condition of habitat relative to historical condition","layers"
"hab_health","yes","Habitat condition","HAB","status",2016,NA,NA,NA,NA,"Bridgham, S. D. , Megonigal, J. P. , Keller, J. K., et al. (2006). The carbon balance of North American Wetlands. Wetlands 26: 889-916.; Bruno, J. F. & Selig, E. R. (2007). Regional decline of coral cover in the Indo-Pacific: timing, extent, and subregional comparisons. PLoS ONE 2(8): e711. doi:10.1371/journal.pone.0000711.; Cavalieri, D. J., Parkinson, C. L., Gloersen, P. & Zwally, H. (2014). Sea ice concentrations from Nimbus-7 SMMR and DMSP SSM/I-SSMIS passive microwave data. 1979-2014. Boulder, Colorado USA: NASA National Snow and Ice Data Center Distributed Active Archive Center. [https://doi.org/10.5067/8GQ8LZQVL0VL].; Dahl, T. E. (2000). Status and trends of wetlands in the conterminous United States 1986 to 1997. U.S. Department of the Interior, Fish and Wildlife Service, Washington, D.C.; FAO. (2007). The world's mangroves 1980-2005. FAO Forestry Paper 153.; Joint Nature Conservation Committee, JNCC. (2004). UK Lowland wetland habitats. [http://jncc.defra.gov.uk/page-1433].; Ministry for the Environment (2007). Environment New Zealand [http://www.mfe.govt.nz/sites/default/files/environment-nz07-dec07.pdf].; Schutte, V. G. W., Selig, E. R. & Bruno, J. F. (2010).  Regional spatio-temporal trends in Caribbean coral reef benthic communities. Marine Ecology Progress Series 402: 122.; Waycott, M., Duarte, C. M., Carruthers, T. J. B., Orth, R. J. et al. (2009). Accelerating loss of seagrasses across the globe threatens coastal ecosystems. Proceedings of the National Academy of Sciences 106(30):12377-12381.","Current condition of habitat relative to historical condition","layers"
"hab_trend","yes","Habitat condition trend","CP","trend",2016,NA,NA,NA,NA,"Bridgham, S. D. , Megonigal, J. P. , Keller, J. K., et al. (2006). The carbon balance of North American Wetlands. Wetlands 26: 889-916.; Bruno, J. F. & Selig, E. R. (2007). Regional decline of coral cover in the Indo-Pacific: timing, extent, and subregional comparisons. PLoS ONE 2(8): e711. doi:10.1371/journal.pone.0000711.; Cavalieri, D. J., Parkinson, C. L., Gloersen, P. & Zwally, H. (2014). Sea ice concentrations from Nimbus-7 SMMR and DMSP SSM/I-SSMIS passive microwave data. 1979-2014. Boulder, Colorado USA: NASA National Snow and Ice Data Center Distributed Active Archive Center. [https://doi.org/10.5067/8GQ8LZQVL0VL].; Dahl, T. E. (2000). Status and trends of wetlands in the conterminous United States 1986 to 1997. U.S. Department of the Interior, Fish and Wildlife Service, Washington, D.C.; Hamilton, S. & Casey, D. (2014). Creation of a high spatiotemporal resolution global database of continuous mangrove forest cover for the 21st Century (CGMFC-21): a big-data fusion approach. [http://arxiv.org/ftp/arxiv/papers/1412/1412.0722.pdf].; Joint Nature Conservation Committee, JNCC. (2004). UK Lowland wetland habitats. [http://jncc.defra.gov.uk/page-1433].; Ministry for the Environment (2007). Environment New Zealand [http://www.mfe.govt.nz/sites/default/files/environment-nz07-dec07.pdf].; Schutte, V. G. W., Selig, E. R. & Bruno, J. F. (2010).  Regional spatio-temporal trends in Caribbean coral reef benthic communities. Marine Ecology Progress Series 402: 122.; Waycott, M., Duarte, C. M., Carruthers, T. J. B., Orth, R. J. et al. (2009). Accelerating loss of seagrasses across the globe threatens coastal ecosystems. Proceedings of the National Academy of Sciences 106(30):12377-12381.","Estimated change in habitat condition during most recent 5 years","layers"
"hab_trend","yes","Habitat condition trend","CS","trend",2016,NA,NA,NA,NA,"Bridgham, S. D. , Megonigal, J. P. , Keller, J. K., et al. (2006). The carbon balance of North American Wetlands. Wetlands 26: 889-916.; Bruno, J. F. & Selig, E. R. (2007). Regional decline of coral cover in the Indo-Pacific: timing, extent, and subregional comparisons. PLoS ONE 2(8): e711. doi:10.1371/journal.pone.0000711.; Cavalieri, D. J., Parkinson, C. L., Gloersen, P. & Zwally, H. (2014). Sea ice concentrations from Nimbus-7 SMMR and DMSP SSM/I-SSMIS passive microwave data. 1979-2014. Boulder, Colorado USA: NASA National Snow and Ice Data Center Distributed Active Archive Center. [https://doi.org/10.5067/8GQ8LZQVL0VL].; Dahl, T. E. (2000). Status and trends of wetlands in the conterminous United States 1986 to 1997. U.S. Department of the Interior, Fish and Wildlife Service, Washington, D.C.; Hamilton, S. & Casey, D. (2014). Creation of a high spatiotemporal resolution global database of continuous mangrove forest cover for the 21st Century (CGMFC-21): a big-data fusion approach. [http://arxiv.org/ftp/arxiv/papers/1412/1412.0722.pdf].; Joint Nature Conservation Committee, JNCC. (2004). UK Lowland wetland habitats. [http://jncc.defra.gov.uk/page-1433].; Ministry for the Environment (2007). Environment New Zealand [http://www.mfe.govt.nz/sites/default/files/environment-nz07-dec07.pdf].; Schutte, V. G. W., Selig, E. R. & Bruno, J. F. (2010).  Regional spatio-temporal trends in Caribbean coral reef benthic communities. Marine Ecology Progress Series 402: 122.; Waycott, M., Duarte, C. M., Carruthers, T. J. B., Orth, R. J. et al. (2009). Accelerating loss of seagrasses across the globe threatens coastal ecosystems. Proceedings of the National Academy of Sciences 106(30):12377-12381.","Estimated change in habitat condition during most recent 5 years","layers"
"hab_trend","yes","Habitat condition trend","HAB","trend",2016,NA,NA,NA,NA,"Bridgham, S. D. , Megonigal, J. P. , Keller, J. K., et al. (2006). The carbon balance of North American Wetlands. Wetlands 26: 889-916.; Bruno, J. F. & Selig, E. R. (2007). Regional decline of coral cover in the Indo-Pacific: timing, extent, and subregional comparisons. PLoS ONE 2(8): e711. doi:10.1371/journal.pone.0000711.; Cavalieri, D. J., Parkinson, C. L., Gloersen, P. & Zwally, H. (2014). Sea ice concentrations from Nimbus-7 SMMR and DMSP SSM/I-SSMIS passive microwave data. 1979-2014. Boulder, Colorado USA: NASA National Snow and Ice Data Center Distributed Active Archive Center. [https://doi.org/10.5067/8GQ8LZQVL0VL].; Dahl, T. E. (2000). Status and trends of wetlands in the conterminous United States 1986 to 1997. U.S. Department of the Interior, Fish and Wildlife Service, Washington, D.C.; Hamilton, S. & Casey, D. (2014). Creation of a high spatiotemporal resolution global database of continuous mangrove forest cover for the 21st Century (CGMFC-21): a big-data fusion approach. [http://arxiv.org/ftp/arxiv/papers/1412/1412.0722.pdf].; Joint Nature Conservation Committee, JNCC. (2004). UK Lowland wetland habitats. [http://jncc.defra.gov.uk/page-1433].; Ministry for the Environment (2007). Environment New Zealand [http://www.mfe.govt.nz/sites/default/files/environment-nz07-dec07.pdf].; Schutte, V. G. W., Selig, E. R. & Bruno, J. F. (2010).  Regional spatio-temporal trends in Caribbean coral reef benthic communities. Marine Ecology Progress Series 402: 122.; Waycott, M., Duarte, C. M., Carruthers, T. J. B., Orth, R. J. et al. (2009). Accelerating loss of seagrasses across the globe threatens coastal ecosystems. Proceedings of the National Academy of Sciences 106(30):12377-12381.","Estimated change in habitat condition during most recent 5 years","layers"
"hd_habitat","yes","Habitat protection","resilience","resilience",2016,NA,NA,NA,NA,"Convention on Biological Diversity (CBD) [http://www.cbd.int/reports/search/default.shtml].","Survey responses by country to the Convention on Biologicial Diversity (CBD) Third National Report: habitat related questions","layers"
"hd_intertidal","yes","Intertidal destruction","pressures","pressures",2016,NA,NA,NA,NA,"CIESIN & CIAT (Center for International Earth Science Information Network /Columbia University & Centro Internacional de Agricultura Tropical) (2005). Gridded Population of the World, Version 3 (GPWv3): Population Density Grid, Future Estimates. Palisades, NY. NASA Socioeconomic Data and Applications Center (SEDAC). [http://sedac.ciesin.columbia.edu/data/set/gpw-v3-population-density-future-estimates].","Coastal population density as a proxy for intertidal habitat destruction","layers"
"hd_mpa_coast","yes","Habitat protection, coast","resilience","resilience",2016,NA,NA,NA,NA,"Internal calculation","Protected marine areas within 3nm of coastline (lasting special places goal calculated for coastal zone)","layers"
"hd_mpa_eez","yes","Habitat protection, EEZ","resilience","resilience",2016,NA,NA,NA,NA,"Internal calculation","Protected marine areas within EEZ (lasting special places goal results)","layers"
"hd_subtidal_hb","yes","Hard bottom destruction","pressures","pressures",2016,NA,NA,NA,NA,"Reefs at Risk Revisited [http://www.wri.org/publication/reefs-at-risk-revisited].","High bycatch artisanal fishing practices (blast fishing) as a proxy for subtidal hard bottom habitat destruction","layers"
