eez_nam,global_cumulative_impact_2013_all_layers.gri,artisanal_fishing,demersal_destructive_fishing,demersal_nondest_high_bycatch,demersal_nondest_low_bycatch,inorganic,invasives,night_lights,ocean_acidification,ocean_pollution,oil_rigs,pelagic_high_bycatch,pelagic_low_bycatch,plumes_fert,plumes_pest,population,shipping,slr,uv,sst
Fiji,3.919800304,0.001566165,0.005718401,0.005469359,0.005235558,0.000726628,0.001868244,0.000118148,1.222570433,0.096650022,0,9.98E-05,0.004041795,0.000240009,2.70E-05,0.004591746,0.058773544,0.030354893,0.603939572,1.880759304
Tuvalu,3.659135517,7.30E-06,0.001191339,0.004256296,0.008270082,0,0.000393202,6.26E-06,1.148390205,0.029394265,0,0,0.009876989,0,0,0.000409018,0.016311286,0.005201091,0.636254796,1.801313564
South Korea,4.854164275,0.000890006,0.407025815,0.414759787,0.166533167,0.018081138,0.042379404,0.010589337,0.658169069,0.379835681,0,0,0.004095368,0.021833426,0.004412079,0.034733969,0.383587471,0.317120327,0.574473681,1.427366681
North Korea,3.610194911,0.001056128,0.166006276,0.10909113,0.051434515,0.033991005,0.049630564,0.000733571,0.713035641,0.23241609,0,0,0.014554061,0.006390425,0.001844362,0.040960088,0.126938866,0.277315246,0.473823421,1.323371534
Paracel Islands,4.347406892,0,0.145033444,0.173066621,0.068346428,0,0,1.87E-05,1.117370229,0.37806115,0,0.000978002,0.015215777,0,0,0,0.269926811,0.013222657,0.574363996,1.591803105
Spratly Islands,4.192743961,0,0.194409963,0.277338868,0.129654992,0,0,3.27E-06,1.088686053,0.258396134,0,0.021771464,0.055001914,0,0,0,0.185102622,0.022971074,0.572922414,1.386485133
Cambodia,4.088790139,0.000988281,0.491109812,0.395109549,0.160588786,0.011939139,0.034615503,0.000418573,0.472969482,0.26310665,0,1.42E-05,0.003958068,0.002867384,0.000164405,0.022827223,0.193499129,0.701266189,0.449931467,0.891788012
Thailand,3.972269994,0.003367537,0.295774108,0.205739049,0.106359428,0.023421938,0.036422242,0.004805844,0.688563978,0.213098534,0.000586101,0.001403275,0.004130784,0.02684449,0.00534162,0.025963753,0.18835489,0.441504255,0.434614223,1.274968076
Andaman and Nicobar,3.800458902,0.000349311,0.096585444,0.088624329,0.043416292,0.000851449,0.000407728,0.000117851,1.056535616,0.084238822,0,0.012660899,0.010476308,0.001607518,5.80E-06,0.00541676,0.05097095,0.037917067,0.645349893,1.667346753
Southern Kuriles,3.203456474,0.00034133,0.071491252,0.039401809,0.052512218,0.000389829,0.001021554,0.00011739,0.842180341,0.316989759,0,0,0.009421365,0.000722211,0.000109185,0.004505604,0.200978907,0.027834454,0.798808051,0.839130335
Comoro Islands,3.842926639,0.000467898,0.014594187,0.012061862,0.012945782,0.001622543,0.000966228,5.98E-05,1.120981266,0.13758413,0,0.003464337,0.010486215,0.00082716,0.000130308,0.003998446,0.077287325,0.008726551,0.684134705,1.755599523
Mayotte,3.733667958,0.000376921,0.013479705,0.004297551,0.020085309,0.000943689,0.00381234,0.001172878,1.104523444,0.112554097,0,0.002385737,0.026070383,0,0,0.006038389,0.061607985,0.031499949,0.706706554,1.641030697
Glorioso Islands,3.648137309,0,0.002272571,0.000355006,0.007096519,0,0,0,1.135619856,0.101980947,0,0,0.009790835,0,0,0,0.059236311,0.006510013,0.623841168,1.701434026
Seychelles,3.613043788,6.48E-05,0.002563664,0.00121073,0.00952419,4.37E-05,0.000618602,6.41E-05,1.096350063,0.079870043,0,0.006812625,0.013182108,1.70E-06,3.06E-07,0.000375582,0.046975934,0.017198993,0.631020844,1.707326952
Réunion,4.363981555,8.97E-05,0.000833397,0.000992161,0.004179364,0.001216385,0.000460786,0.000391569,1.181489094,0.242379737,0,0,0.005788798,0,0,0.000929892,0.140796387,0.001413049,0.803248747,1.980345996
Juan de Nova Island,3.834790205,0,0.001083263,0.000573681,0.003025171,0,0,0,1.121651666,0.159039139,0,0,0.004145284,0,0,0,0.094845003,0.001450219,0.666858627,1.782118105
Bassas da India,3.998035203,0,6.23E-07,9.49E-05,0.001975392,0,0,0,1.158621022,0.161961153,0,0,0.00277614,0,0,0,0.089996352,0.001489103,0.809627539,1.771492927
Ile Europa,3.85558959,0,0.000260159,0.000430516,0.002374613,0,0,0,1.171524401,0.078051233,0,0.003272193,0.00330711,0,0,0,0.043087772,0.000414836,0.840350548,1.71265904
Ile Tromelin,3.836852697,0,0.000138519,0.000440036,0.004931548,0,0,0,1.131637005,0.087580176,0,0,0.006948748,0,0,0,0.04717246,4.52E-05,0.707110722,1.850848167
Mauritius,3.782391462,8.08E-05,0.005280968,0.003404857,0.007431253,0.000417879,0.000229191,0.000133727,1.167632881,0.115334169,0,0.000231552,0.009283672,0.000375267,0.0002488,0.000431289,0.069518498,0.01004527,0.612131064,1.780327284
British Indian Ocean Territory,3.642682077,0,0.000860227,0.000779932,0.004044058,0,0.000319083,5.96E-05,1.107901411,0.112549122,0,6.94E-06,0.006000281,0,0,0,0.06265027,0.034091538,0.644960346,1.668459232
Maldives,3.728338351,0.001647849,0.016470222,0.003185826,0.022848918,2.84E-05,0.000362751,0.000558924,1.117547344,0.122824824,0,0.000131903,0.033724164,0,0,0.005652191,0.07631541,0.032189955,0.672078069,1.622771566
Sri Lanka,4.743749199,0.000465705,0.061559149,0.058900753,0.048984387,0.009409665,0.005352716,0.000885476,1.067618581,0.202985785,0,0.851725426,0.033557502,0.010442024,0.000396689,0.007526194,0.119483133,0.046742207,0.630427647,1.590494299
Mozambique,3.716476433,0.000954735,0.056690585,0.006929447,0.006057951,0.013159675,0.00863572,0.000211243,1.035007201,0.139415784,0,0.001943763,0.002500263,0.00568164,0.001072847,0.011353344,0.084590099,0.129019104,0.54892774,1.672870987
Madagascar,3.902117324,0.000959577,0.048089653,0.010837829,0.012003212,0.007804736,0.004309219,5.28E-05,1.109015465,0.122607852,0,0.000590947,0.007584517,0.000720006,2.05E-05,0.008161398,0.071132855,0.05891838,0.669702117,1.775430165
Kenya,3.397418591,0.00211092,0.021362686,0.010417165,0.006068669,0.017374354,0.002817897,0.000903171,1.036655494,0.056171357,0,0.012322101,0.002680884,0.012186454,0.001972977,0.012721638,0.029432166,0.045962547,0.448086202,1.687454795
Somalia,3.521595268,0.000234942,0.017229577,0.006307155,0.004898939,0.005748213,0.002600013,2.48E-05,1.05217635,0.091636361,0,0.004405699,0.003639771,0.000748894,0.00015075,0.005237758,0.054288956,0.032628389,0.562957965,1.681248966
Eritrea,3.063041036,0.003929084,0.043195846,0.024548729,0.011489959,0.012329181,0.032110765,0.000340227,0.684291345,0.221519228,0,1.27E-05,0.001286823,0.000139645,9.34E-06,0.033826956,0.176361794,0.4657328,0.290015853,1.07921076
Djibouti,4.034603689,0.00773353,0.173416353,0.066669453,0.042534888,0.030278971,0.108743727,0.005081326,1.029788049,0.220800376,0,0.19958872,0.004865036,0.002087525,0.00033477,0.074970371,0.134784314,0.222865141,0.327042125,1.415282403
Yemen,3.904652306,0.000386558,0.067051947,0.022498053,0.027857994,0.008014196,0.008967272,0.000480905,1.028356231,0.313935711,0,0.045922166,0.013641695,0.002089775,3.53E-05,0.006915102,0.214635252,0.050954134,0.494675958,1.602686345
Oman,4.06487705,0.000485199,0.035635101,0.016898147,0.01910969,0.003328567,0.003139523,0.001090715,1.016316871,0.316428658,5.48E-05,0.017954513,0.00696808,0.001430369,9.39E-05,0.005372451,0.203802077,0.04745644,0.596426984,1.778765144
Sudan,3.687754637,0.001050087,0.064720188,0.020866382,0.008871586,0.009556526,0.016328314,0.00060245,1.075228374,0.242613439,0,0.000482183,0.000244632,0.000629481,3.01E-05,0.01897602,0.19514819,0.221801351,0.281954577,1.54181145
Saudi Arabia,3.543471093,0.001962182,0.055179178,0.043471418,0.026259726,0.018084022,0.056602862,0.006912841,0.898922458,0.262158138,0.00331485,0.013848761,0.001497407,0.008355947,0.000429092,0.024519178,0.19902841,0.380751515,0.249183912,1.309182525
Kuwait,2.927306291,0.002665999,0.114719978,0.07520336,0.034644165,0.0647661,0.287094843,0.021418915,0.336264143,0.373586727,0.000518211,0.022088303,0.001969553,0.032895929,0.004250193,0.05076319,0.159043199,0.540921663,0.198459523,0.620259327
Bahrain,2.88579231,0.003139495,0.131687093,0.101764816,0.049591895,0.034604422,0.276740881,0.037970703,0.217743576,0.347780455,0.000152555,0.037990179,0.00174624,0.020215941,0.000507396,0.076391838,0.086365304,1.04251984,0.071947244,0.354849579
Pakistan,4.365115094,0.000167869,0.140443541,0.063109688,0.043390604,0.013966192,0.012190207,0.000676181,0.969263932,0.41087313,0,0,0.002487932,0.010935238,0.002755468,0.007916795,0.300329626,0.102975449,0.555591428,1.736609828
United Arab Emirates,3.371656221,0.001636918,0.19325705,0.181357721,0.107605263,0.028690798,0.216163224,0.014346732,0.299448665,0.405736192,0.001985574,0.096277974,0.003515669,0.024163665,0.002984835,0.037051358,0.174671183,0.913352526,0.176179325,0.498376289
Azores,4.35679546,1.91E-05,0.008195323,0.000986674,0.002668701,0.000281164,0.0004011,0.000230707,1.178422517,0.365340671,0,0,0.001969668,0.000525134,0.00012104,0.00083025,0.241382787,0.001133587,0.74586501,1.809242144
Cape Verde,4.38735305,8.95E-05,0.001990226,0.000786537,0.004463191,0.000465623,0.000591029,0.00010707,1.150446881,0.250005003,0,1.34E-07,0.004950685,0.000109698,1.59E-05,0.001453245,0.14352165,0.004177774,0.718753648,2.106796786
Madeira,4.30829865,1.78E-05,0.001084236,0.001983269,0.011484648,0.000432694,0.000136544,0.000229985,1.154403983,0.385007156,0,0,0.003324065,0.000224719,4.96E-05,0.000624234,0.236395193,0.001097823,0.830764844,1.681466902
Canary Islands,4.444997776,0.000121454,0.020775393,0.029732508,0.033184864,0.002681426,0.001012048,0.001066125,1.128499573,0.369175139,0,0.000545177,0.009762086,0.00112446,6.13E-05,0.003811614,0.233870947,0.007660189,0.788907135,1.816628558
Belgium,4.106631337,0.000408014,0.123165101,0.100988995,0.03722527,0.095138406,0.698687824,0.016648367,0.175554453,0.729055838,0,0,0.002878516,0.049097966,0.005334126,0.049259556,0.27356425,0.952262387,0.215811519,0.594784901
Gibraltar,5.104805862,0.001796818,0.1564586,0.131097891,0.140593825,0.207436955,0.153775978,0.028781913,0.975626406,0.895111308,0,0,0.024936742,0.078479718,0.006976992,0.060565125,0.657973384,0.087267281,0,1.50706062
Tunisia,4.387129439,0.002483731,0.135746381,0.135409329,0.071450769,0.030157538,0.0847585,0.004877682,0.869599358,0.424642527,0.001033511,0,0.012732898,0.016982548,0.002524936,0.026834661,0.405218934,0.284055082,0.433941466,1.454495093
Morocco,4.881796099,0.000629032,0.125126516,0.153189662,0.268921159,0.021073407,0.011921803,0.001608458,1.065600046,0.417337041,0,1.25E-05,0.01197998,0.014432014,0.003140979,0.011471356,0.3306385,0.041721612,0.693494927,1.713388433
Western Sahara,4.590924684,0.00010712,0.062875006,0.126452726,0.096651491,0.000486817,0.0073192,0.000194166,1.014037268,0.404602616,0,0.001143225,0.006761095,5.61E-07,4.05E-08,0.002888764,0.295328149,0.098767528,0.641314097,1.83658246
Mauritania,4.509454634,0.000326645,0.079303086,0.120865756,0.06858135,0.004661338,0.006095752,0.000198136,1.023886933,0.364774729,0.000357746,0.007333522,0.00403163,0.00099073,0.000110452,0.007833202,0.243041701,0.101226609,0.559099378,1.927160295
Gambia,4.514107836,0.000632476,0.054909388,0.058006651,0.065522086,0.017204055,0.037812536,0.001002455,1.036411756,0.306068531,0,0.039915262,0.004465889,0.007315791,0.003010887,0.008257605,0.209086342,0.095690391,0.679860093,1.889970567
Senegal,4.487717612,0.000325198,0.046542612,0.044453938,0.054040995,0.010265409,0.007922912,0.000669019,1.065824244,0.292137981,0,0.0210388,0.005139335,0.003656525,0.000396846,0.007071207,0.193182352,0.087367915,0.694509596,1.956707638
Libya,4.292130022,0.00087261,0.019413481,0.04427117,0.012339782,0.007770357,0.015924678,0.001574486,1.108437322,0.319568184,0.001599285,0.000224606,0.002510846,0.005919403,0.000896101,0.00760988,0.228402228,0.048177857,0.590620836,1.8791957
Malta,4.376712898,0.000266314,0.064958121,0.066366518,0.039278654,0.005611563,0.005469081,0.001317579,1.118532196,0.408654704,0,0,0.01640018,0.000709088,0.000366248,0.005019345,0.351128512,0.007175808,0.580123449,1.706458325
Latvia,4.05185178,0.000539557,0.013415893,0.167027686,0.167342062,0.044833837,0.133334298,0.00311705,0.017611345,0.43476676,0,0,0.107413762,0.048701248,0.009577715,0.027278998,0.47842226,0.403881241,0.537994593,1.471892711
Estonia,3.56630769,0.002097631,0.008319402,0.104148123,0.126000426,0.040520882,0.131749806,0.006512241,0.009501995,0.453340005,0,0,0.050289188,0.037842146,0.001830297,0.065237239,0.365691351,0.77886364,0.416271652,0.990086176
Bulgaria,4.652367225,0.001539571,0.010486517,0.005843991,0.03253371,0.023551447,0.039539199,0.003393182,0.984674074,0.487400013,0,0,0.001590624,0.026262052,0.004907479,0.014791104,0.450434291,0.058998435,0.467201323,2.047174359
Romania,4.460821156,0.001209138,0.000852757,0.001714145,0.009689252,0.030112605,0.042992391,0.001917931,0.829249313,0.44631151,0.00096284,0,3.01E-05,0.025919654,0.006771881,0.009524808,0.534595402,0.160399165,0.456341828,1.910432415
Russia,2.366766627,0.000275053,0.134676061,0.046128856,0.043691726,0.002129087,0.003644555,0.000287782,0.575970543,0.091902608,4.48E-06,6.51E-07,0.00057784,0.001058048,0.00024382,0.003646553,0.066380234,0.082077705,0.447648458,0.983511365
Georgia,4.401766489,0.001286937,0.012366416,0.011348679,0.045495436,0.04311012,0.025553202,0.004897658,1.117009314,0.360608841,0,0.000628256,0.00266236,0.013972461,0.003733116,0.024908874,0.269187535,0.060630766,0.435759459,1.98446891
Ukraine,4.105816503,0.001511501,0.003464266,0.003361719,0.036446952,0.045445818,0.086840399,0.00316189,0.772287563,0.396363754,0,0.000228179,0.000207881,0.044310055,0.014185659,0.029767208,0.293568884,0.404127812,0.438094589,1.547588373
Turkey,5.01478319,0.001713291,0.090200757,0.064208321,0.121302328,0.046886649,0.052784848,0.007808701,1.072232728,0.497299881,0,0.000164773,0.015977055,0.047968986,0.011628302,0.037915966,0.366605878,0.096425005,0.543590624,1.97294706
Syria,4.767428643,0.00278678,0.088077554,0.104141887,0.053033217,0.064616063,0.078697915,0.012125966,1.107703925,0.436764105,0,0.004915134,0.021975885,0.081484307,0.021164195,0.042860963,0.293280765,0.079874757,0.38314797,1.931253147
Lebanon,4.887297815,0.001080523,0.054720004,0.09365618,0.065074108,0.054892287,0.030043183,0.009100179,1.145841362,0.457905791,0,0.012598012,0.022484752,0.030046378,0.007855779,0.025503484,0.329005889,0.029361641,0.524125167,2.010186385
Israel,4.685343646,0.000608689,0.04897684,0.0844536,0.028157472,0.057124496,0.085638897,0.008089239,1.089634687,0.423119874,0,0.0148557,0.003223031,0.057504951,0.014777676,0.022910406,0.321850529,0.096617728,0.39100182,1.949088729
Greece,4.923766041,0.001976088,0.102872726,0.066453624,0.07720463,0.022437167,0.030963107,0.005400083,1.088050283,0.545393125,0,0,0.021434549,0.013085098,0.001983154,0.028634374,0.422414154,0.07429465,0.607562364,1.833572107
Cyprus,4.799973552,0.000453774,0.02684461,0.022212629,0.014619411,0.007933907,0.010244283,0.002543692,1.173006757,0.5010641,0,0.00077034,0.004301642,0.005634029,0.00161959,0.009577935,0.349776181,0.022155902,0.66489282,1.993441594
Albania,3.921128515,0.009251563,0.092650047,0.067914539,0.034889631,0.097421669,0.218966381,0.00572417,0.774902767,0.415262712,0,0,0.003264469,0.085038429,0.012712974,0.060708988,0.312450127,0.249954825,0.28878528,1.213849088
Algeria,4.807257343,0.001261913,0.042743095,0.125434129,0.099648904,0.033396882,0.020676413,0.003568944,1.117919403,0.588672194,0,0,0.010106358,0.011408379,0.002263266,0.016626179,0.434614139,0.022906529,0.714153592,1.566472013
Ascension,3.83584941,1.20E-06,7.20E-05,4.15E-05,0.00100498,1.11E-05,0.000266744,1.47E-05,1.108964624,0.048120137,0,0,0.001375982,0,0,0.000109938,0.026490979,0.000288483,0.717926203,1.931354279
Saint Helena,3.425000191,4.13E-06,0.000251303,6.37E-05,0.000853218,2.32E-05,3.22E-05,9.15E-07,1.064748319,0.048226649,0,5.55E-05,0.000468307,0,0,8.88E-05,0.025478188,0.000746788,0.799915448,1.484055023
Trindade,3.152380136,0,0.010359586,0.01121744,0.008475307,0,0,0,1.15325737,0.051841363,0,0.015862024,0.012561295,0,0,0,0.027667489,7.05E-05,0.823272225,1.037795534
Tristan da Cunha,3.552844285,3.37E-08,1.81E-05,0.000715195,0.000214503,2.69E-06,1.02E-05,0,1.0106003,0.035915458,0,0,0.000301195,0,0,3.64E-05,0.021060645,0.001234361,0.702857784,1.779961825
South Georgia and the South Sandwich Islands,2.826218022,0,0.002057939,5.09E-07,0.003769452,0,0.000237582,3.48E-07,0.764890974,0.022211773,0,0,9.58E-05,0,0,0,0.012295855,0.0041947,0.796404879,1.220333924
Prince Edward Islands,2.00342567,0,0.001536817,4.25E-05,1.51E-05,0,0,0,0.880639754,0.020110241,0,0,4.77E-05,0.000272139,3.87E-05,0,0.014241125,0.000466836,0.585663631,0.500366773
Crozet Islands,1.924748722,0,0.002430684,0.000172964,7.75E-05,0,0,0,0.874889713,0.014907416,0,0,0.000116125,0,0,0,0.009878144,0.002583774,0.627953788,0.391859598
Amsterdam Island and Saint Paul Island,2.786839408,0,0.000378247,0.000462732,0.000262761,0,0,0,1.134646679,0.028123568,0,0,0.000409749,0,0,0,0.017201116,0.000117221,0.688883721,0.916377139
Kerguelen Islands,2.04755571,0,0.028854725,0.000157358,3.92E-05,0,0,5.64E-07,0.763369657,0.017944045,0,0,0.000160207,0,0,0,0.012608525,0.018809084,0.644031628,0.562177849
Heard and McDonald Islands,2.78629604,0,0.022342628,0,4.77E-06,0,0,0,0.714680962,0.008810903,0,0,0.002177538,0,0,0,0.005315169,0.003644814,0.669596828,1.359996437
Falkland Islands,3.050194099,6.92E-05,0.092398551,0.010045028,0.003449722,0,0.000976403,1.84E-05,0.871123537,0.036028262,0,5.44E-07,3.20E-05,0,0,0.001284389,0.029630104,0.044633473,0.637688521,1.324698887
Sierra Leone,4.366426456,0.000213747,0.070019558,0.091746612,0.039890925,0.006807897,0.008326702,0.000119277,1.03655412,0.273384406,0,0.019296269,0.007456229,0.004325006,0.000493594,0.008040158,0.164719928,0.134900235,0.690044269,1.816809307
Liberia,4.163253131,0.0001564,0.017930916,0.023364997,0.011421874,0.00692754,0.013474716,0.000146792,1.098617286,0.244656216,0,0.041856503,0.004440424,0.002330051,0.000208517,0.003644877,0.146849638,0.03832979,0.643114517,1.870855141
Togo,4.361345473,0.000818865,0.151803744,0.07623624,0.100599002,0.013551241,0.077274195,0.001439426,1.243433764,0.286324746,0,0.17976634,0.033054458,0.003000058,0.000455258,0.007154915,0.220803763,0.061355914,0.311058323,1.599149648
Benin,4.075890033,0.001920066,0.071877954,0.067925955,0.046967646,0.02251172,0.038600082,0.001049127,1.240384772,0.275804179,0,0.089288806,0.030148928,0.007185437,0.001027261,0.007460184,0.240208892,0.084332871,0.268641201,1.588986879
République du Congo,3.931751755,0.000286212,0.06987128,0.126245172,0.028893948,0.014773819,0.032750699,0.00120408,0.946878915,0.179467829,0.031245147,0.165173624,0.002230144,0.000513653,6.32E-05,0.007687556,0.111085025,0.078823155,0.539818848,1.601616926
Namibia,3.536501216,0.000124305,0.017745846,0.006964452,0.083840949,0.002343236,0.001629115,0.00011466,1.017327497,0.163723506,0,0,0.000260533,0.000513117,0.000333311,0.001172053,0.126121419,0.019170636,0.622208525,1.475833953
South Africa,3.903127512,0.000187787,0.017183534,0.004487213,0.059668163,0.005499557,0.004009188,0.000543077,1.116245705,0.215529981,2.05E-05,0.000880374,0.001635483,0.003777508,0.000625069,0.003969669,0.159236725,0.025637221,0.712297685,1.574637156
Sao Tome and Principe,3.697326186,0.000163239,0.0086186,0.005865663,0.009985704,0.000890698,0.00143252,0.000150119,1.015711252,0.157885415,0,0.103196812,0.006728429,0,0,0.002562095,0.09520175,0.00892506,0.613767952,1.667800484
Equatorial Guinea,3.600300824,0.00014748,0.005407536,0.012166427,0.007850927,0.001253301,0.003823409,0.000159595,1.002708111,0.167381095,0.006214473,0.01422433,0.005751086,0.000798586,0.000115791,0.001811841,0.099866598,0.016020228,0.677393081,1.57853023
Bouvet Island,1.989953393,0,0,0,0,0,0,0,0.752021666,0.019553844,0,0,0,0,0,0,0.012888573,0.000153947,0.627584103,0.577755849
Ghana,4.408822279,7.96E-05,0.082122035,0.042211811,0.083492286,0.008870507,0.012374498,0.000630069,1.1038299,0.266830397,0,0.175056221,0.009357803,0.004413082,0.002000172,0.004564421,0.173498561,0.06690758,0.5933734,1.783747704
Clipperton Island,3.558910799,0,0.00024023,0.00226644,0.001345799,0,0,0,1.072945936,0.142179184,0,0.006760175,0.001998752,0,0,0,0.0783758,1.34E-05,0.773300786,1.479484236
Bermuda,3.712055945,0.000171381,0.000365222,0.000487027,0.002035985,8.98E-05,0.002128021,0.000203183,1.205318344,0.341523929,0,0.000447995,0.000705513,0,0,0.000407655,0.199959087,0.001579187,0.824202373,1.132455342
Galapagos Islands,2.871094948,2.67E-05,0.012898407,0.009303829,0.019523541,0.000105519,0,1.48E-05,0.9078235,0.116382885,0,0.002220955,0.012426033,0.000447528,8.72E-05,0.000560558,0.071237025,0.002790409,0.626810279,1.089159643
Bahamas,3.671044341,0.001279635,0.006648417,0.019244228,0.003715428,0.000815776,0.001947657,0.000809734,1.073183534,0.360073153,0,0.001378419,0.00044041,0.000289174,2.57E-05,0.007485595,0.232326183,0.083154326,0.60891076,1.273105645
Turks and Caicos Islands,4.322270292,0.00079653,0.02092544,0.012437151,0.010665432,0.000390221,0.002506369,0.00060426,1.209588487,0.371437601,0,0.003120399,0.00138446,0,0,0.003554409,0.229716093,0.035342056,0.660535751,1.761005538
Cuba,3.929734447,0.001393077,0.037696328,0.028107248,0.012393895,0.015533521,0.023630167,0.001131526,1.081423038,0.312158446,0,0.007823343,0.000285392,0.011696902,0.001058205,0.018941467,0.198258067,0.08693094,0.498872555,1.60613957
Cayman Islands,4.243988696,0.000214676,0.001031058,0.000331314,0.000705036,0.00052118,0.000926175,0.00074279,1.255996406,0.338056049,0,0.001134231,0.000135178,0,0,0.002083931,0.224132217,0.0015768,0.594701878,1.822484197
Haiti,4.410103516,0.003187051,0.044835214,0.026130148,0.012561526,0.021753572,0.010058013,0.000594695,1.188155459,0.318427537,0,0.003506358,0.00055439,0.001082829,0.000619857,0.022036704,0.197154811,0.017477814,0.559417015,1.997786261
Dominican Republic,4.610502001,0.000707751,0.022839873,0.016187114,0.010930262,0.010696808,0.012398262,0.001141599,1.208016855,0.379315677,0,0.006860724,0.003002857,0.005872175,0.002286371,0.008106088,0.230803459,0.018157067,0.637276262,2.042022213
Puerto Rico and Virgin Islands of the United States,4.638648381,0.004330033,0.019392693,0.012098177,0.010838669,0.010297904,0.020004677,0.003239786,1.204307711,0.403405966,0,0.01015828,0.001603847,5.22E-09,0,0.007753316,0.245221513,0.028133843,0.599659206,2.063870742
British Virgin Islands,4.633550216,0.000234438,0.005810446,0.005352005,0.004684707,0.00031411,0.0085289,0.001000716,1.221242115,0.404060963,0,0.006865376,0.001591703,0,0,0.00558099,0.250783645,0.027666145,0.66820934,2.023007082
