"targets","layer","name","description","fld_value","units","path_in","path_in_exists","filename","path_out"
"CW","cw_pathogen_trend","Pathogen pollution trend","Trends in percent of population without access to improved sanitation facilities as a proxy for pathogen pollution","trend","trend","../ohiprep/globalprep/prs_cw_pathogen/v2016/output/pathogens_popdensity25mi_trend_updated.csv",TRUE,"cw_pathogen_trend.csv","eez2016/layers/cw_pathogen_trend.csv"
"CW","cw_trash_trend","Plastic trash trends","Trends in trash estimated using improperly disposed of plastics","trend","trend","../ohiprep/globalprep/cw_trend_trash/v2016/output/cw_trash_trend_updated.csv",TRUE,"cw_trash_trend.csv","eez2016/layers/cw_trash_trend.csv"
"CWAO pressureCP pressureCS pressureCW pressureECO pressureHAB pressureICO pressureLIV pressureLSP pressureMAR pressureTR pressure","po_nutrients_3nm","Coastal nutrient pollution","Modeled nutrient pollution within EEZ based on fertilizer consumption","pressure_score","scaled 0-1","../ohiprep/globalprep/prs_land-based_nutrient/v2016/output/cw_fertilizers_score_3nm_updated.csv",TRUE,"po_nutrients_3nm.csv","eez2016/layers/po_nutrients_3nm.csv"
"CWAO pressureCP pressureCS pressureCW pressureHAB pressureICO pressureLSP pressureTR pressure","po_chemicals_3nm","Coastal chemical pollution","Modeled chemical pollution within 3nm of coastline from commercial shipping traffic, ports and harbors, land-based pesticide use (organic pollution), and urban runoff (inorganic pollution) ","pressure_score","scaled 0-1","../ohiprep/globalprep/prs_chem/v2016/output/cw_chemical_score_3nm_updated.csv",TRUE,"po_chemicals_3nm.csv","eez2016/layers/po_chemicals_3nm.csv"
"CWCW pressureECO pressureICO pressureLIV pressureLSP pressureSPP pressureTR pressure","po_trash","Marine plastics","Global marine plastic pollution","pressure_score","scaled 0-1","../ohiprep/globalprep/cw_pressure_trash/v2015/output/trash_eez_2015_updated.csv",TRUE,"po_trash.csv","eez2016/layers/po_trash.csv"
"CWCW pressureECO pressureLIV pressureTR pressure","po_pathogens","Pathogen pollution","Percent of population without access to improved sanitation facilities as a proxy for pathogen pollution","pressure_score","scaled 0-1","../ohiprep/globalprep/prs_cw_pathogen/v2016/output/pathogens_popdensity25mi_updated.csv",TRUE,"po_pathogens.csv","eez2016/layers/po_pathogens.csv"
"ECO","le_gdp","GDP","Gross Domestic Product (GDP)","usd","2012 USD","../ohiprep/globalprep/le/v2013/data/le_gdp.csv",TRUE,"le_gdp.csv","eez2016/layers/le_gdp.csv"
"ECO","le_rev_cur_adj_value","Adjustment factor for revenue (current)","GDP during the current status year of each sector/region (World Bank)","value","value","../ohiprep/globalprep/le/v2013/data/le_2013_status_model_curref_rev_cur_adj_value.csv",TRUE,"le_rev_cur_adj_value.csv","eez2016/layers/le_rev_cur_adj_value.csv"
"ECO","le_rev_cur_base_value","Revenue, most current value","Revenue data for the most recent year of data (relative to the assessment year) for each sector/region","value","value","../ohiprep/globalprep/le/v2013/data/le_2013_status_model_curref_rev_cur_base_value.csv",TRUE,"le_rev_cur_base_value.csv","eez2016/layers/le_rev_cur_base_value.csv"
"ECO","le_revenue_adj","Revenue adjustment (GDP)","GDP data used to adjust revenue values","usd","USD","../ohiprep/globalprep/le/v2013/data/le_revenue_adj.csv",TRUE,"le_revenue_adj.csv","eez2016/layers/le_revenue_adj.csv"
"ECO","le_rev_ref_adj_value","Adjustment factor for revenue (reference)","GDP during the reference year (i.e., earliest year of data) of each sector/region (World Bank)","value","value","../ohiprep/globalprep/le/v2013/data/le_2013_status_model_curref_rev_ref_adj_value.csv",TRUE,"le_rev_ref_adj_value.csv","eez2016/layers/le_rev_ref_adj_value.csv"
"ECO","le_rev_ref_base_value","Revenue, reference value","Revenue data for the earliest year of each sector for each sector/region","value","value","../ohiprep/globalprep/le/v2013/data/le_2013_status_model_curref_rev_ref_base_value.csv",TRUE,"le_rev_ref_base_value.csv","eez2016/layers/le_rev_ref_base_value.csv"
"ECO","le_rev_sector_year","Revenue for each sector and year","Revenue for each sector, region, and year","value","2010 USD","../ohiprep/globalprep/le/v2013/data/le_eez2013_trend_rev_sector-year.csv",TRUE,"le_rev_sector_year.csv","eez2016/layers/le_rev_sector_year.csv"
"ECOLIV","le_sector_weight","Sectors in each region","Proportion of jobs within each sector","weight","value","../ohiprep/globalprep/le/v2015/data/le_sector_weight.csv",TRUE,"le_sector_weight.csv","eez2016/layers/le_sector_weight.csv"
"ECO pressureFIS pressureHAB pressureLIV pressureNP pressureSPP pressure","fp_art_lb","Low bycatch due to artisanal fishing","Extent of artisanal fishing (including: artisanal, subsistence, and recreational catch)","pressure_score","scaled 0-1","../ohiprep/globalprep/prs_fish/v2016/output/artisanal_fish_lb_2016.csv",TRUE,"fp_art_lb.csv","eez2016/layers/fp_art_lb.csv"
"ECO pressureFIS pressureLIV pressureMAR pressureNP pressureSPP pressure","po_chemicals","Chemical pollution","Modeled chemical pollution within EEZ from commercial shipping traffic, ports and harbors, land-based pesticide use (organic pollution), and urban runoff (inorganic pollution)","pressure_score","scaled 0-1","../ohiprep/globalprep/prs_chem/v2016/output/cw_chemical_score_updated.csv",TRUE,"po_chemicals.csv","eez2016/layers/po_chemicals.csv"
"ECO pressureFIS pressureLIV pressureNP pressureSPP pressure","po_nutrients","Nutrient pollution","Modeled nutrient pollution within 3nm of coastline based on fertilizer consumption","pressure_score","scaled 0-1","../ohiprep/globalprep/prs_land-based_nutrient/v2016/output/cw_fertilizers_score_updated.csv",TRUE,"po_nutrients.csv","eez2016/layers/po_nutrients.csv"
"ECO pressureFIS pressureLIV pressureSPP pressure","sp_genetic","Genetic escapes","Introduced mariculture species (Mariculture Sustainability Index) as a proxy for genetic escapes ","pressure_score","scaled 0-1","../ohiprep/globalprep/mar/v2016/output/GenEsc_v2016.csv",TRUE,"sp_genetic.csv","eez2016/layers/sp_genetic.csv"
"ECO resilienceLIV resilience","li_gci","Global Competitiveness Index (GCI) scores","Competitiveness in achieving sustained economic prosperity","score","scaled","../ohiprep/globalprep/res_gci/v2015/data/rgn_wef_gci_2015.csv",TRUE,"li_gci.csv","eez2016/layers/li_gci.csv"
"FIS","fis_b_bmsy","B/Bmsy estimates","The ratio of fish population abundance compared to the abundance required to deliver maximum sustainable yield (RAM data and catch-MSY)","bbmsy","B/Bmsy","../ohiprep/globalprep/fis/v2016/data/fis_bbmsy.csv",TRUE,"fis_b_bmsy.csv","eez2016/layers/fis_b_bmsy.csv"
"FIS","fis_meancatch","Fishery catch data","Mean commercial catch for each OHI region (averaged across years) ","mean_catch","tonnes","../ohiprep/globalprep/fis/v2016/data/mean_catch.csv",TRUE,"fis_meancatch.csv","eez2016/layers/fis_meancatch.csv"
"FIS resilienceHAB resilienceICO resilienceNP resilience","species_diversity_eez","Measure of ecological integrity","Marine species condition (species subgoal status score) as a proxy for ecological integrity","score","scaled 0-1","../ohiprep/globalprep/spp_ico/v2016/output/spp_status_global.csv",TRUE,"species_diversity_eez.csv","eez2016/layers/species_diversity_eez.csv"
"FIS resilienceHAB resilienceICO resilienceNP resilienceSPP resilience","fp_mora_artisanal","Artisanal fisheries management effectiveness","Quality of management of small-scale fishing for artisanal and recreational purposes","value","scaled 0-1","../ohiprep/globalprep/res_mora_ao/v2013/data/r_mora_s4_2013a.csv",TRUE,"fp_mora_artisanal.csv","eez2016/layers/fp_mora_artisanal.csv"
"FIS resilienceHAB resilienceICO resilienceNP resilienceSPP resilience","fp_mpa_eez","EEZ protected marine areas (fishing preservation)","Protected marine areas within EEZ (lasting special places calculation applied to the entire EEZ)","resilience.score","scaled 0-1","../ohiprep/globalprep/lsp/v2016/output/mpa_eez_2015_resilience.csv",TRUE,"fp_mpa_eez.csv","eez2016/layers/fp_mpa_eez.csv"
"FIS resilienceHAB resilienceICO resilienceNP resilienceSPP resilience","hd_mpa_eez","EEZ protected marine areas (habitat preservation)","Protected marine areas within EEZ (lasting special places calculation applied to the entire EEZ)","resilience.score","scaled 0-1","../ohiprep/globalprep/lsp/v2016/output/mpa_eez_2015_resilience.csv",TRUE,"hd_mpa_eez.csv","eez2016/layers/hd_mpa_eez.csv"
"FP","fp_wildcaught_weight","Food provision weights","Proportion of wild caught fisheries relative to total food production (e.g., fisheries and mariculture)","w_fis","proportion","../ohiprep/globalprep/fp/v2016/output/wildcaught_weight_v2016.csv",TRUE,"fp_wildcaught_weight.csv","eez2016/layers/fp_wildcaught_weight.csv"
"HABCPCS","hab_extent","Habitat extent","Area of habitats: mangrove, saltmarsh, seagrass, soft bottom, seaice, coral","km2","km2","../ohiprep/globalprep/hab_combined/v2016/output/habitat_extent_v2015.csv",TRUE,"hab_extent.csv","eez2016/layers/hab_extent.csv"
"HABCPCS","hab_health","Habitat condition","Current condition of habitat relative to historical condition","health","proportion","../ohiprep/globalprep/hab_combined/v2016/output/habitat_health_2016.csv",TRUE,"hab_health.csv","eez2016/layers/hab_health.csv"
"HABCPCS","hab_trend","Habitat condition trend","Estimated change in habitat condition","trend","trend","../ohiprep/globalprep/hab_combined/v2016/output/habitat_trend_2016.csv",TRUE,"hab_trend.csv","eez2016/layers/hab_trend.csv"
"HAB resilienceMAR resilienceSPP resilience","g_mariculture","Management of mariculture  to preserve biodiversity","Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report: mariculture related questions","resilience score","scaled 0-1","../ohiprep/globalprep/res_cbd_habitat/v2014/data/r_mariculture_2013a.csv",TRUE,"g_mariculture.csv","eez2016/layers/g_mariculture.csv"
"HAB resilienceSPP resilience","g_tourism","Management of tourism to preserve biodiversity","Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report: tourism related questions","resilience score","scaled 0-1","../ohiprep/globalprep/res_cbd_habitat/v2014/data/r_tourism_2013a.csv",TRUE,"g_tourism.csv","eez2016/layers/g_tourism.csv"
"ICO","ico_spp_iucn_status","IUCN extinction risk","IUCN extinction risk category for iconic species located within each region","category","IUCN risk category","../ohiprep/globalprep/spp_ico/v2016/output/ico_spp_iucn_status.csv",TRUE,"ico_spp_iucn_status.csv","eez2016/layers/ico_spp_iucn_status.csv"
"ICO pressureSPP pressure","fp_targetharvest","Targeted harvest of cetaceans and marine turtles","Targeted harvest of cetaceans and marine turtles","pressure_score","scaled 0-1","../ohiprep/globalprep/prs_targetedharvest/v2016/output/fao_targeted_2016.csv",TRUE,"fp_targetharvest.csv","eez2016/layers/fp_targetharvest.csv"
"ICO resilienceNP resilienceSPP resilience","g_cites","CITES signatories","Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES) signatories","resilience_score","0 or 1","../ohiprep/globalprep/res_cites_signatories/v2015/data/rgn_cites_eez2015.csv",TRUE,"g_cites.csv","eez2016/layers/g_cites.csv"
"LIV","le_gdp_pc_ppp","GDP per capita PPP","Gross domestic product per person at purchasing power parity","usd","USD","../ohiprep/globalprep/le/v2013/data/le_cntry_gdp_pc_ppp_2013a.csv",TRUE,"le_gdp_pc_ppp.csv","eez2016/layers/le_gdp_pc_ppp.csv"
"LIV","le_jobs_cur_adj_value","Adjustment factor for jobs (current)","Percent employment during the current status year for each sector/region","value","value","../ohiprep/globalprep/le/v2013/data/le_2013_status_model_curref_jobs_cur_adj_value.csv",TRUE,"le_jobs_cur_adj_value.csv","eez2016/layers/le_jobs_cur_adj_value.csv"
"LIV","le_jobs_cur_base_value","Jobs, most current value","Number of jobs in each sector and region for the most recent year of data","value","value","../ohiprep/globalprep/le/v2013/data/le_2013_status_model_curref_jobs_cur_base_value.csv",TRUE,"le_jobs_cur_base_value.csv","eez2016/layers/le_jobs_cur_base_value.csv"
"LIV","le_jobs_ref_adj_value","Adjustment factor for jobs (reference)","Percent employment during the reference year (i.e., earliest year of data) for each sector/region","value","value","../ohiprep/globalprep/le/v2013/data/le_2013_status_model_curref_jobs_ref_adj_value.csv",TRUE,"le_jobs_ref_adj_value.csv","eez2016/layers/le_jobs_ref_adj_value.csv"
"LIV","le_jobs_ref_base_value","Jobs, reference value","Number of jobs in each sector and region for the reference year (earliest year of data for sector/region) of data","value","value","../ohiprep/globalprep/le/v2013/data/le_2013_status_model_curref_jobs_ref_base_value.csv",TRUE,"le_jobs_ref_base_value.csv","eez2016/layers/le_jobs_ref_base_value.csv"
"LIV","le_jobs_sector_year","Jobs for each sector and year","Number of jobs in each sector, region, and year.","value","number of jobs","../ohiprep/globalprep/le/v2013/data/le_eez2013_trend_jobs_sector-year.csv",TRUE,"le_jobs_sector_year.csv","eez2016/layers/le_jobs_sector_year.csv"
"LIV","le_popn","Total human population","Human population of OHI regions","count","number of people","../ohiprep/globalprep/le_world_bank/v2013/data/rgn_wb_pop_2013a_updated.csv",TRUE,"le_popn.csv","eez2016/layers/le_popn.csv"
"LIV","le_unemployment","Unemployment","Unemployment data from the World Bank","percent","proportion","../ohiprep/globalprep/le/v2013/data/le_unemployment.csv",TRUE,"le_unemployment.csv","eez2016/layers/le_unemployment.csv"
"LIV","le_wage_cur_adj_value","Adjustment factor for wages (current)","Values are 1, no subsequent adjustments were made to the wage data","value","value","../ohiprep/globalprep/le/v2013/data/le_2013_status_model_curref_wage_cur_adj_value.csv",TRUE,"le_wage_cur_adj_value.csv","eez2016/layers/le_wage_cur_adj_value.csv"
"LIV","le_wage_cur_base_value","Wages, current value","Wage data for the most recent year of data (relative to the assessment year) for each sector/region","value","value","../ohiprep/globalprep/le/v2013/data/le_2013_status_model_curref_wage_cur_base_value.csv",TRUE,"le_wage_cur_base_value.csv","eez2016/layers/le_wage_cur_base_value.csv"
"LIV","le_wage_ref_adj_value","Adjustment factor for wages (reference)","Values are 1, no subsequent adjustments were made to the wage data","value","value","../ohiprep/globalprep/le/v2013/data/le_2013_status_model_curref_wage_ref_adj_value.csv",TRUE,"le_wage_ref_adj_value.csv","eez2016/layers/le_wage_ref_adj_value.csv"
"LIV","le_wage_ref_base_value","Wages, reference value","Wage data for the earliest year of data for each sector/region","value","value","../ohiprep/globalprep/le/v2013/data/le_2013_status_model_curref_wage_ref_base_value.csv",TRUE,"le_wage_ref_base_value.csv","eez2016/layers/le_wage_ref_base_value.csv"
"LIV","le_wage_sector_year","Wages for each sector and year","Wages for each sector, region, and year","value","2010 USD","../ohiprep/globalprep/le/v2013/data/le_eez2013_trend_wage_sector-year.csv",TRUE,"le_wage_sector_year.csv","eez2016/layers/le_wage_sector_year.csv"
"LIV","le_workforcesize_adj","Adjusted workforce size","Total labor force (number of people) from the World Bank","jobs","number of jobs","../ohiprep/globalprep/le_world_bank/v2014/data/cntry_wb_tlf_2014a_ratio-gapfilled.csv",TRUE,"le_workforcesize_adj.csv","eez2016/layers/le_workforcesize_adj.csv"
"LIV resilience","li_sector_evenness","Economic diversity","Sector evenness based on Shannon's Diversity Index calculated on the proportion of jobs in each sector as a measure of economic diversity","resilience score","scaled","../ohiprep/globalprep/res_li_sector_evenness/v2013/r_li_sector_evenness_2013a.csv",TRUE,"li_sector_evenness.csv","eez2016/layers/li_sector_evenness.csv"
"LSP","lsp_prot_area_inland1km","Inland coastal protected areas","Protected areas located 1 km inland","a_prot_1km","km2","../ohiprep/globalprep/lsp/v2016/output/lsp_protected_inland1km.csv",TRUE,"lsp_prot_area_inland1km.csv","eez2016/layers/lsp_prot_area_inland1km.csv"
"LSP","lsp_prot_area_offshore3nm","Offshore coastal protected areas","Protected areas located 3nm offshore","a_prot_3nm","km2","../ohiprep/globalprep/lsp/v2016/output/lsp_protected_offshore3nm.csv",TRUE,"lsp_prot_area_offshore3nm.csv","eez2016/layers/lsp_prot_area_offshore3nm.csv"
"LSP","rgn_area_inland1km","Inland area","Inland area of OHI regions within 1km of shoreline","area","km2","../ohiprep/globalprep/lsp/v2016/output/rgn_area_inland1km.csv",TRUE,"rgn_area_inland1km.csv","eez2016/layers/rgn_area_inland1km.csv"
"LSP","rgn_area_offshore3nm","Offshore area","Offshore area of OHI regions within 3nm of shoreline","area","km2","../ohiprep/globalprep/lsp/v2016/output/rgn_area_offshore3nm.csv",TRUE,"rgn_area_offshore3nm.csv","eez2016/layers/rgn_area_offshore3nm.csv"
"MAR","mar_coastalpopn_inland25mi","Inland coastal population","Total coastal population within 25 miles of coast.","popsum","number of people","../ohiprep/globalprep/mar_prs_population/v2016/output/mar_pop_25mi.csv",TRUE,"mar_coastalpopn_inland25mi.csv","eez2016/layers/mar_coastalpopn_inland25mi.csv"
"MAR","mar_harvest_tonnes","Mariculture harvest","Tonnes of mariculture harvest","tonnes","tonnes","../ohiprep/globalprep/mar/v2016/output/mar_harvest_tonnes.csv",TRUE,"mar_harvest_tonnes.csv","eez2016/layers/mar_harvest_tonnes.csv"
"MAR","mar_sustainability_score","Mariculture sustainability score","Mariculture sustainability based on the Mariculture Sustainability Index (MSI)","sust_coeff","score","../ohiprep/globalprep/mar/v2016/output/mar_sustainability.csv",TRUE,"mar_sustainability_score.csv","eez2016/layers/mar_sustainability_score.csv"
"MAR resilience","g_msi_gov","Mariculture Sustainability Index","Mariculture practice assessment criteria from the Mariculture Sustainability Index (MSI)","resilience score","scaled 0-1","../ohiprep//globalprep/res_mariculture_sustainability/v2013/r_msi_gov_2013a.csv",TRUE,"g_msi_gov.csv","eez2016/layers/g_msi_gov.csv"
"NA","hab_coral_extent","Habitat extent of saltmarsh","Area of coral habitat","km2","km2","../ohiprep/globalprep/hab_coral/v2012/data/habitat_extent_coral_updated.csv",TRUE,"hab_coral_extent.csv","eez2016/layers/hab_coral_extent.csv"
