"rgn_id","habitat","prop_score"
97,"mangrove",1
98,"mangrove",0
99,"mangrove",0.004
102,"mangrove",0.038
104,"mangrove",1
106,"mangrove",0.009
108,"mangrove",0
110,"mangrove",0.01
111,"mangrove",0
112,"mangrove",0.137
113,"mangrove",0.134
114,"mangrove",0.075
115,"mangrove",0.154
116,"mangrove",0.098
117,"mangrove",0.002
118,"mangrove",0.001
119,"mangrove",0.003
120,"mangrove",0.008
122,"mangrove",0.051
124,"mangrove",0.002
125,"mangrove",0.026
126,"mangrove",0.615
127,"mangrove",0.009
129,"mangrove",0.44
130,"mangrove",0.786
131,"mangrove",0.09
132,"mangrove",0.483
133,"mangrove",0.142
134,"mangrove",1
135,"mangrove",0.147
136,"mangrove",1
137,"mangrove",0.881
138,"mangrove",1
139,"mangrove",0.53
140,"mangrove",0.052
162,"mangrove",0.281
163,"mangrove",0.008
164,"mangrove",0.075
166,"mangrove",0.06
167,"mangrove",1
168,"mangrove",1
169,"mangrove",1
171,"mangrove",0.847
190,"mangrove",0
191,"mangrove",0
193,"mangrove",0.076
194,"mangrove",0.075
195,"mangrove",1
196,"mangrove",0.19
197,"mangrove",1
198,"mangrove",1
199,"mangrove",1
200,"mangrove",0.297
202,"mangrove",0.174
203,"mangrove",0.03
204,"mangrove",0.98
205,"mangrove",0.54
206,"mangrove",0.526
207,"mangrove",0.353
208,"mangrove",0.174
209,"mangrove",0.003
210,"mangrove",0.001
214,"mangrove",0
216,"mangrove",0.34
221,"mangrove",0.002
231,"mangrove",0.052
237,"mangrove",0.374
244,"mangrove",0.007
245,"mangrove",0.066
247,"mangrove",0.327
250,"mangrove",0.002
