"region_id","region_name","2012","2013","2014","2015","2016"
92,"Amsterdam Island and Saint Paul Island",73.5,74.03,74.19,74.16,74.28
93,"Kerguelen Islands",78.91,79.73,80.27,80.92,81.64
94,"Heard and McDonald Islands",82.25,82.29,82.19,82.09,82.01
95,"Falkland Islands",69.45,68.95,68.76,70.47,69.46
96,"Sierra Leone",43.13,43.37,43.15,43.17,44.19
97,"Liberia",44.55,44.9,44.84,44.78,47.77
98,"Togo",60.68,61.87,61.64,60.97,60.56
99,"Benin",56.48,56.66,56.55,56.68,57.01
100,"Republique du Congo",56.49,49.58,49.48,49.11,48.97
101,"Namibia",63.9,65.81,64.69,63.92,63.4
102,"South Africa",74.14,75.96,76.03,75.95,75.37
103,"Sao Tome and Principe",60.75,55.77,49.76,52.93,56.01
104,"Equatorial Guinea",65.58,64.58,63.26,57.71,54.12
105,"Bouvet Island",60.54,60.64,60.7,60.75,60.73
106,"Ghana",60.64,61.33,61.58,58.99,58.93
107,"Clipperton Island",73.17,79.2,77.79,79.3,74.15
108,"Bermuda",75.09,72.36,72.51,72.34,69.98
110,"Bahamas",79.39,79.43,77.61,75.77,75.68
111,"Turks and Caicos Islands",66.74,67.4,67.69,68.3,70.9
112,"Cuba",67.99,65.85,63.74,63.24,62.34
113,"Cayman Islands",76.84,77.1,77.78,78.14,76.91
114,"Haiti",56.88,57.78,57.61,57.54,56.34
115,"Dominican Republic",72.65,73.14,73.33,73.46,70.44
116,"Puerto Rico and Virgin Islands of the United States",73.35,73.16,71.86,71.95,71.71
117,"British Virgin Islands",69.58,70.28,70.38,70.63,70.16
118,"Anguilla",71.12,69.7,69.86,69.99,69.24
119,"Saint Kitts and Nevis",66.2,66.32,66.2,66.18,65.72
120,"Antigua and Barbuda",80.71,80.99,80.83,81.73,80.85
121,"Montserrat",72.23,73.52,73.83,73.48,73.18
122,"Saint Lucia",59.9,60.22,60.18,60.03,59.51
123,"Dominica",52.11,53.49,50.41,50.34,51.78
124,"Barbados",56.63,56.16,56.27,56.37,55.57
125,"Grenada",60.47,60.27,60.39,60.08,60.43
126,"Trinidad and Tobago",71.92,72.46,72.79,72.45,72.45
127,"Saint Vincent and the Grenadines",55.96,56.69,56.99,56.22,56.34
129,"Panama",62.4,60.6,60.69,61.98,64.17
130,"Costa Rica",69.08,66.37,62.63,60.66,60.26
131,"Nicaragua",53.39,50.38,47.49,46.95,46.8
132,"Colombia",62.96,62.24,61.19,61.07,59.99
133,"Honduras",63.04,63.42,64.67,64.76,64.7
134,"El Salvador",57.87,58.72,53.88,53.03,52.92
135,"Mexico",69.11,68.63,68.02,68.31,68.08
136,"Guatemala",64.7,63.35,62.85,61.41,60.54
137,"Ecuador",73.23,74.1,73.71,74.09,74.39
138,"Peru",65.3,65.24,64.01,61.69,60.53
139,"Venezuela",59.69,61.2,60.68,60.66,61.05
140,"Guadeloupe and Martinique",72.05,72.72,72.81,71.8,71.47
141,"Faeroe Islands",64.57,67.29,67.35,60.98,57.96
143,"Iceland",64.16,65.26,63.52,59.81,58.01
144,"Jan Mayen",69.6,69.24,67.58,67.79,67.89
145,"Greenland",72.06,70.8,70.82,70,70.19
146,"Pitcairn",77.14,78.92,78.71,78.42,77.51
147,"French Polynesia",75.01,77.43,77.81,79.39,78.42
148,"Line Islands (Kiribati)",68.9,69.91,70.15,74,72.57
149,"Jarvis Island",89.77,92.05,91.47,90.82,90.09
150,"Palmyra Atoll",85.47,86.78,86.35,86.62,85.47
151,"American Samoa",77.17,78.67,79.78,81.42,81.14
152,"Samoa",62.04,65.34,66.79,68.51,72.04
153,"Cook Islands",64.97,67,68.06,66.84,65.66
154,"Niue",63.33,63.79,64.38,65.79,65.69
155,"Tonga",64.39,64.34,65.44,68.34,71.51
156,"Tokelau",65.04,66.51,67.07,72.75,72.87
157,"Phoenix Islands (Kiribati)",79.29,79.92,79.04,81.66,81.66
158,"Howland Island and Baker Island",90.29,90.75,90.61,90.38,90.92
159,"Johnston Atoll",72.55,73.02,73.06,73,72.28
161,"Wallis and Futuna",72.23,73.6,74.97,76.98,77.62
162,"New Zealand",78.7,78.96,75.88,74.47,73.95
163,"United States",75.86,76.29,75.51,73.1,70.06
164,"Belize",66.82,66.47,66.63,67.58,67.96
166,"Jamaica",60.32,60.33,57.93,57.48,57.77
167,"Guyana",65.15,65.8,64.17,63.98,63.22
168,"Suriname",74.35,75.3,75.18,75.8,75.76
169,"French Guiana",71.39,71.69,71.3,71.06,70.97
171,"Brazil",67.89,68.43,67.87,67.36,66.88
172,"Argentina",72.51,70.15,69.19,68.01,66.28
173,"Uruguay",69.52,69.63,67.89,66.52,65.79
174,"Finland",81.1,82.15,81.65,78.38,69.89
175,"Denmark",72.59,73.37,72.93,72.75,73.01
176,"Germany",85.26,85.29,85.11,85.15,85.33
177,"Netherlands",80.45,80.9,80.01,79.71,78.02
178,"Poland",60.93,66.98,67.83,67.07,67.61
179,"France",73.78,74.36,71.89,70.14,68.3
180,"United Kingdom",71.93,72.82,73.06,76.64,76.12
181,"Ireland",68.96,69.06,68.32,68.34,67.35
182,"Spain",66.72,66.39,65.81,66.85,66.82
183,"Portugal",74.66,73.59,71.62,70.4,70.11
184,"Italy",75.67,76.85,76.77,77.61,78.06
185,"Monaco",61.88,64.17,63.1,63.96,64.55
186,"Montenegro",55.67,55.58,56.17,55.94,56.42
187,"Croatia",72.08,71.93,76.59,77.21,75.38
188,"Slovenia",69.92,70.55,70,69.78,69.82
189,"Lithuania",70.24,72.28,72.75,66.59,66.64
190,"Qatar",64.61,68.4,70.2,71.33,71.47
191,"Iran",67.66,70.2,70.2,69.91,69.79
192,"Iraq",54.81,56.76,56.67,56.55,55.61
193,"Guinea Bissau",47.76,49.09,48.63,48.65,48.57
194,"Guinea",46.34,46.28,45.39,45.33,45.47
195,"Ivory Coast",45.06,46.07,46.06,45.82,44.8
196,"Nigeria",53.35,55.08,54.58,55.01,55.59
197,"Cameroon",60.73,60.91,60.7,60.8,61.12
198,"Gabon",58.56,61,60.13,59.79,59.92
199,"Democratic Republic of the Congo",46.18,46.89,46.96,47.15,46.77
200,"Angola",57.96,58.57,58.54,59.02,59.01
202,"Tanzania",68.05,68.43,68.86,69.32,69.12
203,"India",66.16,66.65,65.9,66.2,66.33
204,"Bangladesh",67.96,68.72,69.28,68.82,69.21
205,"Myanmar",57.67,62.47,62.34,64.5,65.15
206,"Malaysia",68.65,66.48,66.59,66.73,65.79
207,"Vietnam",56.87,57.79,59.35,59.75,59.94
208,"Singapore",60.58,61.05,60.9,61.21,60.41
209,"China",65.12,65.84,65.4,64.17,63.05
210,"Japan",72.94,73.48,73.05,73.26,72.29
212,"Gilbert Islands (Kiribati)",74.63,73,71.76,68.82,66.74
213,"Antarctica",NA,NA,75.33,75.33,75.33
214,"Egypt",70.04,71.23,71.83,70.66,70.39
215,"Jordan",67.35,67.53,66.17,62.84,62.94
216,"Indonesia",63.83,64.71,64.65,65.2,65.15
218,"Canada",76.5,76.53,76.18,76.04,74.11
219,"Saint Pierre and Miquelon",69.47,68.95,68.73,67.76,68.81
220,"Sint Maarten",81.78,80.63,74.71,73.41,72.59
221,"Northern Saint-Martin",82.99,83.86,83.89,84.03,83.79
222,"Sweden",73.05,74.76,73.52,68.73,66.07
223,"Norway",78.15,75.65,71.64,68.76,68.71
224,"Chile",69.96,69.91,69.48,68.79,69.29
227,"Jersey",66.91,66.91,66.41,66.25,66.07
228,"Guernsey",62.4,63.05,63.01,62.98,62.62
231,"East Timor",62.89,61.55,61.68,61.24,62.13
232,"Bosnia and Herzegovina",48.49,49.61,50.96,51.88,53
237,"Oecussi Ambeno",59.55,61.13,63.07,60.89,66.29
244,"Curacao",76.4,77,79.31,79.34,79.37
245,"Bonaire",79.96,78.72,73.13,72.38,71.68
247,"Brunei",65.72,62.14,62.12,62.7,62.8
248,"Saba",82.66,81.34,75.57,74.77,73.83
249,"Sint Eustatius",76.92,75.95,69.99,69.12,68.06
250,"Aruba",81.81,81.71,81.61,81.11,80.97
260,NA,NA,NA,53.51,53.51,53.51
261,NA,NA,NA,68.36,68.36,68.36
262,NA,NA,NA,67.49,67.49,67.49
263,NA,NA,NA,58.28,58.28,58.28
264,NA,NA,NA,79.12,79.12,79.12
266,NA,NA,NA,68.08,68.08,68.08
267,NA,NA,NA,63.32,63.32,63.32
269,NA,NA,NA,79.23,79.23,79.23
270,NA,NA,NA,55.17,55.17,55.17
272,NA,NA,NA,52.58,52.58,52.58
273,NA,NA,NA,67.77,67.77,67.77
274,NA,NA,NA,65.46,65.46,65.46
275,NA,NA,NA,66.62,66.62,66.62
276,NA,NA,NA,65.39,65.39,65.39
277,NA,NA,NA,75.85,75.85,75.85
