"country","Index","region_id","AO","SPP","BD","HAB","CP","CS","CW","ECO","LE","LIV","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
"Wake Island",0.96,12,0.01,-0.02,-0.01,0,0,,-0.02,2.85,1.79,0.74,0,0,,-0.01,-0.01,0,,
"Thailand",0.94,25,0.16,-0.06,-0.03,-0.01,0.01,0.02,-0.19,0,3.78,7.56,-0.73,-3.06,-7.62,0,-0.38,-0.76,1.54,7.62
"Djibouti",0.93,46,-0.05,-0.15,-0.08,0,-0.12,-0.15,-0.12,0,-0.3,-0.61,-0.14,-0.14,,-0.11,-0.06,0,,9.4
"Solomon Islands",0.91,7,0.04,0.02,0.01,0.01,0.01,0.01,-0.05,0,0,0,0.15,0.15,0,0.01,0.01,0,3.91,5.03
"Cambodia",0.88,24,0.13,0.12,0.13,0.13,0.15,0.17,0.15,0.85,0.34,-0.16,0.01,0.02,0.89,0.06,0.08,0.09,1.58,6.07
"Cyprus",0.88,81,0.41,-0.02,-0.01,0,,,-0.08,0.05,-0.66,-1.37,-0.04,-0.19,0.7,-0.08,-0.31,-0.55,0,7.85
"Tristan da Cunha",0.84,88,0.74,0.02,0.01,0,,,0.02,2.01,0.44,-1.14,-0.33,-0.33,,0.01,0.01,0,,4.97
"Eritrea",0.83,45,-0.04,-0.08,-0.11,-0.13,-0.21,-0.16,-0.08,-0.01,0,0,-0.35,-0.35,0,-0.05,-0.02,0,0,9.27
"Italy",0.83,184,-0.01,-0.02,-0.01,0,0,0,-0.19,0,0.61,1.22,-0.01,-0.15,0.53,-0.02,-0.01,0,5.17,2.94
"Canary Islands",0.8,58,-0.23,-0.06,-0.06,-0.07,-0.08,-0.07,-0.39,-0.02,0.14,0.29,-0.68,-0.68,,,0,0,,8.61
"South Korea",0.79,20,0.13,-0.08,-0.04,0,,,-0.27,0,0.33,0.66,0,-0.5,-1.47,-0.13,0.01,0.14,6.95,-0.31
"Iran",0.73,191,-0.02,0.07,0.08,0.09,0.07,0.08,0.07,7.83,3.91,0,0.04,-0.17,1.12,0.05,0.06,0.07,4.56,-1.33
"Myanmar",0.72,205,0.51,0.4,0.41,0.44,0.44,0.44,0.12,5.09,2.55,0,0.01,-0.04,-1.03,0.27,0.17,0.07,2.95,-0.36
"Ecuador",0.7,137,0.29,0.21,0.21,0.21,0.19,0.19,0.1,8.99,4.51,0.04,0.74,2.25,0,0.14,0.07,0,-0.73,-0.13
"Cayman Islands",0.62,113,-0.87,-0.01,-0.01,0,0.04,-0.02,-0.06,0,0,0,0,0,,-0.01,-0.01,-0.01,,6.5
"South Africa",0.62,102,0.08,-0.01,-0.01,0,0,0,-0.58,7.62,3.81,0,-0.01,0,0.05,-0.05,-0.02,0,1.61,1.26
"Haiti",0.58,114,0.08,0.11,0.11,0.11,0.12,0.14,0.15,3.23,1.61,0,0,0,,0.08,0.04,0.01,2.02,1.53
"Iceland",0.58,143,0.45,0.03,-1.04,-2.11,0.94,,-0.1,1.1,0.55,0,0.68,0.75,7.32,0.03,0.05,0.06,1.19,2.46
"Cook Islands",0.52,153,0.55,0.64,0.61,0.6,0.74,0.37,0.86,4.33,2.45,0.58,0.33,0.33,0,0.45,0.23,0,-11.04,10.11
"Yemen",0.48,47,-0.01,-0.04,-0.05,-0.05,0,-0.05,2.49,4.54,2.27,0,-0.03,-0.02,-0.02,-0.04,-0.84,-1.65,6.47,-5.44
"Angola",0.47,200,0.04,0.19,0.05,-0.09,-0.13,-0.13,-0.12,5.21,2.72,0.22,-0.01,-0.01,,0.09,0.03,-0.02,3.48,-1.23
"Namibia",0.47,101,0.15,0.07,0.04,0,,,-0.16,6.75,3.38,0,0.05,0.05,-1.88,0.02,0.01,0,-0.82,1.09
"Pitcairn",0.47,146,0.05,0.02,0.01,0,0,,0.04,6.16,3.12,0.09,0.33,0.33,,0.02,0.02,0.02,,
"Venezuela",0.47,139,0.19,-0.01,-0.02,-0.04,-0.05,-0.03,0.15,2.2,5.58,8.96,0.31,-0.31,0.34,-0.03,-0.03,-0.03,-0.56,-0.25
"Indonesia",0.46,216,0.28,0.12,0.11,0.1,0.07,0.09,0.19,9.46,4.76,0.05,-0.25,-0.74,0.94,0.09,0.53,0.98,-1.53,0.8
"Oecussi Ambeno",0.46,237,0.28,0.03,0.02,0.02,-0.03,0.02,0.01,4.33,1.79,-0.74,,,,,0.02,0.02,,1.61
"Palau",0.45,8,0.27,-0.03,-0.05,-0.06,-0.13,-0.06,-0.05,2.02,2.26,2.5,0.15,0.15,-0.34,-0.02,8.74,17.51,-6.19,-0.49
"Saint Helena",0.45,86,0.74,0.01,0,0,,,0.08,-0.8,-3.7,-6.59,1.02,1.02,,0,0.01,0.02,,4.98
"Nigeria",0.44,196,0.09,-0.01,0,0,-0.02,-0.01,-0.09,3.46,1.73,0,-0.87,-0.87,0,0,0,0,5.42,-1.84
"Andaman and Nicobar",0.39,26,0.25,-0.06,-0.03,0,0,-0.08,0.06,4.26,1.71,-0.83,-0.01,-0.01,,,-0.01,-0.01,,1.64
"Gibraltar",0.38,60,-0.17,0.02,0.01,0,,,0.44,0.02,0.01,0,0,0,,0,0,0,,2.35
"Falkland Islands",0.36,95,0.68,-0.03,-0.01,0,,,0,-0.08,-0.08,-0.08,-1.26,-1.26,0,0.01,0,0,,3.24
"India",0.35,203,0.05,-0.1,-0.08,-0.06,0,0.07,-0.57,0,1.22,2.44,-0.05,-1.12,0.84,-0.11,-0.07,-0.03,4.31,-0.33
"Senegal",0.35,66,0.2,0.29,0.23,0.18,0.08,0.09,0.28,4.44,2.22,0,-0.65,-0.65,0.02,0.19,0.09,0,1.13,-0.22
"Turkey",0.35,76,0.12,-0.07,-0.05,-0.04,,,0.41,0,0,0,-0.34,-0.59,0.38,-0.04,-0.02,0,3.1,-0.15
"Brazil",0.32,171,0.03,-0.14,-0.16,-0.17,0,0,-0.18,0.43,3.04,5.64,0.22,0.08,-0.04,-0.09,-0.05,0,-1.25,1.69
"Russia",0.32,73,0.19,0.01,0.01,0,0.11,0,0.13,0,1.62,3.24,0,-0.01,1.45,-0.01,0.01,0.03,1.01,0.13
"Belgium",0.31,59,0.11,0.01,0,0,0,0,-0.07,0,3.86,7.73,0.65,0.65,,0.03,0.01,0,-0.31,-1.16
"R_union",0.31,32,0.1,-0.04,-0.02,0,-0.27,,0,3.17,1.43,-0.3,0.59,0.47,0,-0.02,-0.05,-0.07,,0.79
"New Caledonia",0.3,5,-0.02,-0.11,-0.11,-0.11,-0.18,-0.1,-0.15,0.62,0.31,0,0.3,0.11,0.16,-0.08,0.46,0.99,0.1,2.63
"Macquarie Island",0.29,4,0.2,0,0,0,,,-0.06,,,,1.32,1.32,,,0,0,,
"Jan Mayen",0.28,144,1,0.08,0.5,0.93,,,0.08,2.08,0.47,-1.14,0.73,0.73,,0.06,0.03,0,,-0.87
"Western Sahara",0.28,63,0.3,-0.05,-0.03,0,,,0.26,0.18,-0.16,-0.49,-0.62,-0.62,,-0.07,4.59,9.26,,-2.42
"Cocos Islands",0.27,1,0.2,-0.05,-0.03,0,0,0,0,0.09,0.61,1.13,-0.01,-0.01,,-0.04,-0.02,0,,1.73
"Gabon",0.27,198,0.37,0.07,0.06,0.04,0.04,0.04,-0.07,7.35,3.84,0.33,-0.56,-0.56,,0.04,0.04,0.04,,-1.33
"Christmas Island",0.26,2,0.19,-0.06,-0.03,0,0,0,-0.02,0.09,0.61,1.13,-0.01,-0.01,,-0.04,-0.04,-0.04,,1.7
"Montenegro",0.25,186,-0.57,-0.16,-0.08,0,,,0.23,-0.73,-0.35,0.03,-0.35,-0.06,-0.09,-0.3,0.1,0.51,0,2.72
"Chile",0.24,224,0.26,-0.01,-0.02,-0.02,,,0.07,0.68,0.34,0,0.67,1.11,0,-0.02,-0.01,0,-0.71,0.92
"Ghana",0.23,106,0.11,0,-0.01,-0.03,0,0,0.52,2.3,1.15,0,-0.28,-0.28,,-0.02,-0.01,0,2.73,-1.85
"China",0.22,209,0.03,-0.15,-0.22,-0.28,-0.35,0.01,0.12,-0.11,0.19,0.49,-0.1,0.72,0,-0.02,0.27,0.55,1.87,-0.46
"Peru",0.22,138,0.3,0.11,0.08,0.04,-0.01,-0.01,-0.15,3.99,2.64,1.29,1.1,1.01,0.91,-0.03,-1.23,-2.44,-0.77,0.29
"Curacao",0.21,244,-1.06,-0.05,-0.03,0,0,-0.28,-0.04,0.81,0.39,-0.04,,,0,-0.04,3.24,6.52,,-0.57
"Saint Kitts and Nevis",0.21,119,0.12,-0.01,-0.14,-0.26,-0.61,-0.55,0.07,3.31,1.66,0.01,0,0,,-0.01,0,0,,1.33
"United States",0.2,163,0.54,-0.02,-0.12,-0.22,-0.01,-0.02,-0.24,0.02,-0.44,-0.91,0.3,0.29,0.05,0.01,-0.03,-0.06,1.23,0.82
"Japan",0.19,210,0.58,0.07,0.04,0,0.35,0,-0.04,0,1.69,3.37,0.35,0.26,-0.73,0.06,0.24,0.43,-2,0.8
"Dominican Republic",0.18,115,0.22,0.13,0.15,0.17,0.2,0.18,0.69,2.41,1.28,0.15,-0.29,-0.2,-0.04,0.12,0.06,0,-0.8,0.06
"Taiwan",0.17,14,0.33,0,0,0,0,0.08,0.04,1.37,0.68,0,0,0.59,1.25,0,0,0,-0.78,0.72
"Bahamas",0.16,110,-1.29,-0.09,-0.08,-0.07,-0.05,0,-0.09,0.71,2.33,3.95,0.57,0.57,-0.01,-0.07,-0.04,0,0.27,0
"Poland",0.16,178,0.25,0.11,-0.22,-0.55,0.03,0.03,-0.34,0,0.41,0.81,0.74,0.74,,,0,0,0.7,-0.02
"Singapore",0.15,208,1.09,0.1,0.07,0.03,-0.01,0.02,-0.19,0,0.32,0.64,-0.57,-3.2,0.09,0.05,0.02,0,-0.17,3.53
"Micronesia",0.14,9,0.05,0.04,0.02,0,0,0,0.07,0.77,0.78,0.79,0.36,0.36,0,0.02,0.01,0,2.97,-2.83
"Ireland",0.13,181,0.25,-0.03,-0.03,-0.03,-0.02,-0.02,0.37,1.24,0.64,0.04,0.6,0.37,-4.17,-0.01,-0.01,0,-0.31,0.05
"Turks and Caicos Islands",0.13,111,-0.85,0.03,0.04,0.04,0.08,0.07,-0.03,0.76,0.63,0.5,-0.63,-0.63,0,0.02,0.02,0.01,1.97,0
"Belize",0.12,164,0.09,0.08,0.07,0.06,0.02,0.03,0.05,0,0,0,0.03,3.48,5.84,0.06,1.36,2.67,-4.84,0.91
"Saint Lucia",0.12,122,-0.02,-0.05,-0.04,-0.03,-0.11,0.04,-0.1,2.86,1.32,-0.21,-0.01,-0.01,,-0.04,-0.03,-0.01,,0
"Tanzania",0.12,202,-0.03,-0.1,-0.1,-0.1,-0.14,-0.08,0.15,0,0,0,-0.06,-0.09,0.02,-0.07,-0.04,0,-0.79,2.3
"Spain",0.11,182,0.12,-0.05,-0.05,-0.05,-0.03,-0.04,-0.24,0,-0.19,-0.38,0.3,-0.24,-1.09,-0.04,-0.02,0,-1.6,3.38
"Azores",0.09,55,-0.17,0.02,0.01,0,,,0.15,0,0.18,0.35,0.01,0.01,,,-1.23,-1.23,,1.7
"Northern Mariana Islands and Guam",0.09,13,0.09,0.05,0.03,0,0.05,0.06,0.02,7.28,2.79,-1.69,0.01,-0.17,-0.02,0.03,-0.97,-1.96,,-1.1
"British Virgin Islands",0.08,117,-0.84,0.03,0.04,0.05,0.08,0.07,0.01,2.62,1.33,0.04,0,0,,0.02,0.01,0,,0
"Germany",0.07,176,0.47,0.03,-0.29,-0.62,-0.44,0,-0.45,0,0.91,1.81,0.33,0.9,-0.76,0.03,0.02,0,-0.18,-0.21
"Heard and McDonald Islands",0.07,94,,0,0,0,,,0,,,,0.3,0.3,,-0.03,-0.01,0,,
"Ile Tromelin",0.07,36,0.05,-0.11,-0.06,0,0,,-0.09,,,,0.53,0.53,,,0,0,,
"Johnston Atoll",0.07,159,0.01,-0.03,-0.02,0,0.11,,-0.02,,,,0.31,0.31,,-0.03,-0.01,0,,
"Seychelles",0.07,31,0.46,0.04,0.02,0,-0.03,0,-0.06,1.89,0.94,0,0.66,0.66,0,0.02,0.03,0.04,-1.31,0
"Faeroe Islands",0.06,141,0.28,-0.24,-0.12,0,,,0,1.79,0.32,-1.14,0.04,0.36,0,0.02,1.76,3.49,-0.7,-1.39
"Jarvis Island",0.06,149,0.01,-0.03,-0.01,0,,,0,,,,0.32,0.32,,-0.02,-0.01,0,,
"Saint Pierre and Miquelon",0.06,219,0.44,-0.12,-0.06,0,,,-0.1,-0.07,-0.03,0,0.6,0.6,,-0.08,-0.05,-0.03,,-0.36
"Saint Vincent and the Grenadines",0.06,127,0.16,-0.01,-0.01,-0.02,-0.08,0,0.01,1.95,0.97,-0.02,-0.33,-0.33,,-0.01,-0.01,0,0.24,-0.39
"Argentina",0.02,172,0.1,-0.06,-0.08,-0.09,,,0.17,0,-0.08,-0.16,-0.63,-0.63,-0.01,-0.02,1.45,2.92,0.13,-0.89
"Clipperton Island",0.02,107,-0.01,-0.11,-0.06,0,,,-0.09,,,,0.24,0.24,,,0,0,,
"Howland Island and Baker Island",0.02,158,0.03,-0.03,-0.02,0,0,,0,,,,0.15,0.15,,-0.02,-0.01,0,,
"Grenada",0,125,0.11,0.01,-0.02,-0.06,-0.14,-0.08,-0.03,-0.01,0,0,-0.31,-0.31,,0,0,0,,0.45
"France",-0.01,179,0.05,-0.09,-0.29,-0.48,3.86,-0.06,0,0,-0.05,-0.11,0.26,-0.07,-0.98,-0.06,-0.03,0,-4.34,0.83
"Palmyra Atoll",-0.01,150,0.01,-0.03,-0.02,0,0.02,,-0.02,,,,-0.01,-0.01,,-0.01,-0.01,0,,
"Slovenia",-0.01,188,-1.04,-0.02,-0.01,0,,,0.15,0,0,0,0.01,-3.93,0.48,-0.04,-0.02,0,5.08,-0.29
"Vanuatu",-0.01,6,0.03,0.02,0.01,0,-0.04,-0.01,-0.13,0,0,0,0,-0.02,0.02,0.01,0,0,0.11,0
"Bassas da India",-0.02,34,0.05,-0.1,-0.05,0,0,,-0.09,,,,,,,,0,0,,
"Comoro Islands",-0.02,28,0.07,0.1,0.08,0.05,-0.03,0,-0.33,1.49,0.22,-1.06,0.41,0.41,,0.05,0.02,0,,-0.65
"Democratic Republic of the Congo",-0.02,199,0.06,0.09,0.06,0.03,0,0,-0.23,1.75,0.88,0,-0.56,-0.56,,0.07,0.08,0.09,,-0.47
"Guadeloupe and Martinique",-0.02,140,-0.76,0.02,0.01,0,0,0,-0.92,0.61,0.31,0,0,0,-0.04,0.01,0,0,,1.15
"Ile Europa",-0.02,35,0.05,-0.1,-0.05,0,0,,-0.1,,,,,,,,0,0,,
"Ivory Coast",-0.02,195,0.24,0.32,0.28,0.26,0.13,0.13,-0.03,5.31,2.52,-0.27,-0.28,-0.28,,0.23,0.18,0.13,-2.84,-0.51
"Cape Verde",-0.03,56,0.05,-0.01,-0.01,0,,,0.22,0.94,0.47,0,-0.93,-0.93,,-0.01,-0.01,0,,0
"Denmark",-0.04,175,0.03,-0.08,0.1,0.28,0,0,-0.62,1.58,1.46,1.34,-0.09,-0.1,-0.19,-0.02,-0.01,0,-0.04,-1.24
"Guinea Bissau",-0.04,193,-0.18,-0.32,-0.3,-0.27,-0.13,-0.13,-0.35,5.15,2.36,-0.43,-1.13,-1.13,,-0.25,-0.13,0,,-0.39
"Barbados",-0.05,124,-0.28,0,-0.02,-0.03,-0.07,-0.02,0.17,-1.08,-0.54,0,-0.65,-0.65,,-0.01,-0.01,0,0.9,0
"Jersey",-0.05,227,0.88,0.01,0.01,0.01,0.01,0.01,0.1,1.98,0.42,-1.14,,-1.71,-1.71,,0.01,0.01,,-0.21
"Canada",-0.06,218,0.34,0,0.04,0.07,0.65,-0.01,-0.01,0,-0.69,-1.37,0.32,0.64,3.26,-0.01,-0.04,-0.06,-1.05,-0.45
"French Guiana",-0.06,169,0.23,-0.02,-0.01,0,0,0,-0.28,0.11,0.71,1.31,-0.33,-0.33,,-0.01,-0.01,0,,-0.83
"Gambia",-0.06,65,-0.02,-0.08,-0.08,-0.08,-0.08,-0.08,-0.23,0,0,0,-0.66,-0.66,0,-0.09,-0.08,-0.06,,0.69
"Greece",-0.06,80,-0.28,-0.14,-0.07,0,,,-0.29,-1.57,-1.15,-0.72,-0.39,-0.54,0.76,-0.09,-0.19,-0.28,0.25,1.8
"Colombia",-0.07,132,0.2,0.03,0.02,0,0,0.01,-0.45,0.94,0.48,0.02,0.32,0.4,-0.67,0.01,-0.27,-0.54,-0.91,-0.14
"Fiji",-0.07,18,0.16,0.09,0.08,0.07,0.05,0.06,-0.13,3.22,1.5,-0.22,-0.59,-0.59,0,0.05,0.06,0.07,-1.99,0.08
"Portugal",-0.07,183,0.05,0.03,0.01,0,,,0.84,0,0.12,0.25,0.35,0.35,0.18,0.01,0.01,0,-3.02,1.07
"Northern Saint-Martin",-0.09,221,-0.86,-0.11,-0.05,0,0,0,-0.05,1.26,0.57,-0.12,,,,-0.08,-0.04,0,,-0.28
"Philippines",-0.09,15,0.28,0.22,0.21,0.2,0.18,0.2,0.26,1.65,-0.42,-2.5,-0.51,-0.74,0.33,0.13,0.12,0.11,5.07,-6.03
"Cuba",-0.1,112,-0.6,-0.01,0,0.01,0.01,0,-0.51,2.72,1.34,-0.03,0,-0.23,0.05,-0.01,-0.03,-0.04,-0.91,-0.1
"East Timor",-0.1,231,0.06,0.04,0.03,0.03,0.02,0.03,-0.25,0,0,0,0.02,0.02,0,0.02,-1.6,-3.21,,0.79
"Honduras",-0.1,133,-0.01,-0.1,-0.09,-0.08,-0.07,-0.09,-0.05,0,0.44,0.88,-0.04,3.04,6.03,-0.06,-0.03,0,-0.56,-3.53
"Iraq",-0.1,192,0.04,0.36,0.14,-0.08,0.02,0.02,0.05,10.43,5.21,0,0.01,0.01,,0.11,0.05,0,,-6.45
"Crozet Islands",-0.11,91,,0,0,,,,0,,,,-0.41,-0.41,,-0.06,-0.03,0,,
"Amsterdam Island and Saint Paul Island",-0.13,92,,-0.1,-0.05,0,,,-0.1,,,,-0.35,-0.35,,-0.06,-0.03,0,,
"Montserrat",-0.13,121,-0.84,0.01,0.02,0.02,-0.01,0,-0.04,1.42,0.65,-0.12,0,0,,0.01,0,0,,-1
"Togo",-0.13,98,0.01,-0.05,-0.06,-0.08,-0.14,-0.12,-0.3,0.01,0,0,-0.32,-0.32,,-0.07,-0.04,0,,-0.21
"Australia",-0.16,16,0.13,-0.04,-0.02,0,0,0,-0.12,0,0.68,1.36,-0.02,-0.95,-0.55,-0.04,-0.02,0,-0.65,-0.62
"Benin",-0.16,99,0.02,-0.04,-0.07,-0.1,-0.06,-0.05,-0.22,0,0.13,0.26,-0.9,-0.9,,-0.06,-0.03,0,,-0.22
"Antigua and Barbuda",-0.18,120,0.33,0,0,0,0,0,-0.37,-2.58,-1.29,0,-0.32,-0.32,,-0.01,0,0,,0
"Malaysia",-0.18,206,0.37,0,0.03,0.05,-0.01,0,1.25,-3.38,-1.69,0,-1.03,-0.75,-3.28,0.06,0.03,0.01,0.14,-1.18
"Oman",-0.18,48,-0.63,-0.07,-0.04,0,0,-0.07,-0.16,0,0,0,-0.06,-0.08,0.03,-0.04,-0.03,-0.02,-1.07,0.34
"Netherlands",-0.19,177,0.13,0,0.86,1.73,0,0,-0.15,0.89,0.44,0,0.29,0.47,0.33,0.04,0.02,0,-2.35,-1.32
"Anguilla",-0.21,118,-0.85,0.01,0.02,0.03,0.07,0.05,-0.18,-1.46,-0.72,0,-0.33,-0.33,,0.01,0,0,,0
"Guinea",-0.22,194,0.04,0.03,0.03,0.02,0,0,-0.23,0,-0.08,-0.16,-0.87,-0.87,,0.02,0.03,0.03,,-0.88
"Bouvet Island",-0.24,105,,0,0,,,,0,,,,-0.98,-0.98,,0.03,0.02,0,,
"Egypt",-0.24,214,-0.21,-0.38,-0.19,0,-0.3,-0.41,-0.27,0,0,0,-0.5,-0.53,-0.42,-0.22,-0.41,-0.6,6.83,-6.89
"Guatemala",-0.24,136,0.04,-0.06,-0.02,0,0.01,0.05,-1.21,0,0,0,2.67,5.25,-3.4,-0.04,-0.04,-0.05,-6.93,0.48
"Guernsey",-0.24,228,0.88,0.02,0.01,0.01,0.01,0.01,0.13,1.98,0.42,-1.14,,-2.86,-2.86,,0,0,,-0.74
"Madagascar",-0.26,42,-0.02,-0.08,-0.09,-0.1,-0.15,-0.11,-0.11,0,-2.55,-5.11,-0.04,-0.16,0.04,-0.05,-0.15,-0.25,-0.06,0.8
"Morocco",-0.26,62,0.07,-0.03,-0.02,0,,0,0.22,0,0,0,-0.32,-0.32,0.01,-0.04,1.93,3.91,-1.91,-2.33
"Malta",-0.27,68,-1.23,-0.04,-0.06,-0.08,-0.08,-0.08,-0.59,0.82,0.19,-0.45,-0.03,-0.53,2.59,-0.03,-0.01,0,,0
"Guyana",-0.28,167,0.1,-0.07,-0.03,0,-0.07,-0.06,-0.17,8.32,2.84,-2.64,0,0,-0.14,-0.06,-0.04,-0.02,,-5.15
"Libya",-0.28,67,1.15,-0.4,-0.25,-0.1,,,0.1,2.17,0.94,-0.29,-0.56,-0.56,0,-0.23,-0.11,0,0.68,-4.21
"Kenya",-0.32,43,0.01,-0.04,-0.05,-0.06,-0.07,-0.04,-0.31,0,-0.05,-0.09,-0.02,-0.02,0,-0.03,-0.02,-0.02,-0.23,-2.45
"Kiribati",-0.32,212,0.02,0.01,0.02,0.04,0,0.04,0.06,0,1.68,3.36,0,0,0.01,0,0,0,0,-4.98
"Mayotte",-0.32,29,0.05,-0.12,-0.06,0,0,0,-0.16,0,0,0,0.23,-0.03,0.07,-0.07,-0.03,0,,-2.61
"Mexico",-0.37,135,0.15,0.03,0.03,0.03,0.03,0.03,-0.12,0,0.68,1.35,0.02,-0.06,0.1,0.02,0.01,0,-0.69,-3.76
"Aruba",-0.39,250,-3.51,0.02,0.01,0,0,0,-0.03,0,0,0,0,0,0,0.01,0.01,0,,0
"Finland",-0.4,174,0.05,-0.02,-0.27,-0.51,-6.94,,-0.32,0,2.12,4.23,0.32,0.07,0.77,,0,0,2.1,-0.4
"Albania",-0.41,82,-0.02,-0.07,-0.03,0,,,0.12,0,0,0,-0.35,0.99,-0.35,-0.04,-0.03,-0.01,2.19,-6.49
