"region","Index","AO","SPP","BD","HAB","CP","CS","CW","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
"Saint Helena",46,97,6,51,97,NA,NA,18,7,7,NA,5,6,7,NA,98
"Falkland Islands",46,97,6,51,97,NA,NA,18,6,6,91,5,6,7,NA,98
"Niue",46,97,6,51,97,52,52,6,10,10,NA,5,6,7,NA,98
"Clipperton Island",45,96,6,5,5,NA,NA,18,5,5,NA,NA,NA,6,NA,98
"Gibraltar",44,96,6,5,5,NA,NA,18,38,38,NA,5,6,6,NA,98
"Cook Islands",44,97,6,52,97,52,52,15,23,23,98,5,6,7,5,98
"East Timor",44,46,1,24,47,43,45,32,68,68,47,0,0,0,NA,92
"Aruba",44,93,2,44,87,47,47,2,71,71,94,1,2,2,NA,48
"Anguilla",43,93,2,45,89,47,47,2,62,62,NA,1,2,2,NA,48
"Jan Mayen",43,97,6,28,51,NA,NA,18,13,13,NA,5,6,7,NA,98
"French Polynesia",43,98,6,52,97,52,52,6,16,23,69,5,6,7,5,98
"Monaco",43,92,0,NA,NA,NA,NA,0,32,32,NA,0,0,0,NA,92
"Sint Maarten",43,93,2,47,93,47,47,14,45,45,NA,1,2,2,1,94
"Saba",43,93,2,47,93,47,47,14,NA,NA,NA,1,2,2,1,94
"Sint Eustatius",43,93,2,47,93,47,47,14,NA,NA,NA,1,2,2,1,94
"Djibouti",42,46,0,28,56,46,38,0,90,90,NA,0,0,0,NA,92
"Bermuda",42,93,2,44,87,47,39,14,48,48,NA,1,2,2,NA,48
"Bonaire",42,93,2,44,87,47,44,14,NA,NA,94,1,2,2,1,94
"Faeroe Islands",41,97,6,51,97,NA,NA,18,8,11,31,5,6,7,7,98
"Cayman Islands",40,93,2,45,89,45,42,2,45,45,NA,1,2,2,NA,48
"British Indian Ocean Territory",37,50,6,28,51,51,NA,18,7,7,NA,5,6,6,NA,98
"Bouvet Island",37,NA,6,NA,NA,NA,NA,18,86,86,NA,8,7,7,NA,NA
"Western Sahara",36,50,5,5,5,NA,NA,18,39,39,NA,5,5,6,NA,98
"R_union",35,93,2,47,93,48,NA,2,4,4,67,1,2,2,NA,48
"Jarvis Island",35,50,6,5,5,NA,NA,18,30,30,NA,5,6,6,NA,98
"French Guiana",34,46,1,5,9,10,10,12,91,91,NA,0,1,2,NA,94
"Guinea Bissau",34,0,0,16,31,38,43,34,45,45,NA,0,0,0,NA,92
"Jordan",34,47,1,42,84,39,46,7,87,87,NA,1,0,0,NA,0
"New Caledonia",33,50,5,26,46,43,46,7,9,13,52,5,5,6,5,98
"Eritrea",33,0,0,23,46,46,42,11,84,84,46,0,0,0,2,92
"Sudan",33,0,0,23,46,46,46,10,80,80,NA,0,0,0,0,92
"Samoa",33,0,0,42,83,43,46,11,59,59,46,0,0,0,2,92
"Bosnia and Herzegovina",33,47,1,1,1,NA,NA,11,23,45,55,1,0,0,NA,92
"Somalia",32,46,0,15,31,45,0,10,81,81,NA,0,0,0,2,92
"Amsterdam Island and Saint Paul Island",32,NA,6,51,97,NA,NA,18,52,52,NA,5,6,7,NA,NA
"Antigua and Barbuda",32,0,0,30,60,43,46,12,83,83,NA,0,0,0,NA,46
"Iraq",32,46,0,23,46,46,46,11,40,40,NA,0,0,0,NA,46
"Saint Vincent and the Grenadines",31,0,0,25,50,38,38,46,75,75,NA,0,0,0,10,46
"Greenland",31,93,3,17,32,1,NA,2,12,12,NA,1,2,2,24,94
"Saint Pierre and Miquelon",31,50,5,5,5,NA,NA,18,7,7,NA,5,5,6,NA,98
"Nauru",30,46,0,23,46,46,NA,0,1,1,46,0,0,0,NA,92
"Comoro Islands",30,0,0,33,65,46,46,32,37,37,NA,0,0,0,NA,46
"Kuwait",30,46,0,31,61,46,46,11,59,59,81,0,0,0,NA,0
"Benin",30,0,0,42,83,46,46,11,50,50,NA,0,0,0,NA,46
"Saint Kitts and Nevis",30,0,0,32,65,46,46,12,54,54,NA,0,0,0,NA,46
"Dominica",29,0,0,28,56,45,46,22,70,70,NA,0,0,0,0,46
"Singapore",29,46,0,21,42,36,41,11,74,63,54,0,0,0,42,0
"Tuvalu",28,0,0,19,38,38,NA,44,1,1,47,0,0,0,NA,92
"Prince Edward Islands",28,NA,6,51,97,NA,NA,18,16,16,NA,NA,NA,7,NA,NA
"United Arab Emirates",27,46,0,23,46,46,46,11,67,67,51,0,0,0,6,0
"Republique du Congo",27,46,0,0,0,NA,NA,11,43,43,NA,0,0,0,0,92
"Saint Lucia",27,0,0,30,61,38,42,11,49,49,NA,0,0,0,NA,46
"Marshall Islands",26,0,0,31,61,46,46,0,2,2,NA,0,0,0,21,92
"Malta",26,46,0,23,46,46,46,11,24,36,46,0,0,0,NA,0
"Grenada",26,0,0,23,46,45,27,34,35,35,NA,0,0,0,NA,46
"Taiwan",25,46,1,31,61,43,47,14,37,36,34,0,1,2,1,2
"Cuba",25,46,0,12,23,20,38,11,50,50,46,0,0,0,0,46
"Barbados",25,46,0,21,42,22,46,11,78,78,NA,0,0,0,3,0
"Tonga",25,0,0,31,61,46,46,11,43,43,74,0,0,0,2,46
"Palau",24,0,0,19,38,35,34,34,3,3,47,0,0,0,2,92
"North Korea",24,46,0,0,0,0,NA,0,21,27,46,0,0,0,24,92
"Bahrain",24,46,0,23,46,41,46,7,53,53,59,0,0,0,0,0
"Syria",24,46,0,0,0,NA,NA,11,62,62,NA,0,0,0,1,46
"Kerguelen Islands",24,NA,6,51,97,NA,NA,18,21,21,NA,5,6,7,NA,NA
"Liberia",24,0,0,0,0,0,0,34,62,62,NA,0,0,0,NA,92
"Qatar",24,0,0,23,46,46,46,11,64,64,46,0,0,0,NA,0
"Vanuatu",23,0,0,23,46,46,46,34,9,9,54,0,0,0,0,46
"Togo",23,0,0,28,56,46,46,7,13,13,NA,0,0,0,NA,46
"Bahamas",23,46,0,12,23,10,45,34,17,17,58,0,0,0,0,46
"Micronesia",22,0,0,19,38,37,37,0,8,8,46,0,0,0,2,92
"Israel",22,0,0,19,38,38,38,8,64,60,55,0,0,0,32,0
"Vietnam",22,46,0,21,42,13,1,11,90,81,41,0,0,0,24,0
"Kiribati",22,0,0,31,61,46,46,0,28,28,0,0,0,0,0,46
"Yemen",21,0,0,21,42,43,46,17,53,53,85,0,0,0,7,0
"Ukraine",21,1,1,23,46,46,46,0,9,9,25,0,0,0,21,46
"Heard and McDonald Islands",21,NA,6,51,97,NA,NA,18,7,7,NA,8,7,7,NA,NA
"Haiti",21,0,0,23,46,42,42,0,82,82,NA,0,0,0,0,0
"Myanmar",21,46,0,12,23,6,14,0,87,86,38,0,0,0,27,0
"Maldives",20,0,0,21,42,39,46,11,15,15,NA,0,0,0,5,46
"India",20,0,0,21,42,35,39,8,65,62,39,0,0,0,10,0
"Saudi Arabia",19,0,0,23,46,46,46,3,56,52,32,0,0,0,0,0
"Sierra Leone",19,0,0,16,31,29,37,34,34,34,NA,0,0,0,NA,0
"Equatorial Guinea",19,0,0,0,0,0,0,0,79,79,NA,0,0,0,0,92
"Guinea",19,0,0,15,31,36,41,10,48,48,NA,0,0,0,NA,0
"Fiji",18,0,0,19,38,34,23,0,37,37,60,0,0,0,0,46
"Sri Lanka",18,0,0,21,42,43,45,0,56,56,45,0,0,0,1,0
"Oman",18,0,0,28,56,46,38,2,43,43,76,0,0,0,8,0
"Mauritania",18,0,0,0,0,NA,NA,23,46,46,NA,0,0,0,12,46
"Libya",18,0,0,0,0,NA,NA,8,75,75,92,0,0,0,0,46
"Jamaica",18,0,0,12,23,14,42,11,85,85,46,0,0,0,0,0
"Slovenia",18,92,0,0,0,NA,NA,0,9,25,61,0,0,0,8,0
"Nicaragua",17,0,0,21,42,33,39,8,65,47,23,0,0,0,0,0
"Honduras",17,0,0,21,42,29,33,7,61,50,46,0,0,0,10,0
"Iran",17,0,0,23,46,46,46,1,37,37,23,0,0,0,2,0
"Nigeria",17,0,0,15,31,21,30,11,67,67,46,0,0,0,5,0
"Democratic Republic of the Congo",17,0,0,0,0,0,0,11,81,81,NA,0,0,0,NA,46
"Angola",17,0,0,15,31,20,29,11,60,60,NA,0,0,0,19,0
"Madagascar",16,0,0,19,38,30,30,0,65,64,31,0,0,0,0,0
"Senegal",16,0,0,15,31,32,39,3,37,37,31,0,0,0,19,0
"Crozet Islands",16,NA,6,NA,NA,NA,NA,18,23,23,NA,5,6,7,NA,NA
"Belize",16,0,0,9,19,19,34,0,58,39,23,0,0,0,0,46
"Morocco",15,0,0,19,38,39,38,11,22,22,19,0,0,0,3,0
"Ghana",15,0,0,15,31,44,45,9,14,14,NA,0,0,0,3,0
"Puerto Rico and Virgin Islands of the United States",15,46,1,3,5,5,9,2,55,55,71,0,1,2,NA,2
"Tanzania",15,0,0,19,38,29,2,11,72,72,47,0,0,0,0,0
"Solomon Islands",14,0,0,21,42,33,29,0,1,1,92,0,0,0,0,46
"Philippines",14,0,0,10,19,8,30,11,72,65,29,0,0,0,1,0
"Papua New Guinea",14,0,0,19,38,25,21,11,3,3,77,0,0,0,0,46
"Cyprus",14,46,0,0,0,NA,NA,0,51,55,58,0,0,0,0,0
"South Georgia and the South Sandwich Islands",14,NA,6,28,51,NA,NA,18,5,5,NA,5,6,7,NA,NA
"Dominican Republic",14,0,0,12,23,9,31,8,65,65,71,0,0,0,0,0
"Egypt",14,0,0,12,23,12,46,0,71,50,26,0,0,0,3,0
"Brunei",14,1,0,0,1,1,0,12,66,65,47,1,1,1,1,46
"South Korea",13,0,0,0,0,NA,NA,0,75,70,37,0,0,0,23,0
"Cambodia",13,0,0,13,25,3,0,11,89,89,46,0,0,0,3,0
"Cape Verde",13,0,0,0,0,NA,NA,34,45,45,NA,0,0,0,NA,0
"Lebanon",13,0,0,0,0,NA,NA,11,79,78,46,0,0,0,0,0
"Sao Tome and Principe",13,0,0,0,0,NA,NA,0,49,49,NA,0,0,0,0,46
"Italy",13,0,0,15,31,34,35,0,32,33,35,0,0,0,0,0
"China",13,0,0,11,22,7,13,34,43,44,44,0,0,0,3,0
"Mozambique",12,0,0,21,42,22,11,7,42,42,69,0,0,0,0,0
"Bangladesh",12,0,0,15,31,0,0,8,92,84,37,0,0,0,0,0
"Mauritius",11,0,0,15,31,2,46,0,28,28,46,0,0,0,6,0
"Kenya",11,0,0,12,23,2,10,11,65,65,92,0,0,0,1,0
"Russia",11,0,0,12,23,0,46,11,25,25,8,0,0,0,5,0
"Albania",11,0,0,0,0,NA,NA,11,37,42,57,0,0,0,22,0
"Ecuador",11,0,0,15,31,3,0,0,23,28,34,0,0,0,5,46
"Thailand",10,0,0,9,19,6,12,0,69,58,22,0,0,0,7,0
"Pakistan",9,0,0,0,0,0,0,11,51,51,46,0,0,0,23,0
"El Salvador",9,0,0,0,0,0,0,0,65,65,55,0,0,0,19,0
"Mexico",9,0,0,9,19,14,24,0,24,25,42,0,0,0,5,0
"Venezuela",9,0,0,12,23,5,11,11,42,42,44,0,0,0,1,0
"Argentina",9,46,0,0,0,NA,NA,7,3,3,0,0,0,0,7,0
"Malaysia",9,0,0,9,19,1,2,0,65,64,31,0,0,0,5,0
"Indonesia",9,0,0,9,19,3,10,11,51,48,30,0,0,0,0,0
"Seychelles",8,0,0,13,25,37,0,11,9,9,46,0,0,0,2,0
"Namibia",8,0,0,0,0,NA,NA,11,34,34,36,0,0,0,14,0
"Trinidad and Tobago",8,0,0,13,25,8,0,11,44,44,NA,0,0,0,0,0
"Guyana",8,0,0,0,0,0,0,0,64,64,46,0,0,0,NA,0
"Brazil",8,0,0,19,38,3,1,0,43,45,67,0,0,0,0,0
"Lithuania",8,46,0,0,0,0,NA,0,1,1,NA,NA,NA,0,11,0
"Australia",7,0,0,0,0,0,0,11,41,43,48,0,0,0,11,0
"Tunisia",7,0,0,0,0,NA,NA,10,35,37,55,0,0,0,0,0
"Latvia",7,46,0,0,0,0,0,0,1,1,NA,NA,NA,0,8,0
"South Africa",7,0,0,12,23,8,8,11,21,21,20,0,0,0,3,0
"Costa Rica",7,0,0,0,0,0,0,7,53,52,35,0,0,0,2,0
"Denmark",7,0,0,2,4,0,8,0,41,42,60,0,0,0,10,0
"Spain",7,0,0,4,8,8,8,7,30,31,33,0,0,0,2,0
"Cameroon",7,0,0,0,0,0,0,7,50,50,NA,0,0,0,NA,0
"Gabon",7,0,0,0,0,0,0,11,41,41,NA,0,0,0,NA,0
"Gambia",6,0,0,0,0,0,0,11,38,38,46,0,0,0,NA,0
"Greece",6,0,0,0,0,NA,NA,8,28,31,34,0,0,0,1,0
"Panama",6,0,0,12,23,8,18,2,10,12,46,0,0,0,2,0
"New Zealand",6,0,0,0,0,0,0,21,19,19,23,0,0,0,13,0
"Suriname",6,0,0,0,0,0,0,0,53,53,46,0,0,0,3,0
"Germany",6,0,0,0,0,0,0,0,37,37,44,0,0,0,14,0
"Colombia",5,0,0,0,0,0,0,0,44,43,31,0,0,0,1,0
"Croatia",5,0,0,0,0,NA,NA,8,18,22,52,0,0,0,2,0
"Ivory Coast",5,0,0,0,0,0,0,11,26,26,NA,0,0,0,7,0
"Japan",5,0,0,8,15,0,10,0,28,30,46,0,0,0,1,0
"Bulgaria",4,1,1,1,1,NA,NA,9,14,17,46,0,0,0,0,0
"Georgia",4,1,1,1,1,NA,NA,11,9,9,NA,0,0,0,3,0
"Algeria",4,0,0,0,0,NA,NA,0,26,26,47,0,0,0,0,0
"Guatemala",4,0,0,0,0,0,0,0,20,28,61,0,0,0,4,0
"United States",4,0,0,0,0,0,0,11,21,21,39,0,0,0,7,0
"Netherlands",4,0,0,0,0,0,0,0,28,27,23,0,0,0,9,0
"Poland",4,0,0,12,23,5,6,0,3,3,NA,NA,NA,0,3,0
"France",4,0,0,0,0,0,0,8,21,26,37,0,0,0,3,0
"Montenegro",4,0,0,0,0,NA,NA,0,27,29,46,0,0,0,0,0
"Canada",4,0,0,9,18,0,0,9,9,11,33,0,0,0,2,0
"Estonia",3,0,0,0,0,0,0,0,1,1,92,NA,NA,0,21,0
"Turkey",3,0,0,0,0,NA,NA,0,10,13,29,0,0,0,8,0
"Portugal",3,0,0,0,0,NA,NA,7,14,15,24,0,0,0,2,0
"Belgium",2,0,0,0,0,0,0,0,16,16,NA,0,0,0,6,0
"Uruguay",2,0,0,0,0,NA,NA,0,12,12,46,0,0,0,3,0
"United Kingdom",2,0,0,0,0,0,0,0,11,15,38,0,0,0,1,0
"Sweden",2,0,0,9,18,0,5,0,1,1,0,0,0,0,0,0
"Norway",2,0,0,0,0,0,NA,0,4,16,39,0,0,0,1,0
"Chile",2,0,0,0,0,NA,NA,0,3,11,39,0,0,0,0,0
"Romania",1,1,0,0,1,NA,NA,0,3,3,NA,0,0,0,4,0
"Finland",1,0,0,0,0,0,NA,0,1,4,35,NA,NA,0,1,0
"Ireland",1,0,0,0,0,0,0,0,7,8,32,0,0,0,0,0
"Peru",0,0,0,0,0,0,0,0,2,2,36,0,0,0,1,0
"Iceland",0,0,0,0,0,0,NA,0,1,1,0,0,0,0,0,0
