"(Sub)Goal","Region_id","Region_label","Score"
"ICO",2,"Amapa",47
"ICO",3,"Bahia",47
"ICO",4,"Ceara",47
"ICO",5,"Espirito Santo",47
"ICO",6,"Maranhao",46
"ICO",7,"Para",46
"ICO",8,"Paraiba",46
"ICO",9,"Pernambuco",47
"ICO",10,"Piaui",45
"ICO",11,"Parana",48
"ICO",12,"Rio de Janeiro",50
"ICO",13,"Rio Grande Do Norte",46
"ICO",14,"Rio Grande Do Sul",49
"ICO",15,"Santa Catarina",48
"ICO",16,"Sergipe",46
"ICO",17,"Sao Paulo",51
"SP",0,"Brazil",48
"SP",1,"Alagoas",33
"SP",2,"Amapa",73
"SP",3,"Bahia",58
"SP",4,"Ceara",35
"SP",5,"Espirito Santo",38
"SP",6,"Maranhao",53
"SP",7,"Para",37
"SP",8,"Paraiba",44
"SP",9,"Pernambuco",41
"SP",10,"Piaui",27
"SP",11,"Parana",53
"SP",12,"Rio de Janeiro",57
"SP",13,"Rio Grande Do Norte",32
"SP",14,"Rio Grande Do Sul",42
"SP",15,"Santa Catarina",39
"SP",16,"Sergipe",45
"SP",17,"Sao Paulo",63
"LSP",0,"Brazil",48
"LSP",1,"Alagoas",20
"LSP",2,"Amapa",98
"LSP",3,"Bahia",69
"LSP",4,"Ceara",24
"LSP",5,"Espirito Santo",28
"LSP",6,"Maranhao",60
"LSP",7,"Para",29
"LSP",8,"Paraiba",43
"LSP",9,"Pernambuco",35
"LSP",10,"Piaui",10
"LSP",11,"Parana",59
"LSP",12,"Rio de Janeiro",65
"LSP",13,"Rio Grande Do Norte",17
"LSP",14,"Rio Grande Do Sul",35
"LSP",15,"Santa Catarina",31
"LSP",16,"Sergipe",45
"LSP",17,"Sao Paulo",75
"CW",0,"Brazil",77
"CW",1,"Alagoas",60
"CW",2,"Amapa",90
"CW",3,"Bahia",71
"CW",4,"Ceara",85
"CW",5,"Espirito Santo",62
"CW",6,"Maranhao",79
"CW",7,"Para",74
"CW",8,"Paraiba",62
"CW",9,"Pernambuco",70
"CW",10,"Piaui",31
"CW",11,"Parana",85
"CW",12,"Rio de Janeiro",77
"CW",13,"Rio Grande Do Norte",79
"CW",14,"Rio Grande Do Sul",84
"CW",15,"Santa Catarina",77
"CW",16,"Sergipe",47
"CW",17,"Sao Paulo",95
"HAB",0,"Brazil",95
"HAB",1,"Alagoas",94
"HAB",2,"Amapa",96
"HAB",3,"Bahia",97
"HAB",4,"Ceara",90
"HAB",5,"Espirito Santo",97
"HAB",6,"Maranhao",93
"HAB",7,"Para",96
"HAB",8,"Paraiba",93
"HAB",9,"Pernambuco",94
"HAB",10,"Piaui",91
"HAB",11,"Parana",99
"HAB",12,"Rio de Janeiro",99
"HAB",13,"Rio Grande Do Norte",77
"HAB",14,"Rio Grande Do Sul",100
"HAB",15,"Santa Catarina",99
"HAB",16,"Sergipe",95
"HAB",17,"Sao Paulo",99
"BD",0,"Brazil",85
"BD",1,"Alagoas",82
"BD",2,"Amapa",85
"BD",3,"Bahia",85
"BD",4,"Ceara",81
"BD",5,"Espirito Santo",85
"BD",6,"Maranhao",82
"BD",7,"Para",84
"BD",8,"Paraiba",82
"BD",9,"Pernambuco",83
"BD",10,"Piaui",80
"BD",11,"Parana",87
"BD",12,"Rio de Janeiro",88
"BD",13,"Rio Grande Do Norte",74
"BD",14,"Rio Grande Do Sul",88
"BD",15,"Santa Catarina",87
"BD",16,"Sergipe",83
"BD",17,"Sao Paulo",89
"SPP",0,"Brazil",74
"SPP",1,"Alagoas",70
"SPP",2,"Amapa",74
"SPP",3,"Bahia",73
"SPP",4,"Ceara",73
"SPP",5,"Espirito Santo",74
"SPP",6,"Maranhao",72
"SPP",7,"Para",72
"SPP",8,"Paraiba",71
"SPP",9,"Pernambuco",73
"SPP",10,"Piaui",69
"SPP",11,"Parana",76
"SPP",12,"Rio de Janeiro",78
"SPP",13,"Rio Grande Do Norte",71
"SPP",14,"Rio Grande Do Sul",77
"SPP",15,"Santa Catarina",75
"SPP",16,"Sergipe",71
"SPP",17,"Sao Paulo",80
