"goal","dimension","region_id","score","year","rgn_name"
"CP","score",161,100,2017,"Wallis and Futuna"
"CP","score",212,99,2017,"Gilbert Islands (Kiribati)"
"CS","score",5,79,2017,"New Caledonia"
"CS","score",6,88,2017,"Vanuatu"
"CS","score",7,74,2017,"Solomon Islands"
"CS","score",8,64,2017,"Palau"
"CS","score",9,93,2017,"Micronesia"
"CS","score",10,NA,2017,"Nauru"
"CS","score",11,87,2017,"Marshall Islands"
"CS","score",13,93,2017,"Northern Mariana Islands and Guam"
"CS","score",17,84,2017,"Papua New Guinea"
"CS","score",18,69,2017,"Fiji"
"CS","score",19,NA,2017,"Tuvalu"
"CS","score",147,91,2017,"French Polynesia"
"CS","score",148,NA,2017,"Line Islands (Kiribati)"
"CS","score",151,94,2017,"American Samoa"
"CS","score",152,90,2017,"Samoa"
"CS","score",153,53,2017,"Cook Islands"
"CS","score",154,53,2017,"Niue"
"CS","score",155,87,2017,"Tonga"
"CS","score",156,53,2017,"Tokelau"
"CS","score",157,NA,2017,"Phoenix Islands (Kiribati)"
"CS","score",161,NA,2017,"Wallis and Futuna"
"CS","score",212,87,2017,"Gilbert Islands (Kiribati)"
"CW","score",5,79,2017,"New Caledonia"
"CW","score",6,69,2017,"Vanuatu"
"CW","score",7,78,2017,"Solomon Islands"
"CW","score",8,75,2017,"Palau"
"CW","score",9,68,2017,"Micronesia"
"CW","score",10,51,2017,"Nauru"
"CW","score",11,69,2017,"Marshall Islands"
"CW","score",13,61,2017,"Northern Mariana Islands and Guam"
"CW","score",17,67,2017,"Papua New Guinea"
"CW","score",18,71,2017,"Fiji"
"CW","score",19,71,2017,"Tuvalu"
"CW","score",147,92,2017,"French Polynesia"
"CW","score",148,95,2017,"Line Islands (Kiribati)"
"CW","score",151,59,2017,"American Samoa"
"CW","score",152,89,2017,"Samoa"
"CW","score",153,94,2017,"Cook Islands"
"CW","score",154,89,2017,"Niue"
"CW","score",155,71,2017,"Tonga"
"CW","score",156,89,2017,"Tokelau"
"CW","score",157,97,2017,"Phoenix Islands (Kiribati)"
"CW","score",161,82,2017,"Wallis and Futuna"
"CW","score",212,65,2017,"Gilbert Islands (Kiribati)"
"FIS","score",5,70,2017,"New Caledonia"
"FIS","score",6,52,2017,"Vanuatu"
"FIS","score",7,89,2017,"Solomon Islands"
"FIS","score",8,87,2017,"Palau"
"FIS","score",9,83,2017,"Micronesia"
"FIS","score",10,94,2017,"Nauru"
"FIS","score",11,75,2017,"Marshall Islands"
"FIS","score",13,29,2017,"Northern Mariana Islands and Guam"
"FIS","score",17,85,2017,"Papua New Guinea"
"FIS","score",18,52,2017,"Fiji"
"FIS","score",19,86,2017,"Tuvalu"
"FIS","score",147,60,2017,"French Polynesia"
"FIS","score",148,55,2017,"Line Islands (Kiribati)"
"FIS","score",151,59,2017,"American Samoa"
"FIS","score",152,65,2017,"Samoa"
"FIS","score",153,36,2017,"Cook Islands"
"FIS","score",154,32,2017,"Niue"
"FIS","score",155,34,2017,"Tonga"
"FIS","score",156,59,2017,"Tokelau"
"FIS","score",157,79,2017,"Phoenix Islands (Kiribati)"
"FIS","score",161,74,2017,"Wallis and Futuna"
"FIS","score",212,84,2017,"Gilbert Islands (Kiribati)"
"FP","score",5,67,2017,"New Caledonia"
"FP","score",6,52,2017,"Vanuatu"
"FP","score",7,89,2017,"Solomon Islands"
"FP","score",8,87,2017,"Palau"
"FP","score",9,83,2017,"Micronesia"
"FP","score",10,94,2017,"Nauru"
"FP","score",11,75,2017,"Marshall Islands"
"FP","score",13,28,2017,"Northern Mariana Islands and Guam"
"FP","score",17,85,2017,"Papua New Guinea"
"FP","score",18,52,2017,"Fiji"
"FP","score",19,86,2017,"Tuvalu"
"FP","score",147,58,2017,"French Polynesia"
"FP","score",148,55,2017,"Line Islands (Kiribati)"
"FP","score",151,59,2017,"American Samoa"
"FP","score",152,65,2017,"Samoa"
"FP","score",153,36,2017,"Cook Islands"
"FP","score",154,32,2017,"Niue"
"FP","score",155,34,2017,"Tonga"
"FP","score",156,59,2017,"Tokelau"
"FP","score",157,79,2017,"Phoenix Islands (Kiribati)"
"FP","score",161,74,2017,"Wallis and Futuna"
"FP","score",212,84,2017,"Gilbert Islands (Kiribati)"
"HAB","score",5,88,2017,"New Caledonia"
"HAB","score",6,95,2017,"Vanuatu"
"HAB","score",7,84,2017,"Solomon Islands"
"HAB","score",8,89,2017,"Palau"
"HAB","score",9,97,2017,"Micronesia"
"HAB","score",10,78,2017,"Nauru"
"HAB","score",11,96,2017,"Marshall Islands"
"HAB","score",13,96,2017,"Northern Mariana Islands and Guam"
"HAB","score",17,92,2017,"Papua New Guinea"
"HAB","score",18,88,2017,"Fiji"
"HAB","score",19,100,2017,"Tuvalu"
"HAB","score",147,98,2017,"French Polynesia"
"HAB","score",148,97,2017,"Line Islands (Kiribati)"
"HAB","score",151,98,2017,"American Samoa"
"HAB","score",152,96,2017,"Samoa"
"HAB","score",153,79,2017,"Cook Islands"
"HAB","score",154,77,2017,"Niue"
"HAB","score",155,97,2017,"Tonga"
"HAB","score",156,75,2017,"Tokelau"
"HAB","score",157,94,2017,"Phoenix Islands (Kiribati)"
"HAB","score",161,99,2017,"Wallis and Futuna"
"HAB","score",212,97,2017,"Gilbert Islands (Kiribati)"
"ICO","score",5,68,2017,"New Caledonia"
"ICO","score",6,60,2017,"Vanuatu"
"ICO","score",7,63,2017,"Solomon Islands"
"ICO","score",8,63,2017,"Palau"
"ICO","score",9,57,2017,"Micronesia"
"ICO","score",10,68,2017,"Nauru"
"ICO","score",11,65,2017,"Marshall Islands"
"ICO","score",13,61,2017,"Northern Mariana Islands and Guam"
"ICO","score",17,61,2017,"Papua New Guinea"
"ICO","score",18,59,2017,"Fiji"
"ICO","score",19,61,2017,"Tuvalu"
"ICO","score",147,68,2017,"French Polynesia"
"ICO","score",148,60,2017,"Line Islands (Kiribati)"
"ICO","score",151,63,2017,"American Samoa"
"ICO","score",152,69,2017,"Samoa"
"ICO","score",153,66,2017,"Cook Islands"
"ICO","score",154,67,2017,"Niue"
"ICO","score",155,64,2017,"Tonga"
"ICO","score",156,55,2017,"Tokelau"
"ICO","score",157,61,2017,"Phoenix Islands (Kiribati)"
"ICO","score",161,74,2017,"Wallis and Futuna"
"ICO","score",212,65,2017,"Gilbert Islands (Kiribati)"
"Index","score",5,82,2017,"New Caledonia"
"Index","score",6,75,2017,"Vanuatu"
"Index","score",7,70,2017,"Solomon Islands"
"Index","score",8,68,2017,"Palau"
"Index","score",9,69,2017,"Micronesia"
"Index","score",10,71,2017,"Nauru"
"Index","score",11,73,2017,"Marshall Islands"
"Index","score",13,72,2017,"Northern Mariana Islands and Guam"
"Index","score",17,62,2017,"Papua New Guinea"
"Index","score",18,71,2017,"Fiji"
"Index","score",19,75,2017,"Tuvalu"
"Index","score",147,78,2017,"French Polynesia"
"Index","score",148,73,2017,"Line Islands (Kiribati)"
"Index","score",151,79,2017,"American Samoa"
"Index","score",152,73,2017,"Samoa"
"Index","score",153,65,2017,"Cook Islands"
"Index","score",154,67,2017,"Niue"
"Index","score",155,71,2017,"Tonga"
"Index","score",156,71,2017,"Tokelau"
"Index","score",157,83,2017,"Phoenix Islands (Kiribati)"
"Index","score",161,76,2017,"Wallis and Futuna"
"Index","score",212,68,2017,"Gilbert Islands (Kiribati)"
"LSP","score",5,88,2017,"New Caledonia"
"LSP","score",6,1,2017,"Vanuatu"
"LSP","score",7,9,2017,"Solomon Islands"
"LSP","score",8,28,2017,"Palau"
"LSP","score",9,3,2017,"Micronesia"
"LSP","score",10,0,2017,"Nauru"
"LSP","score",11,38,2017,"Marshall Islands"
"LSP","score",13,42,2017,"Northern Mariana Islands and Guam"
"LSP","score",17,9,2017,"Papua New Guinea"
"LSP","score",18,66,2017,"Fiji"
"LSP","score",19,7,2017,"Tuvalu"
"LSP","score",147,0,2017,"French Polynesia"
"LSP","score",148,0,2017,"Line Islands (Kiribati)"
"LSP","score",151,69,2017,"American Samoa"
"LSP","score",152,1,2017,"Samoa"
"LSP","score",153,0,2017,"Cook Islands"
"LSP","score",154,39,2017,"Niue"
"LSP","score",155,4,2017,"Tonga"
"LSP","score",156,0,2017,"Tokelau"
"LSP","score",157,100,2017,"Phoenix Islands (Kiribati)"
"LSP","score",161,0,2017,"Wallis and Futuna"
"LSP","score",212,0,2017,"Gilbert Islands (Kiribati)"
"MAR","score",5,11,2017,"New Caledonia"
"MAR","score",6,0,2017,"Vanuatu"
"MAR","score",7,0,2017,"Solomon Islands"
"MAR","score",8,2,2017,"Palau"
"MAR","score",9,0,2017,"Micronesia"
"MAR","score",10,0,2017,"Nauru"
"MAR","score",11,NA,2017,"Marshall Islands"
"MAR","score",13,1,2017,"Northern Mariana Islands and Guam"
"MAR","score",17,0,2017,"Papua New Guinea"
"MAR","score",18,0,2017,"Fiji"
"MAR","score",19,0,2017,"Tuvalu"
"MAR","score",147,25,2017,"French Polynesia"
"MAR","score",148,NA,2017,"Line Islands (Kiribati)"
"MAR","score",151,NA,2017,"American Samoa"
"MAR","score",152,0,2017,"Samoa"
"MAR","score",153,1,2017,"Cook Islands"
"MAR","score",154,NA,2017,"Niue"
"MAR","score",155,0,2017,"Tonga"
"MAR","score",156,NA,2017,"Tokelau"
"MAR","score",157,NA,2017,"Phoenix Islands (Kiribati)"
"MAR","score",161,NA,2017,"Wallis and Futuna"
"MAR","score",212,0,2017,"Gilbert Islands (Kiribati)"
"NP","score",5,100,2017,"New Caledonia"
"NP","score",6,82,2017,"Vanuatu"
"NP","score",7,84,2017,"Solomon Islands"
"NP","score",8,6,2017,"Palau"
"NP","score",9,42,2017,"Micronesia"
"NP","score",10,NA,2017,"Nauru"
"NP","score",11,73,2017,"Marshall Islands"
"NP","score",13,NA,2017,"Northern Mariana Islands and Guam"
"NP","score",17,12,2017,"Papua New Guinea"
"NP","score",18,45,2017,"Fiji"
"NP","score",19,NA,2017,"Tuvalu"
"NP","score",147,97,2017,"French Polynesia"
"NP","score",148,NA,2017,"Line Islands (Kiribati)"
"NP","score",151,NA,2017,"American Samoa"
"NP","score",152,69,2017,"Samoa"
"NP","score",153,59,2017,"Cook Islands"
"NP","score",154,NA,2017,"Niue"
"NP","score",155,56,2017,"Tonga"
"NP","score",156,NA,2017,"Tokelau"
"NP","score",157,NA,2017,"Phoenix Islands (Kiribati)"
"NP","score",161,NA,2017,"Wallis and Futuna"
"NP","score",212,4,2017,"Gilbert Islands (Kiribati)"
"SP","score",5,78,2017,"New Caledonia"
"SP","score",6,30,2017,"Vanuatu"
"SP","score",7,36,2017,"Solomon Islands"
"SP","score",8,45,2017,"Palau"
"SP","score",9,30,2017,"Micronesia"
"SP","score",10,34,2017,"Nauru"
"SP","score",11,51,2017,"Marshall Islands"
"SP","score",13,52,2017,"Northern Mariana Islands and Guam"
"SP","score",17,35,2017,"Papua New Guinea"
"SP","score",18,63,2017,"Fiji"
"SP","score",19,34,2017,"Tuvalu"
"SP","score",147,34,2017,"French Polynesia"
"SP","score",148,30,2017,"Line Islands (Kiribati)"
"SP","score",151,66,2017,"American Samoa"
"SP","score",152,35,2017,"Samoa"
"SP","score",153,33,2017,"Cook Islands"
"SP","score",154,53,2017,"Niue"
"SP","score",155,34,2017,"Tonga"
"SP","score",156,28,2017,"Tokelau"
"SP","score",157,81,2017,"Phoenix Islands (Kiribati)"
"SP","score",161,37,2017,"Wallis and Futuna"
"SP","score",212,33,2017,"Gilbert Islands (Kiribati)"
"SPP","score",5,90,2017,"New Caledonia"
"SPP","score",6,86,2017,"Vanuatu"
"SPP","score",7,85,2017,"Solomon Islands"
"SPP","score",8,88,2017,"Palau"
"SPP","score",9,85,2017,"Micronesia"
"SPP","score",10,83,2017,"Nauru"
"SPP","score",11,84,2017,"Marshall Islands"
"SPP","score",13,88,2017,"Northern Mariana Islands and Guam"
"SPP","score",17,80,2017,"Papua New Guinea"
"SPP","score",18,84,2017,"Fiji"
"SPP","score",19,84,2017,"Tuvalu"
"SPP","score",147,92,2017,"French Polynesia"
"SPP","score",148,88,2017,"Line Islands (Kiribati)"
"SPP","score",151,88,2017,"American Samoa"
"SPP","score",152,90,2017,"Samoa"
"SPP","score",153,89,2017,"Cook Islands"
"SPP","score",154,87,2017,"Niue"
"SPP","score",155,88,2017,"Tonga"
"SPP","score",156,91,2017,"Tokelau"
"SPP","score",157,89,2017,"Phoenix Islands (Kiribati)"
"SPP","score",161,89,2017,"Wallis and Futuna"
"SPP","score",212,84,2017,"Gilbert Islands (Kiribati)"
"TR","score",5,88,2017,"New Caledonia"
"TR","score",6,100,2017,"Vanuatu"
"TR","score",7,32,2017,"Solomon Islands"
"TR","score",8,78,2017,"Palau"
"TR","score",9,72,2017,"Micronesia"
"TR","score",10,74,2017,"Nauru"
"TR","score",11,72,2017,"Marshall Islands"
"TR","score",13,78,2017,"Northern Mariana Islands and Guam"
"TR","score",17,5,2017,"Papua New Guinea"
"TR","score",18,100,2017,"Fiji"
"TR","score",19,72,2017,"Tuvalu"
"TR","score",147,80,2017,"French Polynesia"
"TR","score",148,76,2017,"Line Islands (Kiribati)"
"TR","score",151,74,2017,"American Samoa"
"TR","score",152,76,2017,"Samoa"
"TR","score",153,79,2017,"Cook Islands"
"TR","score",154,76,2017,"Niue"
"TR","score",155,72,2017,"Tonga"
"TR","score",156,76,2017,"Tokelau"
"TR","score",157,77,2017,"Phoenix Islands (Kiribati)"
"TR","score",161,76,2017,"Wallis and Futuna"
"TR","score",212,72,2017,"Gilbert Islands (Kiribati)"
"AO","score",0,61,2017,NA
"BD","score",0,90,2017,NA
"CP","score",0,95,2017,NA
"CS","score",0,82,2017,NA
"CW","score",0,78,2017,NA
"FIS","score",0,67,2017,NA
"FP","score",0,66,2017,NA
"HAB","score",0,93,2017,NA
"ICO","score",0,63,2017,NA
"Index","score",0,72,2017,NA
"LSP","score",0,19,2017,NA
"MAR","score",0,6,2017,NA
"NP","score",0,61,2017,NA
"SP","score",0,41,2017,NA
"SPP","score",0,87,2017,NA
"TR","score",0,69,2017,NA
