layer,gf_file
hab_seagrass_extent,ohiprep:globalprep/hab_seagrass/v2012/data/extent_seagrass_gf.csv
hab_seagrass_health,ohiprep:globalprep/hab_seagrass/v2012/data/health_seagrass_gf.csv
hab_seagrass_trend,ohiprep:globalprep/hab_seagrass/v2012/data/trend_seagrass_gf.csv
hab_seaice_extent,ohiprep:globalprep/hab_seaice/v2018/output/hab_ice_extent_eez_gf.csv
hab_seaice_health,ohiprep:globalprep/hab_seaice/v2018/output/hab_ice_health_eez_gf.csv
hab_seaice_trend,ohiprep:globalprep/hab_seaice/v2018/output/hab_ice_trend_eez_gf.csv
lsp_prot_area_inland1km,ohiprep:globalprep/lsp/v2018/output/lsp_prot_area_inland1km_gf.csv
rgn_area_inland1km,ohiprep:globalprep/lsp/v2018/output/lsp_prot_area_inland1km_gf.csv
lsp_prot_area_offshore3nm,ohiprep:globalprep/lsp/v2018/output/lsp_prot_area_offshore3nm_gf.csv
rgn_area_offshore3nm,ohiprep:globalprep/lsp/v2018/output/lsp_prot_area_offshore3nm_gf.csv
fp_mpa_coast,ohiprep:globalprep/lsp/v2018/output/mpa_3nm_resilience_gf.csv
hd_mpa_coast,ohiprep:globalprep/lsp/v2018/output/mpa_3nm_resilience_gf.csv
fp_mpa_eez,ohiprep:globalprep/lsp/v2018/output/mpa_eez_resilience_gf.csv
hd_mpa_eez,ohiprep:globalprep/lsp/v2018/output/mpa_eez_resilience_gf.csv
mar_coastalpopn_inland25mi,ohiprep:globalprep/mar_prs_population/v2018/output/mar_pop_25mi_gf.csv
hd_intertidal,ohiprep:globalprep/mar_prs_population/v2018/output/prs_pop_density_gf.csv
sp_genetic,ohiprep:globalprep/mar/v2018/output/GenEsc_gf.csv
mar_harvest_tonnes,ohiprep:globalprep/mar/v2018/output/mar_harvest_tonnes_gf.csv
mar_sustainability_score,ohiprep:globalprep/mar/v2018/output/mar_sustainability_gf.csv
fp_art_hb,ohiprep:globalprep/prs_fish/v2018/output/art_hb_gf.csv
hd_subtidal_hb,ohiprep:globalprep/np_prs_poison_blast_fishing/v2013/data/gl_thr_blast_3nm_rgn2013_gf.csv
np_blast,ohiprep:globalprep/np_prs_poison_blast_fishing/v2013/data/gl_thr_blast_3nm_rgn2013_gf.csv
np_cyanide,ohiprep:globalprep/np_prs_poison_blast_fishing/v2013/data/gl_thr_poison_3nm_rgn2013_gf.csv
np_harvest_tonnes,ohiprep:globalprep/np/v2018/output/np_harvest_tonnes_gf.csv
sp_alien,ohiprep:globalprep/prs_alien/v2013/data/p_sp_alien_2013a_gf.csv
po_chemicals,ohiprep:globalprep/prs_chem/v2015/output/cw_pesticide_score_2015_gf.csv
po_chemicals_3nm,ohiprep:globalprep/prs_chem/v2015/output/cw_pesticide_score_2015_gf.csv
cw_chemical_trend,ohiprep:globalprep/prs_chem/v2015/output/cw_pesticide_trend_2015_gf.csv
cw_pathogen_trend,ohiprep:globalprep/prs_cw_pathogen/v2015/data/po_pathogen_popdensity25mi_trend_gf.csv
po_pathogens,ohiprep:globalprep/prs_cw_pathogen/v2015/data/po_pathogen_popdensity25mi_gf.csv
fp_art_lb,ohiprep:globalprep/prs_fish/v2018/output/art_lb_gf.csv
fp_com_hb,ohiprep:globalprep/prs_fish/v2018/output/comm_hb_gf.csv
fp_com_lb,ohiprep:globalprep/prs_fish/v2018/output/comm_lb_gf.csv
po_nutrients,ohiprep:globalprep/prs_land-based_nutrient/v2015/output/cw_fertilizer_score_2015_gf.csv
po_nutrients_3nm,ohiprep:globalprep/prs_land-based_nutrient/v2015/output/cw_fertilizer_score_2015_gf.csv
cw_nutrient_trend,ohiprep:globalprep/prs_land-based_nutrient/v2015/output/cw_fertilizer_trend_2015_gf.csv
cc_acid,ohiprep:globalprep/prs_oa/v2015/output/acid_eez_2014_gf.csv
res_spi,#ohiprep:globalprep/prs_res_spi/v2017/output/spi_gf.csv
ss_spi,#ohiprep:globalprep/prs_res_spi/v2017/output/spi_gf.csv
wgi_all,ohiprep:globalprep/prs_res_wgi/v2018/output/wgi_gf.csv
ss_wgi,ohiprep:globalprep/prs_res_wgi/v2018/output/wgi_gf.csv
cc_slr,ohiprep:globalprep/prs_slr/v2018/data/slr_gf.csv
cc_sst,#ohiprep:globalprep/prs_sst/v2015/data/sst_eez_2015_gf.csv
fp_targetharvest,ohiprep:globalprep/prs_targetedharvest/v2018/output/fao_targeted_gf.csv
cc_uv,#ohiprep:globalprep/prs_uv/v2015/data/uv_eez_2015_gf.csv
sp_alien_species,ohiprep:globalprep/res_cbd_habitat/v2014/data/r_alien_species_Nature2012disaggregated_gf.csv
fp_habitat,ohiprep:globalprep/res_cbd_habitat/v2014/data/r_habitat_2013a_gf.csv
hd_habitat,ohiprep:globalprep/res_cbd_habitat/v2014/data/r_habitat_2013a_gf.csv
g_mariculture,ohiprep:globalprep/res_cbd_habitat/v2014/data/r_mariculture_2013a_gf.csv
g_tourism,ohiprep:globalprep/res_cbd_habitat/v2014/data/r_tourism_2013a_gf.csv
po_water,ohiprep:globalprep/res_cbd_habitat/v2014/data/r_water_2013a_gf.csv
g_cites,ohiprep:globalprep/res_cites_signatories/v2017/output/cites_gf.csv
li_gci,ohiprep:globalprep/res_gci/v2018/output/gci_gf.csv
li_sector_evenness,ohiprep:globalprep/res_li_sector_evenness/v2013/r_li_sector_evenness_2013a_gf.csv
g_msi_gov,ohiprep:globalprep/res_mariculture_sustainability/v2013/r_msi_gov_2013a_gf.csv
fp_mora,ohiprep:globalprep/res_mora_ao/v2013/data/r_mora_2013a_gf.csv
ao_access,ohiprep:globalprep/res_mora_ao/v2013/data/r_mora_s4_2013a_gf.csv
fp_mora_artisanal,ohiprep:globalprep/res_mora_ao/v2013/data/r_mora_s4_2013a_gf.csv
species_diversity_3nm,#ohiprep:globalprep/spp_ico/v2017/output/spp_status_3nm_gf.csv
species_diversity_eez,#ohiprep:globalprep/spp_ico/v2017/output/spp_status_global_gf.csv
spp_status,#ohiprep:globalprep/spp_ico/v2017/output/spp_status_global_gf.csv
spp_trend,#ohiprep:globalprep/spp_ico/v2017/output/spp_trend_global_gf.csv
tr_jobs_pct_tourism,ohiprep:globalprep/tr/v2018/output/tr_jobs_pct_tourism_gf.csv
tr_sustainability,ohiprep:globalprep/tr/v2018/output/tr_sustainability_gf.csv
tr_travelwarnings,ohiprep:globalprep/tr/v2018/output/tr_travelwarnings_gf.csv
