layer,variable,variable_data
cw_chemical_trend,short_name,Chemical pollution trend
cw_chemical_trend,source_citation,FAO's statistical database FAOSTAT [http://faostat3.fao.org/faostat-gateway/go/to/browse/R/*/E].
cw_chemical_trend,source_citation,"Halpern, B. S. et al. (2015). Spatial and temporal changes in cumulative human impacts on the world's ocean. Nature Communications 6(7615). [http://www.nature.com/ncomms/2015/150714/ncomms8615/full/ncomms8615.html]."
cw_nutrient_trend,radical_include,yes
cw_nutrient_trend,short_name,Nutrient pollution trend
cw_nutrient_trend,source_citation,FAO's statistical database FAOSTAT [http://faostat3.fao.org/faostat-gateway/go/to/browse/R/*/E].
cw_nutrient_trend,source_citation,"Halpern, B. S. et al. (2015). Spatial and temporal changes in cumulative human impacts on the world's ocean. Nature Communications 6(7615). [http://www.nature.com/ncomms/2015/150714/ncomms8615/full/ncomms8615.html]."
cw_pathogen_trend,radical_include,yes
cw_pathogen_trend,short_name,Pathogen pollution trend
cw_pathogen_trend,source_citation,World Health Organization and United Nations Children's Fund's Joint Monitoring Programme (WHO/UNICEF's JMP) [http://www.wssinfo.org/data-estimates/table].
cw_trash_trend,radical_include,yes
cw_trash_trend,short_name,Plastic trash trends
cw_trash_trend,source_citation,Jambeck et al. (2016). Plastic waste inputs from land into the ocean. Science 347:768-771.
element_wts_cp_km2_x_protection,radical_include,no
element_wts_cp_km2_x_protection,short_name,Coastal protection weight
element_wts_cp_km2_x_protection,source_citation,Internal calculation
element_wts_cs_km2_x_storage,radical_include,no
element_wts_cs_km2_x_storage,short_name,Carbon storage weights
element_wts_cs_km2_x_storage,source_citation,Internal calculation
element_wts_hab_pres_abs,radical_include,no
element_wts_hab_pres_abs,short_name,Habitat weights
element_wts_hab_pres_abs,source_citation,Internal calculation
fis_b_bmsy,radical_include,no
fis_b_bmsy,short_name,B/Bmsy estimates
fis_b_bmsy,source_citation,"Martell, S., & Froese, R. (2013). A simple method for estimating MSY from catch and resilience. Fish and Fisheries 14(4): 504-514. [https://doi.org/10.1111/j.1467-2979.2012.00485.x]."
fis_b_bmsy,source_citation,"Ricard, D., Minto, C., Jensen, O.P. & Baum, J.K. (2012). Evaluating the knowledge base and status of commercially exploited marine species with the RAM Legacy Stock Assessment Database.�Fish and Fisheries�13(4): 380-398."
fis_meancatch,radical_include,no
fis_meancatch,short_name,Fishery catch data
fis_meancatch,source_citation,"Pauly, D, and D Zeller, eds. (2015). Sea around us concepts, design and data. [http://www.seaaroundus.org/]."
fp_art_hb,radical_include,yes
fp_art_hb,short_name,Artisanal high bycatch
fp_art_hb,source_citation,Reefs at Risk Revisited [http://www.wri.org/publication/reefs-at-risk-revisited].
fp_art_lb,radical_include,yes
fp_art_lb,short_name,Artisanal low bycatch
fp_art_lb,source_citation,"Pauly, D, and D Zeller, eds. (2015). Sea around us concepts, design and data. [http://www.seaaroundus.org/]."
fp_com_hb,radical_include,yes
fp_com_hb,short_name,Commercial high bycatch
fp_com_hb,source_citation,"Halpern, B.S., Walbridge S., Selkoe, K.A., Kappel, C.V., Micheli, F., D'Agrosa, C., Bruno, J.F., Casey, K.S., Ebert, C., Fox, H.E., Fujita, R., Heinemann, D., Lenihan, H.S., Madin, E.M.P., Perry, M.T., Selig, E.R., Spalding, M., Steneck, R., Watson, R. (2008). A global map of human impact on marine ecosystems. Science, 3199(5865): 948-952. [https://doi.org/10.1126/science.1149345]."
fp_com_hb,source_citation,"Pauly, D, and D Zeller, eds. (2015). Sea around us concepts, design and data. [http://www.seaaroundus.org/]."
fp_com_lb,radical_include,yes
fp_com_lb,short_name,Commercial low bycatch
fp_com_lb,source_citation,"Halpern, B.S., Walbridge S., Selkoe, K.A., Kappel, C.V., Micheli, F., D'Agrosa, C., Bruno, J.F., Casey, K.S., Ebert, C., Fox, H.E., Fujita, R., Heinemann, D., Lenihan, H.S., Madin, E.M.P., Perry, M.T., Selig, E.R., Spalding, M., Steneck, R., Watson, R. (2008). A global map of human impact on marine ecosystems. Science, 3199(5865): 948-952. [https://doi.org/10.1126/science.1149345]."
fp_com_lb,source_citation,"Pauly, D, and D Zeller, eds. (2015). Sea around us concepts, design and data. [http://www.seaaroundus.org/]."
fp_habitat,radical_include,yes
fp_habitat,short_name,"Habitat protection, fish"
fp_habitat,source_citation,Convention on Biological Diversity (CBD) [http://www.cbd.int/reports/search/default.shtml].
fp_mora,radical_include,yes
fp_mora,short_name,Fishing management
fp_mora,source_citation,"Mora, C., Myers, R.A., Coll, M., Libralato, S., Pitcher, T.J., Sumaila, R.U., & Worm, B. (2009). Management Effectiveness of the World's Marine Fisheries. PLoS Biol, 7(6), e1000131. [doi:10.1371/journal.pbio.1000131](https://doi.org/10.1371/journal.pbio.1000131)"
fp_mora_artisanal,radical_include,yes
fp_mora_artisanal,short_name,Artisanal fishing
fp_mora_artisanal,source_citation,"Mora, C., Myers, R.A., Coll, M., Libralato, S., Pitcher, T.J., Sumaila, R.U., & Worm, B. (2009). Management Effectiveness of the World's Marine Fisheries. PLoS Biol, 7(6), e1000131. [doi:10.1371/journal.pbio.1000131](https://doi.org/10.1371/journal.pbio.1000131)"
fp_mpa_coast,radical_include,yes
fp_mpa_coast,short_name,"Fishery protection, coast"
fp_mpa_coast,source_citation,Internal calculation
fp_mpa_eez,radical_include,yes
fp_mpa_eez,short_name,"Fishery protection, EEZ"
fp_mpa_eez,source_citation,Internal calculation
fp_targetharvest,radical_include,yes
fp_targetharvest,short_name,Targeted harvest
fp_targetharvest,source_citation,FAO fisheries statistics [http://www.fao.org/fishery/statistics/global-capture-production/en].
fp_wildcaught_weight,radical_include,no
fp_wildcaught_weight,short_name,Food provision weights
fp_wildcaught_weight,source_citation,FAO global aquaculture production [http://www.fao.org/fishery/statistics/global-aquaculture-production/en].
fp_wildcaught_weight,source_citation,"Pauly, D, and D Zeller, eds. (2015). Sea around us concepts, design and data. [http://www.seaaroundus.org/]."
g_cites,radical_include,yes
g_cites,short_name,CITES commitement
g_cites,source_citation,CITES List of Contracting Parties [http://www.cites.org/eng/disc/parties/chronolo.php].
g_mariculture,radical_include,yes
g_mariculture,short_name,Mariculture management
g_mariculture,source_citation,Convention on Biological Diversity (CBD) [http://www.cbd.int/reports/search/default.shtml].
g_msi_gov,radical_include,yes
g_msi_gov,short_name,Mariculture sustain.
g_msi_gov,source_citation,"Trujillo P. (2008). Using a mariculture sustainability index to rank countries' performances. In: A comparative assessment of biodiversity, fisheries and aquaculture in 53 countries' Exclusive Economic Zones, Alder J, Pauly D, editors. Fisheries Centre Research Report, vol. 16(7) p. 28-56."
g_tourism,radical_include,yes
g_tourism,short_name,Management of tourism
g_tourism,source_citation,Convention on Biological Diversity (CBD) [http://www.cbd.int/reports/search/default.shtml].
hab_extent,radical_include,no
hab_extent,short_name,Habitat extent
hab_extent,source_citation,"Bridgham, S. D. , Megonigal, J. P. , Keller, J. K., et al. (2006). The carbon balance of North American Wetlands. Wetlands 26: 889-916."
hab_extent,source_citation,"Bruno, J. F. & Selig, E. R. (2007). Regional decline of coral cover in the Indo-Pacific: timing, extent, and subregional comparisons. PLoS ONE 2(8): e711. doi:10.1371/journal.pone.0000711."
hab_extent,source_citation,"Cavalieri, D. J., Parkinson, C. L., Gloersen, P. & Zwally, H. (2014). Sea ice concentrations from Nimbus-7 SMMR and DMSP SSM/I-SSMIS passive microwave data. 1979-2014. Boulder, Colorado USA: NASA National Snow and Ice Data Center Distributed Active Archive Center. [https://doi.org/10.5067/8GQ8LZQVL0VL]."
hab_extent,source_citation,"Dahl, T. E. (2000). Status and trends of wetlands in the conterminous United States 1986 to 1997. U.S. Department of the Interior, Fish and Wildlife Service, Washington, D.C."
hab_extent,source_citation,"Hamilton, S. & Casey, D. (2014). Creation of a high spatiotemporal resolution global database of continuous mangrove forest cover for the 21st Century (CGMFC-21): a big-data fusion approach. [http://arxiv.org/ftp/arxiv/papers/1412/1412.0722.pdf]."
hab_extent,source_citation,"Joint Nature Conservation Committee, JNCC. (2004). UK Lowland wetland habitats. [http://jncc.defra.gov.uk/page-1433]."
hab_extent,source_citation,Ministry for the Environment (2007). Environment New Zealand [http://www.mfe.govt.nz/sites/default/files/environment-nz07-dec07.pdf].
hab_extent,source_citation,"Schutte, V. G. W., Selig, E. R. & Bruno, J. F. (2010).  Regional spatio-temporal trends in Caribbean coral reef benthic communities. Marine Ecology Progress Series 402: 122."
hab_extent,source_citation,"Waycott, M., Duarte, C. M., Carruthers, T. J. B., Orth, R. J. et al. (2009). Accelerating loss of seagrasses across the globe threatens coastal ecosystems. Proceedings of the National Academy of Sciences 106(30):12377-12381."
hab_health,radical_include,yes
hab_health,short_name,Habitat condition
hab_health,source_citation,"Bridgham, S. D. , Megonigal, J. P. , Keller, J. K., et al. (2006). The carbon balance of North American Wetlands. Wetlands 26: 889-916."
hab_health,source_citation,"Bruno, J. F. & Selig, E. R. (2007). Regional decline of coral cover in the Indo-Pacific: timing, extent, and subregional comparisons. PLoS ONE 2(8): e711. doi:10.1371/journal.pone.0000711."
hab_health,source_citation,"Cavalieri, D. J., Parkinson, C. L., Gloersen, P. & Zwally, H. (2014). Sea ice concentrations from Nimbus-7 SMMR and DMSP SSM/I-SSMIS passive microwave data. 1979-2014. Boulder, Colorado USA: NASA National Snow and Ice Data Center Distributed Active Archive Center. [https://doi.org/10.5067/8GQ8LZQVL0VL]."
hab_health,source_citation,"Dahl, T. E. (2000). Status and trends of wetlands in the conterminous United States 1986 to 1997. U.S. Department of the Interior, Fish and Wildlife Service, Washington, D.C."
hab_health,source_citation,FAO. (2007). The world's mangroves 1980-2005. FAO Forestry Paper 153.
hab_health,source_citation,"Joint Nature Conservation Committee, JNCC. (2004). UK Lowland wetland habitats. [http://jncc.defra.gov.uk/page-1433]."
hab_health,source_citation,Ministry for the Environment (2007). Environment New Zealand [http://www.mfe.govt.nz/sites/default/files/environment-nz07-dec07.pdf].
hab_health,source_citation,"Schutte, V. G. W., Selig, E. R. & Bruno, J. F. (2010).  Regional spatio-temporal trends in Caribbean coral reef benthic communities. Marine Ecology Progress Series 402: 122."
hab_health,source_citation,"Waycott, M., Duarte, C. M., Carruthers, T. J. B., Orth, R. J. et al. (2009). Accelerating loss of seagrasses across the globe threatens coastal ecosystems. Proceedings of the National Academy of Sciences 106(30):12377-12381."
hab_trend,radical_include,yes
hab_trend,short_name,Habitat condition trend
hab_trend,source_citation,"Bridgham, S. D. , Megonigal, J. P. , Keller, J. K., et al. (2006). The carbon balance of North American Wetlands. Wetlands 26: 889-916."
hab_trend,source_citation,"Bruno, J. F. & Selig, E. R. (2007). Regional decline of coral cover in the Indo-Pacific: timing, extent, and subregional comparisons. PLoS ONE 2(8): e711. doi:10.1371/journal.pone.0000711."
hab_trend,source_citation,"Cavalieri, D. J., Parkinson, C. L., Gloersen, P. & Zwally, H. (2014). Sea ice concentrations from Nimbus-7 SMMR and DMSP SSM/I-SSMIS passive microwave data. 1979-2014. Boulder, Colorado USA: NASA National Snow and Ice Data Center Distributed Active Archive Center. [https://doi.org/10.5067/8GQ8LZQVL0VL]."
hab_trend,source_citation,"Dahl, T. E. (2000). Status and trends of wetlands in the conterminous United States 1986 to 1997. U.S. Department of the Interior, Fish and Wildlife Service, Washington, D.C."
hab_trend,source_citation,"Hamilton, S. & Casey, D. (2014). Creation of a high spatiotemporal resolution global database of continuous mangrove forest cover for the 21st Century (CGMFC-21): a big-data fusion approach. [http://arxiv.org/ftp/arxiv/papers/1412/1412.0722.pdf]."
hab_trend,source_citation,"Joint Nature Conservation Committee, JNCC. (2004). UK Lowland wetland habitats. [http://jncc.defra.gov.uk/page-1433]."
hab_trend,source_citation,Ministry for the Environment (2007). Environment New Zealand [http://www.mfe.govt.nz/sites/default/files/environment-nz07-dec07.pdf].
hab_trend,source_citation,"Schutte, V. G. W., Selig, E. R. & Bruno, J. F. (2010).  Regional spatio-temporal trends in Caribbean coral reef benthic communities. Marine Ecology Progress Series 402: 122."
hab_trend,source_citation,"Waycott, M., Duarte, C. M., Carruthers, T. J. B., Orth, R. J. et al. (2009). Accelerating loss of seagrasses across the globe threatens coastal ecosystems. Proceedings of the National Academy of Sciences 106(30):12377-12381."
hd_habitat,radical_include,yes
hd_habitat,short_name,Habitat protection
hd_habitat,source_citation,Convention on Biological Diversity (CBD) [http://www.cbd.int/reports/search/default.shtml].
hd_intertidal,radical_include,yes
hd_intertidal,short_name,Intertidal destruction
hd_intertidal,source_citation,"CIESIN & CIAT (Center for International Earth Science Information Network /Columbia University & Centro Internacional de Agricultura Tropical) (2005). Gridded Population of the World, Version 3 (GPWv3): Population Density Grid, Future Estimates. Palisades, NY. NASA Socioeconomic Data and Applications Center (SEDAC). [http://sedac.ciesin.columbia.edu/data/set/gpw-v3-population-density-future-estimates]."
hd_mpa_coast,radical_include,yes
hd_mpa_coast,short_name,"Habitat protection, coast"
hd_mpa_coast,source_citation,Internal calculation
hd_mpa_eez,radical_include,yes
hd_mpa_eez,short_name,"Habitat protection, EEZ"
hd_mpa_eez,source_citation,Internal calculation
hd_subtidal_hb,radical_include,yes
hd_subtidal_hb,short_name,Hard bottom destruction
hd_subtidal_hb,source_citation,Reefs at Risk Revisited [http://www.wri.org/publication/reefs-at-risk-revisited].
hd_subtidal_sb,radical_include,yes
hd_subtidal_sb,short_name,Softbottom destruction
hd_subtidal_sb,source_citation,"Halpern, B.S., Walbridge S., Selkoe, K.A., Kappel, C.V., Micheli, F., D'Agrosa, C., Bruno, J.F., Casey, K.S., Ebert, C., Fox, H.E., Fujita, R., Heinemann, D., Lenihan, H.S., Madin, E.M.P., Perry, M.T., Selig, E.R., Spalding, M., Steneck, R., Watson, R. (2008). A global map of human impact on marine ecosystems. Science, 3199(5865): 948-952. [https://doi.org/10.1126/science.1149345]."
hd_subtidal_sb,source_citation,"Pauly, D, and D Zeller, eds. (2015). Sea around us concepts, design and data. [http://www.seaaroundus.org/]."
ico_spp_iucn_status,radical_include,no
ico_spp_iucn_status,short_name,IUCN extinction risk
ico_spp_iucn_status,source_citation,IUCN. (2015). Red List of Threatened Species. [http://www.iucnredlist.org/].
ico_spp_iucn_status,source_citation,"Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees & Froese, R. (2015). AquaMaps: Predicted Range Maps for Aquatic Species. Vol. Version 08/2015. [www.aquamaps.org]."
le_gdp,radical_include,no
le_gdp,short_name,GDP
le_gdp,source_citation,The World Bank [http://data.worldbank.org/indicator/NY.GDP.MKTP.CD].
le_gdp_pc_ppp,radical_include,no
le_gdp_pc_ppp,short_name,GDP per capita PPP
le_gdp_pc_ppp,source_citation,The World Bank [http://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD].
le_jobs_cur_adj_value,radical_include,no
le_jobs_cur_adj_value,short_name,Current jobs adjusted
le_jobs_cur_adj_value,source_citation,Modeled LE data
le_jobs_cur_base_value,radical_include,no
le_jobs_cur_base_value,short_name,Current jobs base
le_jobs_cur_base_value,source_citation,Modeled LE data
le_jobs_ref_adj_value,radical_include,no
le_jobs_ref_adj_value,short_name,Reference jobs adjusted
le_jobs_ref_adj_value,source_citation,Modeled LE data
le_jobs_ref_base_value,radical_include,no
le_jobs_ref_base_value,short_name,Reference jobs base
le_jobs_ref_base_value,source_citation,Modeled LE data
le_jobs_sector_year,radical_include,no
le_jobs_sector_year,short_name,Jobs
le_jobs_sector_year,source_citation,Modeled LE data
le_popn,radical_include,no
le_popn,short_name,Total population
le_popn,source_citation,The World Bank [http://data.worldbank.org/indicator/SP.POP.TOTL].
le_rev_cur_adj_value,radical_include,no
le_rev_cur_adj_value,short_name,Current revenue adjusted
le_rev_cur_adj_value,source_citation,Modeled LE data
le_rev_cur_base_value,radical_include,no
le_rev_cur_base_value,short_name,Current revenue base
le_rev_cur_base_value,source_citation,Modeled LE data
le_rev_ref_adj_value,radical_include,no
le_rev_ref_adj_value,short_name,Reference revenue adjust
le_rev_ref_adj_value,source_citation,Modeled LE data
le_rev_ref_base_value,radical_include,no
le_rev_ref_base_value,short_name,Reference revenue base
le_rev_ref_base_value,source_citation,Modeled LE data
le_rev_sector_year,radical_include,no
le_rev_sector_year,short_name,Revenue
le_rev_sector_year,source_citation,Modeled LE data
le_revenue_adj,radical_include,no
le_revenue_adj,short_name,Revenue adjusted
le_revenue_adj,source_citation,Modeled LE data
le_sector_weight,radical_include,no
le_sector_weight,short_name,Jobs weighting
le_sector_weight,source_citation,Modeled LE data
le_unemployment,radical_include,no
le_unemployment,short_name,Unemployment
le_unemployment,source_citation,The World Bank [http://data.worldbank.org/indicator/SL.UEM.TOTL.ZS].
le_wage_cur_adj_value,radical_include,no
le_wage_cur_adj_value,short_name,Current wages adjusted
le_wage_cur_adj_value,source_citation,Modeled LE data
le_wage_cur_base_value,radical_include,no
le_wage_cur_base_value,short_name,Current wages base
le_wage_cur_base_value,source_citation,Modeled LE data
le_wage_ref_adj_value,radical_include,no
le_wage_ref_adj_value,short_name,Reference wages adjusted
le_wage_ref_adj_value,source_citation,Modeled LE data
le_wage_ref_base_value,radical_include,no
le_wage_ref_base_value,short_name,Reference wages base
le_wage_ref_base_value,source_citation,Modeled LE data
le_wage_sector_year,radical_include,no
le_wage_sector_year,short_name,Wages
le_wage_sector_year,source_citation,Modeled LE data
le_workforcesize_adj,radical_include,no
le_workforcesize_adj,short_name,Workforce size
le_workforcesize_adj,source_citation,Modeled LE data
li_gci,radical_include,no
li_gci,short_name,Global competitiveness
li_gci,source_citation,World Economic Forum [http://reports.weforum.org/travel-and-tourism-competitiveness-report-2015/index-results-the-travel-tourism-competitiveness-index-ranking-2015/].
li_sector_evenness,radical_include,no
li_sector_evenness,short_name,Sector evenness
li_sector_evenness,source_citation,Internal calculation
lsp_prot_area_inland1km,radical_include,yes
lsp_prot_area_inland1km,short_name,Inland protected areas
lsp_prot_area_inland1km,source_citation,United Nations - World Conservation Monitoring Centre's World Database on Protected Areas (WDPA) [http://www.protectedplanet.net].
lsp_prot_area_offshore3nm,radical_include,yes
lsp_prot_area_offshore3nm,short_name,Offshore protected areas
lsp_prot_area_offshore3nm,source_citation,United Nations - World Conservation Monitoring Centre's World Database on Protected Areas (WDPA) [http://www.protectedplanet.net].
mar_coastalpopn_inland25mi,radical_include,no
mar_coastalpopn_inland25mi,short_name,Inland coastal population
mar_coastalpopn_inland25mi,source_citation,"CIESIN & CIAT (Center for International Earth Science Information Network /Columbia University & Centro Internacional de Agricultura Tropical) (2005). Gridded Population of the World, Version 3 (GPWv3): Population Density Grid, Future Estimates. Palisades, NY. NASA Socioeconomic Data and Applications Center (SEDAC). [http://sedac.ciesin.columbia.edu/data/set/gpw-v3-population-density-future-estimates]."
mar_harvest_tonnes,radical_include,no
mar_harvest_tonnes,short_name,Mariculture harvest
mar_harvest_tonnes,source_citation,FAO global aquaculture production [http://www.fao.org/fishery/statistics/global-aquaculture-production/en].
mar_sustainability_score,radical_include,no
mar_sustainability_score,short_name,Mariculture sustain.
mar_sustainability_score,source_citation,"Trujillo P. (2008). Using a mariculture sustainability index to rank countries' performances. In: A comparative assessment of biodiversity, fisheries and aquaculture in 53 countries' Exclusive Economic Zones, Alder J, Pauly D, editors. Fisheries Centre Research Report, vol. 16(7) p. 28-56."
np_blast,radical_include,yes
np_blast,short_name,Blast (dynamite) fishing
np_blast,source_citation,Reefs at Risk Revisited [http://www.wri.org/publication/reefs-at-risk-revisited].
np_cyanide,radical_include,yes
np_cyanide,short_name,Poison fishing
np_cyanide,source_citation,Reefs at Risk Revisited [http://www.wri.org/publication/reefs-at-risk-revisited].
np_harvest_product_weight,radical_include,yes
np_harvest_product_weight,short_name,Relative harvest value
np_harvest_product_weight,source_citation,FAO fisheries statistics [http://www.fao.org/fishery/statistics/global-commodities-production/en].
np_harvest_tonnes,radical_include,yes
np_harvest_tonnes,short_name,Natural product harvest
np_harvest_tonnes,source_citation,FAO fisheries statistics [http://www.fao.org/fishery/statistics/global-commodities-production/en].
np_harvest_tonnes_relative,radical_include,yes
np_harvest_tonnes_relative,short_name,Relative harvest tonnes
np_harvest_tonnes_relative,source_citation,FAO fisheries statistics [http://www.fao.org/fishery/statistics/global-commodities-production/en].
po_chemicals,radical_include,yes
po_chemicals,short_name,"Chemical pollution, EEZ"
po_chemicals,source_citation,FAO's statistical database FAOSTAT [http://faostat3.fao.org/faostat-gateway/go/to/browse/R/*/E].
po_chemicals,source_citation,"Halpern, B. S. et al. (2015). Spatial and temporal changes in cumulative human impacts on the world's ocean. Nature Communications 6(7615). [http://www.nature.com/ncomms/2015/150714/ncomms8615/full/ncomms8615.html]."
po_chemicals_3nm,radical_include,yes
po_chemicals_3nm,short_name,"Chemical pollution, coast"
po_chemicals_3nm,source_citation,FAO's statistical database FAOSTAT [http://faostat3.fao.org/faostat-gateway/go/to/browse/R/*/E].
po_chemicals_3nm,source_citation,"Halpern, B. S. et al. (2015). Spatial and temporal changes in cumulative human impacts on the world's ocean. Nature Communications 6(7615). [http://www.nature.com/ncomms/2015/150714/ncomms8615/full/ncomms8615.html]."
po_nutrients,radical_include,yes
po_nutrients,short_name,"Nutrient pollution, EEZ"
po_nutrients,source_citation,FAO's statistical database FAOSTAT [http://faostat3.fao.org/faostat-gateway/go/to/browse/R/*/E].
po_nutrients,source_citation,"Halpern, B. S. et al. (2015). Spatial and temporal changes in cumulative human impacts on the world's ocean. Nature Communications 6(7615). [http://www.nature.com/ncomms/2015/150714/ncomms8615/full/ncomms8615.html]."
po_nutrients_3nm,radical_include,yes
po_nutrients_3nm,short_name,"Nutrient pollution, coast"
po_nutrients_3nm,source_citation,FAO's statistical database FAOSTAT [http://faostat3.fao.org/faostat-gateway/go/to/browse/R/*/E].
po_nutrients_3nm,source_citation,"Halpern, B. S. et al. (2015). Spatial and temporal changes in cumulative human impacts on the world's ocean. Nature Communications 6(7615). [http://www.nature.com/ncomms/2015/150714/ncomms8615/full/ncomms8615.html]."
po_pathogens,radical_include,yes
po_pathogens,short_name,Pathogen pollution
po_pathogens,source_citation,World Health Organization and United Nations Children's Fund's Joint Monitoring Programme (WHO/UNICEF's JMP) [http://www.wssinfo.org/data-estimates/table].
po_trash,radical_include,yes
po_trash,short_name,Marine plastics
po_trash,source_citation,"Eriksen M., Lebreton, L. C. M., Carson, H. S., Thiel, M., Moore, C. J. & Borerro, J. C.  (2014). Plastic pollution in the world's oceans: more than 5 trillion plastic pieces weighing over 250,000 tons afloat at sea. PLoS ONE 9:e111913. [http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0111913]. "
po_water,radical_include,yes
po_water,short_name,Water pollution manage
po_water,source_citation,Convention on Biological Diversity (CBD) [http://www.cbd.int/reports/search/default.shtml].
res_spi,radical_include,yes
res_spi,short_name,Social Progress Index
res_spi,source_citation,"Stern, S., A. Wares and T. Hellman. 2016. Social Progress Index: 2016 Methodological Report [http://www.socialprogressimperative.org/]."
rgn_area,radical_include,no
rgn_area,short_name,EEZ area
rgn_area,source_citation,"VLIZ Maritime Boundaries Geodatabase, version 7 [http://www.marineregions.org/]."
rgn_area_inland1km,radical_include,no
rgn_area_inland1km,short_name,Inland area of regions
rgn_area_inland1km,source_citation,NA
rgn_area_offshore3nm,radical_include,no
rgn_area_offshore3nm,short_name,Offshore area of regions
rgn_area_offshore3nm,source_citation,NA
rgn_georegions,radical_include,no
rgn_georegions,short_name,UN geopolitical regions
rgn_georegions,source_citation,UN geographical region and composition [http://unstats.un.org/unsd/methods/m49/m49regin.htm].
rgn_global,radical_include,no
rgn_global,short_name,OHI regions
rgn_global,source_citation,NA
rgn_labels,radical_include,no
rgn_labels,short_name,Regions
rgn_labels,source_citation,NA
sp_alien,radical_include,yes
sp_alien,short_name,Nonindigenous species
sp_alien,source_citation,"Molnar, J. L., Gamboa, R. L., Revenga C., Spalding, M. (2008). Assessing the global threat of invasive species to marine biodiversity. Frontiers in Ecology and the Environment 6(485). [doi:10.1890/070064](https://doi.org/10.1890/070064)"
sp_alien_species,radical_include,yes
sp_alien_species,short_name,Control of alien species
sp_alien_species,source_citation,Convention on Biological Diversity (CBD) [http://www.cbd.int/reports/search/default.shtml].
sp_genetic,radical_include,yes
sp_genetic,short_name,Genetic escapes
sp_genetic,source_citation,"Trujillo P. (2008). Using a mariculture sustainability index to rank countries' performances. In: A comparative assessment of biodiversity, fisheries and aquaculture in 53 countries' Exclusive Economic Zones, Alder J, Pauly D, editors. Fisheries Centre Research Report, vol. 16(7) p. 28-56."
species_diversity_3nm,radical_include,yes
species_diversity_3nm,short_name,"Ecol. integrity, coast"
species_diversity_3nm,source_citation,Internal calculation
species_diversity_eez,radical_include,yes
species_diversity_eez,short_name,"Ecol. integrity, EEZ"
species_diversity_eez,source_citation,Internal calculation
spp_status,radical_include,no
spp_status,short_name,Species condition
spp_status,source_citation,International Union for Conservation of Nature (IUCN) [http://www.iucnredlist.org/technical-documents/classification-schemes/threats-classification-scheme].
spp_status,source_citation,"Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees & Froese, R. (2015). AquaMaps: Predicted Range Maps for Aquatic Species. Vol. Version 08/2015. [www.aquamaps.org]."
spp_trend,radical_include,no
spp_trend,short_name,Species condition trend
spp_trend,source_citation,International Union for Conservation of Nature (IUCN) [http://www.iucnredlist.org/technical-documents/classification-schemes/threats-classification-scheme].
spp_trend,source_citation,"Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees & Froese, R. (2015). AquaMaps: Predicted Range Maps for Aquatic Species. Vol. Version 08/2015. [www.aquamaps.org]."
ss_spi,radical_include,yes
