"country","region_id","Index","AO","SPP","BD","HAB","CP","CS","CW","ECO","LE","LIV","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
"Turks and Caicos Islands",111,0.89,0.21,0,-0.03,-0.06,-0.13,-0.12,-0.12,0.45,0.34,0.22,-0.03,-0.03,0,0.19,0.07,-0.05,8.69,0
"French Polynesia",147,0.88,-0.01,-0.01,0,0,0,-0.05,-0.1,6.99,3.49,0,-3.46,-3.39,-2.51,0.34,0.17,0,-0.58,9.28
"Phoenix Islands (Kiribati)",157,0.87,0.11,-0.05,-0.02,0,0,,-0.06,1.82,1.11,0.41,0.2,0.2,,0.1,0.05,0,,5.54
"Madeira",57,0.85,0.16,0.04,0.02,0,,,-0.27,-0.02,0.12,0.26,-1.38,-1.38,,0.9,0.4,-0.09,,6.92
"Tristan da Cunha",88,0.85,0.14,0,0,0,,,-0.01,1.29,0.26,-0.76,1.42,1.42,,-0.14,-0.07,0,,4.18
"Curacao",244,0.83,0.44,0,0,0,0,-0.04,0,0.6,0.32,0.04,0.36,0.36,0,0.23,5.62,11.01,,0.76
"Seychelles",31,0.82,1.19,0.02,0.01,0,-0.19,0,-0.49,1.2,0.6,0,6.09,6.09,0,0.35,0.17,-0.01,,0
"Vietnam",207,0.82,0.29,0.05,0.04,0.03,0.03,0.05,0.64,2.73,1.4,0.06,2.05,1.61,0.8,-0.21,0.08,0.36,1.56,2.55
"Niue",154,0.78,-0.02,-0.05,-0.04,-0.03,-0.02,0.03,-1.16,0.01,0.08,0.15,0.11,0.11,,-0.17,-0.08,0,,8.11
"South Korea",20,0.78,0.23,-0.01,0,0,,,-0.86,0,0.22,0.44,-0.48,-0.76,-2.61,0.55,0.3,0.05,8.83,-1.72
"Nauru",10,0.74,0.06,-0.21,-0.11,0,0.07,,-0.12,2.76,1.54,0.32,-0.1,-0.1,0,-0.62,-0.31,0,,4.86
"Bassas da India",34,0.73,0.25,0,0,0,0,,-0.01,,,,4,4,,0.3,0.15,0,,
"Juan de Nova Island",33,0.72,0.18,-0.13,-0.07,0,0,,-0.01,0.01,-0.2,-0.41,9.34,9.34,,0.27,0.14,0,,-3.65
"Kerguelen Islands",93,0.68,0.16,0.04,0.02,0,,,0,,,,2.94,2.94,,0.56,0.28,0,,
"Saint Helena",86,0.65,0.14,0,0,0,,,0.06,-0.55,-2.43,-4.31,2.73,2.73,,-0.14,-0.07,0,,4.15
"Liberia",97,0.6,0.01,0,-0.01,-0.02,-0.02,-0.01,0.25,0,0,0,0.12,0.12,,-0.17,-0.09,0,,5.15
"Senegal",66,0.59,0.12,0.16,0.12,0.07,0.03,0.04,1.07,2.92,1.46,0,0.33,0.33,0.02,0.29,0.2,0.11,2.52,0.01
"Russia",73,0.57,-0.05,0.01,0,0,0.05,0,0.59,0,1.02,2.04,1.54,1.57,10.85,0.02,0.02,0.02,3,-0.48
"Italy",184,0.56,-0.61,-0.02,-0.01,0,0,0,-0.54,0,0.4,0.81,0.99,0.52,0.16,0.78,0.39,0,4.51,0.97
"Cambodia",24,0.55,0.2,0.06,0.07,0.07,0.11,0.1,0.51,0.47,0.18,-0.11,2.19,2.14,1.92,0.12,0.08,0.03,1.92,0.23
"Romania",72,0.55,0.83,-0.04,-0.02,0,,,0.12,0,-0.3,-0.6,-0.34,-0.35,0,0,0,0,4.81,-0.68
"Sri Lanka",40,0.53,0.56,0.07,0.04,0,0,0.01,0.93,5.22,-2.52,-10.26,1.21,1.18,0.01,0.82,0.59,0.36,1.76,2.77
"New Caledonia",5,0.52,0.23,0.4,0.21,0.02,-0.06,0.1,-3.23,0.47,0.23,0,1.53,1.34,0.22,0.35,3.47,6.59,1.16,1.75
"Monaco",185,0.51,0.05,-0.01,-0.01,,,,-0.42,0.03,0.42,0.81,1.34,1.34,,-0.01,3.49,6.99,,-1.29
"Christmas Island",2,0.49,0.14,0,0,0,0,0,0,0.06,0.41,0.75,3.2,3.2,,0.1,0.06,0.01,,0.66
"Panama",129,0.49,1.18,0.01,-0.02,-0.04,-0.1,-0.02,0.39,0.08,0.04,0,-0.47,-0.61,1.01,0.02,0.01,-0.01,-6.16,10.22
"Honduras",133,0.47,0.16,0.04,0.01,-0.02,0,0.02,-0.86,0,0.29,0.59,0.52,5.61,8.33,0.02,1.74,3.45,0,-2.28
"Cocos Islands",1,0.46,0.14,0,0,0,0,0,0,0.06,0.41,0.75,3.09,3.09,,-0.23,-0.11,0,,0.62
"Gibraltar",60,0.41,0.1,-0.05,-0.03,0,,,0.27,-0.02,-0.01,0,0.55,0.55,,0.16,0.08,0,,1.94
"Iran",191,0.39,-0.24,0.07,0.05,0.03,-0.02,0.01,-0.24,5.26,2.63,0,0.99,0.83,2.92,-0.19,-0.07,0.04,1.79,-0.79
"Belize",164,0.36,0.12,0.04,0.01,-0.01,-0.01,0,0.19,0,0,0,-0.31,1.96,3.91,0.46,2.82,5.19,-2.09,0.55
"Suriname",168,0.33,0.15,0.07,0.03,0,0,0,2.89,3.56,1.48,-0.61,-0.83,-0.83,0.04,0.38,0.19,0,0.01,-0.6
"Thailand",25,0.32,0.32,0.01,0,0,0.02,0.01,-0.14,0,2.53,5.06,1.08,-2,-10.1,0,-0.32,-0.64,0.86,1.94
"Andaman and Nicobar",26,0.31,0.36,0.01,0,0,0,-0.03,0.49,2.88,1.17,-0.53,0.72,0.72,,0.09,0.04,0,,0.04
"Libya",67,0.3,0.57,-0.24,-0.22,-0.2,,,0.01,1.46,0.63,-0.2,0.28,0.28,0,0.86,0.43,0,0.68,0
"R_union",32,0.3,0.24,-0.06,-0.03,0,0,,-0.01,2.07,0.92,-0.24,2.56,2.59,-0.02,-0.28,-0.15,-0.02,,-1.17
"Clipperton Island",107,0.29,0.19,0.03,0.02,0,,,0,,,,1.23,1.23,,0.03,0.02,0,,
"Cyprus",81,0.29,-0.6,-0.07,-0.04,0,,,0.73,0.04,-0.44,-0.91,0.26,-0.58,-0.07,1.01,-0.62,-2.25,0,3.87
"Tanzania",202,0.29,0.03,-0.05,-0.07,-0.08,-0.15,-0.07,1.56,0,0,0,1.77,1.72,0.02,0.14,0.07,0,-0.6,0.37
"Indonesia",216,0.28,0.54,0.1,0.09,0.09,0.13,0.1,0.12,6.35,1.63,-3.08,1.2,0.69,0.86,0.15,-0.32,-0.78,-1.02,0.87
"Ile Europa",35,0.27,0.25,0,0,0,0,,-0.01,,,,1.22,1.22,,0.3,0.15,0,,
"Oman",48,0.27,-2.77,-0.01,-0.01,0,0,-0.02,-0.42,0,0,0,0.58,0.56,0.05,-0.24,-0.12,0,5.53,-0.03
"Bangladesh",204,0.26,0.14,0.04,0.02,0,0,0,-0.25,0.08,0.04,0,0.77,0.6,0.29,0.87,0.24,-0.39,3.04,-1.26
"Angola",200,0.24,0.14,0.07,0.01,-0.06,-0.13,-0.1,1.05,3.4,1.77,0.13,0.67,0.67,,0.34,0.17,-0.01,,-1.41
"Comoro Islands",28,0.24,0.04,0.07,0,-0.07,-0.2,-0.1,-1.88,0.97,0.02,-0.93,7.76,7.76,,0.8,0.4,0,,-3.87
"South Africa",102,0.24,0.01,-0.02,-0.01,0,0,0,-0.73,5.07,2.54,0,1.72,1.69,0.03,0.01,-0.11,-0.24,-0.71,-0.22
"Venezuela",139,0.22,-0.3,0.03,0.01,-0.02,-0.04,-0.04,0.84,1.48,3.74,6,-1.16,-1.47,0.49,0.13,0.05,-0.03,1.77,-2.37
"Ecuador",137,0.21,0.27,0.1,0.07,0.05,-0.06,0.03,0.27,5.76,2.88,0,-2.72,-0.34,0,0.13,0.07,0,-1.86,0.79
"Gabon",198,0.2,0.52,0.02,0.01,0,-0.02,-0.01,-0.16,4.82,2.51,0.19,0.27,0.27,,-0.11,-0.06,0,,-1.28
"Nigeria",196,0.2,0.08,0.01,-0.01,-0.04,-0.14,-0.09,-0.7,2.29,1.14,0,0.8,0.8,0,-0.33,-0.17,-0.01,1.33,-0.27
"Montenegro",186,0.19,0.3,-0.01,-0.01,0,,,0.22,-0.48,-0.24,0,0.12,0.16,-0.45,1.16,0.77,0.38,0,0.28
"Sierra Leone",96,0.19,0.05,-0.01,-0.03,-0.04,-0.04,-0.03,-0.4,-0.05,-0.06,-0.07,0.15,0.15,,0.16,0.29,0.42,,1.75
"Amsterdam Island and Saint Paul Island",92,0.18,0.14,-0.01,0,0,,,0,,,,0.5,0.5,,0.56,0.28,0,,
"Northern Saint-Martin",221,0.18,0.22,0,0,0,0,0,-0.01,0.88,0.4,-0.08,0.46,0.46,,-0.18,0.6,1.4,,-0.08
"Lebanon",78,0.17,-1.2,-0.05,-0.09,-0.13,,,-0.87,0,-0.23,-0.45,0.77,0.79,-0.01,1.49,0.87,0.25,2.08,0
"Cook Islands",153,0.16,0.17,0.22,0.21,0.2,0.23,0.13,3.14,2.8,1.56,0.32,-2.55,-2.55,0,-0.25,-0.13,0,-9.68,8.58
"Democratic Republic of the Congo",199,0.14,0.06,0.06,0.03,0,-0.02,-0.01,-0.2,1.12,0.56,0,0.88,0.88,,-0.12,-0.05,0.03,,-0.01
"Iraq",192,0.13,0.01,0.09,0.02,-0.05,-0.09,-0.06,-0.37,6.98,3.49,0,0.47,0.47,,-0.79,-0.39,0,,-1.87
"Micronesia",9,0.13,-0.06,0.14,0.07,0,0,0,2.25,0.55,0.57,0.59,0.67,0.67,0,0.1,0.05,0,4.94,-7.2
"British Virgin Islands",117,0.12,0.19,-0.06,-0.05,-0.04,-0.01,-0.07,-0.05,1.67,0.8,-0.08,0.18,0.18,,0.15,0.07,0,,0
"Benin",99,0.11,0.1,-0.01,-0.05,-0.08,-0.06,-0.07,0.36,0,0.09,0.18,0.86,0.86,,-0.37,-0.19,0,,-0.08
"Mauritius",37,0.11,0.71,0.03,0.01,0,-0.31,-0.1,-0.24,0.71,0.62,0.54,0.44,0.38,0,0.66,0.27,-0.13,0.23,-0.48
"Trinidad and Tobago",126,0.11,0.47,0.01,0,-0.01,-0.03,-0.05,1.76,2.77,0.2,-2.37,-0.85,-0.85,,0.67,0.33,0,-0.18,-0.56
"Guinea Bissau",193,0.1,-0.09,-0.11,-0.1,-0.09,-0.04,-0.04,0.26,3.42,1.57,-0.28,0.09,0.09,,-0.24,-0.12,0,,-0.59
"Howland Island and Baker Island",158,0.1,0.08,0.02,0.01,0,0,,0.05,,,,0.38,0.38,,0.13,0.06,0,,
"Antigua and Barbuda",120,0.09,1.02,-0.15,-0.14,-0.12,-0.13,0,2.03,-1.75,-0.87,0,-0.9,-0.9,,-0.31,-0.21,-0.11,,0
"Cayman Islands",113,0.09,0,0,-0.05,-0.11,-0.15,-0.15,-0.1,0,0,0,-0.98,-0.98,,-0.36,-0.14,0.08,,2.38
"Falkland Islands",95,0.09,0.14,0.04,0.02,0,,,0,-0.06,-0.07,-0.09,-1.57,-1.57,0,-0.38,-0.19,0,,2.31
"Fiji",18,0.08,0.67,0.15,0.16,0.16,0.1,0.16,-2.04,2.28,1.13,-0.03,1.23,1.23,-0.01,0.41,0.28,0.15,-1.04,0.13
"Cameroon",197,0.07,0.13,0,-0.01,-0.03,-0.06,-0.05,-0.48,-0.04,0.15,0.34,1.11,1.11,,-0.13,-0.07,-0.01,,-0.12
"Spain",182,0.06,0.37,0.1,0.05,0,0.03,0.03,-0.71,0,-0.13,-0.26,0.18,-0.1,-1.17,0.55,2.65,4.75,-3.48,1.85
"Bouvet Island",105,0.05,0.22,0,0,,,,0,,,,0.02,0.02,,0.01,0.01,0,,
"Cape Verde",56,0.05,0.02,-0.01,-0.01,0,,,0.81,0.8,0.4,0,-0.74,-0.74,,-0.36,-0.16,0.04,,0
"Guernsey",228,0.04,0.18,0.03,0.01,-0.01,-0.03,-0.02,2.03,1.3,0.27,-0.76,-0.26,-0.26,,-0.18,-0.09,0,,-1.73
"Jarvis Island",149,0.04,0.01,0.02,0.01,0,,,0,,,,0.12,0.12,,0.13,0.07,0,,
"Denmark",175,0.03,0.01,0,0.1,0.21,0,0,-0.65,1.06,0.98,0.9,0.96,0.93,1.08,-0.22,-0.11,0,0.96,-1.96
"Saint Vincent and the Grenadines",127,0.03,0.22,-0.02,-0.04,-0.05,-0.06,-0.07,0.73,1.28,0.63,-0.03,0.43,0.43,,0.26,0.12,-0.02,0.02,-1.7
"Pitcairn",146,0.02,-0.06,-0.06,-0.03,0,0,,0.01,4.05,2.05,0.06,-2.95,-2.95,,-0.66,-0.33,0,,4.16
"Egypt",214,0.01,-0.17,-0.17,-0.09,0,0,-0.28,-0.4,0,-0.43,-0.87,1.05,0.37,-0.27,0.23,-0.19,-0.61,9.26,-7.94
"Germany",176,0,0.19,0.07,-0.2,-0.46,-0.29,0,-0.42,0,0.62,1.24,1.88,1.98,-1.67,-0.25,-0.12,0,0,-1.78
"India",203,0,0.33,-0.02,-0.02,-0.02,0,0.09,-0.41,0,0.82,1.64,0.8,-0.15,1.36,0.23,0.12,0,0.88,-1.62
"Montserrat",121,0,0.15,0,-0.06,-0.12,-0.14,-0.1,-0.13,0.85,0.39,-0.08,0.3,0.3,,0.72,0.36,0,,-0.77
"Ile Tromelin",36,-0.01,0.23,-0.05,-0.03,0,0,,-0.01,,,,-0.36,-0.36,,0.28,0.14,0,,
"Palmyra Atoll",150,-0.02,0.01,0.05,0.03,0,0.11,,0.04,,,,-0.37,-0.37,,0.14,0.07,0,,
"Grenada",125,-0.03,0.56,0.04,0,-0.04,-0.05,-0.06,0.49,-0.01,-0.01,0,-0.18,-0.18,,0.26,-0.09,-0.43,,-0.89
"Ivory Coast",195,-0.05,0.42,0.22,0.18,0.14,0.07,0.07,-1.23,3.52,1.66,-0.2,-0.65,-0.65,,-0.21,-0.08,0.04,,-0.88
"Madagascar",42,-0.05,0.01,-0.04,-0.09,-0.13,-0.25,-0.12,-0.84,0,-1.8,-3.6,2.3,2.24,0.05,0.1,-0.7,-1.5,-1.88,2.91
"Malta",68,-0.06,0.37,-0.08,-0.1,-0.12,-0.15,-0.13,-2.93,0.55,0.08,-0.38,0.54,1.98,4.38,0.74,0.36,-0.03,,0
"Heard and McDonald Islands",94,-0.07,0.04,0,0,0,,,0,,,,-0.38,-0.38,,-0.01,-0.01,0,,
"Johnston Atoll",159,-0.07,0.01,0,0.06,0.12,0.26,,0.04,,,,-0.82,-0.82,,0.14,0.07,0,,
"Singapore",208,-0.08,0,0.03,0.03,0.03,0.05,0.03,-0.52,0,0.22,0.43,0.14,-2.61,0.32,0.16,0.08,0,1.19,0.7
"Slovenia",188,-0.09,0.36,-0.04,-0.02,0,,,0.04,0,0,0,0.15,-2.01,0.53,1.31,0.65,0,3.07,-2.84
"Saint Lucia",122,-0.11,-0.05,-0.05,-0.06,-0.06,-0.13,-0.01,-1.4,1.84,0.82,-0.2,0.46,0.46,,0.22,0.1,-0.03,-0.84,0
"Togo",98,-0.11,0.05,0.02,0.01,-0.01,-0.09,-0.06,-0.31,0.07,0.04,0,0.27,0.27,,-0.45,-0.22,0,,-0.66
"Saint Kitts and Nevis",119,-0.12,0.8,-0.22,-0.34,-0.47,-0.69,-0.61,-0.33,2.01,-0.35,-2.71,-0.42,-0.42,,0.14,0.07,0,,0.77
"Haiti",114,-0.13,0.05,0,-0.01,-0.01,-0.06,-0.04,0.02,2.04,1.02,0,-0.56,-0.56,,0.3,0.15,0,-2.44,0.53
"French Guiana",169,-0.14,0.23,0.06,0.03,0,0,0,-0.45,0.09,0.51,0.93,-0.23,-0.23,,0.27,0.14,0,,-1.53
"Japan",210,-0.14,0.68,0.1,0.05,0,0.74,0,-0.49,0,1.13,2.26,1.18,1,-0.49,0.11,0.05,0,-4.94,0.4
"Sudan",49,-0.15,0.12,0.03,-0.01,-0.05,-0.15,-0.09,1.95,-0.02,0.28,0.59,0.88,0.88,,-0.5,-0.25,0,-4.76,0.57
"Barbados",124,-0.16,0.05,-0.02,-0.04,-0.05,-0.04,-0.02,-1.08,-0.77,-0.41,-0.06,0.26,0.26,,0.22,0.11,-0.01,-0.42,0
"Wake Island",12,-0.16,0.01,0.05,0.06,0.07,0.08,,0.03,1.94,1.24,0.55,-1.41,-1.41,,0.13,0.07,0,,3.07
"East Timor",231,-0.19,0.01,0.03,0.04,0.04,0.08,0.06,-0.77,0,0,0,1.4,1.39,0,-0.11,-1.85,-3.59,,-0.66
"Gambia",65,-0.19,-0.01,-0.04,-0.05,-0.05,-0.06,-0.06,0.07,0,0,0,0.09,0.09,0,-0.52,-0.44,-0.36,,-1.28
"Guadeloupe and Martinique",140,-0.21,0.2,-0.02,-0.01,0,0,0,-2.78,0.4,0.2,0,0.14,0.14,0,0.1,0.05,0,,0.3
"Jan Mayen",144,-0.22,0.19,0,0.32,0.63,,,0.03,1.36,0.3,-0.76,-0.46,-0.46,,-0.03,-0.02,0,,-1.88
"Mauritania",64,-0.22,0.13,0.01,0.01,0,,,-1.42,0.03,-0.13,-0.28,0.33,0.33,,-0.14,-0.07,0,,-0.37
"Aruba",250,-0.23,0,0,0,0,0,0,-1.56,0,0,0,-0.67,-0.67,0,0.34,0.17,0,,0
"Chile",224,-0.24,0.39,0.01,0,0,,,0.06,0.45,0.23,0,-5.67,-3.55,0,0.17,0.09,0,0.69,0.18
"Jersey",227,-0.24,0.18,0.03,0,-0.01,-0.05,-0.03,-1.17,1.3,0.27,-0.76,-0.01,-0.01,,-0.18,-0.09,-0.01,,-1.23
"Algeria",84,-0.25,0.17,0,0,0,,,-0.78,0.08,0.04,0,0.39,0.35,0.02,0.41,0.2,0,-1.75,-0.19
"Djibouti",46,-0.25,0.07,-0.07,-0.04,-0.02,-0.12,-0.1,-3.27,-0.01,-0.21,-0.41,0.85,0.85,,-0.26,-0.13,0,,0.69
"Saint Pierre and Miquelon",219,-0.25,0.09,-0.04,-0.02,0,,,-1.79,0,0,0,2.07,2.07,0.22,-0.41,-0.21,0,,-1.89
"Mexico",135,-0.26,0.27,0.01,-0.03,-0.07,-0.22,-0.09,-0.46,0,0.42,0.84,-0.01,-0.03,-0.52,-0.16,-0.03,0.11,-0.01,-2.43
"Western Sahara",63,-0.27,0.27,-0.02,-0.01,0,,,1.13,0.12,-0.1,-0.32,-0.09,-0.09,,-0.55,-0.27,-0.01,,-2.8
"Guinea",194,-0.28,0.01,0.06,0.04,0.03,0,0.01,-2.58,0.08,0.02,-0.05,0.05,0.05,,0,0.01,0.03,,-0.05
"Namibia",101,-0.28,0.18,0.02,0.01,0,,,-0.2,4.46,2.23,0,-2.43,-2.43,0.03,0.37,0.19,0,-1.12,-1.12
"Brazil",171,-0.33,-0.29,-0.07,-0.09,-0.11,0,0,-0.39,0.19,1.98,3.77,-1.21,-1.06,-0.1,-0.02,-0.01,0,-3.25,-0.2
"Crozet Islands",91,-0.34,0.14,-0.03,-0.03,,,,-0.01,,,,-2.09,-2.09,,0.57,0.28,0,,
"Taiwan",14,-0.36,0.69,0.03,0.01,0,0,0,-0.12,0.99,-0.78,-2.55,0.54,0.27,-0.12,-0.11,-0.11,-0.11,-2.74,-0.84
"Anguilla",118,-0.38,0.1,-0.17,-0.15,-0.12,-0.05,-0.14,-0.63,-1.15,-3.08,-5.01,0.45,0.45,,0.1,0.05,0,,0
"Dominican Republic",115,-0.41,0.62,0.08,0.07,0.06,0,0.05,0.58,1.39,0.72,0.05,-0.32,-0.24,-0.05,0.49,0.25,0,-5.42,-0.7
"Bahrain",52,-0.42,1.36,-0.1,-0.11,-0.11,-0.2,-0.13,0.47,1.4,1.83,2.27,0.64,0.63,0,1.64,0.82,0,,-8.46
"Dominica",123,-0.42,0.03,-0.11,-0.1,-0.08,-0.04,-0.03,-2.98,3.07,1.16,-0.75,0.21,0.21,,-0.21,-0.11,-0.01,-0.4,-1.88
"Israel",79,-0.42,0.17,-0.01,0,0,0,0,0.19,0,0,0,0.72,-0.52,0.08,0.36,0.15,-0.06,-2.35,-1.88
"Greenland",145,-0.45,0.14,0,0.08,0.16,0.19,,1.47,0,0,0,0.24,0.24,,-0.08,-0.04,0,-2.79,-3.29
"Puerto Rico and Virgin Islands of the United States",116,-0.45,-0.18,0.03,0.01,0,-0.07,0,0.01,0.84,0.51,0.19,0.32,0.32,0,0.1,0.03,-0.04,,-4.66
"Belgium",59,-0.47,0.03,0,0,0,0,0,-0.21,0,2.56,5.12,1.93,1.93,,-0.3,-0.15,0,-7.07,-1.79
"Ireland",181,-0.47,0.5,0.05,0.03,0.02,0.01,0.01,0.97,0.83,0.44,0.06,-4.01,-4.1,-5.64,0.51,0.42,0.33,-1.92,-1.07
"Morocco",62,-0.47,0.18,-0.03,0,0.02,,0,-0.15,0,0,0,0.42,0.42,0.01,0.1,4.69,9.28,-3.95,-5.38
"Norfolk Island",3,-0.47,0.14,0,0,0,,,0,0.06,0.41,0.75,-5.77,-5.77,,0.13,7.33,14.53,,-5.37
"Azores",55,-0.5,0.11,-0.02,-0.01,0,,,-0.42,0,0.1,0.2,-2.47,-2.47,,0.9,-1.14,-3.18,,0.32
"Kuwait",51,-0.51,0,-0.15,-0.08,0,-0.29,-0.24,-0.63,0,0,0,0.28,0.28,0,0.49,-2.35,-5.2,,-1.3
"British Indian Ocean Territory",38,-0.53,0.15,-0.07,-0.03,0,0,,-0.04,0.45,0.82,1.18,1.52,1.52,,0.02,0.01,0,,-6.69
"Brunei",247,-0.53,0,-0.02,-0.01,0,0,-0.04,0.07,-3.19,-1.68,-0.18,1.49,1.39,0.14,0.05,0.02,-0.01,-4.91,-0.12
"Canada",218,-0.53,0.13,0.01,0.1,0.19,0.76,-0.01,-0.35,0,-0.46,-0.93,1.2,0.68,-3.18,-0.17,-0.29,-0.41,-3.03,-2.84
"Macquarie Island",4,-0.53,0.14,0,0,0,,,-0.3,,,,-2.49,-2.49,,0,0,0,,
"Ghana",106,-0.56,0.12,-0.04,-0.05,-0.07,0,0,0.29,1.65,-0.24,-2.13,0.2,0.2,,-0.17,-0.09,0,-4.84,-1.01
"Guyana",167,-0.57,0.31,0.04,0.02,0.01,-0.02,-0.01,-0.86,5.58,1.92,-1.75,-0.58,-0.59,0.05,0.57,-0.29,-1.15,,-5.59
"China",209,-0.58,0.5,0.04,-0.12,-0.28,-0.67,0.01,-0.11,-0.07,0.13,0.33,0.71,0.73,0,0.22,0.31,0.4,-4.58,-2.06
"Malaysia",206,-0.58,1.02,0.08,0.07,0.06,0.06,0.03,0.67,-2.18,-2.37,-2.55,1.47,1.29,-3.68,0.24,0.12,0.01,-2.61,-4.06
"Kenya",43,-0.6,0.1,0.06,0.02,-0.01,-0.04,-0.02,-0.48,0,-0.03,-0.06,1.38,1.38,0,0.15,0.08,0,-2.99,-4.01
"Netherlands",177,-0.61,0,0.03,1.53,3.04,0,0,-0.22,0.57,0.27,-0.03,1.58,1.41,0.98,-0.2,-0.1,0,-4.15,-4.88
"Northern Mariana Islands and Guam",13,-0.62,0.11,0.06,0.03,0,0.03,0.05,0,4.9,1.89,-1.11,0.09,0.02,-0.05,0.48,-1.56,-3.61,,-6.19
"Papua New Guinea",17,-0.7,0.14,0.05,0.03,0.02,0.11,0.07,1.32,0.76,0.38,0,0.8,0.8,0,0.24,0.12,0.01,-8.23,-1.79
