"region_id","region_name","2012","2013","2014","2015","2016","2017","2018","average"
101,"Namibia",64.54,65.4,64.97,64.32,64.28,64,62.29,64.2571428571429
102,"South Africa",70.43,71.55,71.35,70.55,69.92,69.51,67.87,70.1685714285714
103,"Sao Tome and Principe",61.64,54.88,52.07,55.47,57.05,56.72,56.02,56.2642857142857
104,"Equatorial Guinea",67.81,66.7,66.08,60.56,56.72,56.87,56.6,61.62
105,"Bouvet Island",75.67,76.01,76.78,77.69,76.79,76.02,74.83,76.2557142857143
106,"Ghana",61.26,63.86,65.38,64.65,64.86,64,63.22,63.89
107,"Clipperton Island",79.12,79.16,79.3,79.41,79.15,78.89,79.7,79.2471428571429
108,"Bermuda",77.35,74.55,74.37,72.33,70.89,72.1,73.63,73.6028571428571
110,"Bahamas",79.5,78.53,79.38,78.58,78.77,78.81,78.38,78.85
111,"Turks and Caicos Islands",72.42,73.11,73.35,73.74,75.94,77.84,76.47,74.6957142857143
112,"Cuba",69.24,66.38,65.49,66.42,67.67,70.67,68.98,67.8357142857143
113,"Cayman Islands",75.39,78.35,78.28,77.81,76.11,70.57,68.31,74.9742857142857
114,"Haiti",55.07,55.53,55.88,55.66,54.72,53.25,51.61,54.5314285714286
115,"Dominican Republic",72.69,72.05,72.49,72.65,70.15,67.07,63.51,70.0871428571429
116,"Puerto Rico and Virgin Islands of the United States",72.79,71.9,72.18,72.09,72.9,73.28,71.38,72.36
117,"British Virgin Islands",69.22,69.82,69.93,69.99,69.71,69.7,69.74,69.73
118,"Anguilla",69.26,67.65,67.92,67.97,67.51,67.51,67.53,67.9071428571429
119,"Saint Kitts and Nevis",67.13,66.69,67.35,67.45,65.09,64.16,64.59,66.0657142857143
120,"Antigua and Barbuda",78.84,78.29,78.42,79.49,78.84,79,78.95,78.8328571428572
121,"Montserrat",71.95,72.16,73.24,72.78,72.22,72.22,72.52,72.4414285714286
122,"Saint Lucia",59.56,59.66,59.64,59.1,58.85,58.48,58.46,59.1071428571429
123,"Dominica",50.85,47.99,49.37,49.58,50.62,50.76,51.07,50.0342857142857
124,"Barbados",59.32,58.76,59.43,60.09,59.94,59.54,58.78,59.4085714285714
125,"Grenada",57.46,57.1,56.94,58.93,58.2,57.87,59.25,57.9642857142857
126,"Trinidad and Tobago",72.51,72.97,72.79,70.27,67.65,62.82,61.36,68.6242857142857
127,"Saint Vincent and the Grenadines",54.19,54.11,54.17,53.65,54.77,55.57,56.34,54.6857142857143
129,"Panama",63.85,64.2,64.38,63.53,63.22,66.07,65.09,64.3342857142857
130,"Costa Rica",63.55,62.81,62.88,62.15,61.81,62.76,62.45,62.63
131,"Nicaragua",52.73,48.66,47.31,47.11,47.76,47.63,44.85,48.0071428571429
132,"Colombia",62.48,61.83,61.16,60.78,59.91,57.55,55.53,59.8914285714286
133,"Honduras",65.84,64.34,64.92,66.37,67.06,68.57,64.39,65.9271428571429
134,"El Salvador",56.24,57.1,55.03,54.7,54.07,53.87,52.55,54.7942857142857
135,"Mexico",72.77,71.58,71.38,69.14,68.27,68.01,65.44,69.5128571428571
136,"Guatemala",67.05,66.01,63.82,63.12,62.05,61.67,59.18,63.2714285714286
137,"Ecuador",69.78,72.05,72.2,73.45,73.26,72.06,70.98,71.9685714285714
138,"Peru",61.32,60.86,56.5,58.17,53.65,62.78,58.52,58.8285714285714
139,"Venezuela",58.03,59.68,59.78,59.54,59.81,59.1,59.66,59.3714285714286
140,"Guadeloupe and Martinique",72.6,72.81,72.93,72.13,72,72.2,72.53,72.4571428571429
141,"Faeroe Islands",65.44,65.63,64.82,63.92,65.63,66.09,67.36,65.5557142857143
143,"Iceland",66.89,67.73,67.8,67.35,66.19,66.02,65.87,66.8357142857143
144,"Jan Mayen",85.54,84.98,83.65,82.65,82.27,80.74,80.96,82.97
145,"Greenland",75.52,72.65,73.88,73.57,73.23,73.55,73.98,73.7685714285714
146,"Pitcairn",76.64,79.41,79.76,79.89,84.3,83.43,85.01,81.2057142857143
147,"French Polynesia",75.68,79.05,79.42,79.2,78.29,77.11,78.48,78.1757142857143
148,"Line Islands (Kiribati)",76.04,77.22,77.57,75.53,72.2,71.13,72.45,74.5914285714286
149,"Jarvis Island",83.38,84.14,84.68,83.74,80.24,79.34,81.79,82.4728571428571
150,"Palmyra Atoll",82.82,83.21,83.48,82.16,80.84,79.68,80.09,81.7542857142857
151,"American Samoa",74.6,77.49,78.33,78.06,77.81,76.61,77.52,77.2028571428571
152,"Samoa",58.62,62.3,62.55,62.76,67.81,65.25,66.2,63.6414285714286
153,"Cook Islands",67.87,69.73,67.22,66.74,67.59,70.91,69.98,68.5771428571429
154,"Niue",67.04,68.32,69.13,68.82,68.17,67.18,68.44,68.1571428571429
155,"Tonga",63.53,64.38,65.02,66.84,69.63,69.5,69.36,66.8942857142857
156,"Tokelau",65.14,66.02,66.48,66.43,66.28,65.87,67.09,66.1871428571429
157,"Phoenix Islands (Kiribati)",86.12,86.56,84.94,83.34,80.97,80.27,81.27,83.3528571428571
158,"Howland Island and Baker Island",91.91,92.04,92.12,91.97,91.67,89.58,90.94,91.4614285714286
159,"Johnston Atoll",80.11,80.82,81.36,79.91,78.15,76.9,77.26,79.2157142857143
161,"Wallis and Futuna",73.39,76.4,77.23,77.27,76.83,76.39,77.69,76.4571428571429
162,"New Zealand",81.75,81.97,81.06,79.89,79.8,80.54,80.49,80.7857142857143
163,"United States",74.11,74.48,74.29,72.5,70.7,69.32,69.11,72.0728571428571
164,"Belize",64.99,63.92,63.76,64.96,65.29,63.99,60.97,63.9828571428571
166,"Jamaica",60.73,60.3,58.76,58.98,58.54,59.16,57.5,59.1385714285714
167,"Guyana",62.9,62.21,62.25,61.92,61.26,61.62,61.16,61.9028571428571
168,"Suriname",72.34,73.34,73.53,74.47,74.44,71.68,68.22,72.5742857142857
169,"French Guiana",71.58,71.71,71.67,71.59,71.62,71.59,71.61,71.6242857142857
171,"Brazil",67.31,67.51,67.23,66.78,66.4,66.12,64.86,66.6014285714286
172,"Argentina",72.46,70.73,70.58,69.22,69.38,69.93,68.74,70.1485714285714
173,"Uruguay",64.6,62.06,61.82,61.1,61.69,62.95,63.12,62.4771428571429
174,"Finland",77.11,79.48,79.5,77.08,74.22,72.75,71.71,75.9785714285714
175,"Denmark",75.81,76.43,76.59,76.71,77,76.47,74.62,76.2328571428571
176,"Germany",85.21,85.76,85.43,84.92,85.25,84.12,80.99,84.5257142857143
177,"Netherlands",78.3,78.05,77.41,75.89,76.11,75.72,75.14,76.66
178,"Poland",61.22,61.59,61.48,61.89,63.74,65.88,65.8,63.0857142857143
179,"France",72.93,72.67,71.45,70.63,69.36,69.84,68.38,70.7514285714286
180,"United Kingdom",70.55,71.94,72.98,74.28,74.25,74.63,70.46,72.7271428571429
181,"Ireland",65.52,66.66,67.68,68.62,68.31,67.74,66.51,67.2914285714286
182,"Spain",67.09,66.72,67.43,67.21,67,66.84,65.07,66.7657142857143
183,"Portugal",72.85,72.56,71.72,72.1,74.22,75.33,78.73,73.93
184,"Italy",77.47,79.1,79.84,79.39,79.25,79.11,77.05,78.7442857142857
185,"Monaco",68.44,67.7,67.09,66.17,64.22,63.63,60.98,65.4614285714286
186,"Montenegro",55.11,55.02,57.27,57.12,55.79,55.22,55.11,55.8057142857143
187,"Croatia",70.3,74,74.52,74.51,73.63,71.31,71.44,72.8157142857143
188,"Slovenia",64.03,67.29,67.2,65.66,64.33,61.81,60.24,64.3657142857143
189,"Lithuania",67.37,67.65,67.43,61.1,60.5,59.49,59.4,63.2771428571429
190,"Qatar",71.55,74.84,75.66,75.12,74.8,75.47,75.51,74.7071428571429
191,"Iran",66.02,68.64,68.41,68.27,67.92,61.4,61.08,65.9628571428571
192,"Iraq",53.3,55.13,55.68,55.87,55,55.23,54.73,54.9914285714286
193,"Guinea Bissau",50.88,52.01,51.51,51.16,51.11,51.28,49.44,51.0557142857143
194,"Guinea",50.15,50.31,49.47,49.32,49.31,49.82,49.96,49.7628571428571
195,"Ivory Coast",44.78,43.65,43.48,42.57,42.13,41.86,41.29,42.8228571428571
196,"Nigeria",53.55,55.72,54.08,54.04,54.26,52.46,51.47,53.6542857142857
197,"Cameroon",64.69,65.09,64.38,64.01,63.65,64.19,63.87,64.2685714285714
198,"Gabon",59.74,62.04,61.63,61.02,61.4,63.29,63.54,61.8085714285714
199,"Democratic Republic of the Congo",49.19,49.41,48.99,48.74,48.17,47.6,46.94,48.4342857142857
200,"Angola",54.81,54.76,54.84,54.65,54.43,59.56,58.98,56.0042857142857
202,"Tanzania",66.17,66.95,67.55,67.4,67.02,67.56,67.15,67.1142857142857
203,"India",58.28,59.59,60.58,61.32,61.31,60.21,58.02,59.9014285714286
204,"Bangladesh",59.7,60.4,61.97,63.9,66.13,65.92,65.98,63.4285714285714
205,"Myanmar",54.76,60.07,60.51,63.36,63.3,62.95,62.93,61.1257142857143
206,"Malaysia",66.01,64.27,65.44,64.63,63.47,63.7,63.63,64.45
207,"Vietnam",53.22,54.5,55.27,55.26,55.81,56.42,57.02,55.3571428571429
208,"Singapore",60.64,60.88,60.83,60.11,59.75,59.89,60.49,60.37
209,"China",61.58,61.76,62.26,61.26,61.01,60.77,60.31,61.2785714285714
210,"Japan",71.27,72.17,72.12,71.61,70.37,68.74,67.84,70.5885714285714
212,"Gilbert Islands (Kiribati)",63.98,62.85,61.83,60.68,56.48,56.42,56.97,59.8871428571429
213,"Antarctica",NA,NA,NA,NA,NA,NA,NA,NA
214,"Egypt",66.08,66.33,66.06,67.02,65.79,67.27,68.62,66.7385714285714
215,"Jordan",69.19,68.76,66.95,64.68,62.73,61.24,61.69,65.0342857142857
216,"Indonesia",63.48,64.23,64.71,65.34,65.99,66.2,65.71,65.0942857142857
218,"Canada",74.72,73.6,72.94,71.67,71.9,71.88,71.76,72.6385714285714
219,"Saint Pierre and Miquelon",74.2,71.51,71.12,69.24,70.51,70.38,71.14,71.1571428571429
220,"Sint Maarten",80.57,79.26,72.66,71.82,70.9,70.79,70.56,73.7942857142857
221,"Northern Saint-Martin",79.88,80.25,80.34,80.31,80.16,80.03,79.89,80.1228571428571
222,"Sweden",73.18,73.31,73.19,70.21,68.64,66.96,66.49,70.2828571428571
223,"Norway",81.75,81.89,80.6,79.2,80.25,79.56,78.09,80.1914285714286
224,"Chile",75.09,74.74,73.29,72.27,72.07,73.2,73.84,73.5
227,"Jersey",68.94,68.61,68.73,68.14,68.18,68.12,68.24,68.4228571428571
228,"Guernsey",62.85,63.14,63.81,64.95,64.93,65.16,65.42,64.3228571428571
231,"East Timor",60.38,60.31,60.29,59.36,59.85,59.77,60.4,60.0514285714286
232,"Bosnia and Herzegovina",50.15,50.52,50.39,50.21,50.12,49.72,49.45,50.08
237,"Oecussi Ambeno",60.41,61.11,61.37,60.94,62.05,62.14,62.81,61.5471428571429
244,"Curacao",77.01,79.35,76.64,76.83,76.88,75.91,73.94,76.6514285714286
245,"Bonaire",81.07,79.48,73.68,72.83,72.09,71.95,71.73,74.69
247,"Brunei",65.46,61.79,61.6,61.57,61.82,61.59,62.1,62.2757142857143
248,"Saba",81.14,79.63,73.73,72.75,71.91,71.82,71.78,74.68
249,"Sint Eustatius",77,75.77,69.86,68.88,67.82,67.75,67.56,70.6628571428571
250,"Aruba",83.39,83.13,82.85,82.06,81.67,81.66,81.6,82.3371428571429
