iucn_sid,am_sid,sciname,name,spp_group_text
187423,Fis-47538,Oxycheilinus orientalis,Oriental Maori Wrasse,Wrasses
187430,Fis-27963,Choerodon cephalotes,Purple Tuskfish,Wrasses
187436,Fis-48603,Coris gaimard,African Coris,Wrasses
187467,Fis-57938,Halichoeres cosmetus,Adorned Wrasse,Wrasses
187478,Fis-138814,Halichoeres leucurus,Greyhead Wrasse,Wrasses
187483,Fis-32430,Cirrhilabrus melanomarginatus,Blackfin Fairy-Warsse,Wrasses
187499,Fis-126141,Choerodon zosterophorus,Zoster Wrasse,Wrasses
187536,Fis-31473,Gomphosus varius,Bird Wrasse,Wrasses
187538,Fis-56858,Cirrhilabrus roseafascia,Pink-Banded Fairy-Warsse,Wrasses
187539,Fis-166561,Iniistius twistii,Redblotch Razorfish,Wrasses
187554,Fis-26201,Bodianus bilunulatus,Tarry Hogfish,Wrasses
187564,Fis-31124,Halichoeres melasmapomus,Cheekspot Wrasse,Wrasses
187599,Fis-35327,Cirrhilabrus scottorum,Scott's Wrasse,Wrasses
187604,Fis-127206,Pteragogus enneacanthus,Cockerel Wrasse,Wrasses
187621,Fis-31468,Pseudocheilinus octotaenia,Eight-Lined Wrasse,Wrasses
187632,Fis-26808,Stethojulis albovittata,Bluelined Wrasse,Wrasses
187684,Fis-26806,Pteragogus flagellifer,Cocktail Wrasse,Wrasses
187694,Fis-32086,Halichoeres melanochir,Orangefin Wrasse,Wrasses
187716,Fis-31132,Anampses caeruleopunctatus,Bluespotted Wrasse,Wrasses
187718,Fis-47531,Oxycheilinus arenatus,Speckled Maori Wrasse,Wrasses
187736,Fis-23532,Halichoeres radiatus,Puddingwife Wrasse,Wrasses
187740,Fis-31469,Pseudocheilinus tetrataenia,Four-Lined Wrasse,Wrasses
187747,Fis-26337,Choerodon robustus,Robust Tuskfish,Wrasses
187784,Fis-31137,Anampses twistii,Yellowbreasted Wrasse,Wrasses
190691,Fis-165595,Cetoscarus ocellatus,Spotted Parrotfish,Wrasses
190711,Fis-123151,Chlorurus bowersi,Bower's Parrotfish,Wrasses
190722,Fis-26762,Scarus falcipinnis,Sicklefin Parrotfish,Wrasses
190736,Fis-31424,Scarus psittacus,Common Parrotfish,Wrasses
190757,Fis-29875,Cryptotomus roseus,Bluelip Parrotfish,Wrasses
191823,Fis-2518,Megalops atlanticus,Tarpon,Bonefish/Tarpon
192269,W-Msc-428185,Conus lischkeanus,Lischke's Cone,Cone snails
192276,W-Msc-428247,Conus praecellens,Sowerby's Cone,Cone snails
192296,W-Msc-215478,Conus sanguinolentus,Blood-Stained Cone,Cone snails
192297,W-Msc-215495,Conus bullatus,Bubble Cone,Cone snails
192298,W-Msc-215517,Conus betulinus,Beech Cone,Cone snails
192304,W-Msc-426441,Conus capitanellus,Conus capitanellus,Cone snails
192323,W-Msc-215532,Conus milneedwardsi,Conus milneedwardsi,Cone snails
192362,W-Msc-215487,Conus moluccensis,Molucca Cone,Cone snails
192367,W-Msc-215441,Conus catus,Cat Cone,Cone snails
192380,SLB-120088,Conus floridulus,Conus floridulus,Cone snails
192399,SLB-118879,Conus monachus,Conus monachus,Cone snails
192424,W-Msc-215476,Conus obscurus,Obsure Cone,Cone snails
192447,W-Msc-428976,Conus armadillo,Conus armadillo,Cone snails
192460,W-Msc-215520,Conus generalis,General Cone,Cone snails
192505,W-Msc-428144,Conus granum,Conus granum,Cone snails
192573,W-Msc-215551,Conus magnificus,Conus magnificus,Cone snails
192640,W-Msc-426407,Conus boholensis,Conus boholensis,Cone snails
192647,W-Msc-215432,Conus spectrum,Conus spectrum,Cone snails
192664,W-Msc-215455,Conus episcopatus,Conus episcopatus,Cone snails
192694,W-Msc-215511,Conus varius,Varius Cone,Cone snails
192699,W-Msc-215543,Conus striatellus,Lineated Cone,Cone snails
192796,W-Msc-215435,Conus musicus,Music Cone,Cone snails
192870,SLB-100581,Conus arenatus,Sand-Dusted Cone,Cone snails
194299,Fis-28123,Albula glossodonta,Roundjaw Bonefish,Bonefish/Tarpon
198920,ITS-Mam-180478,Neophocaena phocaenoides,Finless Porpoise,Marine Mammals
154708,Fis-51713,Diplodus cervinus,Zebra Seabream,Seabreams/Porgies
170160,Fis-23177,Lithognathus mormyrus,Sand Steenbras,Seabreams/Porgies
170191,Fis-32670,Argyrops bleekeri,Taiwan Tai,Seabreams/Porgies
170224,Fis-23208,Pagellus erythrinus,Common Pandora,Seabreams/Porgies
170261,Fis-23480,Diplodus vulgaris,Common Two-Banded Seabream,Seabreams/Porgies
170266,Fis-25680,Acanthopagrus berda,Goldsilk Seabream,Seabreams/Porgies
172376,Fis-56917,Omobranchus zebra,Omobranchus zebra,Combtooth Blennies
172416,Fis-26219,Chelonodon patoca,Milkspotted Puffer,Pufferfish
172487,Fis-26596,Omobranchus punctatus,Muzzled Blenny,Combtooth Blennies
173352,SLB-159390,Halophila decipiens,Halophila decipiens,Sea grasses
173375,Kew-293259,Thalassodendron ciliatum,Thalassodendron ciliatum,Sea grasses
188315,Fis-29814,Chromis enchrysura,Yellowtail Reeffish,Damselfish
188425,Fis-25777,Chrysiptera unimaculata,Onespot Demoiselle,Damselfish
188539,Fis-24913,Stegastes partitus,Bicolor Damselfish,Damselfish
188569,Fis-24912,Stegastes leucostictus,Beaugregory,Damselfish
188581,Fis-23318,Abudefduf saxatilis,Sergeant-Major,Damselfish
190380,Fis-23579,Lagocephalus laevigatus,Smooth Puffer,Pufferfish
193602,Fis-145529,Takifugu bimaculatus,Takifugu bimaculatus,Pufferfish
193622,Fis-26889,Lagocephalus spadiceus,Half-Smooth Golden Pufferfish,Pufferfish
193632,Fis-25618,Sphoeroides greeleyi,Green Puffer,Pufferfish
193642,Fis-133901,Canthigaster axiologus,Pacific Crown Toby,Pufferfish
193656,Fis-26177,Canthigaster bennetti,Bennett's Sharpnose Puffer,Pufferfish
193660,Fis-134051,Torquigener gloerfelti,Torquigener gloerfelti,Pufferfish
193785,Fis-62815,Marilyna darwinii,Marilyna darwinii,Pufferfish
193804,Fis-26097,Arothron nigropunctatus,Blackspotted Puffer,Pufferfish
193805,Fis-26418,Arothron immaculatus,Immaculate Puffer,Pufferfish
46080080,Fis-31636,Petroscirtes mitratus,Floral Blenny,Combtooth Blennies
46080159,Fis-32416,Xiphasia setifer,Hairtail Blenny,Combtooth Blennies
48342137,Fis-25968,Exallias brevis,Leopard Blenny,Combtooth Blennies
48342171,Fis-145444,Omobranchus germaini,Germain's Blenny,Combtooth Blennies
48342287,Fis-130760,Cirrisalarias bunares,Hairy Blenny,Combtooth Blennies
48342333,Fis-9972,Ecsenius midas,Persian Blenny,Combtooth Blennies
48342359,Fis-52010,Salarias segmentatus,Segmented Blenny,Combtooth Blennies
48342385,Fis-25969,Ecsenius bicolor,Bicolor Blenny,Combtooth Blennies
48342389,Fis-25972,Entomacrodus decussatus,Wavy-Lined Blenny,Combtooth Blennies
48342444,Fis-165431,Atrosalarias holomelas,Brown Coral Blenny,Combtooth Blennies
48342445,Fis-32541,Meiacanthus smithi,Disco Blenny,Combtooth Blennies
48342521,Fis-25971,Entomacrodus caudofasciatus,Tail-Barred Rockskipper,Combtooth Blennies
21856,Fis-22832,Thunnus alalunga,Albacore,Tunas/Billfish
170322,Fis-164253,Kajikia albida,Atlantic White Marlin,Tunas/Billfish
177999,Fis-31079,Acanthurus nigroris,Bluelined Surgeonfish,Surgeons/Tangs/Unicornfish
