iucn_sid,am_sid,sciname,dist_align,area_ratio,method,name
133031,URM-Cn-4897,Montipora effusa,56.342,70.188,all depth,Montipora effusa
133032,URM-Cn-5869,Lobophyllia flabelliformis,63.474,88.113,all depth,Lobophyllia flabelliformis
133033,URM-Cn-4813,Acropora pulchra,83.085,46.63,all depth,Acropora pulchra
133034,SLB-189121,Fungia fragilis,97.487,10.582,all depth,Fungia fragilis
133037,URM-Cn-5885,Mycetophyllia reesi,89.157,43.267,all depth,Ridgeless Cactus Coral
133038,URM-Cn-6069,Porites nigrescens,99.66,7.383,all depth,Porites nigrescens
133043,URM-Cn-6135,Psammocora digitata,83.1,51.166,all depth,Psammocora digitata
133045,SLB-158820,Pocillopora ligulata,14.519,98.856,all depth,Pocillopora ligulata
133046,URM-Cn-4861,Anacropora spinosa,68.916,58.603,all depth,Anacropora spinosa
133053,URM-Cn-5887,Scolymia cubensis,88.049,57.107,all depth,Artichoke Coral
133055,URM-Cn-5564,Favites halicora,92.136,27.413,all depth,Favites halicora
133057,URM-Cn-5482,Euphyllia paradivisa,85.065,44.042,all depth,Euphyllia paradivisa
133058,URM-Cn-5930,Echinophyllia echinata,78.647,26.404,all depth,Echinophyllia echinata
133059,URM-Cn-5617,Platygyra verweyi,83.203,54.816,all depth,Platygyra verweyi
133064,URM-Cn-4899,Montipora florida,82.968,48.393,all depth,Montipora florida
133066,URM-Cn-4913,Montipora informis,86.47,51.7,all depth,Montipora informis
133070,URM-Cn-5601,Montastrea colemani,66.871,69.479,all depth,Montastrea Coral
133071,URM-Cn-4901,Montipora foliosa,83.076,49.41,all depth,Montipora foliosa
133076,URM-Cn-5873,Lobophyllia robusta,66.079,62.743,all depth,Lobed Cactus Coral
133081,URM-Cn-4770,Acropora kirstyae,73.896,37.598,all depth,Acropora kirstyae
133082,URM-Cn-6064,Porites lutea,94.769,21.861,all depth,Porites lutea
133084,SLB-62376,Barabattoia amicorum,91.855,28.161,all depth,Basket Coral
133087,URM-Cn-4836,Acropora subglabra,89.707,50.101,all depth,Acropora subglabra
133088,URM-Cn-5528,Echinopora lamellosa,88.797,34.483,all depth,Echinopora lamellosa
133089,URM-Cn-5935,Echinophyllia patula,92.622,15.906,all depth,Echinophyllia patula
133090,URM-Cn-5587,Leptastrea purpurea,90,35.026,all depth,Leptastrea purpurea
133092,URM-Cn-4866,Astreopora incrustans,55.732,87.121,all depth,Astreopora incrustans
133094,URM-Cn-6138,Psammocora nierstraszi,78.62,46.932,all depth,Psammocora nierstraszi
133096,SLB-158798,Porites columnaris,48.355,94.963,all depth,Porites columnaris
133097,SLB-117490,Pocillopora danae,65.602,70.527,all depth,Pocillopora danae
133099,URM-Cn-5977,Pocillopora elegans,53.607,65.637,all depth,Pocillopora elegans
133100,URM-Cn-4956,Agaricia undata,68.178,66.742,all depth,Scroll Coral
133102,URM-Cn-5814,Dichocoenia stokesii,81.903,64.713,all depth,Dichocoenia stokesii
133106,URM-Cn-5849,Acanthastrea hillae,87.127,42.889,all depth,Acanthastrea hillae
133109,URM-Cn-5901,Galaxea acrhelia,63.025,46.744,all depth,Galaxea acrhelia
133110,URM-Cn-5750,Ctenactis crassa,89.259,31.462,all depth,Ctenactis crassa
133111,SLB-61810,Montipora saudii,95.981,45.793,all depth,Montipora saudii
133112,URM-Cn-4724,Acropora caroliniana,57.366,71.415,all depth,Acropora caroliniana
133113,URM-Cn-4880,Montipora cactus,73.508,53.914,all depth,Montipora cactus
133115,SLB-93474,Acropora retusa,48.426,73.587,all depth,Acropora retusa
133120,SLB-61654,Acropora latistella,76.898,49.125,all depth,Acropora latistella
133121,URM-Cn-6145,Siderastrea glynni,0,36.262,all depth,Siderastrea glynni
133122,SLB-93687,Acropora plantaginea,51.503,73.491,all depth,Acropora plantaginea
133124,SLB-158750,Dendrogyra cylindrus,79.505,73.492,all depth,Pillar Coral
133125,URM-Cn-4748,Acropora fenneri,84.304,49.568,all depth,Acropora fenneri
133127,URM-Cn-5896,Symphyllia valenciennesii,82.803,54.799,all depth,Symphyllia valenciennesii
133128,URM-Cn-4812,Acropora pruinosa,82.92,18.058,all depth,Acropora pruinosa
133129,URM-Cn-4872,Astreopora ocellata,78.775,52.106,all depth,Astreopora ocellata
133131,URM-Cn-4903,Montipora friabilis,58.053,74.259,all depth,Montipora friabilis
133132,URM-Cn-4714,Acropora aspera,80.825,59.839,all depth,Green Staghorn Coral
133133,URM-Cn-4708,Acropora abrolhosensis,50.221,77.702,all depth,Acropora abrolhosensis
133134,URM-Cn-5592,Montastraea annularis,69.863,95.765,all depth,Carribean Star Coral
133139,SLB-184813,Isopora palifera,84.763,47.702,all depth,Catch Bowl Coral
133142,URM-Cn-5096,Cladocora caespitosa,75.624,86.094,all depth,Cladocora caespitosa
133144,W-Hyd-210726,Millepora alcicornis,31.728,95.338,all depth,Fire Coral
133145,URM-Cn-5008,Stylocoeniella cocosensis,67.435,76.587,all depth,Stylocoeniella cocosensis
133148,URM-Cn-5751,Ctenactis echinata,90.268,45.563,all depth,Rough Feather Coral
133151,URM-Cn-5542,Favia lacuna,97.019,29.974,all depth,Favia lacuna
133152,URM-Cn-5872,Lobophyllia pachysepta,81.228,55.609,all depth,Lobophyllia pachysepta
133157,URM-Cn-5889,Scolymia vitiensis,67.14,61.699,all depth,Scolymia vitiensis
133158,URM-Cn-5787,Podabacia crustacea,82.869,47.009,all depth,Bracket Coral
133160,URM-Cn-4715,Acropora austera,77.705,48.533,all depth,Acropora austera
133161,URM-Cn-5610,Platygyra contorta,78.165,25.895,all depth,Platygyra contorta
133165,URM-Cn-5921,Oculina varicosa,91.743,42.522,all depth,Fused Ivory Tree Coral
133169,URM-Cn-5993,Stylophora mamillata,74.079,63.828,all depth,Stylophora mamillata
133172,SLB-62815,Echinophyllia aspera,91.119,34.326,all depth,Flat Lettuce Coral
133175,URM-Cn-4896,Montipora efflorescens,82.066,49.91,all depth,Montipora efflorescens
133176,SLB-117467,Coscinaraea exesa,85.65,36.139,all depth,Coscinaraea exesa
133177,URM-Cn-5472,Turbinaria patula,91.166,37.844,all depth,Disc Coral
133178,URM-Cn-5593,Montastrea annuligera,69.253,57.195,all depth,Montastrea annuligera
133182,SLB-184808,Isopora brueggemanni,63.407,69.028,all depth,Isopora brueggemanni
133183,URM-Cn-5761,Fungia granulosa,90.544,24.222,all depth,Fungia granulosa
133184,SLB-62757,Mussismilia hispida,93.434,53.116,all depth,Mussismilia hispida
133186,URM-Cn-4900,Montipora floweri,76.796,53.811,all depth,Montipora floweri
133192,URM-Cn-5947,Oxypora glabra,89.305,19.689,all depth,Porous Lettuce Coral
133193,W-Oct-210725,Heliopora coerulea,79.459,32.184,all depth,Blue Coral
133194,URM-Cn-4893,Montipora digitata,82.032,54.272,all depth,Montipora digitata
133195,SLB-93690,Acropora appressa,86.001,39.762,all depth,Acropora appressa
133197,URM-Cn-5984,Pocillopora verrucosa,88.099,49.932,all depth,Rasp Coral
133200,URM-Cn-5606,Oulophyllia crispa,90.721,25.172,all depth,Oulophyllia crispa
133201,SLB-190518,Fungia scutaria,86.802,23.78,all depth,Fungia scutaria
133203,URM-Cn-4840,Acropora tenella,47.837,86.212,all depth,Acropora tenella
133206,URM-Cn-4819,Acropora roseni,55.054,35.11,all depth,Acropora roseni
133209,URM-Cn-5567,Favites pentagona,89.392,33.864,all depth,Favites pentagona
133210,URM-Cn-5554,Favia speciosa,87.478,48.652,all depth,Favia speciosa
133212,URM-Cn-5915,Oculina diffusa,73.881,61.748,all depth,Diffuse Ivory Bush Coral
133213,URM-Cn-5786,Lithophyllon undulatum,91.578,23.534,all depth,Stone Leaf Coral
133215,URM-Cn-5777,Fungia tenuis,65.675,42.17,all depth,Fungia tenuis
133216,URM-Cn-6063,Porites lobata,85.522,19.428,all depth,Lobe Coral
133217,SLB-158789,Meandrina danae,68.463,71.71,all depth,Meandrina danae
133218,URM-Cn-4975,Pachyseris foliosa,61.382,70.501,all depth,Pachyseris foliosa
133219,URM-Cn-5486,Nemenzophyllia turbida,81.07,48.439,all depth,Nemenzophyllia turbida
133220,URM-Cn-4882,Montipora caliculata,84.164,53.291,all depth,Montipora caliculata
133222,URM-Cn-5975,Pocillopora damicornis,70.338,38.077,all depth,Cauliflower Coral
133223,URM-Cn-4740,Acropora donei,90.152,43.729,all depth,Acropora donei
133227,SLB-93757,Astreopora expansa,78.43,51.501,all depth,Astreopora expansa
133231,URM-Cn-5517,Diploastrea heliopora,85.329,44.838,all depth,Double Star Coral
133233,URM-Cn-4769,Acropora kimbeensis,67.093,69.419,all depth,Pink-Tip Acropora
133236,URM-Cn-5907,Galaxea paucisepta,92.886,21.613,all depth,Galaxea paucisepta
133237,SLB-62474,Montastraea cavernosa,77.08,82.772,all depth,Great Star Coral
133238,URM-Cn-4909,Montipora hispida,80.343,53.93,all depth,Montipora hispida
133239,URM-Cn-4792,Acropora nasuta,84,46.329,all depth,Acropora nasuta
133240,URM-Cn-4982,Pavona clavus,82.383,54.142,all depth,Pavona clavus
133242,URM-Cn-4989,Pavona frondifera,58.774,64.869,all depth,Leaf Coral
133244,URM-Cn-5563,Favites flexuosa,94.821,19.032,all depth,Favites flexuosa
133246,URM-Cn-5846,Acanthastrea echinata,83.86,53.711,all depth,Acanthastrea echinata
133248,URM-Cn-4816,Acropora robusta,83.206,45.756,all depth,Green Robusta
133250,URM-Cn-4738,Acropora digitifera,82.686,45.926,all depth,Acropora digitifera
133251,URM-Cn-5996,Stylophora wellsi,51.113,91.443,all depth,Stylophora wellsi
133252,URM-Cn-4846,Acropora tortuosa,80.1,26.329,all depth,Cali Tort
133253,URM-Cn-5860,Blastomussa wellsi,70.639,68.69,all depth,Blastomussa wellsi
133255,URM-Cn-4953,Agaricia humilis,93.822,55.446,all depth,Low-Life Lettuce Coral
133256,URM-Cn-5481,Euphyllia glabrescens,86.904,54.351,all depth,Brain Trumpet Coral
133258,URM-Cn-5495,Plerogyra sinuosa,86.827,34.468,all depth,Rounded Bubblegum Coral
133260,URM-Cn-6149,Trachyphyllia geoffroyi,69.401,96.948,all depth,Trachyphyllia geoffroyi
133261,URM-Cn-4983,Pavona danai,64.912,76.025,all depth,Pavona danai
133267,URM-Cn-4868,Astreopora listeri,77.275,50.337,all depth,Starflower Coral
133268,URM-Cn-5875,Micromussa diminuta,75.779,61.157,all depth,Micromussa diminuta
133269,URM-Cn-5782,Heliofungia actiniformis,67.705,60.766,all depth,Long Tentacle Plate Coral
133271,URM-Cn-4824,Acropora sarmentosa,85.01,46.419,all depth,Blue Sarmentosa
133272,URM-Cn-5954,Pectinia paeonia,91.443,32.367,all depth,Pectinia paeonia
133277,URM-Cn-6040,Porites australiensis,80.971,19.992,all depth,Porites australiensis
133281,URM-Cn-5963,Madracis formosa,92.229,54.666,all depth,Eight-Ray Finger Coral
133283,URM-Cn-4718,Acropora batunai,78.671,59.455,all depth,Acropora batunai
133284,URM-Cn-5620,Plesiastrea versipora,83.229,50.635,all depth,Plesiastrea versipora
133289,SLB-117478,Euphyllia paraancora,73.019,51.791,all depth,Euphyllia paraancora
133290,URM-Cn-5560,Favites abdita,93.874,22.517,all depth,Favites abdita
133291,URM-Cn-4835,Acropora striata,43.245,80.276,all depth,Acropora striata
133292,URM-Cn-4871,Astreopora myriophthalma,85.103,45.28,all depth,Astreopora myriophthalma
133298,URM-Cn-4942,Montipora turgescens,84.639,53.34,all depth,Montipora turgescens
133302,URM-Cn-4865,Astreopora gracilis,71.073,59.193,all depth,Astreopora gracilis
133304,URM-Cn-5870,Lobophyllia hataii,78.991,59.591,all depth,Lobophyllia hataii
133305,URM-Cn-4946,Montipora verrilli,89.081,7.074,all depth,Montipora verrilli
133307,URM-Cn-5553,Favia rotundata,80.191,47.74,all depth,Favia rotundata
133308,SLB-190516,Fungia scruposa,85.387,29.948,all depth,Fungia scruposa
133309,URM-Cn-5981,Pocillopora inflata,34.113,98.856,all depth,Pocillopora inflata
133311,URM-Cn-4757,Acropora halmaherae,38.863,41.386,all depth,Acropora halmaherae
133313,URM-Cn-4733,Acropora cytherea,82.084,48.745,all depth,Acropora cytherea
133315,URM-Cn-4788,Acropora monticulosa,79.543,46.83,all depth,Acropora monticulosa
133319,URM-Cn-4760,Acropora horrida,83.246,47.641,all depth,Blue Staghorn
133320,URM-Cn-4830,Acropora solitaryensis,83.053,53.241,all depth,Acropora solitaryensis
133324,URM-Cn-4752,Acropora gemmifera,78.578,53.062,all depth,Acropora gemmifera
133325,URM-Cn-5510,Cyphastrea chalcidicum,90.945,31.801,all depth,Cyphastrea chalcidicum
133327,URM-Cn-4779,Acropora lovelli,58.906,44.792,all depth,Cats Paw
133329,URM-Cn-6079,Porites stephensoni,59.269,56.92,all depth,Porites stephensoni
133333,URM-Cn-5605,Oulophyllia bennettae,90.261,30.687,all depth,Intermediate Valley Coral
133334,URM-Cn-4719,Acropora branchi,43.892,78.33,all depth,Acropora branchi
133337,URM-Cn-5826,Merulina ampliata,82.83,50.241,all depth,Merulina Coral
133340,URM-Cn-5897,Symphyllia wilsoni,95.712,48.881,all depth,Symphyllia wilsoni
133343,URM-Cn-5569,Favites russelli,92.62,17.742,all depth,Favites russelli
133344,URM-Cn-5790,Podabacia sinai,97.019,45.774,all depth,Podabacia sinai
133345,URM-Cn-4941,Montipora tuberculosa,85.491,51.568,all depth,Montipora tuberculosa
133348,SLB-93322,Acropora variolosa,52.703,75.607,all depth,Acropora variolosa
133349,URM-Cn-6044,Porites compressa,27.063,7.257,all depth,Porites compressa
133351,URM-Cn-4967,Leptoseris mycetoseroides,82.283,52.031,all depth,Slender Lettuce Coral
133352,URM-Cn-4754,Acropora gomezi,89.439,37.525,all depth,Acropora gomezi
133359,URM-Cn-4783,Acropora microclados,69.694,58.714,all depth,Strawberry Shortcake Acropora
133360,URM-Cn-4979,Pavona bipartita,71.696,38.831,all depth,Pavona bipartita
133365,URM-Cn-5574,Goniastrea edwardsi,91.212,25.36,all depth,Goniastrea edwardsi
133366,URM-Cn-5851,Acanthastrea lordhowensis,69.705,72.85,all depth,Closed Brain Coral
133370,SLB-158808,Porites profundus,35.51,70.025,all depth,Porites profundus
133371,URM-Cn-5757,Fungia distorta,88.651,31.562,all depth,Fungia distorta
133372,URM-Cn-5791,Polyphyllia novaehiberniae,51.913,39.346,all depth,Joker's Boomerang Coral
133375,URM-Cn-4888,Montipora corbettensis,74.426,56.17,all depth,Montipora corbettensis
133376,URM-Cn-5850,Acanthastrea ishigakiensis,59.379,67.837,all depth,Acanthastrea ishigakiensis
133377,URM-Cn-5518,Diploria clivosa,86.187,56.373,all depth,Knobby Brain Coral
133379,SLB-93515,Acropora convexa,81.768,55.112,all depth,Acropora convexa
133381,URM-Cn-4726,Acropora cervicornis,95.035,44.064,all depth,Staghorn Coral
133386,SLB-62731,Acanthastrea rotundoflora,62.003,74.643,all depth,Acanthastrea rotundoflora
133387,SLB-93466,Acropora globiceps,68.621,45.533,all depth,Acropora globiceps
133392,URM-Cn-5543,Favia laxa,78.204,58.837,all depth,Favia laxa
133393,URM-Cn-4842,Acropora teres,53.963,75.087,all depth,Acropora teres
133395,URM-Cn-6073,Porites porites,62.898,61.569,all depth,Club Tip Finger Coral
133396,URM-Cn-4737,Acropora desalwii,91.509,35.346,all depth,Acropora desalwii
133398,URM-Cn-4994,Pavona varians,84.184,54.758,all depth,Pavona varians
133400,URM-Cn-5815,Eusmilia fastigiata,80.642,62.463,all depth,Smooth Flower Coral
133401,URM-Cn-4759,Acropora hoeksemai,79.649,50.697,all depth,Acropora hoeksemai
133402,URM-Cn-4833,Acropora squarrosa,71.854,54.806,all depth,Acropora squarrosa
133403,URM-Cn-5476,Turbinaria stellulata,91.401,26.047,all depth,Turbinaria stellulata
133405,SLB-62382,Caulastrea tumida,84.953,50.678,all depth,Caulastrea tumida
133406,URM-Cn-6137,Psammocora haimeana,86.36,44.868,all depth,Encrusting Sandpaper Coral
133407,SLB-189370,Pocillopora eydouxi,95.727,22.315,all depth,Pocillopora eydouxi
133408,URM-Cn-6130,Coscinaraea wellsi,77.552,38.993,all depth,Coscinaraea wellsi
133409,URM-Cn-4948,Montipora verruculosus,84.338,43.606,all depth,Montipora verruculosus
133410,URM-Cn-4978,Pachyseris speciosa,83.689,49.909,all depth,Pachyseris speciosa
133412,URM-Cn-5816,Gyrosmilia interrupta,51.078,79.386,all depth,Gyrosmilia interrupta
133414,URM-Cn-5578,Goniastrea pectinata,92.118,22.767,all depth,Goniastrea pectinata
133415,URM-Cn-4859,Anacropora puertogalerae,72.258,53.343,all depth,Anacropora puertogalerae
133416,URM-Cn-4886,Montipora circumvallata,76.967,54.8,all depth,Porous Leaf Coral
133417,SLB-62381,Caulastrea furcata,66.807,60.899,all depth,Torch Coral
133419,URM-Cn-5871,Lobophyllia hemprichii,83.274,48.51,all depth,Lobophyllia hemprichii
133420,URM-Cn-4906,Montipora grisea,73.567,53.557,all depth,Montipora grisea
133422,URM-Cn-4884,Montipora capricornis,57.864,74.625,all depth,Montipora capricornis
133423,URM-Cn-5764,Fungia horrida,89.418,20.972,all depth,Fungia horrida
133428,URM-Cn-6122,Coscinaraea columna,83.356,52.493,all depth,Coscinaraea columna
133429,URM-Cn-5526,Echinopora horrida,82.868,35.755,all depth,Echinopora horrida
133432,URM-Cn-4832,Acropora spicifera,69.313,61.297,all depth,Acropora spicifera
133433,URM-Cn-4889,Montipora crassituberculata,81.707,52.551,all depth,Montipora crassituberculata
133435,URM-Cn-5988,Seriatopora dendritica,78.002,48.402,all depth,Seriatopora dendritica
133437,URM-Cn-5765,Fungia moluccensis,72.03,35.546,all depth,Fungia moluccensis
133439,SLB-61834,Agaricia tenuifolia,74.438,77.457,all depth,Thin Leaf Lettuce Coral
133440,URM-Cn-5614,Platygyra pini,95.264,24.805,all depth,Platygyra pini
133442,URM-Cn-5948,Oxypora lacera,87.313,26.516,all depth,Oxypora lacera
133443,URM-Cn-4879,Montipora australiensis,61.173,68.713,all depth,Montipora australiensis
133444,URM-Cn-5920,Oculina valenciennesi,27.834,54.95,all depth,Ivory Tree Coral
133450,URM-Cn-4943,Montipora turtlensis,74.785,65.998,all depth,Montipora turtlensis
133451,URM-Cn-4891,Montipora danae,80.473,53.575,all depth,Poker Star Montipora
133457,URM-Cn-5877,Mussa angulosa,87.581,49.787,all depth,Large Flower Coral
133458,URM-Cn-5823,Hydnophora microconos,87.73,37.048,all depth,Hydnophora microconos
133460,SLB-93100,Montipora cocosensis,49.827,79.974,all depth,Montipora cocosensis
133468,URM-Cn-5612,Platygyra daedalea,89.035,45.674,all depth,Brain Coral
133470,SLB-158790,Micromussa amakusensis,61.298,67.573,all depth,Micromussa amakusensis
133474,URM-Cn-5891,Symphyllia agaricia,83.155,56.64,all depth,Symphyllia agaricia
133476,SLB-61883,Madracis asperula,19.375,60.739,all depth,Madracis asperula
133478,URM-Cn-5821,Hydnophora exesa,92.557,36.837,all depth,Hydnophora exesa
133479,URM-Cn-4762,Acropora hyacinthus,82.46,45.977,all depth,Brush Coral
133481,URM-Cn-4727,Acropora chesterfieldensis,78.527,33.965,all depth,Acropora chesterfieldensis
133483,URM-Cn-4787,Acropora mirabilis,57.275,81.88,all depth,Acropora mirabilis
133484,SLB-158735,Anomastraea irregularis,78.868,51.526,all depth,Crisp Pillow Coral
133485,SLB-93759,Astreopora randalli,66.631,53.098,all depth,Astreopora randalli
133488,SLB-62813,Pectinia africanus,89.149,35.025,all depth,Pectinia africanus
133489,URM-Cn-4892,Montipora delicatula,83.882,45.67,all depth,Montipora delicatula
133492,URM-Cn-6075,Porites rus,75.502,64.758,all depth,Encrusting Porites
133493,SLB-62496,Platygyra ryukyuensis,83.462,32.075,all depth,Maze Brain Coral
133494,SLB-93535,Acropora papillare,86.855,42.547,all depth,Acropora papillare
133495,SLB-117483,Galaxea horrescens,83.712,48.659,all depth,Galaxea horrescens
133497,SLB-62380,Caulastrea echinulata,69.921,70.724,all depth,Caulastrea echinulata
133498,URM-Cn-5473,Turbinaria peltata,88.175,39.141,all depth,Turbinaria peltata
133500,URM-Cn-4771,Acropora kosurini,45.349,72.434,all depth,Acropora kosurini
133502,URM-Cn-6142,Psammocora superficialis,81.143,51.232,all depth,Psammocora superficialis
133504,URM-Cn-6055,Porites furcata,75.835,60.361,all depth,Branched Finger Coral
133509,URM-Cn-5789,Podabacia motuporensis,90.688,27.704,all depth,Mushroom Coral
133511,URM-Cn-5916,Oculina patagonica,97.897,54.695,all depth,Oculina patagonica
133513,URM-Cn-4712,Acropora anthocercis,73.641,57.042,all depth,Acropora anthocercis
133516,URM-Cn-5556,Favia truncatus,78.787,60.358,all depth,Favia truncatus
133521,URM-Cn-5006,Stephanocoenia intersepta,52.927,63.476,all depth,Stephanocoenia intersepta
133522,URM-Cn-4959,Helioseris cucullata,71.073,67.587,all depth,Helioseris cucullata
133525,URM-Cn-4920,Montipora monasteriata,84.65,56.912,all depth,Montipora monasteriata
133527,URM-Cn-5879,Mussismilia harttii,90.787,37.856,all depth,Mussismilia harttii
133528,URM-Cn-5859,Blastomussa merleti,81.281,65.174,all depth,Blastomussa merleti
