"region_id","world","continent","subregion","country"
158,"World","Oceania","Micronesia","Howland Island/Baker Island"
159,"World","Oceania","Micronesia","Johnston Atoll"
161,"World","Oceania","Polynesia","Wallis and Futuna"
162,"World","Oceania","Australia/New Zealand","New Zealand"
163,"World","Americas","N America","United States"
164,"World","Latin America/Caribbean","Central America","Belize"
166,"World","Latin America/Caribbean","Caribbean","Jamaica"
167,"World","Latin America/Caribbean","South America","Guyana"
168,"World","Latin America/Caribbean","South America","Suriname"
169,"World","Latin America/Caribbean","South America","French Guiana"
171,"World","Latin America/Caribbean","South America","Brazil"
172,"World","Latin America/Caribbean","South America","Argentina"
173,"World","Latin America/Caribbean","South America","Uruguay"
174,"World","Europe","N Europe","Finland"
175,"World","Europe","N Europe","Denmark"
176,"World","Europe","W Europe","Germany"
177,"World","Europe","W Europe","Netherlands"
178,"World","Europe","E Europe","Poland"
179,"World","Europe","W Europe","France"
180,"World","Europe","N Europe","United Kingdom"
181,"World","Europe","N Europe","Ireland"
182,"World","Europe","S Europe","Spain"
183,"World","Europe","S Europe","Portugal"
184,"World","Europe","S Europe","Italy"
185,"World","Europe","W Europe","Monaco"
186,"World","Europe","S Europe","Montenegro"
187,"World","Europe","S Europe","Croatia"
188,"World","Europe","S Europe","Slovenia"
189,"World","Europe","N Europe","Lithuania"
190,"World","Asia","W Asia","Qatar"
191,"World","Asia","S Asia","Iran"
192,"World","Asia","W Asia","Iraq"
193,"World","Africa","W Africa","Guinea Bissau"
194,"World","Africa","W Africa","Guinea"
195,"World","Africa","W Africa","Ivory Coast"
196,"World","Africa","W Africa","Nigeria"
197,"World","Africa","Middle Africa","Cameroon"
198,"World","Africa","Middle Africa","Gabon"
199,"World","Africa","Middle Africa","Democratic Republic of the Congo"
200,"World","Africa","Middle Africa","Angola"
202,"World","Africa","E Africa","Tanzania"
203,"World","Asia","S Asia","India"
204,"World","Asia","S Asia","Bangladesh"
205,"World","Asia","SE Asia","Myanmar"
206,"World","Asia","SE Asia","Malaysia"
207,"World","Asia","SE Asia","Vietnam"
208,"World","Asia","SE Asia","Singapore"
209,"World","Asia","E Asia","China"
210,"World","Asia","E Asia","Japan"
212,"World","Oceania","Micronesia","Kiribati"
214,"World","Africa","N Africa","Egypt"
215,"World","Asia","W Asia","Jordan"
216,"World","Asia","SE Asia","Indonesia"
218,"World","Americas","N America","Canada"
219,"World","Americas","N America","Saint Pierre/Miquelon"
220,"World","Latin America/Caribbean","Caribbean","Sint Maarten"
221,"World","Latin America/Caribbean","Caribbean","N Saint-Martin"
222,"World","Europe","N Europe","Sweden"
223,"World","Europe","N Europe","Norway"
224,"World","Latin America/Caribbean","South America","Chile"
227,"World","Europe","N Europe","Jersey"
228,"World","Europe","N Europe","Guernsey"
231,"World","Asia","SE Asia","East Timor"
232,"World","Europe","S Europe","Bosnia and Herzegovina"
237,"World","Asia","SE Asia","Oecussi Ambeno"
244,"World","Latin America/Caribbean","Caribbean","Curacao"
245,"World","Latin America/Caribbean","Caribbean","Bonaire"
247,"World","Asia","SE Asia","Brunei"
248,"World","Latin America/Caribbean","Caribbean","Saba"
249,"World","Latin America/Caribbean","Caribbean","Sint Eustatius"
250,"World","Latin America/Caribbean","Caribbean","Aruba"
