region_id,country,likely_future_state_2012,likely_future_state_2013,likely_future_state_2014,likely_future_state_2015,likely_future_state_2016,score_2012,score_2013,score_2014,score_2015,score_2016,status_2012,status_2013,status_2014,status_2015,status_2016,pred_change,obs_change
63,Western Sahara,61.69,57.58,57.47,57.32,60.69,61.64,59.38,59.34,58.89,60.43,61.59428571428572,61.17714285714286,61.208571428571425,60.465714285714284,60.18571428571429,0.09571428571427987,-1.4085714285714275
64,Mauritania,58.11,57.52,57.18,56.83,56.14,58.47,58.04,57.8,57.68,57.25,58.83428571428571,58.56428571428571,58.41285714285714,58.51428571428572,58.362857142857145,-0.7242857142857133,-0.471428571428568
65,Gambia,67.15,67.97,68.09,67.86,66.42,67.28,67.86,67.76,67.52,66.43,67.40555555555555,67.74888888888889,67.42333333333335,67.17666666666668,66.44999999999999,-0.25555555555554577,-0.9555555555555628
66,Senegal,47.01,48.15,49.01,50.45,50.97,47.86,48.43,48.94,49.82,50.11,48.71,48.715,48.861000000000004,49.193,49.246,-1.7000000000000028,0.5360000000000014
67,Libya,39.01,41.42,40.9,40.24,41.39,41.66,44.27,43.77,43.17,43.76,44.3225,47.11875,46.6475,46.1025,46.135,-5.3125,1.8125
68,Malta,82.14,81.99,81.95,81.2,81.21,79.05,79.27,79.14,78.91,78.98,75.95555555555556,76.55000000000001,76.33777777777777,76.62444444444445,76.74444444444445,6.184444444444438,0.7888888888888914
69,Latvia,68.33,80.12,80.68,79.58,75.7,65.5,74.45,76.39,74.91,72.6,62.681000000000004,68.78,72.091,70.237,69.497,5.648999999999994,6.815999999999995
70,Estonia,84.91,87.33,81.48,77.28,73.03,83.3,85.45,80.37,75.68,72.81,81.696,83.558,79.25699999999999,74.09,72.59,3.2139999999999986,-9.105999999999995
71,Bulgaria,56.89,60.6,64.68,64.48,64.71,58.53,61,63.42,63.44,63.19,60.165,61.40625,62.16,62.3975,61.67125,-3.2749999999999986,1.5062500000000014
72,Romania,67.87,67.08,68.33,69.25,70.38,65.47,65.03,65.98,66.58,67.45,63.07375,62.98,63.63875,63.91375,64.52625,4.796250000000008,1.4525000000000077
73,Russia,74.3,74.25,75.08,76.64,77.74,73.03,73.2,73.72,74.67,75.15,71.745,72.14099999999999,72.362,72.694,72.556,2.5549999999999926,0.8109999999999928
74,Georgia,64.37,67.24,67.94,67.17,69.94,63.46,65.97,66.17,65.91,68.11,62.55142857142857,64.70428571428572,64.40285714285714,64.65142857142857,66.29285714285714,1.8185714285714312,3.741428571428571
75,Ukraine,70.71,69.84,65.53,61.05,60.19,70.38,69.77,66.35,62.54,61.72,70.059,69.701,67.178,64.025,63.251999999999995,0.6509999999999962,-6.807000000000002
76,Turkey,65.28,64.63,58.02,57.71,54.9,62.18,61.69,57.52,57.44,54.26,59.0925,58.75125,57.01125,57.1725,53.62125,6.1875,-5.471249999999998
77,Syria,61.3,61.29,58.54,57.51,53.45,59.43,59.75,58.28,58.08,54.63,57.56625,58.2175,58.01125,58.64625,55.81375,3.7337500000000006,-1.7524999999999977
78,Lebanon,48.15,51.58,57.51,54.49,48.73,50.18,52.8,56.49,54.12,50.41,52.199999999999996,54.02125,55.465,53.76125,52.08125,-4.049999999999997,-0.11874999999999858
79,Israel,69.54,69.16,68.87,68.58,66.85,65.56,65.4,65.21,64.95,63.65,61.574,61.632000000000005,61.551,61.313,60.456,7.966000000000008,-1.117999999999995
