sciname,iucn_sid,am_sid,area_iucn,area_am,dist_align,area_ratio,spp_group_text,reviewed,occurcells,n_spp,quad,common,name
Hydrurga leptonyx,10340,ITS-Mam-180667,22552267.7,124492425.5,91.681,18.115,Marine Mammals,TRUE,291,105,q2,Leopard Seal,Leopard Seal
Hyperoodon planifrons,10708,ITS-Mam-180505,93595617.4,147789912.3,98.555,63.33,Marine Mammals,TRUE,126,105,q1,Southern Bottlenose Whale,Southern Bottlenose Whale
Kogia sima,11048,ITS-Mam-180492,244321304,244383209.4,97.38,99.975,Marine Mammals,TRUE,578,105,q1,Dwarf Sperm Whale,Dwarf Sperm Whale
Lachnolaimus maximus,11130,Fis-23577,4675676.9,2404942.7,94.238,51.435,Wrasses,FALSE,165,472,q2,Hogfish,Hogfish
Lagenodelphis hosei,11140,ITS-Mam-180440,181065161.6,240612345.1,98.323,75.252,Marine Mammals,TRUE,368,105,q1,Fraser's Dolphin,Fraser's Dolphin
Lagenorhynchus acutus,11141,ITS-Mam-180443,11370770.1,17214956,96.235,66.052,Marine Mammals,TRUE,597,105,q1,Atlantic White-Sided Dolphin,Atlantic White-Sided Dolphin
Lagenorhynchus albirostris,11142,ITS-Mam-180442,14233896.5,12976205.9,92.64,91.164,Marine Mammals,TRUE,444,105,q1,White-Beaked Dolphin,White-Beaked Dolphin
Lagenorhynchus australis,11143,ITS-Mam-180446,2140556,1790608.9,78.304,83.652,Marine Mammals,TRUE,105,105,q1,Peale's Dolphin,Peale's Dolphin
Lagenorhynchus cruciger,11144,ITS-Mam-180447,63704404.4,81297163.7,95.634,78.36,Marine Mammals,TRUE,42,105,q1,Hourglass Dolphin,Hourglass Dolphin
Lagenorhynchus obliquidens,11145,ITS-Mam-180444,16646256.3,31536810.1,98.348,52.784,Marine Mammals,TRUE,264,105,q2,Pacific White-Sided Dolphin,Pacific White-Sided Dolphin
Lagenorhynchus obscurus,11146,ITS-Mam-180445,9404928.9,83206765.8,91.691,11.303,Marine Mammals,TRUE,149,105,q2,Dusky Dolphin,Dusky Dolphin
Lagocephalus gloveri,11150,Fis-34000,13101640.1,9841563.8,61.693,75.117,Pufferfish,FALSE,33,113,q3,Null,Lagocephalus gloveri
Lepidochelys olivacea,11534,Rep-6936,87345289.9,18187152.3,88.023,20.822,Reptiles,TRUE,1377,27,q2,Olive Ridley Turtle,Olive Ridley Turtle
Leptonychotes weddellii,11696,ITS-Mam-180669,22552267.7,18723478.3,97.984,83.023,Marine Mammals,TRUE,206,105,q1,Weddell Seal,Weddell Seal
Lissodelphis borealis,12125,ITS-Mam-180454,10554330.1,19554593.1,91.496,53.974,Marine Mammals,TRUE,180,105,q2,Northern Right Whale Dolphin,Northern Right Whale Dolphin
Lithognathus lithognathus,12137,Fis-23176,357433.9,182657.6,27.739,51.102,Seabreams/Porgies,FALSE,7,92,q4,White Steenbras,White Steenbras
Lobodon carcinophaga,12246,ITS-Mam-622023,21641467,77098160.1,91.439,28.07,Marine Mammals,TRUE,2056,105,q2,Crabeater Seal,Crabeater Seal
Lutra lutra,12419,ITS-Mam-621916,29994490.7,3807137.7,27.769,12.693,Terr. Mammals,FALSE,560,2,q4,Eurasian River Otter,Eurasian River Otter
Megaptera novaeangliae,13006,ITS-Mam-180530,353806926.8,353729732.6,98.714,99.978,Marine Mammals,TRUE,2509,105,q1,Humpback Whale,Humpback Whale
Mesoplodon bidens,13241,ITS-Mam-180515,15445135.5,15115659,85.392,97.867,Marine Mammals,TRUE,129,105,q1,Sowerby's Beaked Whale,Sowerby's Beaked Whale
Mesoplodon carlhubbsi,13243,ITS-Mam-180512,14180222.9,14597617.2,77.373,97.141,Marine Mammals,TRUE,34,105,q1,Hubb's Beaked Whale,Hubb's Beaked Whale
Mesoplodon europaeus,13245,ITS-Mam-180509,47586923.4,59892851.8,96.602,79.453,Marine Mammals,TRUE,159,105,q1,Gervais' Beaked Whale,Gervais' Beaked Whale
Mesoplodon ginkgodens,13246,ITS-Mam-180510,110870554.3,182116905.2,99.214,60.879,Marine Mammals,TRUE,30,105,q1,Ginkgo-Toothed Beaked Whale,Ginkgo-Toothed Beaked Whale
Mesoplodon grayi,13247,ITS-Mam-180511,94893916.3,117998467.8,87.6,80.42,Marine Mammals,TRUE,77,105,q1,Gray's Beaked Whale,Gray's Beaked Whale
Mesoplodon hectori,13248,ITS-Mam-180507,64853512.4,68330332.2,87.412,94.912,Marine Mammals,TRUE,33,105,q1,Hector's Beaked Whale,Hector's Beaked Whale
Mesoplodon layardii,13249,ITS-Mam-180516,88599113.8,127481534.5,91.902,69.5,Marine Mammals,TRUE,119,105,q1,Strap-Toothed Whale,Strap-Toothed Whale
Mesoplodon mirus,13250,ITS-Mam-180508,38285293.3,64709789.3,93.513,59.165,Marine Mammals,TRUE,50,105,q1,True's Beaked Whale,True's Beaked Whale
Mesoplodon peruvianus,13251,ITS-Mam-552772,22712368.5,41550239,83.494,54.662,Marine Mammals,FALSE,15,105,q2,Pygmy Beaked Whale,Pygmy Beaked Whale
Mesoplodon stejnegeri,13252,ITS-Mam-180514,8756004.9,24959463.8,97.345,35.081,Marine Mammals,FALSE,59,105,q2,Stejneger's Beaked Whale,Stejneger's Beaked Whale
Mirounga angustirostris,13581,ITS-Mam-180672,10990191,12829324.7,96.821,85.665,Marine Mammals,TRUE,1819,105,q1,Northern Elephant Seal,Northern Elephant Seal
Mirounga leonina,13583,ITS-Mam-180671,72787539.9,129892323.8,92.677,56.037,Marine Mammals,TRUE,7663,105,q1,Southern Elephant Seal,Southern Elephant Seal
Monachus monachus,13653,ITS-Mam-180659,570867,2829495.7,88.448,20.176,Marine Mammals,TRUE,54,105,q2,Mediterranean Monk Seal,Mediterranean Monk Seal
Neomonachus schauinslandi,13654,ITS-Mam-180661,478739.8,3618951.2,100,13.229,Marine Mammals,TRUE,21,105,q2,NA,Neomonachus schauinslandi
Monodon monoceros,13704,ITS-Mam-180485,4437816.3,13840247.4,68.624,32.065,Marine Mammals,TRUE,46,105,q2,Narwhal,Narwhal
Mycteroperca jordani,14049,Fis-24803,695435.8,279046.4,97.103,40.125,Groupers,FALSE,21,136,q2,Gulf Grouper,Gulf Grouper
Mycteroperca microlepis,14050,Fis-23649,1658683.5,3283176.5,71.395,50.521,Groupers,FALSE,120,136,q2,Gag,Gag
Mycteroperca olfax,14051,Fis-26901,175039.3,67650.2,59.064,38.649,Groupers,TRUE,26,136,q4,Sailfin Grouper,Sailfin Grouper
Mycteroperca prionura,14052,Fis-33369,361725.4,357637.1,61.732,98.87,Groupers,FALSE,18,136,q3,Sawtail Grouper,Sawtail Grouper
Mycteroperca rosacea,14053,Fis-27393,460859.6,371209.7,72.325,80.547,Groupers,TRUE,53,136,q1,Leopard Grouper,Leopard Grouper
Mycteroperca rubra,14054,Fis-23650,3244632.3,2702846.5,79.284,83.302,Groupers,FALSE,93,136,q1,Mottled Grouper,Mottled Grouper
Neophoca cinerea,14549,ITS-Mam-180623,672350.1,841310.8,78.047,79.917,Marine Mammals,TRUE,82,105,q1,Australian Sea Lion,Australian Sea Lion
Odobenus rosmarus,15106,ITS-Mam-180639,8292632.5,18946191.4,80.409,43.769,Marine Mammals,FALSE,260,105,q2,Walrus,Walrus
Ommatophoca rossii,15269,ITS-Mam-180665,21641467,18715362.8,97.874,86.479,Marine Mammals,TRUE,203,105,q1,Ross Seal,Ross Seal
Orcaella brevirostris,15419,ITS-Mam-180471,3534221.8,4178313.8,68.883,84.585,Marine Mammals,TRUE,27,105,q1,Irrawaddy Dolphin,Irrawaddy Dolphin
Pagrus pagrus,15873,Fis-23707,7763688.4,8775734.8,67.737,88.468,Seabreams/Porgies,TRUE,423,92,q1,Red Porgy,Red Porgy
Peponocephala electra,16564,ITS-Mam-180459,181252914.2,166376959.9,90.332,91.793,Marine Mammals,TRUE,360,105,q1,Melon-Headed Whale,Melon-Headed Whale
Phoca vitulina,17013,ITS-Mam-180649,10454583,10175227,58.743,97.328,Marine Mammals,TRUE,907,105,q3,Harbour Seal,Harbour Seal
Phocarctos hookeri,17026,ITS-Mam-180617,971392.6,1569340.6,72.357,61.898,Marine Mammals,TRUE,18,105,q1,Hooker's Sea Lion,Hooker's Sea Lion
Phocoena phocoena,17027,ITS-Mam-180473,14441691.6,16813180.7,72.377,85.895,Marine Mammals,TRUE,1574,105,q1,Harbour Porpoise,Harbour Porpoise
Phocoena sinus,17028,ITS-Mam-180474,36999.8,126258.5,92.773,29.305,Marine Mammals,TRUE,10,105,q2,Vaquita,Vaquita
Phocoena spinipinnis,17029,ITS-Mam-180476,1743102.7,2717507.5,73.303,64.143,Marine Mammals,TRUE,23,105,q1,Burmeister's Porpoise,Burmeister's Porpoise
Phocoenoides dalli,17032,ITS-Mam-180480,22614613,21179411,91.333,93.654,Marine Mammals,TRUE,577,105,q1,Dall's Porpoise,Dall's Porpoise
Pontoporia blainvillei,17978,ITS-Mam-180411,624968.8,821046.2,90.069,76.119,Marine Mammals,TRUE,34,105,q1,Franciscana,Franciscana
Pseudorca crassidens,18596,ITS-Mam-180463,203024677.8,275894286.1,97.482,73.588,Marine Mammals,TRUE,593,105,q1,False Killer Whale,False Killer Whale
Scarus guacamaia,19950,Fis-30607,3133299.7,3199495.2,50.415,97.931,Wrasses,FALSE,87,472,q3,Rainbow Parrotfish,Rainbow Parrotfish
Scomberomorus concolor,20047,Fis-22821,445698.6,170359.8,74.306,38.223,Tunas/Billfish,TRUE,21,59,q2,Monterey Spanish Mackerel,Monterey Spanish Mackerel
Sousa chinensis,20424,ITS-180419,18122361.5,11169276.7,82.668,61.633,Marine Mammals,TRUE,28,105,q1,Pacific Humpback Dolphin,Pacific Humpback Dolphin
Stenella attenuata,20729,ITS-Mam-180430,215241798.3,241519664,98.106,89.12,Marine Mammals,TRUE,1813,105,q1,Pantropical Spotted Dolphin,Pantropical Spotted Dolphin
Stenella clymene,20730,ITS-Mam-180435,31221967.3,47069295.4,94.606,66.332,Marine Mammals,TRUE,171,105,q1,Clymene Dolphin,Clymene Dolphin
Stenella coeruleoalba,20731,ITS-Mam-180434,258638535,276385027.4,98.803,93.579,Marine Mammals,TRUE,1830,105,q1,Striped Dolphin,Striped Dolphin
Stenella frontalis,20732,ITS-Mam-552460,49996353.4,39446679.6,95.412,78.899,Marine Mammals,TRUE,386,105,q1,Atlantic Spotted Dolphin,Atlantic Spotted Dolphin
Stenella longirostris,20733,ITS-Mam-180429,203473551.6,176653661.6,96.938,86.819,Marine Mammals,TRUE,951,105,q1,Spinner Dolphin,Spinner Dolphin
Steno bredanensis,20738,ITS-Mam-180417,215438498.3,244811805.4,98.383,88.002,Marine Mammals,TRUE,613,105,q1,Rough-Toothed Dolphin,Rough-Toothed Dolphin
Takifugu niphobles,21341,Fis-28765,2701051.4,1263998.2,83.989,46.797,Pufferfish,FALSE,36,113,q2,Null,Takifugu niphobles
Takifugu poecilonotus,21342,Fis-55125,1716592.4,1182782.5,61.588,68.903,Pufferfish,FALSE,30,113,q3,Null,Takifugu poecilonotus
Takifugu xanthopterus,21343,Fis-28762,2244354,1012316.5,93.531,45.105,Pufferfish,FALSE,24,113,q2,Yellowfin Pufferfish,Yellowfin Pufferfish
Tasmacetus shepherdi,21500,ITS-Mam-180500,58321656.2,75076023.8,90.672,77.683,Marine Mammals,FALSE,35,105,q1,Shepherd's Beaked Whale,Shepherd's Beaked Whale
Thalassoma ascensionis,21689,Fis-52020,54853,27397.6,11.13,49.947,Wrasses,TRUE,10,472,q4,Greenfish,Greenfish
Thunnus alalunga,21856,Fis-22832,203930304.6,269248617.3,97.559,75.741,Tunas/Billfish,TRUE,4567,59,q1,Albacore,Albacore
Thunnus albacares,21857,Fis-22833,215117773.9,269469422.2,99.894,79.83,Tunas/Billfish,TRUE,6801,59,q1,Yellowfin Tuna,Yellowfin Tuna
Thunnus maccoyii,21858,Fis-22835,68311167.6,93060915.9,90.132,73.405,Tunas/Billfish,TRUE,578,59,q1,Southern Bluefin Tuna,Southern Bluefin Tuna
Thunnus obesus,21859,Fis-22836,223750396.7,254819593.5,98.199,87.807,Tunas/Billfish,TRUE,5330,59,q1,Bigeye Tuna,Bigeye Tuna
Thunnus thynnus,21860,Fis-49220,34104514.9,75143032.9,93.602,45.386,Tunas/Billfish,TRUE,1397,59,q2,Atlantic Bluefin Tuna,Atlantic Bluefin Tuna
Torquigener brevipinnis,21994,Fis-27843,4608580,11636817,52.757,39.603,Pufferfish,FALSE,23,113,q4,Null,Torquigener brevipinnis
Trichechus manatus,22103,ITS-Mam-180684,3183963.6,1831753.8,77.571,57.531,Marine Mammals,TRUE,81,105,q1,West Indian Manatee,West Indian Manatee
Tursiops truncatus,22563,ITS-Mam-180426,260861304,305863039,98.662,85.287,Marine Mammals,TRUE,2155,105,q1,Bottlenose Dolphin,Bottlenose Dolphin
Xiphias gladius,23148,Fis-29576,273494957.8,285207860.7,95.518,95.893,Tunas/Billfish,TRUE,5733,59,q1,Swordfish,Swordfish
Ziphius cavirostris,23211,ITS-Mam-180498,297129620.2,302664951.9,96.921,98.171,Marine Mammals,TRUE,834,105,q1,Cuvier's Beaked Whale,Cuvier's Beaked Whale
Dermatolepis inermis,39303,Fis-24556,5029998.1,3775540,87.105,75.06,Groupers,FALSE,121,136,q1,Marbled Grouper,Marbled Grouper
Cephalopholis boenak,39773,Fis-26117,17448526.8,13086234.3,75.296,74.999,Groupers,FALSE,200,136,q1,Chocolate Hind,Chocolate Hind
Cromileptes altivelis,39774,Fis-26129,14043718.1,9074713.1,80.174,64.618,Groupers,TRUE,133,136,q1,Humpback Grouper,Humpback Grouper
Indopacetus pacificus,40635,ITS-Mam-180502,110732834.9,182384413.1,99.86,60.714,Marine Mammals,TRUE,23,105,q1,Longman's Beaked Whale,Longman's Beaked Whale
Arctocephalus forsteri,41664,ITS-Mam-180631,12224401,14330270.2,87.398,85.305,Marine Mammals,TRUE,120,105,q1,New Zealand Fur Seal,New Zealand Fur Seal
Zalophus californianus,41666,ITS-Mam-180621,2467965.1,3232092.4,57.78,76.358,Marine Mammals,TRUE,266,105,q3,California Sea Lion,California Sea Lion
Zalophus wollebaeki,41668,ITS-Mam-622014,166140.7,304040.3,25.927,54.644,Marine Mammals,TRUE,20,105,q4,Galapagos Sea Lion,Galapagos Sea Lion
Histriophoca fasciata,41670,ITS-Mam-622021,8689232.4,20817332.7,85.053,41.74,Marine Mammals,FALSE,69,105,q2,Ribbon Seal,Ribbon Seal
Pagophilus groenlandicus,41671,ITS-Mam-622022,11206373.4,5845430.7,93.563,52.162,Marine Mammals,TRUE,147,105,q2,Harp Seal,Harp Seal
Pusa hispida,41672,ITS-Mam-622018,21203959.7,51108274.7,83.588,41.488,Marine Mammals,FALSE,311,105,q2,Ringed Seal,Ringed Seal
Eubalaena japonica,41711,ITS-Mam-612591,6737101,37799388.9,97.9,17.823,Marine Mammals,TRUE,5,105,q2,North Pacific Right Whale,North Pacific Right Whale
Eubalaena glacialis,41712,ITS-Mam-180537,17348128.3,11586715.5,69.045,66.789,Marine Mammals,TRUE,267,105,q1,North Atlantic Right Whale,North Atlantic Right Whale
Tursiops aduncus,41714,ITS-Mam-612596,26214862.5,18840138.2,80.669,71.868,Marine Mammals,TRUE,136,105,q1,Indian Ocean Bottlenose Dolphin,Indian Ocean Bottlenose Dolphin
Phocoena dioptrica,41715,ITS-Mam-180475,47801071.9,57023565.1,83.364,83.827,Marine Mammals,TRUE,32,105,q1,Spectacled Porpoise,Spectacled Porpoise
Physeter macrocephalus,41755,ITS-Mam-180488,355446085.1,346650343.5,99.27,97.525,Marine Mammals,TRUE,1128,105,q1,Sperm Whale,Sperm Whale
Mesoplodon perrini,41759,ITS-612599,75709.7,16358203,100,0.463,Marine Mammals,TRUE,1,105,q2,Perrin's Beaked Whale,Perrin's Beaked Whale
Mesoplodon traversii,41760,ITS-Mam-612598,26438821.8,52862300.7,99.916,50.015,Marine Mammals,TRUE,6,105,q2,Spade-Toothed Beaked Whale,Spade-Toothed Beaked Whale
Epinephelus akaara,43974,Fis-25493,2095581.1,783409.2,89.106,37.384,Groupers,TRUE,18,136,q2,Hong Kong Grouper,Hong Kong Grouper
Dermatolepis striolata,44672,Fis-26130,1709947.8,1405664.1,56.171,82.205,Groupers,FALSE,10,136,q3,Smooth Grouper,Smooth Grouper
Epinephelus fuscoguttatus,44673,Fis-25130,20942108.7,11945805.5,71.366,57.042,Groupers,TRUE,127,136,q1,Brown-Marbled Grouper,Brown-Marbled Grouper
Epinephelus coioides,44674,Fis-26136,18468038.5,15851500.3,77.024,85.832,Groupers,TRUE,165,136,q1,Orange-Spotted Grouper,Orange-Spotted Grouper
Hyporthodus quernus,44675,Fis-163783,427465.4,236695.7,46.957,55.372,Groupers,FALSE,18,136,q3,Hawaiian Grouper,Hawaiian Grouper
Epinephelus albomarginatus,44677,Fis-31618,261658.2,106152.4,97.376,40.569,Groupers,TRUE,16,136,q2,White-Edged Grouper,White-Edged Grouper
Epinephelus morio,44681,Fis-22721,4992485.1,4054117.3,84.476,81.204,Groupers,FALSE,199,136,q1,Red Grouper,Red Grouper
Mycteroperca tigris,44682,Fis-23651,4394988,3043176.1,79.663,69.242,Groupers,FALSE,102,136,q1,Tiger Grouper,Tiger Grouper
Mycteroperca venenosa,44683,Fis-23652,3996996.2,3274728.6,74.541,81.93,Groupers,FALSE,103,136,q1,Yellowfin Grouper,Yellowfin Grouper
Plectropomus leopardus,44684,Fis-25341,11777036.3,10931050.9,56.128,92.817,Groupers,FALSE,122,136,q3,Leopard Coralgrouper,Leopard Coralgrouper
Epinephelus cifuentesi,44686,Fis-33251,253848.2,137765.2,55.526,54.271,Groupers,FALSE,25,136,q4,Olive Grouper,Olive Grouper
Epinephelus awoara,61336,Fis-26492,2246157.5,1215211.7,74.045,54.102,Groupers,FALSE,19,136,q2,Yellow Grouper,Yellow Grouper
Epinephelus daemelii,61337,Fis-26498,1139353.9,737737.5,73.338,64.751,Groupers,FALSE,35,136,q1,Saddletail Grouper,Saddletail Grouper
Epinephelus malabaricus,61338,Fis-26113,19913928.1,15668770.1,78.853,78.682,Groupers,FALSE,132,136,q1,Malabar Grouper,Malabar Grouper
Epinephelus polyphekadion,61339,Fis-26142,22252451.3,13544858.4,62.314,60.869,Groupers,FALSE,129,136,q3,Camouflage Grouper,Camouflage Grouper
Bolbometopon muricatum,63571,Fis-25689,20074292.2,10374113.5,68.687,51.679,Wrasses,TRUE,83,472,q2,Green Humphead Parrotfish,Green Humphead Parrotfish
Epinephelus bruneus,64396,Fis-32305,1964988.9,1244967.1,89.168,63.357,Groupers,TRUE,25,136,q1,Longtooth Grouper,Longtooth Grouper
Hyporthodus flavolimbatus,64400,Fis-163777,4690578.1,3175065.6,80.697,67.69,Groupers,FALSE,139,136,q1,Yellowedge Grouper,Yellowedge Grouper
Epinephelus timorensis,64406,Fis-32318,577636.5,3221532.5,27.849,17.93,Groupers,FALSE,3,136,q4,Yellowspotted Grouper,Yellowspotted Grouper
Epinephelus tuamotuensis,64407,Fis-32320,1894619.7,204141.2,98.516,10.775,Groupers,FALSE,3,136,q2,Reticulate Grouper,Reticulate Grouper
Epinephelus undulatostriatus,64408,Fis-26516,457156.3,285092.4,87.027,62.362,Groupers,FALSE,40,136,q1,Maori Grouper,Maori Grouper
