"code","Country/EEZ","Index","FIS","FP","MAR","AO","NP","CS","CP","LIV","LE","ECO","TR","ICO","SP","LSP","CW","HAB","BD","SPP","rgn_nam_2013","hdi","year","year","gdp_USD","year","gdp_adj","pop"
169,"French Guiana",70,16,16,NA,98,NA,100,100,62,47,32,26,60,79,98,72,100,91,82,"French Guiana",0.893,2013,2011,411759442922.5,2012,12570.7850024001,239450
171,"Brazil",69,65,55,4,98,14,94,86,60,80,100,31,55,78,100,64,93,87,82,"Brazil",0.73,2013,2011,2.47665e+12,2012,11908.92104,196935134
172,"Argentina",69,43,43,0,99,82,NA,NA,82,91,100,34,62,53,44,65,97,86,75,"Argentina",0.811,2013,2011,4.46044e+11,2012,18110.8144960005,40728738
173,"Uruguay",64,59,59,0,98,1,NA,NA,100,100,100,36,62,57,52,77,96,85,74,"Uruguay",0.792,2013,2011,46709797684,2012,16036.69654,3383486
174,"Finland",84,70,63,15,96,98,NA,100,70,85,100,31,NA,99,99,81,100,98,97,"Finland",0.892,2013,2011,2.63011e+11,2012,38230.31329,5388272
175,"Denmark",83,64,64,10,97,99,100,94,71,72,73,38,78,89,100,80,97,93,90,"Denmark",0.901,2013,2011,3.33616e+11,2012,41387.96836,5570572
176,"Germany",84,NA,NA,13,95,100,100,96,83,92,100,29,37,69,100,81,95,92,88,"Germany",0.92,2013,2011,3.60083e+12,2012,40394.18357,81797673
177,"Netherlands",82,62,54,30,95,93,100,100,55,68,82,60,57,78,100,86,84,85,87,"Netherlands",0.921,2013,2011,8.36074e+11,2012,42937.71693,16693074
178,"Poland",74,76,76,NA,98,100,69,49,65,83,100,22,NA,100,100,61,70,82,94,"Poland",0.821,2013,2011,5.14496e+11,2012,21903.29019,38534157
179,"France",76,67,69,73,96,78,81,39,64,82,100,66,59,79,100,87,87,85,84,"France",0.893,2013,2011,2.77303e+12,2012,35844.63816,65371613
180,"United Kingdom",77,70,64,16,97,93,56,44,84,90,96,84,63,81,100,80,82,83,83,"United Kingdom",0.875,2013,2011,2.44541e+12,2012,35819.06108,62752472
181,"Ireland",72,75,74,68,95,79,56,56,59,79,100,30,60,80,100,86,80,82,84,"Ireland",0.916,2013,2011,2.17275e+11,2012,42661.75247,4576748
182,"Spain",70,56,59,66,96,59,54,54,57,79,100,72,58,79,100,74,75,79,82,"Spain",0.885,2013,2011,1.47688e+12,2012,32129.28733,46174601
183,"Portugal",75,57,55,4,97,28,NA,NA,87,93,100,90,56,78,100,73,95,88,82,"Portugal",0.816,2013,2011,2.37374e+11,2012,25305.47942,10556999
184,"Italy",73,65,47,20,96,93,81,36,73,86,100,62,54,77,100,61,93,87,81,"Italy",0.881,2013,2011,2.19397e+12,2012,32512.14947,60723569
185,"Monaco",75,73,73,NA,96,NA,NA,NA,72,85,99,44,43,63,83,81,NA,86,86,"Monaco",NA,NA,2011,6074506533,2012,39515.250485,37261
186,"Montenegro",54,69,66,6,98,0,NA,NA,61,79,98,22,55,28,0,55,99,88,77,"Montenegro",0.791,2013,2011,4495775882,2012,14206.15073,620644
187,"Croatia",76,68,65,16,97,70,NA,NA,60,80,100,98,57,57,57,56,99,89,80,"Croatia",0.805,2013,2011,62493220674,2012,20532.01602,4280600
188,"Slovenia",79,87,72,6,97,100,NA,NA,100,100,100,41,61,80,100,54,99,90,82,"Slovenia",0.892,2013,2011,49539271105,2012,26800.96616,2052843
189,"Lithuania",76,79,79,NA,98,68,NA,74,55,78,100,21,NA,100,100,71,92,92,93,"Lithuania",0.818,2013,2011,42725404055,2012,23487.35561,3030173
190,"Qatar",62,80,80,0,81,NA,90,34,57,70,84,16,48,24,0,72,98,91,85,"Qatar",0.834,2013,2011,1.72982e+11,2012,84351.9194473345,1910902
191,"Iran",62,58,57,7,98,100,56,17,100,80,59,14,54,59,64,62,75,77,79,"Iran Islamic Republic of",0.742,2013,2011,400039155555.547,2012,13545.2951733929,75424285
192,"Iraq",65,61,61,NA,96,NA,82,82,100,86,72,20,59,31,4,39,91,83,75,"Iraq",0.59,2013,2011,1.15388e+11,2012,4245.816923,31760020
193,"Guinea Bissau",54,57,57,NA,100,NA,25,6,96,61,26,26,53,77,100,66,58,67,76,"Guinea-Bissau",0.364,2013,2011,967762548.7,2012,1192.414276,1624228
194,"Guinea",55,64,64,NA,100,NA,33,8,62,80,97,5,53,72,91,63,68,72,75,"Guinea",0.355,2013,2011,5089487834,2012,1068.757133,11161530
195,"Ivory Coast",52,82,82,NA,100,20,22,22,71,85,99,12,58,53,48,55,56,67,78,"Ivory Coast",0.432,2013,2011,24073812829,2012,2039.172182,19389954
196,"Nigeria",61,45,45,0,97,95,97,27,100,76,52,12,63,43,22,48,66,70,73,"Nigeria",0.471,2013,2011,2.43986e+11,2012,2661.132332,164192925
197,"Cameroon",66,53,53,NA,100,NA,80,80,55,77,100,10,64,58,51,55,84,79,75,"Cameroon",0.495,2013,2011,25235747212,2012,2341.963368,21156272
198,"Gabon",59,62,62,NA,98,NA,48,47,39,59,80,6,66,77,87,68,56,66,75,"Gabon",0.683,2013,2011,17051616749,2012,16085.52469,1594034
199,"Democratic Republic of the Congo",52,30,30,NA,100,NA,20,20,100,98,96,4,48,72,96,54,54,67,80,"Democratic Republic of the Congo",NA,NA,2011,15653634042,2012,422.1866262,63931512
200,"Angola",45,16,16,NA,99,1,57,18,61,76,91,6,52,45,38,63,71,73,75,"Angola",0.508,2013,2011,1.04332e+11,2012,6105.39804,20180490
202,"Tanzania",69,63,62,0,100,72,62,64,100,100,100,15,58,79,100,60,74,77,81,"Tanzania United Republic of",0.476,2013,2011,23874165048,2012,1600.74798,46354607
203,"India",66,50,45,2,99,99,73,53,39,69,100,49,50,39,28,49,89,86,83,"India",0.554,2013,2011,1.87284e+12,2012,3876.013392,1221156319
204,"Bangladesh",72,2,5,13,100,94,100,100,100,100,100,13,61,59,57,54,100,91,82,"Bangladesh",0.515,2013,2011,1.11879e+11,2012,1883.048693,152862431
205,"Myanmar",59,2,2,8,92,100,74,46,100,96,92,10,49,29,10,57,88,82,75,"Myanmar",0.498,2013,2011,233195037425.222,2012,17701.6880761111,52350763
206,"Malaysia",73,65,61,32,97,78,65,76,87,80,72,82,50,34,17,75,82,80,79,"Malaysia",0.769,2013,2011,2.87937e+11,2012,17142.61903,28758968
207,"Vietnam",62,3,18,33,99,74,42,66,61,74,86,33,54,77,100,57,79,79,79,"Viet Nam",0.617,2013,2011,1.236e+11,2012,3635.207479,87840000
208,"Singapore",64,79,78,2,84,23,91,27,93,96,100,65,54,29,3,62,88,82,77,"Singapore",0.895,2013,2011,2.397e+11,2012,61803.22001,5183700
209,"China",63,38,75,100,75,78,54,46,93,97,100,42,53,35,17,48,77,79,81,"China",0.7,2013,2011,7603540443915,2012,148943.463622,1344130000
210,"Japan",70,29,28,25,95,43,96,97,56,78,100,25,59,77,96,71,96,90,84,"Japan",0.912,2013,2011,5.86715e+12,2012,35204.04833,127817277
212,"Kiribati",76,70,70,0,100,86,87,82,79,90,100,69,62,31,0,56,93,86,79,"Kiribati",0.629,2013,2011,166690184.6,2012,2461.417476,99250
213,"Antarctica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Antarctica",NA,NA,NA,NA,NA,NA,NA
214,"Egypt",70,50,24,21,99,51,86,54,96,98,100,52,48,71,94,76,98,90,83,"Egypt",0.662,2013,2011,2.29531e+11,2012,6723.275206,79392466
215,"Jordan",61,5,5,NA,98,NA,88,56,76,88,100,53,52,26,0,52,88,83,79,"Jordan",0.7,2013,2011,28840197019,2012,6147.676884,6181000
216,"Indonesia",67,84,75,16,99,87,50,59,43,71,99,26,55,68,81,61,74,76,79,"Indonesia",0.629,2013,2011,8.46832e+11,2012,4956.118848,243801639
218,"Canada",71,60,65,93,96,59,55,96,80,90,100,25,72,53,34,80,93,91,90,"Canada",0.911,2013,2011,1.73605e+12,2012,42693.34368,34483975
219,"Saint Pierre and Miquelon",73,71,71,NA,95,NA,NA,NA,100,82,64,40,76,48,19,83,100,91,83,"Saint Pierre and Miquelon",0.893,2013,2011,8.363675e+12,2012,46329.307215,5774
220,"Sint Maarten",62,6,6,NA,98,18,100,32,96,90,84,100,58,30,1,56,100,94,89,"Sint Maarten",0.921,2013,2011,18763481397.7127,2012,15935.888856132,38486
221,"Northern Saint-Martin",83,NA,NA,NA,98,NA,100,35,96,91,86,100,NA,84,84,61,96,93,91,"Northern Saint-Martin",0.893,2013,2011,18763481397.7127,2012,15935.888856132,30615
222,"Sweden",81,72,71,3,94,43,69,100,100,100,100,57,73,86,100,92,94,94,95,"Sweden",0.916,2013,2011,5.39682e+11,2012,42216.85194,9449213
223,"Norway",83,67,77,100,94,90,NA,79,85,82,79,66,62,79,96,90,93,91,90,"Norway",0.955,2013,2011,4.85803e+11,2012,62766.95998,4953088
224,"Chile",74,75,81,100,98,35,NA,NA,100,100,100,32,65,82,100,76,90,86,82,"Chile",0.819,2013,2011,2.48585e+11,2012,22655.33207,17308449
227,"Jersey",67,NA,NA,NA,96,NA,55,55,86,87,89,47,NA,39,39,73,79,82,84,"Jersey",0.875,2013,2011,366386484908.522,2012,36813.330213,97857
228,"Guernsey",62,NA,NA,NA,96,NA,55,55,86,87,89,47,NA,0,0,73,79,81,83,"Guernsey",0.875,2013,2011,366386484908.522,2012,36813.330213,65345
231,"East Timor",54,44,44,0,100,NA,56,17,55,27,0,41,59,64,69,61,73,74,76,"Timor-Leste",0.576,2013,2011,1.054e+09,2012,1708.532145,1175880
232,"Bosnia and Herzegovina",65,64,52,2,99,NA,NA,NA,51,75,100,27,51,75,98,50,72,74,77,"Bosnia and Herzegovina",0.735,2013,2011,18088238053,2012,9235.139657,3839322
237,"Oecussi Ambeno",58,NA,NA,NA,95,NA,28,52,63,77,90,41,NA,36,36,60,71,73,75,"Oecussi Ambeno",0.576,2013,2011,233195037425.222,2012,17701.6880761111,NA
244,"Curaçao",73,NA,NA,NA,98,NA,75,100,65,72,79,48,59,41,23,65,92,89,87,"Curacao",0.921,2013,2011,18763481397.7127,2012,15935.888856132,150788
245,"Bonaire",74,NA,NA,0,98,18,80,94,65,72,80,100,59,46,33,71,94,91,89,"Bonaire",0.921,2013,2011,18763481397.7127,2012,15935.888856132,16541
247,"Brunei",64,70,28,4,89,NA,66,99,82,80,77,26,54,36,17,69,90,86,81,"Brunei Darussalam",0.855,2013,2011,16359795686,2012,53347.91393,406512
248,"Saba",80,NA,NA,NA,98,19,100,100,65,72,79,100,59,71,82,67,100,95,90,"Saba",0.921,2013,2011,18763481397.7127,2012,15935.888856132,1991
249,"Sint Eustatius",75,NA,NA,NA,98,18,100,94,65,72,79,100,59,29,0,66,100,95,89,"Sint Eustatius",0.921,2013,2011,18763481397.7127,2012,15935.888856132,3791
250,"Aruba",76,3,3,NA,98,NA,86,82,100,100,100,100,62,31,0,90,95,91,88,"Aruba",0.921,2013,2011,2021787067.99995,2012,15935.888856132,101932
