"code","Country/EEZ","Index","FIS","FP","MAR","AO","NP","CS","CP","LIV","LE","ECO","TR","ICO","SP","LSP","CW","HAB","BD","SPP"
133,"Honduras",56,35,13,9,99,0,61,40,85,93,100,43,55,64,73,68,79,82,86
134,"El Salvador",58,48,45,0,99,58,44,44,36,68,100,23,53,77,100,48,71,77,84
135,"Mexico",70,50,47,20,98,95,64,35,41,70,100,70,54,77,100,59,82,82,82
136,"Guatemala",70,77,53,31,99,22,89,89,100,100,100,24,59,78,98,61,96,88,81
137,"Ecuador",69,43,69,99,99,99,53,57,99,84,69,14,56,78,100,61,77,78,78
138,"Peru",60,70,70,21,99,100,39,39,76,54,31,20,60,66,71,48,65,71,77
139,"Venezuela",53,43,40,3,98,0,68,39,41,65,88,20,51,67,83,54,77,78,80
140,"Guadeloupe and Martinique",54,4,4,0,98,0,100,33,98,64,30,11,58,75,92,67,96,91,86
141,"Faeroe Islands",64,66,71,100,97,2,NA,NA,90,87,85,48,65,33,0,83,95,90,84
143,"Iceland",72,57,57,61,95,97,NA,53,85,62,39,62,62,60,58,89,70,77,85
144,"Jan Mayen",70,62,62,NA,96,NA,NA,NA,90,87,84,48,93,47,0,80,52,71,89
145,"Greenland",84,66,66,NA,97,NA,NA,96,100,100,100,48,73,86,100,85,93,92,90
146,"Pitcairn",72,52,52,NA,100,NA,NA,100,89,71,53,34,69,34,0,96,100,92,84
147,"French Polynesia",74,59,57,46,99,99,92,90,100,56,11,33,64,32,0,92,98,91,84
148,"Line Group",71,NA,NA,NA,99,NA,NA,100,78,68,58,70,NA,0,0,74,96,86,77
149,"Jarvis Island",83,52,52,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,100,100,75,93,87,81
150,"Palmyra Atoll",78,52,52,NA,100,NA,NA,78,NA,NA,NA,NA,56,78,100,75,94,88,82
151,"American Samoa",66,55,55,NA,100,NA,94,29,99,75,51,30,61,57,53,64,98,89,80
152,"Samoa",61,50,50,0,100,NA,89,33,3,36,69,32,62,32,1,89,96,89,82
153,"Cook Islands",66,48,48,0,100,98,52,86,34,39,44,32,63,33,2,88,81,79,78
154,"Niue",65,58,58,NA,100,NA,52,81,80,57,33,32,62,31,0,96,81,79,78
155,"Tonga",58,65,65,0,99,1,67,29,100,87,74,31,63,35,7,78,87,83,79
156,"Tokelau",68,57,57,NA,100,NA,55,94,89,71,53,34,57,28,0,93,78,81,85
157,"Phoenix Group",86,NA,NA,NA,99,NA,NA,100,78,68,58,71,NA,100,100,79,96,88,80
158,"Howland Island and Baker Island",93,92,92,NA,100,NA,NA,100,NA,NA,NA,NA,NA,100,100,75,97,90,83
159,"Johnston Atoll",78,52,52,NA,100,NA,NA,78,NA,NA,NA,NA,55,78,100,74,94,89,84
161,"Wallis and Futuna",77,96,96,NA,99,NA,NA,100,89,71,53,33,76,38,0,86,100,92,85
162,"New Zealand",82,50,62,100,97,97,81,66,100,99,97,72,62,73,85,88,85,85,84
163,"United States",63,52,50,11,95,54,67,78,58,79,100,52,62,81,100,0,74,79,85
164,"Belize",69,34,40,44,99,79,40,10,100,100,100,99,51,75,98,70,61,75,89
166,"Jamaica",57,3,3,0,99,8,68,27,70,76,82,76,55,78,100,58,70,77,84
167,"Guyana",56,3,3,1,99,NA,71,71,49,59,70,31,52,26,1,59,87,83,78
168,"Suriname",69,7,7,0,98,NA,100,100,99,78,57,9,53,76,100,66,100,89,78
169,"French Guiana",69,17,17,NA,98,NA,100,100,57,44,32,26,60,79,98,69,100,91,82
171,"Brazil",67,64,54,4,98,16,94,86,41,69,98,31,55,78,100,53,93,87,82
172,"Argentina",70,44,44,0,99,81,NA,NA,82,91,100,34,62,53,45,72,97,86,75
173,"Uruguay",65,60,60,0,98,0,NA,NA,100,100,100,36,62,57,52,83,96,85,74
174,"Finland",83,69,63,15,95,100,NA,100,56,78,100,31,NA,99,99,84,100,98,97
175,"Denmark",81,64,63,10,97,99,100,94,66,67,67,38,78,89,100,75,96,92,89
176,"Germany",79,62,32,10,95,100,100,96,77,89,100,29,37,69,100,91,95,91,88
177,"Netherlands",83,61,53,30,95,96,100,100,55,67,79,60,57,78,100,94,80,83,86
178,"Poland",72,74,74,NA,98,NA,69,49,63,81,100,22,NA,100,100,74,70,82,94
179,"France",78,66,69,74,96,88,82,35,64,82,100,66,59,79,100,92,87,85,84
180,"United Kingdom",76,69,64,16,96,81,56,35,92,91,91,85,63,81,100,85,76,80,83
181,"Ireland",71,72,72,70,95,83,56,56,59,77,96,30,60,80,100,84,80,82,84
182,"Spain",72,55,59,65,96,67,54,54,58,79,100,72,58,79,100,77,75,79,82
183,"Portugal",78,56,53,4,97,39,NA,NA,86,93,100,90,56,78,100,87,95,88,82
184,"Italy",73,65,43,21,96,91,81,36,69,84,100,62,54,77,100,72,93,87,81
185,"Monaco",76,72,72,NA,95,NA,NA,NA,68,83,98,45,43,63,83,90,NA,87,87
186,"Montenegro",56,68,65,6,98,0,NA,NA,61,81,100,22,55,28,0,65,99,88,77
187,"Croatia",79,67,63,17,97,69,NA,NA,60,80,100,98,57,58,58,79,99,89,80
188,"Slovenia",81,87,69,7,96,100,NA,NA,100,100,100,42,61,80,100,69,99,90,82
189,"Lithuania",75,77,77,NA,98,58,NA,90,43,71,100,21,NA,100,100,68,95,94,93
190,"Qatar",61,81,81,0,78,NA,91,34,57,49,41,17,48,24,0,81,98,92,85
191,"Iran",61,58,57,6,98,100,56,17,100,67,33,14,54,59,64,64,74,77,79
192,"Iraq",62,61,61,NA,95,NA,82,81,100,68,36,20,58,31,4,40,91,83,75
193,"Guinea Bissau",52,60,60,NA,100,NA,25,6,98,53,8,26,53,77,100,56,58,67,77
194,"Guinea",54,67,67,NA,100,NA,32,8,62,80,97,5,52,71,90,52,68,72,75
195,"Ivory Coast",52,84,84,NA,100,40,22,21,72,77,82,12,58,53,48,45,56,67,78
196,"Nigeria",57,48,48,0,97,NA,97,27,100,70,40,12,63,43,22,47,66,70,74
197,"Cameroon",66,55,55,NA,100,NA,80,80,53,76,100,10,65,58,51,55,84,79,75
198,"Gabon",58,64,64,NA,98,NA,48,47,37,46,55,6,66,77,87,69,56,66,76
199,"Democratic Republic of the Congo",52,32,32,NA,100,NA,20,20,100,95,90,4,48,72,96,53,54,68,81
200,"Angola",45,16,16,NA,99,3,58,18,59,66,72,6,52,45,38,61,71,73,75
202,"Tanzania",70,63,62,0,100,72,62,64,100,100,100,15,58,79,100,72,74,78,82
203,"India",65,50,47,3,99,99,73,53,31,65,100,49,50,39,28,43,89,86,83
204,"Bangladesh",71,2,5,12,100,91,100,100,100,100,99,13,61,59,57,51,100,91,82
205,"Myanmar",52,2,2,9,91,NA,74,46,100,87,75,10,49,29,10,48,88,82,75
206,"Malaysia",73,69,64,33,97,57,65,77,87,85,83,82,50,34,18,87,82,80,79
207,"Vietnam",61,3,13,32,99,79,42,66,61,67,73,33,54,77,100,52,79,79,79
208,"Singapore",62,82,75,2,83,20,91,27,91,95,100,65,54,28,3,51,88,82,76
209,"China",63,38,75,100,75,75,54,46,92,96,100,42,53,35,18,50,77,79,81
210,"Japan",70,28,28,28,94,46,96,96,45,72,100,25,59,77,96,77,96,91,85
212,"Kiribati",75,70,70,0,100,86,87,82,68,84,100,69,62,31,0,56,93,86,79
213,"Antarctica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,"Egypt",67,51,26,23,99,20,86,55,96,98,100,52,48,71,94,73,98,91,83
215,"Jordan",62,5,5,NA,98,NA,88,56,76,88,100,53,52,26,0,56,88,83,79
216,"Indonesia",66,85,71,15,99,91,50,59,43,55,68,26,55,68,81,66,74,76,79
218,"Canada",69,59,64,92,96,72,55,97,85,92,100,25,72,53,35,43,93,91,90
219,"Saint Pierre and Miquelon",65,68,68,NA,94,NA,NA,NA,100,82,64,39,76,47,18,35,100,91,82
220,"Sint Maarten",65,6,6,NA,97,45,100,32,97,88,80,100,58,30,1,62,100,94,89
221,"Northern Saint-Martin",82,NA,NA,NA,98,NA,100,35,97,89,82,100,NA,84,84,59,96,93,91
222,"Sweden",78,71,70,3,94,40,69,100,100,100,100,56,72,86,100,72,94,94,95
223,"Norway",82,66,77,100,93,88,NA,92,65,69,73,66,62,79,96,83,94,92,90
224,"Chile",76,73,80,100,98,51,NA,NA,100,99,98,32,65,82,100,80,90,86,83
227,"Jersey",66,NA,NA,NA,96,NA,55,55,90,86,83,47,NA,39,39,70,79,82,84
228,"Guernsey",61,NA,NA,NA,96,NA,55,55,90,86,82,47,NA,0,0,70,79,81,83
231,"East Timor",53,44,44,0,100,NA,56,17,55,27,0,41,59,64,69,53,73,74,75
232,"Bosnia and Herzegovina",65,63,47,2,99,NA,NA,NA,51,75,100,27,51,75,98,59,72,74,77
237,"Oecussi Ambeno",56,NA,NA,NA,94,NA,28,52,64,69,75,41,NA,36,36,52,71,73,75
244,"Curaçao",73,NA,NA,NA,97,NA,75,100,65,71,77,48,59,41,23,61,92,89,87
245,"Bonaire",77,NA,NA,0,97,45,80,95,65,71,77,100,59,46,33,69,94,91,89
247,"Brunei",64,72,35,4,88,NA,66,99,82,87,93,26,54,35,17,56,90,86,81
248,"Saba",83,NA,NA,NA,97,45,100,100,65,71,77,100,59,71,82,65,100,95,90
249,"Sint Eustatius",77,NA,NA,NA,97,45,100,95,65,71,77,100,58,29,0,64,100,95,89
250,"Aruba",73,3,3,NA,95,NA,86,82,100,100,100,100,62,31,0,68,95,91,88
