"","rgn_id","pressure_score"
"1536",149,0
"1547",150,0
"1558",151,0.618811169603956
"1569",152,0.448918771161269
"1580",153,0.483322236437281
"1591",154,0.225997921598076
"1602",155,0.544652574690258
"1613",156,0.500364779727206
"1624",157,0.0976711026226358
"1635",158,0
"1646",159,0
"1657",161,0.474539984651634
"1668",162,0.346142023243629
"1679",163,0.525026209039585
"1690",164,0.305579653176704
"1701",166,0.610751869155295
"1712",167,0.334927638308634
"1723",168,0.345861450592034
"1734",169,0.265942575076461
"1745",171,0.562591588267316
"1756",172,0.501800388934053
"1767",173,0.494874209448774
"1778",174,0.423318818542321
"1789",175,0.535191560215429
"1800",176,0.583672715198646
"1811",177,0.69313310464841
"1822",178,0.555423789362521
"1833",179,0.554805412734804
"1844",180,0.600597888207045
"1855",181,0.476854996730168
"1866",182,0.586631154075348
"1877",183,0.610722720469885
"1888",184,0.594773630195732
"1899",185,0.899280569721157
"1910",186,0.446708291850994
"1921",187,0.470242458499816
"1932",188,0.502072995353882
"1943",189,0.502942741984146
"1954",190,0.45489486874926
"1965",191,0.410173125110148
"1976",192,0.570126280545384
"1987",193,0.464297207057671
"1998",194,0.521355180633283
"2009",195,0.613150356586413
"2020",196,0.701421413980156
"2031",197,0.505490455790634
"2042",198,0.364446225139107
"2053",199,0.488665923283203
"2064",200,0.457623524527734
"2075",202,0.572852873374054
"2086",203,0.726797443215877
"2097",204,0.775836560063134
"2108",205,0.56832207946545
"2119",206,0.558876951985854
"2130",207,0.687668737764132
"2141",208,0.996860915084763
"2152",209,0.744541287346687
"2163",210,0.669060889059365
"2174",212,0.604693232408851
"2185",214,0.581062749681977
"2196",215,0.666470501828271
"2207",216,0.578480563200473
"2218",218,0.152085146083407
"2229",219,0.374167013883736
"2240",220,0.762245234542118
"2251",221,0.659003734904926
"2262",222,0.442515320839901
"2273",223,0.308550040562296
"2284",224,0.310168654666275
"2295",227,0.729987612489802
"2306",228,0.71941979704367
"2317",231,0.424611311940638
"2328",232,0.516121271693967
"2339",237,0.48189991611783
"2350",244,0.645618064258533
"2361",245,0.449851994054432
"2372",247,0.503865142881344
"2383",248,0.566285170881782
"2394",249,0.576901862018629
