region_name,region_id,Index,AO,SPP,BD,HAB,CP,CS,CW,ECO,LE,LIV,FIS,FP,MAR,ICO,SP,LSP,NP,TR
Micronesia,9,72.08,66.29,75.92,83.39,90.86,92.76,71.78,54.72,45.36,59.48,73.61,84.4,84.4,0,64.67,33.96,3.24,74.52,99.54
South Georgia and the South Sandwich Islands,89,72.08,NA,80.39,72.96,65.52,NA,NA,97.4,NA,NA,NA,43.54,43.54,NA,61.12,80.56,100,65.95,NA
Puerto Rico and Virgin Islands of the United States,116,71.98,81.73,81.41,78.04,74.67,83.31,95.94,66.37,86.76,69.69,52.61,37.04,37.04,0,73.79,75.05,76.3,65.65,66.99
Honduras,133,71.97,90.8,84.35,86.38,88.41,82.72,87.65,57.1,100,94,88.01,65.11,28.29,1.88,72.18,86.09,100,76.58,30.06
Myanmar,205,71.9,78.26,84.39,83.65,82.92,91.3,88.18,50.39,93.22,96.61,100,26.17,24.82,0.93,60.91,35.05,9.2,86.16,84.61
New Caledonia,5,71.86,81.81,82.07,85.01,87.96,70.81,69.77,82.89,84.65,92.32,100,60.35,52.74,0.15,67.69,78.54,89.38,86.15,18.54
Turks and Caicos Islands,111,71.84,87.26,79.41,74.4,69.39,73.8,84.34,62.21,90.93,90.49,90.05,90.17,90.16,0,72.81,64.7,56.6,65.13,25.94
Iran,191,71.77,73.96,84.2,77.66,71.13,71.29,79.49,65.98,59.83,79.91,100,48.12,45.84,3.52,57.12,59.78,62.44,91.98,NA
Netherlands,177,71.71,54.59,81.33,67.07,52.81,62.39,94.28,44.98,74.44,62.19,49.93,22.83,57.44,87.01,80.94,90.47,100,83.71,100
Guinea,194,71.71,80.28,75.27,77.8,80.34,96.69,98.4,45.99,96.68,78.91,61.15,14.59,14.59,0,67.89,73.52,79.15,95.29,55.67
Papua New Guinea,17,71.66,81.3,83.82,86.03,88.24,82.45,73.2,65.4,99,99.5,100,88.41,88.41,0,66.53,37.3,8.07,14.97,88.06
Romania,72,71.61,68.49,87.83,73.48,59.14,74.93,74.93,58.28,100,88.77,77.53,25.78,25.37,0.09,100,100,100,75.66,76.22
Portugal,183,71.48,57.47,75.44,73.71,71.98,99.12,84.34,52.66,100,93.38,86.76,43.61,41.96,28.63,71.94,85.97,100,60.38,65.81
Egypt,214,71.47,67.8,77.03,76.53,76.04,89.74,71.96,52.79,100,97.83,95.67,30.38,19.9,1.92,66.82,68.04,69.26,74.21,95.83
Turkey,76,71.42,81.4,76.91,70.34,63.77,69.78,80.65,53.86,100,100,100,56.28,57.17,59.86,56.4,31.38,6.37,90.67,78.93
Jordan,215,71.4,66.28,89.48,89.63,89.78,87.43,75.47,59.15,100,87.72,75.45,44.9,44.9,0,66.09,33.04,0,83.52,86.8
Latvia,69,71.35,87.36,92.06,73.14,54.21,62.27,36.6,55.12,100,89.5,79,79.46,79.46,0,92.73,96.37,100,99.98,33.74
Jersey,227,71.33,89.73,81.63,73.03,64.43,62.9,98.86,49.07,81.55,83.65,85.75,63.48,65.82,87.02,74.07,68.17,62.27,50.72,NA
Cuba,112,71.23,73.45,83.68,78.68,73.68,62.58,91.77,61.89,87.05,91.82,96.6,43.98,35.69,0.23,70.11,84.87,99.63,41.95,89.62
Bahrain,52,71.18,89.61,84.72,85.86,87,94.12,99.9,73.88,74.7,81.28,87.87,26.75,26.75,0.01,59.89,29.94,0,98.88,31.56
Tokelau,156,71.16,63.21,74.96,87.48,100,85.71,100,65.61,66.5,77.89,89.28,63.15,63.15,0,64.48,32.24,0,65.13,NA
Christmas Island,2,71.15,73.06,75.64,83.2,90.77,71.99,70.07,79.29,100,96.35,92.7,42,42,0,68.3,59.24,50.17,65.13,NA
Finland,174,71.13,82.16,92.89,74.86,56.83,62.59,74.26,71.34,100,82.24,64.48,79.83,83.16,88.11,93.23,57.57,21.92,84.62,38.47
Mauritius,37,71.07,78.72,76.36,83.14,89.91,86.72,99.71,64.59,66.42,68.2,69.99,45.87,43.85,0.05,58.1,34.52,10.93,51.27,100
Bouvet Island,105,70.66,NA,80.1,89.98,99.85,NA,NA,97.82,NA,NA,NA,8.14,8.14,NA,73.39,86.69,100,NA,NA
Somalia,44,70.5,99.17,80.71,76.47,72.23,55.59,84.16,61.41,96.37,94.88,93.4,41.16,41.16,0,67.05,33.54,0.04,88.12,NA
Colombia,132,70.28,81.8,79.51,79.81,80.12,69.96,66.07,63.64,100,79.82,59.63,38.7,34.43,0.4,67.35,70.46,73.58,75.91,80.92
Gabon,198,70.27,74.93,76.59,72.15,67.71,82.24,81.18,64.38,78.75,58.34,37.93,41.32,41.32,0,75.33,75.28,75.24,89.57,63.28
Morocco,62,70.24,76.53,76.74,68.45,60.15,100,33.23,54.24,100,100,100,17.58,17.56,0.03,70.5,73.14,75.78,93.68,85.57
