"scenario","dimension","country","Index","AO","SPP","BD","HAB","CP","CS","CW","ECO","LE","LIV","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
2015,"score","Canary Islands",72,68,83,79,75,54,54,68,49,60,71,73,73,,,97,97,,92
2015,"score","Morocco",72,61,81,89,97,,100,55,100,100,100,79,79,0,59,61,63,34,65
2015,"score","Gambia",72,58,81,85,88,85,85,52,100,100,100,66,66,0,73,67,61,,53
2015,"score","Latvia",72,78,88,84,80,90,54,54,100,91,81,77,77,,,100,100,60,30
2015,"score","New Zealand",72,88,88,88,88,69,65,81,100,100,100,49,55,100,61,66,71,53,52
2015,"score","Norway",72,90,87,90,93,57,,79,79,82,85,67,79,100,60,78,96,33,60
2015,"score","Nauru",71,46,80,90,99,97,,52,73,75,77,96,96,0,62,31,0,,84
2015,"score","Djibouti",71,52,81,90,98,98,92,60,100,97,93,79,79,,66,33,0,,37
2015,"score","Belgium",71,77,93,96,99,100,100,33,100,82,63,63,63,,64,82,100,53,29
2015,"score","South Africa",71,72,83,89,95,100,100,57,100,100,100,49,49,1,61,79,96,24,44
2015,"score","Line Group",71,55,81,88,96,100,,91,68,74,80,,,,,0,0,,88
2015,"score","Finland",71,77,91,95,98,78,,72,100,85,69,70,65,18,,97,97,48,26
2015,"score","Canada",71,83,92,92,93,98,55,96,100,90,81,60,63,90,66,46,25,49,34
2015,"score","Saint Pierre and Miquelon",71,78,83,91,100,,,84,64,82,100,71,71,,67,47,27,,40
2015,"score","Chile",71,77,86,88,90,,,94,100,100,100,75,81,100,63,79,94,12,33
2015,"score","Wake Island",70,93,82,80,78,77,,66,71,75,80,7,7,,48,74,100,,86
2015,"score","Mauritius",70,53,85,90,95,90,91,63,71,72,73,69,68,1,55,35,15,41,100
2015,"score","Greece",70,68,93,94,96,,,61,66,63,61,64,50,34,56,65,73,63,99
2015,"score","Cayman Islands",70,69,91,89,87,64,94,64,100,100,100,8,8,,61,48,34,,92
2015,"score","Ecuador",70,62,83,88,93,81,78,67,100,100,100,46,70,100,58,79,100,62,14
2015,"score","United States",70,86,87,82,77,90,63,74,100,77,55,53,52,11,61,70,78,54,49
2015,"score","France",70,81,89,87,85,67,68,51,100,82,63,67,64,57,60,80,100,58,61
2015,"score","Portugal",70,70,84,90,95,,,55,100,93,87,57,55,5,58,79,100,27,89
2015,"score","Tanzania",70,67,83,81,80,69,85,57,100,100,100,63,62,0,56,78,100,69,35
2015,"score","Egypt",70,69,88,93,98,96,85,53,100,98,96,49,38,26,48,71,94,63,38
2015,"score","Sint Eustatius",70,58,92,96,100,100,100,53,79,72,64,,,,66,33,0,19,100
2015,"score","Solomon Islands",69,44,84,84,84,79,73,75,100,100,100,98,98,0,54,35,17,62,41
2015,"score","Western Sahara",69,47,77,88,99,,,70,100,97,94,73,73,,63,75,88,,34
2015,"score","Ascension",69,88,85,92,99,,,87,90,88,86,45,45,,56,44,31,,42
2015,"score","Saint Helena",69,88,85,92,99,,,90,26,44,62,67,67,,57,57,57,,42
2015,"score","Turks and Caicos Islands",69,70,90,89,88,71,75,65,95,95,94,53,53,0,69,67,65,9,100
2015,"score","Dominican Republic",69,63,88,89,91,96,86,51,99,82,66,19,19,0,61,80,100,87,33
2015,"score","Mexico",69,58,91,90,90,82,76,65,100,73,45,50,49,20,54,77,100,58,66
2015,"score","Iran",69,69,84,87,89,86,85,65,59,80,100,58,57,10,49,56,64,100,10
2015,"score","Micronesia",68,45,81,89,98,98,93,64,49,62,76,74,74,0,48,27,5,48,84
2015,"score","Russia",68,73,87,93,100,93,100,91,100,93,86,31,31,7,54,71,88,18,14
2015,"score","Ukraine",68,61,86,90,93,83,83,61,100,80,60,90,89,1,51,62,74,61,13
2015,"score","Tonga",68,68,84,91,98,93,87,71,100,100,100,67,67,0,57,30,3,5,71
2015,"score","French Guiana",68,60,87,94,100,100,100,85,32,47,62,16,16,,67,84,100,,24
2015,"score","Brazil",68,62,90,92,94,97,98,61,100,80,60,64,59,4,57,79,100,14,34
2015,"score","Argentina",68,70,78,87,96,,,81,100,91,82,42,42,0,60,80,100,56,34
2015,"score","Ireland",68,78,85,82,79,56,56,61,100,79,58,74,73,52,61,80,100,85,27
2015,"score","Malaysia",68,67,80,84,88,94,86,56,72,80,87,65,63,19,50,33,17,51,60
2015,"score","R_union",67,48,85,91,96,92,,69,84,71,59,82,82,0,81,61,42,,26
2015,"score","Juan de Nova Island",67,48,86,91,96,93,,88,97,95,93,,,,,0,0,,56
2015,"score","Ile Tromelin",67,48,85,89,93,93,,88,,,,82,82,,,0,0,,
2015,"score","Oman",67,63,83,90,97,99,92,70,100,100,100,84,84,0,50,35,20,16,24
2015,"score","Kuwait",67,72,85,91,97,88,86,68,100,100,100,38,38,0,39,45,51,,13
2015,"score","Bulgaria",67,65,88,94,100,,,42,100,71,42,88,82,10,52,76,100,73,33
2015,"score","Clipperton Island",67,84,84,92,100,,,81,,,,77,77,,,0,0,,
2015,"score","Puerto Rico and Virgin Islands of the United States",67,70,86,90,94,82,100,56,92,73,54,27,27,0,62,78,94,,31
2015,"score","Montserrat",67,70,94,93,93,73,74,72,86,91,96,1,1,,65,32,0,,97
2015,"score","Trinidad and Tobago",67,70,88,90,93,88,96,60,81,85,88,25,25,,61,53,44,70,38
2015,"score","Guatemala",67,54,85,92,99,97,97,33,100,100,100,86,74,19,63,80,97,18,24
2015,"score","Guadeloupe and Martinique",67,73,88,92,96,96,100,62,32,65,98,4,4,0,64,82,100,,29
2015,"score","Niue",67,75,84,82,81,84,52,89,33,57,81,59,59,,61,31,0,,74
2015,"score","Monaco",67,78,94,94,,,,25,99,85,71,73,73,,31,46,60,,68
2015,"score","Japan",67,63,92,94,95,100,95,62,100,78,56,29,28,26,53,71,90,59,23
2015,"score","Indonesia",67,48,81,81,81,86,67,59,99,71,43,85,75,18,56,63,71,90,27
2015,"score","Kenya",66,59,83,85,86,72,94,54,100,99,98,63,63,0,54,46,38,62,23
2015,"score","Yemen",66,57,79,87,95,95,83,66,97,98,100,69,69,0,52,45,39,56,0
2015,"score","Saudi Arabia",66,69,83,90,97,92,88,70,100,100,100,72,63,15,48,37,26,14,39
2015,"score","Republique du Congo",66,51,84,87,90,,,50,97,77,56,72,72,,59,79,99,100,14
2015,"score","Panama",66,60,90,80,70,66,43,66,100,100,100,94,89,7,59,65,71,4,89
2015,"score","Costa Rica",66,58,87,90,94,78,69,68,100,76,52,59,57,6,61,73,85,39,46
2015,"score","Honduras",66,52,88,88,89,94,87,60,100,94,88,35,36,37,60,80,100,38,30
2015,"score","Bangladesh",66,58,84,92,100,100,100,38,99,100,100,2,4,14,60,68,77,94,10
2015,"score","Sint Maarten",66,58,93,96,100,100,100,43,84,90,96,6,6,,66,51,36,19,100
2015,"score","Sweden",66,74,92,93,94,56,62,67,100,100,100,72,71,4,60,79,98,17,42
2015,"score","Tunisia",65,69,84,91,97,,,50,100,83,66,58,52,3,60,30,1,92,51
2015,"score","Togo",65,42,81,85,90,98,98,29,99,99,100,82,82,,69,34,0,,15
2015,"score","Namibia",65,86,85,91,97,,,86,52,76,100,35,35,11,57,78,100,25,42
2015,"score","Bermuda",65,67,81,86,90,56,98,46,54,59,64,18,18,,66,54,43,,100
2015,"score","Cook Islands",65,76,85,84,82,89,53,92,58,47,36,48,48,0,60,30,0,52,77
2015,"score","Belize",65,70,91,76,62,24,39,70,100,100,100,34,66,93,55,78,100,31,99
2015,"score","Spain",65,72,87,81,74,53,53,51,100,78,57,56,58,61,60,78,96,54,73
2015,"score","Slovenia",65,68,90,94,99,,,29,100,100,100,87,63,8,53,76,100,49,43
2015,"score","Taiwan",64,70,86,91,95,98,96,45,97,92,87,28,31,36,58,36,15,53,28
2015,"score","Papua New Guinea",64,51,88,90,92,88,84,69,100,100,100,98,98,0,54,33,12,24,6
2015,"score","South Korea",64,84,87,91,96,,,65,100,95,90,2,9,55,59,54,49,84,27
2015,"score","Bassas da India",64,48,86,91,96,93,,88,,,,,,,,0,0,,
2015,"score","Ile Europa",64,48,85,89,93,93,,90,,,,,,,,0,0,,
2015,"score","Georgia",64,69,91,96,100,,,57,100,100,99,95,95,,52,40,27,10,44
2015,"score","Equatorial Guinea",64,57,79,89,98,94,94,68,18,13,7,50,50,,55,68,82,88,16
2015,"score","Cuba",64,77,89,84,79,66,100,63,88,92,97,20,17,2,58,72,86,47,19
2015,"score","Poland",64,76,90,78,67,60,61,41,100,82,64,76,76,,,100,100,43,19
2015,"score","Lithuania",64,83,90,82,74,36,,45,100,78,55,79,79,,,100,100,55,18
2015,"score","India",64,45,84,89,94,97,87,32,100,69,38,49,46,7,49,42,36,84,53
2015,"score","China",64,75,83,79,75,72,52,36,100,97,93,37,75,100,47,35,24,75,42
2015,"score","Madagascar",63,43,80,83,86,78,65,66,100,81,63,55,53,1,52,39,25,91,29
2015,"score","Mauritania",63,51,84,91,97,,,66,91,94,96,64,64,,62,81,100,41,16
2015,"score","Israel",63,78,96,95,95,91,91,31,100,100,100,52,30,1,46,27,8,63,19
2015,"score","Falkland Islands",63,88,82,91,99,,,99,18,40,62,40,40,0,76,38,0,,45
2015,"score","British Virgin Islands",63,70,89,88,88,57,74,63,82,75,68,10,10,,65,35,5,,100
2015,"score","Anguilla",63,70,88,88,88,61,74,67,86,62,38,3,3,,77,38,0,,100
2015,"score","Faeroe Islands",63,88,79,87,95,,,78,91,88,86,66,70,100,77,44,12,5,41
2015,"score","Brunei",63,85,84,90,96,97,88,55,76,79,81,70,67,5,50,44,38,0,29
2015,"score","Comoro Islands",62,43,81,85,90,82,85,48,93,93,93,80,80,,53,27,0,,17
2015,"score","Ghana",62,45,84,87,90,100,100,43,100,95,89,80,80,,66,34,2,26,14
2015,"score","Saint Kitts and Nevis",62,74,92,93,94,79,98,58,82,59,35,12,12,,64,32,0,,55
2015,"score","Saint Lucia",62,72,93,85,76,74,57,62,73,60,48,11,11,,68,41,15,,100
2015,"score","Iceland",62,76,84,71,58,44,,83,43,64,85,59,60,94,56,47,39,46,66
2015,"score","Suriname",62,65,84,92,100,100,100,75,75,86,96,7,7,1,60,80,100,6,7
2015,"score","Andaman and Nicobar",61,54,83,89,95,97,89,63,92,78,63,16,16,,,21,21,,45
2015,"score","Eritrea",61,56,78,87,95,96,84,56,7,3,0,68,68,0,49,25,0,100,37
2015,"score","Bouvet Island",61,,91,91,,,,99,,,,30,30,,44,22,0,,
2015,"score","Colombia",61,60,86,76,65,81,72,62,100,79,59,28,26,3,57,73,88,57,21
2015,"score","Cameroon",61,43,80,85,90,92,92,42,99,76,53,53,53,,62,58,54,,6
2015,"score","Philippines",60,60,82,82,82,91,68,57,47,45,43,89,76,15,51,48,45,63,7
2015,"score","Cambodia",60,64,80,85,91,80,76,54,100,74,49,7,7,13,41,50,59,12,91
2015,"score","Sri Lanka",60,47,83,90,97,94,87,56,88,68,49,35,35,0,51,38,25,53,35
2015,"score","Romania",60,66,88,94,100,,,58,100,90,79,61,61,,53,77,100,16,21
2015,"score","Venezuela",60,69,83,83,84,81,89,61,96,83,71,44,40,5,55,70,86,0,18
2015,"score","Guyana",60,53,84,90,96,89,89,76,98,69,40,3,3,0,56,46,36,,26
2015,"score","Gabon",60,65,81,74,67,71,71,66,80,59,39,62,62,,61,70,79,,5
2015,"score","Vietnam",60,51,81,85,89,88,61,45,86,73,60,3,8,32,54,77,100,85,31
2015,"score","Singapore",60,85,78,76,74,83,84,49,100,96,93,80,38,2,54,28,1,1,61
2015,"score","Jersey",60,83,88,84,79,55,55,52,88,87,86,,30,30,,46,46,,44
2015,"score","East Timor",60,50,78,82,86,85,84,65,0,27,55,44,44,0,59,58,58,,39
2015,"score","Oecussi Ambeno",60,58,78,81,85,77,42,62,91,77,63,,,,,42,42,,42
2015,"score","Bahrain",59,68,83,83,84,84,86,61,77,82,88,74,74,0,43,22,0,0,32
2015,"score","Benin",59,43,84,85,86,100,100,28,100,67,33,59,59,,67,34,0,,13
2015,"score","Jordan",59,56,81,84,87,90,86,53,100,87,75,5,5,,51,26,0,,40
2015,"score","Sudan",58,49,77,86,95,86,82,58,99,73,48,68,68,,49,25,0,42,13
2015,"score","Turkey",58,72,91,90,89,,,50,100,100,100,65,58,11,51,30,8,42,22
2015,"score","Cyprus",58,79,97,97,97,,,60,69,66,64,47,28,15,48,40,33,0,91
2015,"score","Peru",58,70,82,80,77,57,57,61,45,63,81,73,72,23,59,63,67,35,21
2015,"score","Iraq",58,54,79,84,90,81,81,43,70,85,100,60,60,,51,25,0,,4
2015,"score","Somalia",57,43,77,76,76,55,72,62,96,95,93,75,75,,53,27,0,70,0
2015,"score","Grenada",57,56,90,79,67,59,47,71,71,85,100,31,31,,61,31,0,,51
2015,"score","Uruguay",57,74,78,87,96,,,57,100,100,100,59,59,0,62,52,42,0,25
2015,"score","Montenegro",57,63,86,92,99,,,60,98,79,61,67,59,5,52,27,1,0,77
2015,"score","Bosnia and Herzegovina",57,61,85,78,71,,,39,100,75,51,64,21,1,48,47,47,,80
2015,"score","Albania",56,69,88,94,100,,,53,100,100,100,62,48,3,50,34,18,14,36
2015,"score","Barbados",56,59,87,86,85,69,27,67,74,73,71,36,36,,65,33,1,9,100
2015,"score","El Salvador",56,70,88,86,84,63,63,43,100,71,42,49,48,1,55,78,100,22,21
2015,"score","Jamaica",56,55,87,83,79,51,99,48,87,78,69,3,3,0,57,79,100,4,56
2015,"score","Myanmar",56,52,78,86,93,90,87,55,92,96,100,2,2,5,52,34,15,47,8
2015,"score","Guernsey",56,82,88,84,79,55,55,52,88,87,86,,46,46,,0,0,,42
2015,"score","Amsterdam Island and Saint Paul Island",55,,84,92,100,,,91,,,,13,13,,49,24,0,,
2015,"score","Haiti",55,50,84,82,80,65,96,44,94,97,100,1,1,,59,32,4,67,15
2015,"score","Nigeria",55,50,78,72,66,97,97,40,51,76,100,46,46,0,64,49,34,17,3
2015,"score","Syria",54,72,90,92,94,,,37,100,100,100,49,49,,46,23,0,61,0
2015,"score","Angola",54,51,80,82,85,88,85,64,90,75,60,16,16,,54,43,31,22,9
2015,"score","Pakistan",53,58,80,74,69,46,46,47,99,84,69,62,62,0,61,64,67,43,4
2015,"score","Senegal",53,52,83,72,61,31,34,51,100,100,100,72,72,0,63,82,100,11,30
2015,"score","Sao Tome and Principe",52,44,86,93,100,,,61,100,100,100,54,54,,50,25,0,0,38
2015,"score","Algeria",51,68,84,86,89,,,43,100,100,100,77,77,0,44,26,8,0,9
2015,"score","Saint Vincent and the Grenadines",51,57,92,93,93,74,94,67,22,27,32,5,5,,72,52,32,2,42
2015,"score","Guinea Bissau",51,50,79,74,68,30,30,60,26,61,96,56,56,,54,77,100,,24
2015,"score","Guinea",51,42,78,76,73,31,33,57,97,79,61,64,64,,54,70,86,,8
2015,"score","North Korea",50,53,78,89,100,95,,55,48,70,92,54,45,14,55,27,0,16,0
2015,"score","Lebanon",50,63,92,91,90,,,29,99,82,64,47,47,0,46,26,6,58,0
2015,"score","Liberia",48,42,82,75,69,35,35,53,100,100,100,53,53,,57,29,0,,6
2015,"score","Nicaragua",48,53,88,78,68,30,10,63,100,79,59,54,41,24,57,79,100,18,26
2015,"score","Sierra Leone",47,58,82,71,60,32,33,49,98,76,54,76,76,,55,29,3,,3
2015,"score","Ivory Coast",47,43,82,75,68,33,33,47,100,86,71,83,83,,65,52,40,3,13
2015,"score","Democratic Republic of the Congo",47,49,80,72,65,31,31,41,97,98,100,30,30,,55,66,76,,4
2015,"score","Dominica",46,71,89,75,60,26,26,66,91,84,77,11,11,,75,38,1,0,61
2015,"score","Libya",43,49,82,91,100,,,53,97,66,35,60,60,0,47,23,0,2,0
