region_id,georegion,subregion,region_name
66,Africa,W Africa,Senegal
67,Africa,N Africa,Libya
68,Europe,S Europe,Malta
69,Europe,N Europe,Latvia
70,Europe,N Europe,Estonia
71,Europe,E Europe,Bulgaria
72,Europe,E Europe,Romania
73,Europe,E Europe,Russia
74,Asia,W Asia,Georgia
75,Europe,E Europe,Ukraine
76,Asia,W Asia,Turkey
77,Asia,W Asia,Syria
78,Asia,W Asia,Lebanon
79,Asia,W Asia,Israel
80,Europe,S Europe,Greece
81,Asia,W Asia,Cyprus
82,Europe,S Europe,Albania
84,Africa,N Africa,Algeria
85,Europe,N Europe,Ascension
86,Europe,N Europe,Saint Helena
88,Europe,N Europe,Tristan da Cunha
89,Southern Islands,Southern Islands,S Georgia/S Sandwich Islands
90,Southern Islands,Southern Islands,Prince Edward Islands
91,Southern Islands,Southern Islands,Crozet Islands
92,Southern Islands,Southern Islands,Amsterdam Island/St Paul Island
93,Southern Islands,Southern Islands,Kerguelen Islands
94,Southern Islands,Southern Islands,Heard/McDonald Islands
95,Europe,N Europe,Falkland Islands
96,Africa,W Africa,Sierra Leone
97,Africa,W Africa,Liberia
98,Africa,W Africa,Togo
99,Africa,W Africa,Benin
100,Africa,Middle Africa,Republique du Congo
101,Africa,S Africa,Namibia
102,Africa,S Africa,South Africa
103,Africa,Middle Africa,Sao Tome/Principe
104,Africa,Middle Africa,Equatorial Guinea
105,Southern Islands,Southern Islands,Bouvet Island
106,Africa,W Africa,Ghana
107,Latin America/Caribbean,Central America,Clipperton Island
108,Latin America/Caribbean,Caribbean,Bermuda
110,Latin America/Caribbean,Caribbean,Bahamas
111,Latin America/Caribbean,Caribbean,Turks and Caicos Islands
112,Latin America/Caribbean,Caribbean,Cuba
113,Latin America/Caribbean,Caribbean,Cayman Islands
114,Latin America/Caribbean,Caribbean,Haiti
115,Latin America/Caribbean,Caribbean,Dominican Republic
116,Latin America/Caribbean,Caribbean,Puerto Rico/US Virgin Islands
117,Latin America/Caribbean,Caribbean,British Virgin Islands
118,Latin America/Caribbean,Caribbean,Anguilla
119,Latin America/Caribbean,Caribbean,St Kitts/Nevis
120,Latin America/Caribbean,Caribbean,Antigua/Barbuda
121,Latin America/Caribbean,Caribbean,Montserrat
122,Latin America/Caribbean,Caribbean,Saint Lucia
123,Latin America/Caribbean,Caribbean,Dominica
124,Latin America/Caribbean,Caribbean,Barbados
125,Latin America/Caribbean,Caribbean,Grenada
126,Latin America/Caribbean,Caribbean,Trinidad and Tobago
127,Latin America/Caribbean,Caribbean,St Vincent/Grenadines
129,Latin America/Caribbean,Central America,Panama
130,Latin America/Caribbean,Central America,Costa Rica
131,Latin America/Caribbean,Central America,Nicaragua
132,Latin America/Caribbean,South America,Colombia
133,Latin America/Caribbean,Central America,Honduras
134,Latin America/Caribbean,Central America,El Salvador
135,Latin America/Caribbean,Central America,Mexico
136,Latin America/Caribbean,Central America,Guatemala
137,Latin America/Caribbean,South America,Ecuador
138,Latin America/Caribbean,South America,Peru
139,Latin America/Caribbean,South America,Venezuela
140,Latin America/Caribbean,Caribbean,Guadeloupe/Martinique
141,Europe,N Europe,Faeroe Islands
143,Europe,N Europe,Iceland
144,Europe,N Europe,Jan Mayen
145,Europe,N Europe,Greenland
146,Oceania,Polynesia,Pitcairn
147,Oceania,Polynesia,French Polynesia
148,Oceania,Micronesia,Line Group
149,Oceania,Micronesia,Jarvis Island
150,Oceania,Micronesia,Palmyra Atoll
151,Oceania,Polynesia,American Samoa
152,Oceania,Polynesia,Samoa
153,Oceania,Polynesia,Cook Islands
154,Oceania,Polynesia,Niue
155,Oceania,Polynesia,Tonga
156,Oceania,Polynesia,Tokelau
157,Oceania,Micronesia,Phoenix Group
158,Oceania,Micronesia,Howland Island/Baker Island
159,Oceania,Micronesia,Johnston Atoll
161,Oceania,Polynesia,Wallis and Futuna
162,Oceania,Australia/New Zealand,New Zealand
163,Americas,N America,United States
164,Latin America/Caribbean,Central America,Belize
166,Latin America/Caribbean,Caribbean,Jamaica
167,Latin America/Caribbean,South America,Guyana
168,Latin America/Caribbean,South America,Suriname
169,Latin America/Caribbean,South America,French Guiana
171,Latin America/Caribbean,South America,Brazil
172,Latin America/Caribbean,South America,Argentina
173,Latin America/Caribbean,South America,Uruguay
174,Europe,N Europe,Finland
175,Europe,N Europe,Denmark
176,Europe,W Europe,Germany
177,Europe,W Europe,Netherlands
178,Europe,E Europe,Poland
179,Europe,W Europe,France
180,Europe,N Europe,United Kingdom
181,Europe,N Europe,Ireland
182,Europe,S Europe,Spain
183,Europe,S Europe,Portugal
184,Europe,S Europe,Italy
185,Europe,W Europe,Monaco
186,Europe,S Europe,Montenegro
187,Europe,S Europe,Croatia
188,Europe,S Europe,Slovenia
189,Europe,N Europe,Lithuania
190,Asia,W Asia,Qatar
191,Asia,S Asia,Iran
192,Asia,W Asia,Iraq
193,Africa,W Africa,Guinea Bissau
194,Africa,W Africa,Guinea
195,Africa,W Africa,Ivory Coast
196,Africa,W Africa,Nigeria
197,Africa,Middle Africa,Cameroon
198,Africa,Middle Africa,Gabon
199,Africa,Middle Africa,Democratic Republic of the Congo
200,Africa,Middle Africa,Angola
202,Africa,E Africa,Tanzania
203,Asia,S Asia,India
204,Asia,S Asia,Bangladesh
205,Asia,SE Asia,Myanmar
206,Asia,SE Asia,Malaysia
207,Asia,SE Asia,Vietnam
208,Asia,SE Asia,Singapore
209,Asia,E Asia,China
210,Asia,E Asia,Japan
212,Oceania,Micronesia,Kiribati
214,Africa,N Africa,Egypt
215,Asia,W Asia,Jordan
216,Asia,SE Asia,Indonesia
218,Americas,N America,Canada
219,Americas,N America,Saint Pierre/Miquelon
220,Latin America/Caribbean,Caribbean,Sint Maarten
221,Latin America/Caribbean,Caribbean,N Saint-Martin
222,Europe,N Europe,Sweden
223,Europe,N Europe,Norway
224,Latin America/Caribbean,South America,Chile
227,Europe,N Europe,Jersey
228,Europe,N Europe,Guernsey
231,Asia,SE Asia,East Timor
232,Europe,S Europe,Bosnia and Herzegovina
237,Asia,SE Asia,Oecussi Ambeno
244,Latin America/Caribbean,Caribbean,Curacao
245,Latin America/Caribbean,Caribbean,Bonaire
247,Asia,SE Asia,Brunei
248,Latin America/Caribbean,Caribbean,Saba
249,Latin America/Caribbean,Caribbean,Sint Eustatius
250,Latin America/Caribbean,Caribbean,Aruba
