"region_name","region_id","Index","AO","SPP","BD","HAB","CP","CS","CW","ECO","LE","LIV","FIS","FP","MAR","ICO","SP","LSP","NP","TR"
"Turks and Caicos Islands",111,71.73,81.13,88.7,88.22,87.73,69.99,74.14,62.85,95.47,95.11,94.76,66.78,66.77,0,78.55,69.61,60.68,9.51,100
"Trinidad and Tobago",126,71.54,86.93,89.95,91.79,93.62,87.61,94.87,60.24,81.87,85.02,88.17,30.58,30.58,0,72.24,47.72,23.21,96.91,33.69
"Morocco",62,71.47,64.52,80.86,89.69,98.53,,100,54.21,100,100,100,51.15,51.12,0.02,69.01,69.19,69.37,53.87,60.66
"France",179,71.46,94.44,80.91,83.39,85.86,63.99,67.64,51.46,100,82.1,64.19,64.88,60.11,50.37,70.76,85.38,100,67.38,58.76
"French Guiana",169,71.42,70.49,89.06,94.53,100,100,100,82,32.23,47.39,62.55,31.01,31.01,0,80.87,90.43,100,,26.9
"Sint Eustatius",249,71.36,76.87,92.23,93.5,94.76,100,100,58,79.75,72.45,65.15,27.84,27.84,0,72.29,64.69,57.09,20.22,100
"Ascension",85,71.2,95.7,83.87,91.93,100,,,86.87,90.27,88.01,85.75,50.9,50.9,0,65.65,51.07,36.49,,33.9
"Mexico",135,71.18,70.12,84.08,87.72,91.37,82.34,76.28,63.22,100,72.94,45.87,38.94,37.18,0.62,63.96,81.98,100,51.2,88.84
"Taiwan",14,70.99,84.54,92.32,93.78,95.24,97.89,95.63,44.34,96.85,92.06,87.26,48.44,82.71,100,70.54,47.19,23.85,44.04,27.75
"Kuwait",51,70.92,100,86.6,91.32,96.04,88.88,87.37,59.36,100,100,100,33.34,33.33,0,61.87,62.05,62.24,,15.94
"Portugal",183,70.76,84.19,78.86,84.88,90.89,,,52.73,100,93.38,86.77,56.76,54.11,19.82,66.33,83.17,100,29.02,84.56
"Saint Kitts and Nevis",119,70.53,86.1,91.13,92.46,93.79,79.86,99.09,55.74,82.23,58.7,35.18,26.21,26.21,0,73.16,36.58,0,,100
"Chile",224,70.04,87.51,81.65,90.33,99.01,,,93.33,100,100,100,62.72,50.59,9.16,68.88,80.48,92.09,24.95,33.11
"Tuvalu",19,69.87,46.51,77.24,88.62,100,100,,52.3,100,100,100,76.38,76.35,0,60.59,33.82,7.05,,61.36
