"","rgn_id","taxa_code","taxa_group","family","production_year","tonnes","rgn_name","sustainability_year","sust_coeff","potential_mar_tonnes","gentry_year"
"74",6,"Blue shrimp_4","SH","Penaeidae",2006,22,"Vanuatu",2021,0.883116883116883,88850.304,2019
"75",6,"Blue shrimp_4","SH","Penaeidae",2007,18,"Vanuatu",2021,0.883116883116883,88850.304,2019
"76",6,"Blue shrimp_4","SH","Penaeidae",2008,20,"Vanuatu",2021,0.883116883116883,88850.304,2019
"77",6,"Blue shrimp_4","SH","Penaeidae",2009,0,"Vanuatu",2021,0.883116883116883,88850.304,2019
"78",6,"Blue shrimp_4","SH","Penaeidae",2010,0,"Vanuatu",2021,0.883116883116883,88850.304,2019
"79",6,"Blue shrimp_4","SH","Penaeidae",2011,0,"Vanuatu",2021,0.883116883116883,88850.304,2019
"80",6,"Blue shrimp_4","SH","Penaeidae",2012,0,"Vanuatu",2021,0.883116883116883,88850.304,2019
"81",6,"Blue shrimp_4","SH","Penaeidae",2013,12,"Vanuatu",2021,0.883116883116883,88850.304,2019
"82",6,"Blue shrimp_4","SH","Penaeidae",2014,12.6,"Vanuatu",2021,0.883116883116883,88850.304,2019
"83",6,"Blue shrimp_4","SH","Penaeidae",2015,0,"Vanuatu",2021,0.883116883116883,88850.304,2019
"84",6,"Blue shrimp_4","SH","Penaeidae",2016,0,"Vanuatu",2021,0.883116883116883,88850.304,2019
"85",6,"Blue shrimp_4","SH","Penaeidae",2017,0,"Vanuatu",2021,0.883116883116883,88850.304,2019
"86",6,"Blue shrimp_4","SH","Penaeidae",2018,0,"Vanuatu",2021,0.883116883116883,88850.304,2019
"87",6,"Blue shrimp_4","SH","Penaeidae",2019,10,"Vanuatu",2021,0.883116883116883,88850.304,2019
"88",6,"Whiteleg shrimp_5","SH","Penaeidae",2010,25,"Vanuatu",2021,0.883116883116883,88850.304,2019
"89",6,"Whiteleg shrimp_5","SH","Penaeidae",2011,14,"Vanuatu",2021,0.883116883116883,88850.304,2019
"90",6,"Whiteleg shrimp_5","SH","Penaeidae",2012,17,"Vanuatu",2021,0.883116883116883,88850.304,2019
"91",6,"Whiteleg shrimp_5","SH","Penaeidae",2013,0,"Vanuatu",2021,0.883116883116883,88850.304,2019
"92",6,"Whiteleg shrimp_5","SH","Penaeidae",2014,0,"Vanuatu",2021,0.883116883116883,88850.304,2019
"93",6,"Whiteleg shrimp_5","SH","Penaeidae",2015,8,"Vanuatu",2021,0.883116883116883,88850.304,2019
