"rgn_id","year","value"
155,2020,1
155,2022,1
155,2024,0.8
126,2018,0.8
126,2020,0.8
126,2022,0.8
126,2024,0.6
61,2018,0.8
61,2020,0.8
61,2022,0.8
61,2024,0.8
76,2018,1
76,2020,1
76,2022,1
76,2024,1
19,2018,0.8
19,2020,0.8
19,2022,0.8
19,2024,0.8
75,2018,0.4
75,2020,0.4
75,2022,0.4
75,2024,0.4
54,2018,0.8
54,2020,0.8
54,2022,0.8
54,2024,0.8
180,2018,0.8
180,2020,0.8
180,2022,0.8
180,2024,0.8
202,2018,1
202,2020,1
202,2022,1
202,2024,1
163,2018,0.8
163,2020,0.8
163,2022,0.8
163,2024,0.8
173,2018,1
173,2020,0.8
173,2022,0.8
173,2024,0.6
6,2018,0.6
6,2020,0.6
6,2022,0.6
6,2024,0.6
139,2018,0.8
139,2020,1
139,2022,1
139,2024,1
207,2018,0.8
207,2020,0.8
207,2022,0.8
207,2024,0.6
47,2018,1
47,2020,1
47,2022,1
47,2024,0.6
26,2018,0.8
26,2020,0.8
26,2022,0.8
26,2024,0.8
85,2018,0.8
85,2020,0.8
85,2022,0.8
85,2024,0.8
55,2018,0.8
55,2020,0.8
55,2022,1
55,2024,1
58,2018,0.8
58,2020,0.8
58,2022,1
58,2024,1
57,2018,0.8
57,2020,0.8
57,2022,1
57,2024,1
237,2018,0.8
237,2020,0.8
237,2022,0.8
237,2024,0.8
90,2018,0.8
90,2020,0.8
90,2022,0.8
90,2024,0.8
88,2018,0.8
88,2020,0.8
88,2022,0.8
88,2024,0.8
