"rgn_id","old_score","score","dimension"
67,0,0,"trend"
68,0,0,"trend"
69,-0.07,-0.17,"trend"
70,-0.02,-0.04,"trend"
71,-0.11,-0.27,"trend"
72,-0.03,-0.14,"trend"
73,-0.02,-0.14,"trend"
74,0.1,0.32,"trend"
75,-0.13,-1,"trend"
76,-0.23,-1,"trend"
77,0,0,"trend"
78,0,0,"trend"
79,-0.04,-0.21,"trend"
80,0.05,0.06,"trend"
81,0.1,0.16,"trend"
82,-0.09,-0.21,"trend"
84,-0.01,-0.06,"trend"
85,-0.03,-0.07,"trend"
86,-0.03,-0.07,"trend"
88,-0.03,-0.07,"trend"
89,NA,NA,NA
90,NA,NA,NA
91,NA,NA,NA
92,NA,NA,NA
93,NA,NA,NA
94,NA,NA,NA
95,-0.03,-0.07,"trend"
96,0.05,1,"trend"
97,0.18,1,"trend"
98,0.03,0.18,"trend"
99,-0.02,-0.15,"trend"
100,0.01,0.1,"trend"
101,-0.05,-0.15,"trend"
102,-0.04,-0.09,"trend"
103,0.31,1,"trend"
104,0.06,0.44,"trend"
105,NA,NA,NA
106,-0.04,-0.21,"trend"
107,NA,-0.03,"trend"
108,-0.24,-0.24,"trend"
110,0,0,"trend"
111,0,0,"trend"
112,-0.03,-0.15,"trend"
113,0.04,0.05,"trend"
114,0.02,0.16,"trend"
115,-0.03,-0.09,"trend"
116,-0.15,-0.32,"trend"
117,0,0,"trend"
118,0,0,"trend"
119,-0.03,-0.06,"trend"
120,0,0,"trend"
121,0.01,0.01,"trend"
122,0,0,"trend"
123,0.01,0.02,"trend"
124,0,0,"trend"
125,0.01,0.02,"trend"
126,-0.01,-0.02,"trend"
127,-0.07,-0.15,"trend"
129,0.37,0.78,"trend"
130,-0.13,-0.25,"trend"
131,-0.22,-0.51,"trend"
132,-0.03,-0.14,"trend"
133,-0.06,-0.21,"trend"
134,0.06,0.37,"trend"
135,-0.14,-0.19,"trend"
136,-0.02,-0.07,"trend"
137,0.02,0.17,"trend"
138,-0.02,-0.07,"trend"
139,-0.1,-0.47,"trend"
140,0.01,0.06,"trend"
141,-0.03,-0.07,"trend"
143,0.1,0.19,"trend"
144,-0.03,-0.07,"trend"
145,-0.03,-0.07,"trend"
146,0.23,0.43,"trend"
147,0.24,0.43,"trend"
148,-0.3,-0.32,"trend"
149,NA,-0.32,"trend"
150,NA,-0.32,"trend"
151,0.23,0.43,"trend"
152,0.23,0.43,"trend"
153,0.23,0.43,"trend"
154,0.23,0.43,"trend"
155,0.23,0.43,"trend"
156,0.22,0.43,"trend"
157,-0.3,-0.32,"trend"
158,NA,-0.32,"trend"
159,NA,-0.32,"trend"
161,0.23,0.43,"trend"
162,-0.2,-0.2,"trend"
163,-0.03,-0.06,"trend"
164,0.01,0.01,"trend"
166,-0.14,-0.2,"trend"
167,-0.18,-0.48,"trend"
168,-0.04,-0.38,"trend"
169,-0.06,-0.22,"trend"
171,-0.03,-0.1,"trend"
172,-0.07,-0.18,"trend"
173,-0.13,-0.45,"trend"
174,-0.03,-0.11,"trend"
175,-0.04,-0.11,"trend"
176,-0.16,-0.16,"trend"
177,-0.18,-0.22,"trend"
178,-0.03,-0.15,"trend"
179,-0.08,-0.13,"trend"
180,0.06,0.11,"trend"
181,-0.01,-0.04,"trend"
182,-0.02,-0.03,"trend"
183,0.02,0.02,"trend"
184,-0.04,-0.07,"trend"
185,-0.14,-0.18,"trend"
186,0.06,0.08,"trend"
187,-0.02,-0.02,"trend"
188,-0.06,-0.14,"trend"
189,-0.02,-0.16,"trend"
190,0.24,1,"trend"
191,-0.02,-0.15,"trend"
192,-0.06,-1,"trend"
193,-0.02,-0.06,"trend"
194,0,-0.05,"trend"
195,-0.04,-0.3,"trend"
196,0,-0.09,"trend"
197,0,0.05,"trend"
198,-0.05,-0.52,"trend"
199,0,0.1,"trend"
200,0,-0.04,"trend"
202,-0.02,-0.09,"trend"
203,-0.1,-0.18,"trend"
204,-0.04,-0.34,"trend"
205,0.05,0.81,"trend"
206,-0.15,-0.24,"trend"
207,0.06,0.2,"trend"
208,0.01,0.02,"trend"
209,-0.03,-0.09,"trend"
210,-0.04,-0.16,"trend"
212,-0.3,-0.32,"trend"
213,NA,NA,NA
214,-0.29,-0.5,"trend"
215,-0.22,-0.41,"trend"
216,-0.01,-0.03,"trend"
218,-0.05,-0.1,"trend"
219,-0.04,-0.08,"trend"
220,0,0,"trend"
221,0.01,0.01,"trend"
222,-0.07,-0.16,"trend"
223,-0.18,-0.26,"trend"
224,0.01,0.03,"trend"
227,-0.03,-0.07,"trend"
228,-0.03,-0.07,"trend"
231,0.01,0.02,"trend"
232,0.02,0.08,"trend"
237,0.01,0.02,"trend"
244,0.14,0.16,"trend"
245,0.08,0.09,"trend"
247,-0.06,-0.19,"trend"
248,0.08,0.09,"trend"
249,0.08,0.09,"trend"
250,0,0,"trend"
