"rgn_id","habitat","extent","health","trend","rank","status","trend_score"
132,"mangrove",2101.03701,0.795454545454545,-0.000786,139,71.9396258222891,-0.0700325418179626
132,"seagrass",372.005,0,-0.725000000222484,83,71.9396258222891,-0.0700325418179626
133,"mangrove",649.6988,0.440655737704918,-0.013332,139,82.1115277476225,-0.013332
133,"seagrass",2314.11,1,NA,83,82.1115277476225,-0.013332
134,"mangrove",340.56751,0.599571734475375,-0.001733,139,59.9571734475375,-0.001733
135,"mangrove",7214.80096,0.729537366548043,-0.005461,139,84.5147581282804,-0.430580233236034
135,"seagrass",9020.68,1,-1,83,84.5147581282804,-0.430580233236034
136,"mangrove",356.28606,0.940860215053763,-0.037881,139,94.0860215053763,-0.037881
137,"mangrove",1409.42406,0.741379310344828,-0.00079,139,74.1379310344828,-0.00079
138,"mangrove",40.1695,0.542168674698795,-0.001741,139,54.2168674698795,-0.001741
139,"mangrove",3415.28356,0.859615384615385,-0.001979,139,88.4381608829358,-0.001979
139,"seagrass",1225.17,1,NA,83,88.4381608829358,-0.001979
140,"mangrove",45.4091,0.969387755102041,-0.004027,139,99.8072527534796,-0.004027
140,"seagrass",1131.73,1,NA,83,99.8072527534796,-0.004027
141,"mangrove",NA,NA,NA,139,NA,NA
141,"seagrass",NA,1,NA,83,NA,NA
143,"mangrove",NA,NA,NA,139,NA,NA
144,"mangrove",NA,NA,NA,139,NA,NA
145,"mangrove",NA,NA,NA,139,NA,NA
145,"seagrass",NA,1,NA,83,NA,NA
146,"mangrove",NA,NA,NA,139,NA,NA
147,"mangrove",NA,NA,NA,139,85.5116269050631,NA
147,"seagrass",633.98,0.855116269050631,NA,83,85.5116269050631,NA
148,"mangrove",NA,NA,NA,139,NA,NA
148,"seagrass",NA,0.855116269050631,NA,83,NA,NA
149,"mangrove",NA,NA,NA,139,NA,NA
150,"mangrove",NA,NA,NA,139,NA,NA
151,"mangrove",NA,NA,NA,139,91.2847483095417,NA
151,"seagrass",414.794,0.912847483095417,NA,83,91.2847483095417,NA
152,"mangrove",4.36625,NA,NA,139,85.5116269050631,NA
152,"seagrass",931.759,0.855116269050631,NA,83,85.5116269050631,NA
153,"mangrove",NA,0.935483870967742,NA,139,50,0
153,"saltmarsh",7.2025259359495,0.5,0,210,50,0
154,"mangrove",NA,0.935483870967742,NA,139,50,0
154,"saltmarsh",0.995940460081194,0.5,0,210,50,0
155,"mangrove",6.986,0.866666666666667,NA,139,85.5153935181635,NA
155,"seagrass",3575.96,0.855116269050631,NA,83,85.5153935181635,NA
156,"mangrove",NA,0.935483870967742,NA,139,50,0
156,"saltmarsh",2.04961659900767,0.5,0,210,50,0
