"targets","layer","layer_old","name","description","citation_nature2012","citation_plos2013","fld_value","units","gapfilling","X2013a_source","children","children_notes","disaggregation.function","updated","still.to.do.with.2013a.file.","dir_2012a","fn_2012a","dir_2013a","fn_2013a","dir_2014a","fn_2014a","src_2014a","ingest","dir_whence_2013a","whence_2013a","clip_n_ship_disag","fn_nature2012","id_num","id_chr","category","year","value_num","value_chr"
"FIS NP","fis_status","rn_fis_status","Fisheries status","Modeled fisheries status based on the Sea Around Us Project ","6A","5.2","status","status score",,,"new",,,"L",,"neptune_data:model/GL-NCEAS_FIS_v2012a","FIS_Status_2012a_lyr.csv","neptune_data:model/GL-NCEAS_FIS_v2013a","FIS_Status_2013a_lyr.csv",,,,FALSE,,,"(not ingested; see column X)",,,,,,,
"FP","fp_wildcaught_weight","rn_fp_wildcaught_weight","Fisheries weighting factor","Proportional yield of wild caught fisheries","6A","5.2","w_fis","value",,"2012a","new",,,"U",,"ohiprep:Global/NCEAS-Fisheries_2014a/data","GL_FP_wildcaught_weight_v2012a_lyr.csv","ohiprep:Global/NCEAS-Fisheries_2014a/data","GL_FP_wildcaught_weight_v2013a_lyr.csv",,,"Y: KLo",TRUE,,,"?",,,,,,,
"HAB CS CP","hab_extent","rnk_hab_extent","Habitat extent","Modeled combined habitat extent","6J",,"km2","km^2",,"2012a","new",,,"N",,"neptune_data:model/GL-NCEAS-Habitats_v2013a/data","hab_habtitat_extent_NewSeaIce_2012.csv","neptune_data:model/GL-NCEAS-Habitats_v2013a/data","hab_habtitat_extent_NewSeaIce.csv",,,"N",TRUE,"neptune_data:model/GL-NCEAS-Habitats_v2013a/whence_2013a",,"area_offshore_3nm",,,,,,,
"HAB CS CP","hab_health","rnk_hab_health","Habitat health","Modeled combined habitat health condition trend","6J",,"health","value",,"2012a","parent","use same methods as for CP and CS",,"N",,"neptune_data:model/GL-NCEAS-Habitats_v2013a/data","hab_habitat_health_2012.csv","neptune_data:model/GL-NCEAS-Habitats_v2013a/data","hab_habitat_health.csv",,,"N",TRUE,"neptune_data:model/GL-NCEAS-Habitats_v2013a/whence_2013a",,"area_offshore_3nm",,,,,,,
"HAB CS CP","hab_trend","rnk_hab_trend","Habitat health trend","Modeled combined habitat health trend","6J",,"trend","trend score",,"2012a","parent",,,"N",,"neptune_data:model/GL-NCEAS-Habitats_v2013a/data","hab_habitat_trend_2012.csv","neptune_data:model/GL-NCEAS-Habitats_v2013a/data","hab_habitat_trend.csv",,,"N",TRUE,"neptune_data:model/GL-NCEAS-Habitats_v2013a/whence_2013a",,"area_offshore_3nm",,,,,,,
"ICO","ico_spp_extinction_status","rnk_ico_spp_extinction_status","IUCN extinction risk category for iconic species","International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists ","7.27","5.29","category","category",,,"new",,,"N",,"neptune_data:model/GL-NCEAS-IconicSpecies_v2013/data","ico_spp_extinction_status.csv","neptune_data:model/GL-NCEAS-IconicSpecies_v2013/data","ico_spp_extinction_status.csv",,,,TRUE,,,"?",,,,,,,
"ICO","ico_spp_popn_trend","rnk_ico_spp_popn_trend","IUCN population trend as a proxy for iconic species trend","International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists ","7.27","5.29","popn_trend","trend score",,,"new",,,"N",,"neptune_data:model/GL-NCEAS-IconicSpecies_v2013/data","ico_spp_popn_trend.csv","neptune_data:model/GL-NCEAS-IconicSpecies_v2013/data","ico_spp_popn_trend.csv",,,"?",TRUE,,,"?",,,,,,,
"LE","ao_ppp","cny_ao_ppp","Purchasing power parity as a proxy for subsistence fishing need, by country","Purchasing power parity","6B","5.5","ppp","value",,"new","new",,"NA (updated data)","U",,"neptune_data:model/GL-WorldBank-Statistics_v2012/data","cntry_wb_ppp_2012a.csv","neptune_data:model/GL-WorldBank-Statistics_v2012/data","cntry_wb_ppp_2013a.csv",,,,,,,"(not ingested; see column X)","ao_ppp.csv",,"country_id",,"year","ppp",
"LE","eco_rev","cnky_eco_rev","Revenue from marine industries","Statistics on revenue for six marine industries","6F","5.41-4.46","USD","$US",,,"new",,"NA (updated data)","U",,"neptune_data:model/GL-NCEAS-Livelihoods_v2013a/data","eco_rev_2012a.csv","neptune_data:model/GL-NCEAS-Livelihoods_v2013a/data","eco_rev_2013a.csv","ohiprep:Global/NCEAS-Livelihoods_v2014/data/","cntry_rev_2014a.csv","Y: done",,,,"(not ingested; see column X)","eco_rev.csv",,"country_id","sector","year","usd",
"LE","eco_rev_whence","cnky_eco_rev_whence","Revenue from marine industries: supporting data","Statistics on revenue for six marine industries: supporting data","6F","5.41-4.46","USD","$US",,"2012a","coastal_pop",,"NA (updated data)","U",,"neptune_data:model/GL-NCEAS-LayersDisaggregated_v2013a/data","eco_rev_whence.csv","neptune_data:model/GL-NCEAS-LayersDisaggregated_v2013a/data","eco_rev_whence.csv",,,,,,,"(not ingested; see column X)","eco_rev_whence.csv",,"country_id","whence","year","usd",
"LE","le_gdp_pc_ppp","le_gdp_pc_ppp","Modeled Livelihoods & Economies data","gross domestic product per person at purchasing power parity","6F",,"usd","USD",,,,,,,,"ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_cntry_gdp_pc_ppp_2013a.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_cntry_gdp_pc_ppp_2013a.csv",,,,TRUE,,,"population_inland25km",,,,,,,
"LE","le_jobs_cur_adj_value","le_jobs_cur_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value",,,,,,,,"ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_jobs_cur_adj_value.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_jobs_cur_adj_value.csv",,,,TRUE,,,"population_inland25km",,,,,,,
"LE","le_jobs_cur_base_value","le_jobs_cur_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value",,,,,,,,"ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_jobs_cur_base_value.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_jobs_cur_base_value.csv",,,,TRUE,,,"population_inland25km",,,,,,,
"LE","le_jobs_ref_adj_value","le_jobs_ref_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value",,,,,,,,"ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_jobs_ref_adj_value.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_jobs_ref_adj_value.csv",,,,TRUE,,,"population_inland25km",,,,,,,
"LE","le_jobs_ref_base_value","le_jobs_ref_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value",,,,,,,,"ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_jobs_ref_base_value.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_jobs_ref_base_value.csv",,,,TRUE,,,"population_inland25km",,,,,,,
"LE","le_rev_cur_adj_value","le_rev_cur_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value",,,,,,,,"ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2012_status_model_curref_rev_cur_adj_value.csv","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_rev_cur_adj_value.csv",,,,TRUE,,,"population_inland25km",,,,,,,
