"species_code","species"
645,"Common cuttlefish"
646,"Common sole"
269,"European eel"
718,"European flat oyster"
447,"European seabass"
554,"Flathead grey mullet"
291,"Gilthead seabream"
693,"Groupers nei"
647,"Marine crustaceans nei"
280,"Mediterranean mussel"
648,"Octopuses nei"
448,"Pacific cupped oyster"
503,"Thinlip grey mullet"
393,"Clams, etc. nei"
634,"European eel"
394,"European flat oyster"
635,"European seabass"
605,"Gilthead seabream"
395,"Marine fishes nei"
223,"Mediterranean mussel"
175,"Pacific cupped oyster"
396,"Penaeus shrimps nei"
738,"Yesso scallop"
919,"Gasar cupped oyster"
238,"Cupped oysters nei"
767,"Gasar cupped oyster"
239,"Pacific cupped oyster"
725,"European seabass"
726,"Gilthead seabream"
219,"Atlantic bluefin tuna"
658,"European seabass"
659,"Gilthead seabream"
921,"Marine fishes nei"
568,"Rainbow trout"
184,"Mediterranean mussel"
575,"Atlantic salmon"
1020,"Cupped oysters nei"
576,"Flatfishes nei"
1021,"Japanese sea cucumber"
577,"Mediterranean mussel"
578,"Mullets nei"
579,"Sea mussels nei"
580,"Sea mussels nei"
1041,"Sea mussels nei"
581,"Sea trout"
582,"Sea urchins nei"
583,"Yesso scallop"
588,"Baltic prawn"
890,"European flounder"
589,"Gobies nei"
670,"Mediterranean mussel"
590,"Mullets nei"
591,"Mullets nei"
623,"So-iuy mullet"
257,"Atlantic bluefin tuna"
288,"Atlantic salmon"
529,"Common two-banded seabream"
555,"European seabass"
530,"Gilthead seabream"
916,"Marine fishes nei"
449,"Mediterranean mussel"
450,"Natantian decapods nei"
735,"Rainbow trout"
850,"Whiteleg shrimp"
772,"Barramundi"
370,"European seabass"
773,"European seabass"
371,"Gilthead seabream"
895,"Gilthead seabream"
372,"Marine fishes nei"
936,"Marine fishes nei"
373,"Red drum"
774,"Red drum"
680,"Striped bass, hybrid"
200,"Atlantic bluefin tuna"
201,"Common pandora"
514,"European eel"
723,"European eel"
347,"European flat oyster"
281,"European seabass"
546,"European seabass"
348,"Flathead grey mullet"
349,"Flathead grey mullet"
350,"Gilthead seabream"
351,"Gilthead seabream"
352,"Kuruma prawn"
353,"Marine fishes nei"
202,"Mediterranean mussel"
703,"Red porgy"
354,"Venus clams nei"
355,"White seabream"
356,"White seabream"
189,"Atlantic bluefin tuna"
328,"European seabass"
542,"Gilthead seabream"
329,"Indian white prawn"
783,"Marbled spinefoot"
1035,"Meagre"
330,"Red porgy"
331,"Sharpsnout seabream"
918,"European seabass"
181,"Gilthead seabream"
297,"Kuruma prawn"
270,"Mediterranean mussel"
298,"Caramote prawn"
299,"Common sole"
300,"European eel"
301,"European seabass"
302,"Gilthead seabream"
626,"Grooved carpet shell"
292,"Mediterranean mussel"
303,"Mullets nei"
304,"Pacific cupped oyster"
195,"Blue mussel"
196,"Pacific cupped oyster"
683,"Blue mussel"
852,"European flat oyster"
853,"Mediterranean mussel"
636,"Pacific cupped oyster"
924,"Perlemoen abalone"
585,"Carpet shells nei"
421,"European flat oyster"
422,"Giant tiger prawn"
423,"Indian white prawn"
424,"Kuruma prawn"
989,"Marine fishes nei"
243,"Mediterranean mussel"
485,"Mullets nei"
486,"Pacific cupped oyster"
425,"Perlemoen abalone"
586,"Red bait"
426,"Sea mussels nei"
525,"Smooth mactra"
244,"Turbot"
593,"Brine shrimp"
3,"Cobia"
594,"Red drum"
310,"Whiteleg shrimp"
669,"Marine crabs nei"
556,"Stromboid conchs nei"
31,"Largemouth black bass"
162,"Mangrove cupped oyster"
327,"Southern white shrimp"
745,"Tropical spiny lobsters nei"
873,"Whiteleg shrimp"
654,"American cupped oyster"
845,"European seabass"
1010,"Florida pompano"
846,"Gilthead seabream"
707,"Gudgeons, sleepers nei"
708,"Mullets nei"
333,"Penaeus shrimps nei"
103,"Cobia"
728,"Penaeus shrimps nei"
273,"Blue shrimp"
941,"Cobia"
231,"Whiteleg shrimp"
326,"Natantian decapods nei"
892,"Pacific cupped oyster"
893,"Spotted rose snapper"
540,"Whiteleg shrimp"
660,"Blue shrimp"
224,"Whiteleg shrimp"
1009,"Cobia"
188,"Whiteleg shrimp"
653,"Whiteleg shrimp"
203,"Whiteleg shrimp"
933,"Anadara clams nei"
473,"Blue shrimp"
934,"Cupped oysters nei"
474,"Marine fishes nei"
746,"Whiteleg shrimp"
935,"blood cockle"
387,"Abalones nei"
161,"American cupped oyster"
938,"Bastard halibuts nei"
220,"Clams, etc. nei"
711,"Cortez oyster"
794,"Crevalle jack"
388,"Flathead grey mullet"
712,"Largemouth black bass"
389,"Marine fishes nei"
775,"Pacific bluefin tuna"
390,"Pacific calico scallop"
633,"Pacific cupped oyster"
221,"Red abalone"
939,"Red drum"
713,"Sea mussels nei"
940,"Snappers nei"
483,"Whiteleg shrimp"
765,"Whiteleg shrimp"
899,"Whiteleg shrimp"
900,"Whiteleg shrimp"
901,"Whiteleg shrimp"
222,"Yellowfin tuna"
357,"Penaeus shrimps nei"
358,"Sea mussels nei"
847,"Whiteleg shrimp"
34,"Blue shrimp"
334,"Red drum"
543,"Scallops nei"
35,"Whiteleg shrimp"
857,"False abalone"
982,"Marine fishes nei"
402,"Pacific cupped oyster"
267,"Peruvian calico scallop"
268,"Whiteleg shrimp"
276,"South American rock mussel"
562,"Whiteleg shrimp"
875,"Cobia"
547,"Marine fishes nei"
548,"Red drum"
271,"Atlantic salmon"
194,"Rainbow trout"
362,"Abalones nei"
549,"Arctic char"
363,"Atlantic cod"
364,"Atlantic halibut"
204,"Atlantic salmon"
736,"Atlantic salmon"
848,"Blue mussel"
365,"European seabass"
849,"Haddock"
205,"Rainbow trout"
206,"Turbot"
343,"Barramundi"
785,"Barramundi"
479,"Blacklip pearl oyster"
344,"Blue shrimp"
747,"Marine fishes nei"
480,"Pearl oyster shells nei"
345,"Sea mussels nei"
786,"Sixfinger threadfin"
685,"Bear paw clam"
236,"Elongate giant clam"
686,"Fluted giant clam"
687,"Giant clam"
688,"Smooth giant clam"
325,"Giant tiger prawn"
471,"Milkfish"
753,"Elongate giant clam"
754,"Fluted giant clam"
769,"Giant clam"
770,"Milkfish"
755,"Smooth giant clam"
854,"Abalones nei"
400,"Chinook(=Spring=King)salmon"
93,"New Zealand mussel"
94,"Pacific cupped oyster"
504,"Abalones nei"
917,"Amberjacks nei"
149,"American cupped oyster"
534,"Atlantic salmon"
456,"Blue crab"
150,"Blue mussel"
457,"Butter clam"
458,"Chinook(=Spring=King)salmon"
459,"Clams, etc. nei"
560,"Cockles nei"
151,"Coho(=Silver)salmon"
261,"Cupped oysters nei"
460,"European flat oyster"
461,"Flat oysters nei"
462,"Japanese carpet shell"
463,"Northern quahog(=Hard clam)"
464,"Northern white shrimp"
152,"Olympia oyster"
153,"Pacific cupped oyster"
561,"Pacific geoduck"
262,"Pacific horse clam"
465,"Pacific littleneck clam"
289,"Rainbow trout"
891,"Red drum"
466,"Sand gaper"
467,"Whiteleg shrimp"
930,"Cobia"
312,"Whiteleg shrimp"
290,"Mangrove cupped oyster"
793,"Whiteleg shrimp"
1011,"Flathead grey mullet"
1012,"Lebranche mullet"
361,"Penaeus shrimps nei"
1013,"Whitemouth croaker"
751,"Whiteleg shrimp"
313,"Cupped oysters nei"
182,"Groupers nei"
314,"Marine fishes nei"
7,"Marine molluscs nei"
315,"Mullets nei"
931,"Pacific lion's paw"
743,"Scallops nei"
183,"Snooks(=Robalos) nei"
719,"South American rock mussel"
8,"Whiteleg shrimp"
777,"Blue mussel"
305,"Pacific cupped oyster"
694,"Penaeus shrimps nei"
36,"Atlantic salmon"
570,"European whitefish"
197,"Rainbow trout"
571,"Sea trout"
784,"Atlantic salmon"
844,"Blue mussel"
332,"European eel"
190,"European flounder"
32,"Rainbow trout"
264,"Rainbow trout"
33,"Sea trout"
191,"Turbot"
43,"Blue mussel"
346,"European seabass"
513,"Pacific cupped oyster"
44,"Rainbow trout"
598,"Turbot"
572,"Aquatic invertebrates nei"
92,"Blue mussel"
550,"Cupped oysters nei"
684,"European flat oyster"
1039,"Soles nei"
399,"Turbot"
657,"Atlantic salmon"
37,"Blue mussel"
956,"Blue mussel"
198,"Clams, etc. nei"
199,"Clams, etc. nei"
475,"Coho(=Silver)salmon"
595,"Common edible cockle"
957,"Common edible cockle"
596,"European eel"
38,"European flat oyster"
958,"European flat oyster"
476,"European seabass"
477,"European seabass"
959,"European seabass"
960,"Finfishes nei"
337,"Gilthead seabream"
961,"Gilthead seabream"
338,"Great Atlantic scallop"
39,"Grooved carpet shell"
764,"Japanese carpet shell"
962,"Japanese carpet shell"
478,"Kuruma prawn"
339,"Marine fishes nei"
721,"Marine molluscs nei"
340,"Meagre"
40,"Mediterranean mussel"
963,"Mediterranean mussel"
41,"Pacific cupped oyster"
172,"Pacific cupped oyster"
597,"Periwinkles nei"
42,"Rainbow trout"
722,"Sea trout"
1036,"Senegalese sole"
1037,"Tuberculate abalone"
341,"Turbot"
342,"White seabream"
259,"Atlantic cod"
453,"Atlantic halibut"
146,"Atlantic salmon"
454,"Blue mussel"
624,"Common edible cockle"
592,"Cupped oysters nei"
559,"European flat oyster"
868,"European seabass"
531,"Great Atlantic scallop"
532,"Grooved carpet shell"
625,"Japanese carpet shell"
869,"Northern quahog(=Hard clam)"
147,"Pacific cupped oyster"
533,"Queen scallop"
148,"Rainbow trout"
455,"Rainbow trout"
762,"Sea trout"
260,"Turbot"
966,"Abalones nei"
55,"Atlantic salmon"
56,"Blue mussel"
57,"European flat oyster"
369,"Great Atlantic scallop"
630,"Japanese carpet shell"
211,"Pacific cupped oyster"
58,"Rainbow trout"
212,"Stony sea urchin"
679,"Turbot"
490,"Atlantic bluefin tuna"
434,"Atlantic salmon"
732,"Banded carpet shell"
802,"Blackspot(=red) seabream"
1044,"Caramote prawn"
435,"Common dentex"
706,"Common edible cockle"
910,"Common edible cockle"
990,"Common edible cockle"
886,"Common prawn"
491,"Common sole"
436,"Cupped oysters nei"
803,"Cupped oysters nei"
749,"Donax clams"
118,"European eel"
804,"European eel"
249,"European flat oyster"
805,"European flat oyster"
991,"European flat oyster"
250,"European seabass"
492,"European seabass"
992,"European seabass"
993,"European seabass"
1023,"Gastropods nei"
251,"Gilthead seabream"
493,"Gilthead seabream"
994,"Gilthead seabream"
1024,"Gilthead seabream"
494,"Great Atlantic scallop"
495,"Greater amberjack"
119,"Grooved carpet shell"
806,"Grooved carpet shell"
995,"Grooved carpet shell"
587,"Groundfishes nei"
733,"Japanese carpet shell"
807,"Japanese carpet shell"
996,"Japanese carpet shell"
496,"Kuruma prawn"
1025,"Kuruma prawn"
862,"Marine fishes nei"
437,"Marine molluscs nei"
997,"Marine molluscs nei"
863,"Meagre"
887,"Meagre"
998,"Meagre"
1026,"Meagre"
252,"Mullets nei"
497,"Mullets nei"
750,"Octopuses nei"
120,"Pacific cupped oyster"
808,"Pacific cupped oyster"
999,"Pacific cupped oyster"
498,"Palaemonid shrimps nei"
1045,"Palaemonid shrimps nei"
1046,"Pod razor shell"
121,"Pollack"
734,"Pullet carpet shell"
809,"Pullet carpet shell"
122,"Sea mussels nei"
1000,"Sea mussels nei"
911,"Senegalese sole"
1001,"Senegalese sole"
1027,"Senegalese sole"
1047,"Silversides(=Sand smelts) nei"
810,"Soles nei"
811,"Soles nei"
1028,"Spotted seabass"
499,"Turbot"
1029,"Variegated scallop"
1030,"Variegated scallop"
500,"Warty venus"
912,"White seabream"
902,"Atlantic bluefin tuna"
903,"Atlantic ditch shrimp"
573,"Atlantic salmon"
640,"Common cuttlefish"
407,"Common edible cockle"
278,"Common sole"
664,"European eel"
665,"European flat oyster"
283,"European seabass"
715,"European seabass"
766,"Flat and cupped oysters nei"
284,"Gilthead seabream"
408,"Gilthead seabream"
942,"Golden carpet shell"
295,"Grooved carpet shell"
610,"Kuruma prawn"
409,"Marine fishes nei"
410,"Marine molluscs nei"
904,"Meagre"
274,"Mullets nei"
574,"Pacific cupped oyster"
984,"Peppery furrow"
411,"Pullet carpet shell"
412,"Sargo breams nei"
641,"Sea mussels nei"
943,"Seabasses nei"
234,"Solen razor clams nei"
1040,"Soles nei"
716,"Turbot"
985,"White seabream"
213,"Atlantic bluefin tuna"
967,"Common prawn"
968,"Common sole"
788,"Cupped oysters nei"
789,"Cupped oysters nei"
59,"European eel"
631,"European eel"
286,"European flat oyster"
60,"European seabass"
516,"European seabass"
61,"Flathead grey mullet"
62,"Flathead grey mullet"
599,"Giant tiger prawn"
63,"Gilthead seabream"
600,"Gilthead seabream"
896,"Grooved carpet shell"
481,"Japanese carpet shell"
897,"Japanese carpet shell"
601,"Kuruma prawn"
602,"Kuruma prawn"
790,"Meagre"
791,"Meagre"
64,"Mediterranean mussel"
65,"Mediterranean mussel"
969,"Mullets nei"
1038,"Pacific cupped oyster"
792,"Porgies, seabreams nei"
879,"Porgies, seabreams nei"
737,"Sharpsnout seabream"
970,"Shi drum"
1015,"White seabream"
681,"European eel"
922,"European seabass"
923,"Gilthead seabream"
682,"Mediterranean mussel"
673,"Atlantic bluefin tuna"
674,"European flat oyster"
675,"European seabass"
676,"Gilthead seabream"
744,"Marine fishes nei"
1034,"Meagre"
677,"Mediterranean mussel"
689,"European seabass"
690,"Gilthead seabream"
691,"Mediterranean mussel"
413,"White-spotted spinefoot"
235,"Yellowfin seabream"
678,"Indian white prawn"
54,"Whiteleg shrimp"
265,"Mullets nei"
661,"Snappers nei"
928,"Giant tiger prawn"
914,"Indo-Pacific swamp crab"
889,"Milkfish"
207,"Giant tiger prawn"
366,"Green mussel"
367,"Indian backwater oyster"
629,"Indian white prawn"
368,"Marine fishes nei"
1014,"Whiteleg shrimp"
1006,"Giant tiger prawn"
1007,"Indian white prawn"
5,"Marine fishes nei"
6,"Penaeus shrimps nei"
1008,"Speckled shrimp"
974,"Aquatic invertebrates nei"
975,"Barramundi"
606,"Giant tiger prawn"
976,"Groupers nei"
977,"Indo-Pacific swamp crab"
978,"Orange mud crab"
216,"Banana prawn"
217,"Banana prawn"
84,"Barramundi"
282,"Barramundi"
85,"Blood cockle"
86,"Blood cockle"
378,"Cupped oysters nei"
379,"Cupped oysters nei"
87,"Giant tiger prawn"
88,"Giant tiger prawn"
285,"Greasy grouper"
380,"Greasy grouper"
518,"Green mussel"
519,"Green mussel"
89,"Indo-Pacific swamp crab"
218,"Indo-Pacific swamp crab"
972,"John's snapper"
973,"John's snapper"
90,"Mangrove red snapper"
381,"Mangrove red snapper"
382,"Marine fishes nei"
383,"Marine fishes nei"
1016,"Whiteleg shrimp"
1017,"Whiteleg shrimp"
154,"Banana prawn"
1002,"Cobia"
155,"Giant tiger prawn"
156,"Indian white prawn"
1003,"Marine fishes nei"
157,"Marine molluscs nei"
1031,"Metapenaeus shrimps nei"
1004,"Sea cucumbers nei"
1005,"Tropical spiny lobsters nei"
815,"Whiteleg shrimp"
105,"Banana prawn"
176,"Banana prawn"
177,"Barramundi"
417,"Barramundi"
986,"Blue swimming crab"
882,"Brown-marbled grouper"
987,"Cobia"
240,"Flathead grey mullet"
418,"Giant tiger prawn"
883,"Giant tiger prawn"
988,"Golden trevally"
241,"Green mussel"
106,"Groupers nei"
925,"Humpback grouper"
107,"Indo-Pacific swamp crab"
858,"John's snapper"
612,"Kuruma prawn"
884,"Malabar grouper"
859,"Mangrove red snapper"
613,"Marine fishes nei"
643,"Metapenaeus shrimps nei"
419,"Milkfish"
108,"Mud spiny lobster"
860,"Orange-spotted grouper"
885,"Pacific cupped oyster"
861,"Papuan black snapper"
420,"Penaeus shrimps nei"
1043,"Penaeus shrimps nei"
164,"Snappers nei"
242,"Snubnose pompano"
584,"Spotted coralgrouper"
926,"Streaked spinefoot"
821,"Abalones nei"
822,"Amberjacks nei"
17,"Aquatic invertebrates nei"
699,"Areolate grouper"
18,"Barramundi"
19,"Blood cockle"
823,"Cobia"
20,"Cupped oysters nei"
21,"Fleshy prawn"
824,"Giant tiger prawn"
22,"Goldlined seabream"
23,"Greasy grouper"
825,"Groupers nei"
24,"Hong Kong grouper"
826,"Indo-Pacific swamp crab"
25,"Japanese carpet shell"
827,"Japanese sea cucumber"
828,"Japanese seabass"
829,"Jellyfishes nei"
830,"Kuruma prawn"
831,"Large yellow croaker"
832,"Lefteye flounders nei"
700,"Mangrove red snapper"
720,"Marine crabs nei"
26,"Marine fishes nei"
27,"Marine molluscs nei"
28,"Pacific cupped oyster"
833,"Pearl oyster shells nei"
834,"Pen shells nei"
835,"Penaeus shrimps nei"
836,"Porgies, seabreams nei"
837,"Portunus swimcrabs nei"
838,"Puffers nei"
839,"Red drum"
840,"Righteye flounders nei"
730,"Russell's snapper"
29,"Scallops nei"
30,"Sea mussels nei"
841,"Sea snails"
842,"Sea urchins nei"
701,"Snubnose pompano"
843,"Turbot"
771,"Whiteleg shrimp"
66,"Aquatic invertebrates nei"
293,"Bastard halibut"
67,"Blackhead seabream"
68,"Clams, etc. nei"
69,"Coho(=Silver)salmon"
70,"Crimson seabream"
71,"Filefishes nei"
72,"Flathead grey mullet"
73,"Gazami crab"
74,"Japanese amberjack"
75,"Japanese jack mackerel"
76,"Kuruma prawn"
374,"Marine crustaceans nei"
77,"Marine fishes nei"
78,"Octopuses, etc. nei"
79,"Pacific cupped oyster"
163,"Pearl oyster shells nei"
80,"Puffers nei"
81,"Sea squirts nei"
82,"Spiny lobsters nei"
83,"White trevally"
214,"Yesso scallop"
377,"Milkfish"
655,"European seabass"
656,"Gilthead seabream"
192,"Jacks, crevalles nei"
702,"Marine fishes nei"
955,"Meagre"
472,"Mullets nei"
193,"Penaeus shrimps nei"
45,"Akiami paste shrimp"
46,"Banana prawn"
47,"Barramundi"
208,"Barramundi"
48,"Giant tiger prawn"
209,"Groupers nei"
894,"Groupers nei"
49,"Indo-Pacific swamp crab"
210,"Marine fishes nei"
50,"Metapenaeus shrimps nei"
51,"Milkfish"
876,"Milkfish"
52,"Mullets nei"
877,"Penguin wing oyster"
53,"Portunus swimcrabs nei"
787,"Sea cucumbers nei"
965,"Tropical spiny lobsters nei"
878,"Whiteleg shrimp"
9,"American cupped oyster"
317,"Atlantic bluefin tuna"
318,"Atlantic cod"
10,"Atlantic salmon"
510,"Atlantic salmon"
11,"Blue mussel"
819,"Blue mussel"
511,"Butter clam"
319,"Chinook(=Spring=King)salmon"
320,"Coho(=Silver)salmon"
512,"Japanese carpet shell"
321,"Marine molluscs nei"
322,"Marine molluscs nei"
12,"Pacific cupped oyster"
13,"Rainbow trout"
954,"Salmonids nei"
323,"Scallops nei"
324,"Scallops nei"
275,"Atlantic salmon"
125,"Blue mussel"
438,"European flat oyster"
296,"Rainbow trout"
980,"Arctic char"
551,"Atlantic cod"
795,"Atlantic halibut"
96,"Atlantic salmon"
520,"Blue mussel"
226,"Chars nei"
521,"European flat oyster"
714,"Finfishes nei"
1018,"Great Atlantic scallop"
796,"Marine crustaceans nei"
1019,"Marine molluscs nei"
522,"Pacific cupped oyster"
97,"Rainbow trout"
760,"Scallops nei"
539,"Atlantic salmon"
14,"Chilean flat oyster"
15,"Chilean mussel"
566,"Chinook(=Spring=King)salmon"
185,"Cholga mussel"
16,"Choro mussel"
277,"Coho(=Silver)salmon"
820,"Japanese abalone"
186,"Pacific cupped oyster"
187,"Peruvian calico scallop"
567,"Rainbow trout"
729,"Red abalone"
652,"Turbot"
375,"Blue mussel"
710,"Great Atlantic scallop"
632,"Grooved carpet shell"
517,"Pacific cupped oyster"
376,"Tuberculate abalone"
971,"Turbot"
359,"Blue mussel"
709,"Great Atlantic scallop"
628,"Grooved carpet shell"
515,"Pacific cupped oyster"
360,"Tuberculate abalone"
964,"Turbot"
874,"Milkfish"
932,"Penaeus shrimps nei"
778,"Common dentex"
779,"European flat oyster"
780,"European seabass"
781,"Gilthead seabream"
782,"Mediterranean mussel"
541,"Stromboid conchs nei"
537,"Stromboid conchs nei"
538,"Barramundi"
870,"Blue shrimp"
672,"Giant tiger prawn"
871,"Indo-Pacific swamp crab"
695,"Jacks, crevalles nei"
696,"Marine fishes nei"
872,"Orange-spotted grouper"
697,"Snappers nei"
535,"Stromboid conchs nei"
