"country","country.1"
"Turkey","Turkey"
"Cyprus","Cyprus"
"Peru","Peru"
"Iraq","Iraq"
"Somalia","Somalia"
"Grenada","Grenada"
"Uruguay","Uruguay"
"Montenegro","Montenegro"
"Bosnia and Herzegovina","Bosnia and Herzegovina"
"Albania","Albania"
"Barbados","Barbados"
"El Salvador","El Salvador"
"Jamaica","Jamaica"
"Myanmar","Myanmar"
"Guernsey","Guernsey"
"Amsterdam Island and Saint Paul Island","Amsterdam Island and Saint Paul Island"
"Haiti","Haiti"
"Nigeria","Nigeria"
"Syria","Syria"
"Angola","Angola"
"Pakistan","Pakistan"
"Senegal","Senegal"
"Sao Tome and Principe","Sao Tome and Principe"
"Algeria","Algeria"
"Saint Vincent and the Grenadines","Saint Vincent and the Grenadines"
"Guinea Bissau","Guinea Bissau"
"Guinea","Guinea"
"North Korea","North Korea"
"Lebanon","Lebanon"
"Liberia","Liberia"
"Nicaragua","Nicaragua"
"Sierra Leone","Sierra Leone"
"Ivory Coast","Ivory Coast"
"Democratic Republic of the Congo","Democratic Republic of the Congo"
"Dominica","Dominica"
"Libya","Libya"
