region_id,region_name,AO,BD,CP,CS,CW,ECO,FIS,FP,HAB,ICO,Index,LE,LIV,LSP,MAR,NP,SP,SPP,TR
63,Western Sahara,69.83909090909091,74.17363636363636,100,99.97,66.7609090909091,99.86181818181818,12.488181818181818,12.488181818181818,72.37272727272727,66.65181818181819,67.9809090909091,97.21545454545453,94.56909090909092,0,0,96.16181818181818,33.32636363636364,75.97272727272727,29.884545454545453
204,Bangladesh,65.69090909090909,88.5190909090909,99.91727272727273,100,32.04,99.97,29.03727272727273,23.834545454545456,95.15727272727273,59.39272727272727,67.97727272727273,99.98454545454545,100,59.46363636363636,6.593636363636364,97.97,59.42909090909091,81.88181818181818,12.371818181818181
74,Georgia,24.375454545454545,75.17181818181818,74.62,74.62,57.14,96.57272727272728,67.14181818181818,67.06090909090909,66.03363636363636,63.67272727272727,67.90727272727273,97.81727272727272,99.06090909090909,21.86,0.16727272727272727,99.85363636363637,42.764545454545456,84.31,65.66
181,Ireland,80.55272727272727,66.45272727272727,63.05,75.59,64.81090909090909,99.27454545454546,72.41545454545455,62.04090909090909,56.75545454545455,61.43363636363637,67.84545454545454,76.93545454545455,54.59636363636364,85.88090909090909,4.783636363636363,93.19,73.6590909090909,76.14818181818183,22.17909090909091
82,Albania,57.95,65.18636363636364,73.44,71.24,67.56181818181818,100,17.333636363636362,16.502727272727274,58.82,62.88727272727273,67.82363636363637,100,100,69.82363636363637,14.914545454545454,93.78545454545454,66.35454545454546,71.55272727272727,66.20545454545454
44,Somalia,97.01181818181819,74.69181818181818,55.657272727272726,84.38363636363637,59.75909090909091,96.03090909090909,38.74909090909091,38.74909090909091,69.40181818181819,62.42090909090909,67.80909090909091,94.80363636363637,93.58363636363637,0.04,0,89.26181818181819,31.22909090909091,79.9809090909091,52.53727272727273
85,Ascension,77.44181818181818,87.26636363636364,NA,NA,82.96181818181819,80.99363636363636,76.69727272727273,76.69727272727273,100,62.096363636363634,67.72272727272727,83.54454545454546,86.09545454545454,51.12,0,41.95272727272727,56.60909090909091,74.53181818181818,35.31818181818182
64,Mauritania,69.99272727272728,73.20363636363636,61.92,99.92,61.15,91.12,14.09909090909091,14.09909090909091,69.30454545454545,65.51727272727273,67.70545454545454,93.83,96.5390909090909,100,0,90.14272727272727,82.75909090909092,77.10545454545455,30.06
72,Romania,71.80636363636364,73.15636363636364,74.62,74.62,60.92636363636363,100,29.78181818181818,29.591818181818184,58.89636363636364,83.80272727272727,67.66454545454545,88.90818181818182,77.80818181818182,100,0.10818181818181818,88.64181818181818,91.9009090909091,87.41727272727273,22.443636363636365
126,Trinidad and Tobago,59.59909090909091,89.11090909090909,93.56454545454545,99.97090909090909,65.49363636363637,76.54363636363637,31.87909090909091,31.87909090909091,94.24181818181818,68.22727272727273,67.58818181818182,82.89,89.24545454545455,22.51,0,78.31727272727272,45.36636363636364,83.98,29.713636363636365
