"region_id","data2015_methods2015","data2016_methods2015","data2016_methods_taxa_penalty","data2016_methods_wt_mean","data2016_methods_taxa_penalty_wt_mean","data2016_methods_penalty_no_underfish","country"
40,35.15,31.36,50.55,63.74,65.64,68.14,"Sri Lanka"
41,75.87,28.53,48.28,61.08,63.09,64.69,"Mozambique"
42,54.67,30.5,50.4,64.94,66.96,65.96,"Madagascar"
43,62.86,18.82,39.9,54.81,57.78,58.62,"Kenya"
44,75.24,35.71,54.3,67.65,69.26,67.89,"Somalia"
45,67.68,24.08,45.23,59.58,61.93,63.52,"Eritrea"
46,78.73,25.62,46.58,60.82,63.11,63.83,"Djibouti"
47,69.36,27.88,46.26,58.76,60.59,61.09,"Yemen"
48,83.66,47.25,63.66,76.33,77.51,78.36,"Oman"
49,68.38,19.22,38.7,51.56,54.09,56.38,"Sudan"
50,72.23,32.84,53.15,68.1,69.9,71.77,"Saudi Arabia"
51,38.25,7.36,24.95,36.28,41.07,43.08,"Kuwait"
52,73.91,8.52,27.37,40.21,44.77,47.1,"Bahrain"
53,61.58,58.57,71.51,80.19,80.9,83.01,"Pakistan"
54,77.96,35.15,56.1,70.63,72.48,73.71,"United Arab Emirates"
55,43.11,33.26,46.76,62.24,62.79,62.5,"Azores"
56,71.52,9.62,25.89,41.7,44.35,44.53,"Cape Verde"
57,60.17,23.48,39.52,57.49,58.66,58.69,"Madeira"
58,73.09,14.85,32.81,54.18,56.07,61.08,"Canary Islands"
59,63.49,50.47,57.36,67.07,67.4,81.84,"Belgium"
60,83.5,30.74,48.86,61.88,63.74,69.24,"Gibraltar"
61,57.97,16.24,36.19,51.23,54.01,58.88,"Tunisia"
62,79.13,7.17,24.58,39.86,44.04,48.23,"Morocco"
63,73.17,2.99,14.12,25.53,29.56,33.86,"Western Sahara"
64,64.16,2.96,15.24,20.97,26.29,32.62,"Mauritania"
65,65.71,12.53,31.47,48.59,51.57,58.46,"Gambia"
66,72.49,14.39,32.92,49.27,51.98,62.62,"Senegal"
67,60.46,25.57,45.99,61.82,63.73,68.68,"Libya"
68,78.93,29.51,47.72,62.25,64,69.35,"Malta"
69,76.82,49.7,51.83,64.59,64.7,85.66,"Latvia"
70,75.43,55.15,57.89,67.67,67.78,95,"Estonia"
71,87.94,16.01,35.67,57.5,59.65,62.44,"Bulgaria"
72,61.09,44.62,56.96,71.9,72.31,74.13,"Romania"
73,31.35,49.39,63.34,75.3,76.03,89.32,"Russia"
74,95.18,68.04,76.35,83.11,83.43,84.5,"Georgia"
75,89.75,61.04,66.69,75.3,75.5,77.23,"Ukraine"
76,64.65,60.74,66.84,73.67,74.09,75.84,"Turkey"
77,49.1,42.01,57.21,67.41,68.74,75.05,"Syria"
78,46.89,56.64,65.24,70.62,71.14,76.29,"Lebanon"
79,52.01,19.99,41.93,59.04,61.96,65.14,"Israel"
80,64.22,38.19,54.04,66.27,67.55,72.19,"Greece"
81,46.67,28.16,48.5,63.94,66,72.19,"Cyprus"
82,61.84,10.9,27.8,38.32,41.65,44.63,"Albania"
84,77.27,43.44,51.64,58.5,59.31,63.52,"Algeria"
85,45.29,70.58,77.37,86.68,86.91,86.91,"Ascension"
86,67.06,37.22,57.58,70.97,72.78,72.7,"Saint Helena"
88,33.93,43.9,61.9,73.07,74.43,75.11,"Tristan da Cunha"
89,28.5,67.7,69.94,77.78,77.78,85.84,"South Georgia and the South Sandwich Islands"
90,85.01,44.12,50.94,54.99,55.51,54.63,"Prince Edward Islands"
91,85.95,47.87,55.96,62.06,62.6,61.42,"Crozet Islands"
92,13.2,3.07,17,18.05,25.28,25.19,"Amsterdam Island and Saint Paul Island"
93,79.43,42.07,43.33,44.12,44.12,44.12,"Kerguelen Islands"
94,78.16,49.46,49.68,49.66,49.66,49.66,"Heard and McDonald Islands"
95,39.7,75.18,77.68,80.83,80.94,80.19,"Falkland Islands"
96,76.32,10.96,28.09,47.29,49.86,60.25,"Sierra Leone"
97,52.89,5.85,19.83,30.77,34.46,41.64,"Liberia"
98,82.35,13.51,28.85,43.22,45.08,55.95,"Togo"
99,58.55,20.44,37.06,46.97,49.18,52.75,"Benin"
100,71.67,19.41,32.65,47.98,49.3,57.77,"Republique du Congo"
101,35.05,19.29,28.93,34.74,35.62,77.37,"Namibia"
102,49,70.91,77.2,83.8,84.12,92.67,"South Africa"
103,54.33,12.22,29.63,45.25,48.07,49.62,"Sao Tome and Principe"
104,49.53,7.83,23.12,39.47,42.28,51.09,"Equatorial Guinea"
105,30.28,0.34,2.91,1.57,3.8,3.8,"Bouvet Island"
106,79.54,36.01,45.05,54.73,55.35,74.56,"Ghana"
107,77.26,70.22,73.16,77.23,77.11,78.97,"Clipperton Island"
108,17.55,27.15,45.97,63.58,65.02,65.18,"Bermuda"
110,81.29,46.05,57.36,71.38,71.91,78.8,"Bahamas"
111,52.99,1.1,8.79,10.44,15.67,16.82,"Turks and Caicos Islands"
112,19.86,23.14,35.9,49.54,50.57,53.43,"Cuba"
113,7.75,27.94,45.45,59.08,60.7,65.19,"Cayman Islands"
114,1.01,17.57,32.42,44.54,46.15,53.73,"Haiti"
115,19.01,28.63,39.92,47.44,48.28,48.81,"Dominican Republic"
116,26.56,20.61,33.57,44.93,45.99,50.35,"Puerto Rico and Virgin Islands of the United States"
117,9.95,28.11,41.17,54.25,55.13,62.13,"British Virgin Islands"
118,3.29,28.4,41.28,52.4,53.28,56.75,"Anguilla"
119,12.06,11.39,24.86,36.65,38.36,44.1,"Saint Kitts and Nevis"
120,20.49,19.06,33.58,44.27,45.78,46.97,"Antigua and Barbuda"
121,1.1,16.42,30.96,42.66,44.32,47.13,"Montserrat"
122,10.87,14.12,28.02,39.52,41.25,49.38,"Saint Lucia"
123,10.83,10.69,25.91,39.51,41.78,44.35,"Dominica"
124,35.79,4.49,16.87,26.62,30.01,31.64,"Barbados"
125,30.72,29.32,40.43,50.91,51.49,59.03,"Grenada"
126,24.74,15.07,25.9,33.07,34.21,37.4,"Trinidad and Tobago"
127,5.46,24.17,38.36,51.16,52.35,57.45,"Saint Vincent and the Grenadines"
129,94,29.46,41.76,51.49,52.21,56.13,"Panama"
130,58.55,20.53,32.02,43.44,44.39,49.36,"Costa Rica"
131,53.72,17.16,28.52,38.04,39.15,43.07,"Nicaragua"
132,28.08,24.32,35.13,43.77,44.43,49.4,"Colombia"
133,35.39,19.8,33.82,49.91,51.04,54.9,"Honduras"
134,49.12,9.13,21.17,32.58,34.11,35.13,"El Salvador"
135,50.38,41.99,49.11,58.79,59.21,63.41,"Mexico"
136,85.64,11.64,23.26,32.66,33.97,37.5,"Guatemala"
137,45.51,30.09,40.69,47.9,48.59,48.28,"Ecuador"
138,73.18,40.96,41.86,41.82,41.91,43.05,"Peru"
139,44.18,24.34,30.81,36.04,36.53,38.12,"Venezuela"
140,4.37,6.23,18.79,28.64,31.47,33.98,"Guadeloupe and Martinique"
141,65.72,13.22,24.22,31.13,32.34,37.18,"Faeroe Islands"
143,59.48,22.35,31.79,41.45,42.07,42.92,"Iceland"
144,64.11,0.89,6.94,6.3,10.28,10.28,"Jan Mayen"
145,67.63,13.55,27.43,50.06,51.38,51.3,"Greenland"
146,53.15,59.84,65.66,70.05,70.37,88.4,"Pitcairn"
147,60.18,31.27,44.85,60.35,60.9,68.55,"French Polynesia"
148,NA,48.31,60.02,74,74.18,83.88,"Line Group"
149,52.9,80.79,84.3,88.04,88.15,93.7,"Jarvis Island"
150,52.07,70.43,79.73,86.9,87.33,94.05,"Palmyra Atoll"
151,56.28,63.08,73.77,84.38,84.55,94.6,"American Samoa"
152,51.06,43.02,50.32,59.11,59.34,76.92,"Samoa"
153,48.45,18.47,33.57,52.1,53.19,60.12,"Cook Islands"
154,59,13.62,33.54,51.52,54.46,63.19,"Niue"
155,66.94,15.01,34.88,50.52,53.54,65.74,"Tonga"
156,58.31,46.33,64.37,77.52,78.76,91.05,"Tokelau"
157,NA,68.4,71.01,76.93,77.03,96.9,"Phoenix Group"
158,92.5,45.93,51.77,59.16,59.61,95.95,"Howland Island and Baker Island"
159,53.12,6.71,21.77,34.46,37.94,46.66,"Johnston Atoll"
161,95.5,54.02,67.7,79.6,80.39,94.8,"Wallis and Futuna"
162,48.91,30.68,39.96,49.73,50.38,58.34,"New Zealand"
163,53.07,46.93,56.06,68,68.32,72.07,"United States"
164,34.47,20.59,32.56,44.08,44.98,49.46,"Belize"
166,3.18,6.72,19.05,27.65,30.16,31.82,"Jamaica"
167,3.1,11.37,24.75,40.26,41.77,43.2,"Guyana"
168,7.4,19.48,30.26,41.28,42.2,44.47,"Suriname"
169,16.4,17.64,28.48,37.64,38.82,39.57,"French Guiana"
171,64.5,45.03,54.53,64.06,64.58,66.43,"Brazil"
172,42.32,45.12,50.99,58.01,58.21,57.83,"Argentina"
173,59.09,48.06,54.65,63.16,63.47,64.14,"Uruguay"
174,70.18,46.63,50.45,57.39,57.61,95.7,"Finland"
175,63.5,8.96,24.1,36.7,39.76,48.82,"Denmark"
176,63.93,23.09,38.08,51.06,52.84,68.06,"Germany"
177,61.83,41.19,51.72,61.76,62.53,73.53,"Netherlands"
178,76.02,39.31,41.19,54.41,54.52,72.08,"Poland"
179,67.25,40.82,51.82,61.72,62.49,73.05,"France"
180,70.51,41.41,49.63,59.04,59.58,72.13,"United Kingdom"
181,74.44,39.99,47.05,53.85,54.26,60.79,"Ireland"
182,56.4,18.2,34.58,45.42,47.57,52.94,"Spain"
183,56.85,21.2,35.62,46.14,47.39,48.68,"Portugal"
184,64.94,42.37,52.45,62.64,63.39,67.68,"Italy"
185,72.99,36.61,52.31,64.62,65.93,70.07,"Monaco"
186,67.48,22.79,36.81,45.51,47.19,50.18,"Montenegro"
187,68.68,26.76,40.43,48.99,50.38,53.16,"Croatia"
188,86.93,45.23,48.85,52.33,52.55,52.6,"Slovenia"
189,78.7,50.33,52.75,66.34,66.45,84.68,"Lithuania"
190,80.76,21.53,44.52,61.33,64.29,65.69,"Qatar"
191,58.35,21.84,41.42,56.07,58.7,59.55,"Iran"
192,59.87,15.67,35.63,49.49,52.51,55.15,"Iraq"
193,55.96,6.27,21.13,34.37,38.01,46.25,"Guinea Bissau"
194,63.55,3.51,13.96,21.41,24.93,32.93,"Guinea"
195,82.84,10.44,25.62,44.39,46.51,55.42,"Ivory Coast"
196,45.73,22.97,39.86,52.32,54,64.74,"Nigeria"
197,52.9,30.19,49.18,64.64,66.26,72.81,"Cameroon"
198,61.94,25.33,42.53,61.01,62.46,66.04,"Gabon"
199,30.37,10.84,29.04,43.71,47.01,56.05,"Democratic Republic of the Congo"
200,16.16,9.53,25.25,35.17,38.4,50.46,"Angola"
202,62.51,62.3,69.5,75.97,76.39,78.45,"Tanzania"
203,49.47,40.73,56.74,68.35,69.71,72.83,"India"
204,1.97,16.61,37.77,54.57,57.61,59.83,"Bangladesh"
205,1.98,22.87,41.59,54.6,56.81,59.53,"Myanmar"
206,65.31,44.61,62.17,74.12,75.39,77.76,"Malaysia"
207,3.1,61.92,66.6,70.25,70.46,77.53,"Vietnam"
208,79.67,21.47,38.84,51.05,53.37,54.75,"Singapore"
209,36.71,21.39,37.18,53.86,55.58,60.95,"China"
210,28.73,44.25,59.19,70.69,71.68,81.31,"Japan"
212,70.26,44,48.75,54.85,55.17,96.15,"Kiribati"
213,NA,NA,NA,NA,NA,NA,"Antarctica"
214,49.4,24.38,44.63,58.7,60.98,64.91,"Egypt"
215,5.15,14.56,37.82,58.22,61.86,62.01,"Jordan"
216,85.05,40.77,58.31,70.49,71.86,76.06,"Indonesia"
218,59.89,26.88,35.99,50.39,51.05,51.06,"Canada"
219,70.84,29.99,34.4,45.91,46.13,46.43,"Saint Pierre and Miquelon"
220,6.46,32.69,42.12,50.7,51.23,60.13,"Sint Maarten"
221,NA,25.45,38.73,50.8,51.79,56.33,"Northern Saint-Martin"
222,72.43,41.69,45.96,58.04,58.26,82.66,"Sweden"
223,67.26,29.38,39.25,49.39,50.01,69.55,"Norway"
224,75.13,45.34,46.31,47.07,47.17,47.34,"Chile"
227,NA,59.08,67.61,77.04,77.48,80.58,"Jersey"
228,NA,45.88,54.78,66.09,66.53,67.99,"Guernsey"
231,44.21,62.66,68.56,73.43,73.84,77.84,"East Timor"
232,64.26,15.88,32.17,41.61,44,46.44,"Bosnia and Herzegovina"
237,NA,90,91.15,92.55,92.6,89.73,"Oecussi Ambeno"
244,NA,32.83,42.2,51.4,51.94,54.64,"Curacao"
245,NA,30.31,41.72,52.15,52.91,59.03,"Bonaire"
247,69.54,26.66,48.03,62.93,65.21,67.09,"Brunei"
248,NA,36.94,43.42,49.9,50.33,59.26,"Saba"
249,NA,20.44,32.82,43.33,44.51,53.05,"Sint Eustatius"
250,3.28,25.44,35.33,44.4,45.16,53.26,"Aruba"
