"targets","layer","layer_old","name","description","fld_value","units","path_in","path_in_exists","filename","path_out"
"pressures CP","cp_habitat_extent_rank","rnk_cp_habitat_extent_rank","Habitat extent * rank, per Coastal Protection habitats","Habitat extent * habitat rank for Coastal Protection habitats: coral, mangrove offshore 1km, mangrove inland 1km, saltmarsh, seaice_shoreline and seagrass","extent_rank","rank","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-Habitats_v2013a/data/cp_habitat_extent_rank.csv",TRUE,"cp_habitat_extent_rank.csv","eez2013/layers/cp_habitat_extent_rank.csv"
"pressures CS","cs_habitat_extent","rnk_cs_habitat_extent","Habitat extent * rank, per Carbon Storage habitats","Habitat extent * habitat rank for Carbon Storage habitats: mangrove, saltmarsh and seagrass","km2","km^2","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-Habitats_v2013a/data/cs_habitat_extent.csv",TRUE,"cs_habitat_extent.csv","eez2013/layers/cs_habitat_extent.csv"
"pressures CW","po_chemicals","po_chemicals","Ocean-based chemical pollution","Ocean-based chemical pollution from commercial shipping traffic and ports and harbors","pressure_score","pressure score","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-Pressures_v2013a/data/po_chemicals_2013_NEW.csv",TRUE,"po_chemicals.csv","eez2013/layers/po_chemicals.csv"
"pressures CW","po_nutrients","po_nutrients","Ocean nutrient pollution","Modeled ocean nutrient pollution based on Halpern et al. 2008","pressure_score","pressure score","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-Pressures_v2013a/data/po_nutrients_2013_NEW.csv",TRUE,"po_nutrients.csv","eez2013/layers/po_nutrients.csv"
"pressures CW","po_pathogens","po_pathogens","Access to improved sanitation as a proxy for pathogen pollution","Percent of population with access to improved sanitation facilities ","pressure_score","pressure score","../ohiprep/Global/WHOUNICEF-Sanitation_v2012/data/po_pathogens_popdensity25km_2013a.csv",TRUE,"po_pathogens.csv","eez2013/layers/po_pathogens.csv"
"pressures CW","po_trash","po_trash","Trash pollution","Density of trash from coastal land and sea","pressure_score","pressure score","../ohiprep/Global/OceanConserv-Trash_v2013/data/po_trash_2013a.csv",TRUE,"po_trash.csv","eez2013/layers/po_trash.csv"
"pressures HAB","hab_presence","rnk_hab_presence","Habitat presence","Modeled combined habitat presence","boolean","boolean","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-Habitats_v2013a/data/hab_habitat_presence.csv",TRUE,"hab_presence.csv","eez2013/layers/hab_presence.csv"
"resilience","alien_species","alien_species","Alien species","The number and type of invasive and harmful invasive species in each marine ecoregion","resilience score","resilience score","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-Resilience_v2013a/data/r_alien_species_Nature2012disaggregated.csv",TRUE,"alien_species.csv","eez2013/layers/alien_species.csv"
"resilience","cites","cites","Resilience from commitment to CITES","Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES) signatories","resilience score","resilience score","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-Resilience_v2013a/data/r_cites_2013a.csv",TRUE,"cites.csv","eez2013/layers/cites.csv"
"resilience","fishing_v1","fishing_v1","CBD survey: coastal fishing v1","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","resilience score","resilience score","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-Resilience_v2013a/data/r_fishing_v1_2013a.csv",TRUE,"fishing_v1.csv","eez2013/layers/fishing_v1.csv"
"resilience","fishing_v1_eez","fishing_v1_eez","CBD survey: ocean fishing v1","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","resilience score","resilience score","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-Resilience_v2013a/data/r_fishing_v1_eez_2013a.csv",TRUE,"fishing_v1_eez.csv","eez2013/layers/fishing_v1_eez.csv"
"resilience","fishing_v2_eez","fishing_v2_eez","CBD survey: ocean fishing v2","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","resilience score","resilience score","//neptune.nceas.ucsb.edu/data_edit/model/GL-NCEAS-Resilience_v2013a/data/r_fishing_v2_eez_2013a.csv",TRUE,"fishing_v2_eez.csv","eez2013/layers/fishing_v2_eez.csv"
