"targets","layer","name","description","fld_value","units","filename","fld_id_num","fld_id_chr","fld_category","fld_year","fld_val_num","fld_val_chr","file_exists","year_min","year_max","val_min","val_max","val_0to1","flds_unused","flds_missing","rows_duplicated","num_ids_unique","data_na"
"regions","rgn_area","CCAMLR marine area, km2","CCAMLR marine area","area_km2","km^2","rgn_area.csv","sp_id","","","","area_km2","",TRUE,NA,NA,138114.7648,5981736.195,FALSE,NA,NA,NA,9,FALSE
"regions","rgn_area_inland","CCAMLR inland 1 km, km2","CCAMLR 1km inland area","area_km2","km^2","rgn_area_inland.csv","sp_id","","","","area_km2","",TRUE,NA,NA,0,8952.705865,FALSE,NA,NA,NA,9,FALSE
"regions","rgn_global","CCAMLR regions","CCAMLR marine regions ","label","label","rgn_global.csv","sp_id","","","","","label",TRUE,NA,NA,NA,NA,FALSE,NA,NA,NA,9,NA
"regions","rgn_labels","CCAMLR regions to sp_id","Translate between different label types","sp_id","sp_id","rgn_labels.csv","sp_id","","ccamlr_id","","sp_id","",TRUE,NA,NA,248100,288300,FALSE,NA,NA,NA,9,FALSE
"resilience","Marpol_aliens","","","resilience score","resilience score","Marpol_aliens.csv","sp_id","","","","resilience.score","",TRUE,NA,NA,0.5,0.5,TRUE,NA,NA,NA,9,FALSE
"resilience","Marpol_poll","","","resilience score","resilience score","Marpol_poll.csv","sp_id","","","","resilience.score","",TRUE,NA,NA,1,1,TRUE,NA,NA,NA,9,FALSE
"resilience","rfmo","","","resilience score","resilience score","rfmo.csv","sp_id","","","","resilience.score","",TRUE,NA,NA,0.8571,0.8571,TRUE,NA,NA,NA,9,FALSE
"resilience","UNEP_gap_report","","","resilience score","resilience score","UNEP_gap_report.csv","sp_id","","","","resilience.score","",TRUE,NA,NA,0.267,0.267,TRUE,NA,NA,NA,9,FALSE
"resilience","UNFCCC_Kyoto"," ","","resilience score","resilience score","UNFCCC_Kyoto.csv","sp_id","","","","resilience.score","",TRUE,NA,NA,0.9846,0.9846,TRUE,NA,NA,NA,9,FALSE
"SPP","spp_status","Species lists and IUCN threat categories as a proxy for species richness status/trend","International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists ","score","status score","spp_status.csv","rgn_id","","","","score","",TRUE,NA,NA,0.805283,0.872921,TRUE,NA,NA,NA,9,FALSE
"SPP","spp_trend","Species lists and IUCN threat categories as a proxy for species richness status/trend","International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists ","score","trend score","spp_trend.csv","rgn_id","","","","score","",TRUE,NA,NA,0.0676913,0.390972,TRUE,NA,NA,NA,9,FALSE
"TR","tr_days","Tourism days","Number of tourist days","days","days","tr_days.csv","sp_id","","x","year","days","",TRUE,2008,2015,0,618158,FALSE,NA,NA,NA,9,FALSE
"resilience","MPAs","Status: marine protected area","Calculated in LSP function","resilience.score","resilience.score","MPAs.csv","sp_id",NA,NA,NA,"resilience.score",NA,TRUE,NA,NA,0,0.449498061066224,TRUE,NA,NA,NA,4939606,FALSE
"pressures","hd_sea_ice","Relative decreases in sea ice season length (d)","Calculated in HAB function","pressure_score","pressure_score","hd_sea_ice.csv","sp_id",NA,NA,NA,"pressure_score",NA,TRUE,NA,NA,0,0.40071453038967,TRUE,NA,NA,NA,3656976,FALSE
