"targets","ingest","layer","name","description","fld_value","units","filename","fld_id_num","fld_id_chr","fld_category","fld_year","fld_val_num","fld_val_chr","file_exists","year_min","year_max","val_min","val_max","val_0to1","flds_unused","flds_missing","rows_duplicated","num_ids_unique","data_na"
"CSHABCP",TRUE,"hab_mangrove_health","Habitat condition of mangrove","Current condition of mangrove habitat relative to historical condition","health","proportion","hab_mangrove_health.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"CSHABCP",TRUE,"hab_mangrove_trend","Habitat condition trend of mangrove","Estimated trend in mangrove condition","trend","trend","hab_mangrove_trend.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"CSHABCP",TRUE,"hab_saltmarsh_health","Habitat condition of saltmarsh","Current condition of saltmarsh habitat relative to historical condition","health","proportion","hab_saltmarsh_health.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"CSHABCP",TRUE,"hab_saltmarsh_trend","Habitat condition trend of saltmarsh","Estimated trend in saltmarsh condition","trend","trend","hab_saltmarsh_trend.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"CSHABCP",TRUE,"hab_seagrass_health","Habitat condition of seagrass","Current condition of seagrass habitat relative to historical condition","health","proportion","hab_seagrass_health.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"CSHABCP",TRUE,"hab_seagrass_trend","Habitat condition trend of seagrass","Estimated trend in seagrass condition","trend","trend","hab_seagrass_trend.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"CW",TRUE,"cw_chemical_trend","Chemical pollution trend","Trends in chemical pollution, based on commercial shipping traffic, ports and harbors, land-based pesticide use (organic pollution), and urban runoff (inorganic pollution) within EEZ ","trend","trend","cw_chemical_trend.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"CW",TRUE,"cw_nutrient_trend","Nutrient pollution trend","Trends in nutrient pollution, using fertilizer consumption as a proxy for nutrient pollution","trend","trend","cw_nutrient_trend.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"CW",TRUE,"cw_pathogen_trend","Pathogen pollution trend","Trends in percent of population without access to improved sanitation facilities as a proxy for pathogen pollution","trend","trend","cw_pathogen_trend.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"CW",TRUE,"cw_trash_trend","Plastic trash trends","Trends in trash estimated using improperly disposed of plastics","trend","trend","cw_trash_trend.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"CWAO pressureCP pressureCS pressureCW pressureECO pressureHAB pressureICO pressureLIV pressureLSP pressureMAR pressureTR pressure",TRUE,"po_nutrients_3nm","Coastal nutrient pollution","Modeled nutrient pollution within EEZ based on fertilizer consumption","pressure_score","scaled 0-1","po_nutrients_3nm.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"CWAO pressureCP pressureCS pressureCW pressureHAB pressureICO pressureLSP pressureTR pressure",TRUE,"po_chemicals_3nm","Coastal chemical pollution","Modeled chemical pollution within 3nm of coastline from commercial shipping traffic, ports and harbors, land-based pesticide use (organic pollution), and urban runoff (inorganic pollution) ","pressure_score","scaled 0-1","po_chemicals_3nm.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"CWCW pressureECO pressureICO pressureLIV pressureLSP pressureSPP pressureTR pressure",TRUE,"po_trash","Marine plastics","Global marine plastic pollution","pressure_score","scaled 0-1","po_trash.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"CWCW pressureECO pressureLIV pressureTR pressure",TRUE,"po_pathogens","Pathogen pollution","Percent of population without access to improved sanitation facilities as a proxy for pathogen pollution","pressure_score","scaled 0-1","po_pathogens.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"ECO",TRUE,"eco_status","Economic status scores","Calculated using corrected revenue data for several marine sectors  (data not updated since 2013)","status","status 0-100","eco_status.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"ECO",TRUE,"eco_trend","Economic trend scores","Calculated using change in revenue for several marine sectors  (data not updated since 2013)","trend","trend -1 to 1","eco_trend.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"ECOLIV",TRUE,"le_sector_weight","Sectors in each region","Proportion of jobs within each marine sector","weight","value","le_sector_weight.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"ECO pressureFIS pressureHAB pressureLIV pressureNP pressureSPP pressure",TRUE,"fp_art_lb","Low bycatch due to artisanal fishing","Pressure due to artisanal low bycatch fishing identified by reported and IUU tonnes and standardized by NPP","pressure_score","scaled 0-1","fp_art_lb.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"ECO pressureFIS pressureLIV pressureMAR pressureNP pressureSPP pressure",TRUE,"po_chemicals","Chemical pollution","Modeled chemical pollution within EEZ from commercial shipping traffic, ports and harbors, land-based pesticide use (organic pollution), and urban runoff (inorganic pollution)","pressure_score","scaled 0-1","po_chemicals.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"ECO pressureFIS pressureLIV pressureNP pressureSPP pressure",TRUE,"po_nutrients","Nutrient pollution","Modeled nutrient pollution within 3nm of coastline based on fertilizer consumption","pressure_score","scaled 0-1","po_nutrients.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"ECO pressureFIS pressureLIV pressureSPP pressure",TRUE,"sp_genetic","Genetic escapes","Introduced mariculture species (Mariculture Sustainability Index) as a proxy for genetic escapes ","pressure_score","scaled 0-1","sp_genetic.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"ECO resilienceLIV resilience",TRUE,"li_gci","Global Competitiveness Index (GCI)","Competitiveness in achieving sustained economic prosperity","resilience_score","scaled 0-1","li_gci.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"FIS",TRUE,"fis_b_bmsy","B/Bmsy estimates","The ratio of fish population abundance compared to the abundance required to deliver maximum sustainable yield (RAM and catch-MSY data)","bbmsy","B/Bmsy","fis_b_bmsy.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"FIS",TRUE,"fis_meancatch","Fishery catch data","Mean commercial catch for each OHI region (averaged across years) ","mean_catch","tonnes","fis_meancatch.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"FIS resilienceHAB resilienceICO resilienceNP resilience",TRUE,"species_diversity_eez","Measure of ecological integrity","Marine species condition (species subgoal status score) as a proxy for ecological integrity","score","scaled 0-1","species_diversity_eez.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"FIS resilienceHAB resilienceICO resilienceNP resilienceSPP resilience",TRUE,"fp_mora_artisanal","Artisanal fisheries management effectiveness","Quality of management of small-scale fishing for artisanal and recreational purposes","value","scaled 0-1","fp_mora_artisanal.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"FIS resilienceHAB resilienceICO resilienceNP resilienceSPP resilience",TRUE,"fp_mpa_eez","EEZ protected marine areas (fishing preservation)","Protected marine areas within EEZ (lasting special places calculation applied to the entire EEZ)","resilience.score","scaled 0-1","fp_mpa_eez.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"FIS resilienceHAB resilienceICO resilienceNP resilienceSPP resilience",TRUE,"hd_mpa_eez","EEZ protected marine areas (habitat preservation)","Protected marine areas within EEZ (lasting special places calculation applied to the entire EEZ)","resilience.score","scaled 0-1","hd_mpa_eez.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"FP",TRUE,"fp_wildcaught_weight","Food provision weights","Proportion of wild caught fisheries relative to total food production (e.g., fisheries and mariculture)","w_fis","proportion","fp_wildcaught_weight.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"HAB",TRUE,"hab_softbottom_health","Habitat condition of softbottom","Current condition of softbottom habitat, based on demersal destructive fishing practices (e.g., trawling) ","health","proportion","hab_softbottom_health.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"HAB",TRUE,"hab_softbottom_trend","Habitat condition trend of softbottom","Estimated change in softbottom condition, based on trends in demersal destructive fishing practices (e.g., trawling)","trend","trend","hab_softbottom_trend.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"HAB resilienceMAR resilienceSPP resilience",TRUE,"g_mariculture","Management of mariculture  to preserve biodiversity","Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report: mariculture related questions","resilience score","scaled 0-1","g_mariculture.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"HAB resilienceSPP resilience",TRUE,"g_tourism","Management of tourism to preserve biodiversity","Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report: tourism related questions","resilience score","scaled 0-1","g_tourism.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"ICO",TRUE,"ico_spp_iucn_status","IUCN extinction risk","IUCN extinction risk category for iconic species located within each region","category","IUCN risk category","ico_spp_iucn_status.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"ICO pressureSPP pressure",TRUE,"fp_targetharvest","Targeted harvest of cetaceans and marine turtles","Targeted harvest of cetaceans and marine turtles","pressure_score","scaled 0-1","fp_targetharvest.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"ICO resilienceNP resilienceSPP resilience",TRUE,"g_cites","CITES signatories","Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES) signatories","resilience_score","0 or 1","g_cites.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"LIV",TRUE,"liv_status","Livelihood status scores","Calculated using adjusted job and wage data in several marine sectors  (data not updated since 2013)","status","status 0-100","liv_status.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"LIV",TRUE,"liv_trend","Livelihood trend scores","Calculated using change in adjusted job and wage data in several marine sectors  (data not updated since 2013)","trend","trend -1 to 1","liv_trend.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"LIV resilience",TRUE,"li_sector_evenness","Economic diversity","Sector evenness based on Shannon's Diversity Index calculated on the proportion of jobs in each sector as a measure of economic diversity","resilience score","scaled 0-1","li_sector_evenness.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"LSP",TRUE,"lsp_prot_area_inland1km","Inland coastal protected areas","Protected areas located 1 km inland","a_prot_1km","km2","lsp_prot_area_inland1km.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"LSP",TRUE,"lsp_prot_area_offshore3nm","Offshore coastal protected areas","Protected areas located 3nm offshore","a_prot_3nm","km2","lsp_prot_area_offshore3nm.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"LSP",TRUE,"rgn_area_inland1km","Inland 1km area","Inland area of OHI regions within 1km of shoreline","area","km2","rgn_area_inland1km.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"LSP",TRUE,"rgn_area_offshore3nm","Offshore 3nm area","Offshore area of OHI regions within 3nm of shoreline","area","km2","rgn_area_offshore3nm.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"MAR",TRUE,"mar_coastalpopn_inland25mi","Inland coastal population","Total coastal population within 25 miles of coast","popsum","count","mar_coastalpopn_inland25mi.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"MAR",TRUE,"mar_harvest_tonnes","Mariculture harvest","Tonnes of mariculture harvest","tonnes","tonnes","mar_harvest_tonnes.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"MAR",TRUE,"mar_sustainability_score","Mariculture sustainability score","Mariculture sustainability based on the Mariculture Sustainability Index (MSI)","sust_coeff","scaled 0-1","mar_sustainability_score.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"MAR resilience",TRUE,"g_msi_gov","Mariculture Sustainability Index","Mariculture practice assessment criteria from the Mariculture Sustainability Index (MSI)","resilience score","scaled 0-1","g_msi_gov.csv",,,,,,,FALSE,,,,,FALSE,,,,,
,TRUE,"hab_softbottom_extent","Habitat extent of softbottom","Area of softbottom habitat","km2","km2","hab_softbottom_extent.csv",,,,,,,FALSE,,,,,FALSE,,,,,
,TRUE,"sp_alien_species","Management of nonindigenous species","Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report: invasive species related questions","resilience score","scaled 0-1","sp_alien_species.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"NP",TRUE,"hab_rockyreef_extent","Habitat extent of rocky reef","Area of rocky reef habitat","km2","km2","hab_rockyreef_extent.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"NP",TRUE,"np_blast","Blast fishing","Artisanal blast fishing","score","scaled 0-1","np_blast.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"NP",TRUE,"np_cyanide","Poison fishing","Artisanal poison (cyanide) fishing","score","scaled 0-1","np_cyanide.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"NP",TRUE,"np_harvest_product_weight","Relative natural product harvest value","Relative importance of six marine commodities (coral, fish oil, seaweed and plants, shells, sponges, ornamental fish) within each region determined by dividing the max USD value (determined across most recent 10 years of data) of each product and dividing by the sum of the max USD values of all products","weight","proportion","np_harvest_product_weight.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"NP",TRUE,"np_harvest_tonnes","Natural product harvest","Yield in metric tonnes of six marine commodities (coral, fish oil, seaweed and plants, shells, sponges, ornamental fish)","tonnes","tonnes","np_harvest_tonnes.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"NP",TRUE,"np_harvest_tonnes_relative","Relative natural product harvest tonnes","Tonnes of harvest of each commodity relative to maximum harvest (with 35% buffer) of the commodity within the region observed across years","tonnes_rel","proportion","np_harvest_tonnes_relative.csv",,,,,,,FALSE,,,,,FALSE,,,,,
" spatial",TRUE,"rgn_area","Region areas based on EEZ boundaries","Area of Ocean Health Index regions modified from exclusive economic zones, weights used to calculate global score ","area_km2","km2","rgn_area.csv",,,,,,,FALSE,,,,,FALSE,,,,,
" spatial",TRUE,"rgn_global","OHI region id","Subset of regions that are not deleted or disputed ","label","label","rgn_global.csv",,,,,,,FALSE,,,,,FALSE,,,,,
" spatial",TRUE,"rgn_labels","Regions","Regions by type (eez, subocean, unclaimed)","label","label","rgn_labels.csv",,,,,,,FALSE,,,,,FALSE,,,,,
" spatial",TRUE,"uninhabited","Uninhabited regions","Regions with low and no number of inhabitants (also identifies Southern Islands)","Inhabited","population","uninhabited.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"SPP",TRUE,"spp_status","Average species condition","Overall measure of species condition based on IUCN status of species within each region","score","status score","spp_status.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"SPP",TRUE,"spp_trend","Average species condition trend","Overall measure of species condition trends based on change in IUCN status of species within each region ","score","trend score","spp_trend.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"TR",TRUE,"tr_jobs_pct_tourism","Percent direct employment in tourism","Percent direct employment in tourism","Ep","proportion","tr_jobs_pct_tourism.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"TR",TRUE,"tr_sustainability","Tourism sustainability index","Tourism Competitiveness Index (TTCI)","S_score","scaled 0-1","tr_sustainability.csv",,,,,,,FALSE,,,,,FALSE,,,,,
"TR",TRUE,"tr_travelwarnings","US State Department travel warnings","US State Department travel warnings","multiplier","scaled 0-1","tr_travelwarnings.csv",,,,,,,FALSE,,,,,FALSE,,,,,
" weighting",TRUE,"element_wts_cp_km2_x_protection","Coastal protection weights","Habitat extent multiplied by habitat protection rank for: coral, mangrove (offshore and inland 1km), saltmarsh, sea ice (shoreline), and seagrass (empty dataframe filled by functions.R in ohi-global)","extent_rank","extent*rank_protection","element_wts_cp_km2_x_protection.csv",,,,,,,FALSE,,,,,FALSE,,,,,
" weighting",TRUE,"element_wts_cs_km2_x_storage","Carbon storage weights","Habitat extent multiplied by carbon storage capacity for: mangrove, saltmarsh, and seagrass  (empty dataframe filled by functions.R in ohi-global)","extent_rank","extent*carbon_storage","element_wts_cs_km2_x_storage.csv",,,,,,,FALSE,,,,,FALSE,,,,,
" weighting",TRUE,"element_wts_hab_pres_abs","Habitat presence/absence","List of habitats in each region (empty dataframe filled by functions.R in ohi-global)","boolean","0 or 1","element_wts_hab_pres_abs.csv",,,,,,,FALSE,,,,,FALSE,,,,,
